Time [yyyy/MM/dd HH:mm:ss],Reykjavik: water level (waterlevel) at Reykjavik_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,6.9617E-84
2019/01/01 00:10:00,4.7044E-41
2019/01/01 00:15:00,5.347E-23
2019/01/01 00:20:00,5.872E-16
2019/01/01 00:25:00,3.118E-14
2019/01/01 00:30:00,8.151E-13
2019/01/01 00:35:00,1.3971E-11
2019/01/01 00:40:00,1.7645E-10
2019/01/01 00:45:00,1.7499E-09
2019/01/01 00:50:00,1.4181E-08
2019/01/01 00:55:00,9.6509E-08
2019/01/01 01:00:00,5.6262E-07
2019/01/01 01:05:00,2.8519E-06
2019/01/01 01:10:00,1.2718E-05
2019/01/01 01:15:00,5.0361E-05
2019/01/01 01:20:00,0.00017846
2019/01/01 01:25:00,0.0005696
2019/01/01 01:30:00,0.0016466
2019/01/01 01:35:00,0.004332
2019/01/01 01:40:00,0.010418
2019/01/01 01:45:00,0.022991
2019/01/01 01:50:00,0.04672
2019/01/01 01:55:00,0.087707
2019/01/01 02:00:00,0.15262
2019/01/01 02:05:00,0.24723
2019/01/01 02:10:00,0.37497
2019/01/01 02:15:00,0.53631
2019/01/01 02:20:00,0.72899
2019/01/01 02:25:00,0.94822
2019/01/01 02:30:00,1.1793
2019/01/01 02:35:00,1.4088
2019/01/01 02:40:00,1.6303
2019/01/01 02:45:00,1.815
2019/01/01 02:50:00,1.9777
2019/01/01 02:55:00,2.1106
2019/01/01 03:00:00,2.2158
2019/01/01 03:05:00,2.294
2019/01/01 03:10:00,2.3449
2019/01/01 03:15:00,2.3647
2019/01/01 03:20:00,2.3502
2019/01/01 03:25:00,2.3
2019/01/01 03:30:00,2.2069
2019/01/01 03:35:00,2.0273
2019/01/01 03:40:00,1.8033
2019/01/01 03:45:00,1.5843
2019/01/01 03:50:00,1.3685
2019/01/01 03:55:00,1.1388
2019/01/01 04:00:00,0.89295
2019/01/01 04:05:00,0.64117
2019/01/01 04:10:00,0.40092
2019/01/01 04:15:00,0.18718
2019/01/01 04:20:00,0.0043369
2019/01/01 04:25:00,-0.15023
2019/01/01 04:30:00,-0.2805
2019/01/01 04:35:00,-0.38886
2019/01/01 04:40:00,-0.47604
2019/01/01 04:45:00,-0.54258
2019/01/01 04:50:00,-0.58948
2019/01/01 04:55:00,-0.61787
2019/01/01 05:00:00,-0.62648
2019/01/01 05:05:00,-0.61242
2019/01/01 05:10:00,-0.57603
2019/01/01 05:15:00,-0.52246
2019/01/01 05:20:00,-0.46424
2019/01/01 05:25:00,-0.41049
2019/01/01 05:30:00,-0.35884
2019/01/01 05:35:00,-0.30456
2019/01/01 05:40:00,-0.25051
2019/01/01 05:45:00,-0.20654
2019/01/01 05:50:00,-0.1826
2019/01/01 05:55:00,-0.1845
2019/01/01 06:00:00,-0.21465
2019/01/01 06:05:00,-0.26654
2019/01/01 06:10:00,-0.32811
2019/01/01 06:15:00,-0.39209
2019/01/01 06:20:00,-0.45701
2019/01/01 06:25:00,-0.52234
2019/01/01 06:30:00,-0.58626
2019/01/01 06:35:00,-0.64617
2019/01/01 06:40:00,-0.69973
2019/01/01 06:45:00,-0.74523
2019/01/01 06:50:00,-0.78133
2019/01/01 06:55:00,-0.80635
2019/01/01 07:00:00,-0.81824
2019/01/01 07:05:00,-0.81513
2019/01/01 07:10:00,-0.79601
2019/01/01 07:15:00,-0.76169
2019/01/01 07:20:00,-0.71902
2019/01/01 07:25:00,-0.67279
2019/01/01 07:30:00,-0.62307
2019/01/01 07:35:00,-0.56914
2019/01/01 07:40:00,-0.51373
2019/01/01 07:45:00,-0.46328
2019/01/01 07:50:00,-0.42541
2019/01/01 07:55:00,-0.40655
2019/01/01 08:00:00,-0.41241
2019/01/01 08:05:00,-0.44981
2019/01/01 08:10:00,-0.51566
2019/01/01 08:15:00,-0.59607
2019/01/01 08:20:00,-0.68252
2019/01/01 08:25:00,-0.77629
2019/01/01 08:30:00,-0.87962
2019/01/01 08:35:00,-0.98932
2019/01/01 08:40:00,-1.099
2019/01/01 08:45:00,-1.2038
2019/01/01 08:50:00,-1.302
2019/01/01 08:55:00,-1.3935
2019/01/01 09:00:00,-1.4776
2019/01/01 09:05:00,-1.5533
2019/01/01 09:10:00,-1.6202
2019/01/01 09:15:00,-1.6786
2019/01/01 09:20:00,-1.7286
2019/01/01 09:25:00,-1.769
2019/01/01 09:30:00,-1.7975
2019/01/01 09:35:00,-1.8113
2019/01/01 09:40:00,-1.807
2019/01/01 09:45:00,-1.7777
2019/01/01 09:50:00,-1.7119
2019/01/01 09:55:00,-1.6299
2019/01/01 10:00:00,-1.5465
2019/01/01 10:05:00,-1.4567
2019/01/01 10:10:00,-1.3533
2019/01/01 10:15:00,-1.2368
2019/01/01 10:20:00,-1.1146
2019/01/01 10:25:00,-0.99727
2019/01/01 10:30:00,-0.89088
2019/01/01 10:35:00,-0.79438
2019/01/01 10:40:00,-0.70659
2019/01/01 10:45:00,-0.63098
2019/01/01 10:50:00,-0.57212
2019/01/01 10:55:00,-0.53153
2019/01/01 11:00:00,-0.50932
2019/01/01 11:05:00,-0.50655
2019/01/01 11:10:00,-0.52227
2019/01/01 11:15:00,-0.54975
2019/01/01 11:20:00,-0.57513
2019/01/01 11:25:00,-0.59261
2019/01/01 11:30:00,-0.59983
2019/01/01 11:35:00,-0.58985
2019/01/01 11:40:00,-0.54966
2019/01/01 11:45:00,-0.47563
2019/01/01 11:50:00,-0.38125
2019/01/01 11:55:00,-0.27959
2019/01/01 12:00:00,-0.16964
2019/01/01 12:05:00,-0.043661
2019/01/01 12:10:00,0.097702
2019/01/01 12:15:00,0.242
2019/01/01 12:20:00,0.37486
2019/01/01 12:25:00,0.48904
2019/01/01 12:30:00,0.58233
2019/01/01 12:35:00,0.65092
2019/01/01 12:40:00,0.68981
2019/01/01 12:45:00,0.69957
2019/01/01 12:50:00,0.68961
2019/01/01 12:55:00,0.67302
2019/01/01 13:00:00,0.65866
2019/01/01 13:05:00,0.64844
2019/01/01 13:10:00,0.64071
2019/01/01 13:15:00,0.63427
2019/01/01 13:20:00,0.6294
2019/01/01 13:25:00,0.62708
2019/01/01 13:30:00,0.6283
