16:20 19.03.2020 ;2.29;2.63;2.65;12;15;93;1031;-0.6;  
16:10 19.03.2020 ;2.30;2.65;2.67;11;27;95;1031;-0.7;  
16:00 19.03.2020 ;2.32;2.65;2.67;10;13;95;1031;-0.8;  
15:50 19.03.2020 ;2.33;2.66;2.68;11;14;92;1031;-0.6;  
15:40 19.03.2020 ;2.34;2.65;2.67;11;14;91;1032;-0.6;  
15:30 19.03.2020 ;2.34;2.70;2.72;11;15;87;1032;-0.6;  
15:20 19.03.2020 ;2.34;2.63;2.65;11;14;90;1032;-0.8;  
15:10 19.03.2020 ;2.34;2.66;2.68;10;29;91;1032;-0.8;  
15:00 19.03.2020 ;2.33;2.65;2.67;11;14;91;1032;-0.7;  
14:50 19.03.2020 ;2.31;2.60;2.62;11;14;93;1032;-0.8;  
14:40 19.03.2020 ;2.30;2.61;2.62;10;14;92;1032;-0.7;  
14:30 19.03.2020 ;2.28;2.59;2.61;10;14;94;1032;-0.7;  
14:20 19.03.2020 ;2.26;2.55;2.57;11;14;92;1032;-0.6;  
14:10 19.03.2020 ;2.22;2.50;2.52;11;31;97;1032;-0.7;  
14:00 19.03.2020 ;2.19;2.45;2.47;11;14;91;1032;-0.8;  
13:50 19.03.2020 ;2.16;2.48;2.50;11;14;89;1032;-0.8;  
13:40 19.03.2020 ;2.12;2.38;2.40;10;14;93;1032;-0.8;  
13:30 19.03.2020 ;2.08;2.36;2.37;10;13;94;1032;-0.9;  
13:20 19.03.2020 ;2.03;2.31;2.33;10;13;94;1032;-0.6;  
13:10 19.03.2020 ;1.98;2.25;2.27;9;34;95;1032;-0.4;  
13:00 19.03.2020 ;1.94;2.20;2.22;9;12;97;1033;-0.6;  
12:50 19.03.2020 ;1.89;2.14;2.15;10;12;94;1033;-0.6;  
12:40 19.03.2020 ;1.83;2.09;2.11;10;12;94;1033;-0.8;  
12:30 19.03.2020 ;1.78;2.05;2.06;9;12;90;1032;-0.6;  
12:20 19.03.2020 ;1.73;1.95;1.97;10;12;91;1033;-0.7;  
12:10 19.03.2020 ;1.67;1.95;1.97;9;21;93;1033;-0.6;  
12:00 19.03.2020 ;1.62;1.86;1.88;9;12;92;1033;-0.7;  
11:50 19.03.2020 ;1.56;1.83;1.85;9;30;93;1033;-0.5;  
11:40 19.03.2020 ;1.51;1.77;1.78;9;11;93;1033;-0.4;  
11:30 19.03.2020 ;1.46;1.73;1.74;9;12;90;1033;-0.2;  
11:20 19.03.2020 ;1.41;1.68;1.69;8;10;87;1033;-0.4;  
11:10 19.03.2020 ;1.36;1.65;1.66;8;10;80;1033;-0.6;  
11:00 19.03.2020 ;1.32;1.61;1.63;7;10;77;1033;-0.8;  
10:50 19.03.2020 ;1.28;1.58;1.59;7;9;76;1033;-0.8;  
10:40 19.03.2020 ;1.24;1.52;1.53;7;10;74;1032;-1.0;  
10:30 19.03.2020 ;1.21;1.51;1.52;8;10;82;1032;-1.0;  
10:20 19.03.2020 ;1.18;1.47;1.48;7;9;85;1032;-1.0;  
