Time [yyyy/MM/dd HH:mm:ss],ObservationPoint03: water level (waterlevel) at ObservationPoint03_ FlowFM [m]
2020/01/01 00:00:00,0
2020/01/01 00:05:00,0.00080668
2020/01/01 00:10:00,0.035644
2020/01/01 00:15:00,0.02702
2020/01/01 00:20:00,0.011623
2020/01/01 00:25:00,0.014969
2020/01/01 00:30:00,0.0015665
2020/01/01 00:35:00,-0.032328
2020/01/01 00:40:00,-0.05449
2020/01/01 00:45:00,-0.081647
2020/01/01 00:50:00,-0.12556
2020/01/01 00:55:00,-0.17816
2020/01/01 01:00:00,-0.21503
2020/01/01 01:05:00,-0.27386
2020/01/01 01:10:00,-0.28425
2020/01/01 01:15:00,-0.31869
2020/01/01 01:20:00,-0.36271
2020/01/01 01:25:00,-0.3931
2020/01/01 01:30:00,-0.41353
2020/01/01 01:35:00,-0.45652
2020/01/01 01:40:00,-0.48851
2020/01/01 01:45:00,-0.50807
2020/01/01 01:50:00,-0.53842
2020/01/01 01:55:00,-0.5782
2020/01/01 02:00:00,-0.5934
2020/01/01 02:05:00,-0.61754
2020/01/01 02:10:00,-0.65253
2020/01/01 02:15:00,-0.67101
2020/01/01 02:20:00,-0.68893
2020/01/01 02:25:00,-0.71518
2020/01/01 02:30:00,-0.73727
2020/01/01 02:35:00,-0.74852
2020/01/01 02:40:00,-0.7704
2020/01/01 02:45:00,-0.78997
2020/01/01 02:50:00,-0.80054
2020/01/01 02:55:00,-0.81237
2020/01/01 03:00:00,-0.82921
2020/01/01 03:05:00,-0.83666
2020/01/01 03:10:00,-0.84312
2020/01/01 03:15:00,-0.854
2020/01/01 03:20:00,-0.86049
2020/01/01 03:25:00,-0.86149
2020/01/01 03:30:00,-0.86583
2020/01/01 03:35:00,-0.86909
2020/01/01 03:40:00,-0.86655
2020/01/01 03:45:00,-0.86452
2020/01/01 03:50:00,-0.86323
2020/01/01 03:55:00,-0.85787
2020/01/01 04:00:00,-0.84964
2020/01/01 04:05:00,-0.84357
2020/01/01 04:10:00,-0.83441
2020/01/01 04:15:00,-0.82197
2020/01/01 04:20:00,-0.80999
2020/01/01 04:25:00,-0.79713
2020/01/01 04:30:00,-0.78085
2020/01/01 04:35:00,-0.76374
2020/01/01 04:40:00,-0.74659
2020/01/01 04:45:00,-0.72688
2020/01/01 04:50:00,-0.70527
2020/01/01 04:55:00,-0.68366
2020/01/01 05:00:00,-0.66074
2020/01/01 05:05:00,-0.63531
2020/01/01 05:10:00,-0.60962
2020/01/01 05:15:00,-0.58326
2020/01/01 05:20:00,-0.55501
2020/01/01 05:25:00,-0.52556
2020/01/01 05:30:00,-0.49605
2020/01/01 05:35:00,-0.46513
2020/01/01 05:40:00,-0.43282
2020/01/01 05:45:00,-0.4003
2020/01/01 05:50:00,-0.36714
2020/01/01 05:55:00,-0.33256
2020/01/01 06:00:00,-0.29785
2020/01/01 06:05:00,-0.26257
2020/01/01 06:10:00,-0.22651
2020/01/01 06:15:00,-0.18989
2020/01/01 06:20:00,-0.15332
2020/01/01 06:25:00,-0.11606
2020/01/01 06:30:00,-0.078408
2020/01/01 06:35:00,-0.040888
2020/01/01 06:40:00,-0.0031283
2020/01/01 06:45:00,0.035077
2020/01/01 06:50:00,0.07257
2020/01/01 06:55:00,0.11088
2020/01/01 07:00:00,0.14859
2020/01/01 07:05:00,0.18638
2020/01/01 07:10:00,0.2216
2020/01/01 07:15:00,0.26209
2020/01/01 07:20:00,0.29611
2020/01/01 07:25:00,0.3353
2020/01/01 07:30:00,0.36965
2020/01/01 07:35:00,0.40477
2020/01/01 07:40:00,0.44067
2020/01/01 07:45:00,0.4731
2020/01/01 07:50:00,0.50761
2020/01/01 07:55:00,0.53728
2020/01/01 08:00:00,0.57292
2020/01/01 08:05:00,0.60327
2020/01/01 08:10:00,0.62926
2020/01/01 08:15:00,0.66156
2020/01/01 08:20:00,0.68969
2020/01/01 08:25:00,0.71426
2020/01/01 08:30:00,0.74037
2020/01/01 08:35:00,0.76579
2020/01/01 08:40:00,0.78828
2020/01/01 08:45:00,0.81147
2020/01/01 08:50:00,0.82943
2020/01/01 08:55:00,0.84958
2020/01/01 09:00:00,0.86829
2020/01/01 09:05:00,0.88356
2020/01/01 09:10:00,0.89972
2020/01/01 09:15:00,0.91304
2020/01/01 09:20:00,0.92491
2020/01/01 09:25:00,0.93571
2020/01/01 09:30:00,0.94542
2020/01/01 09:35:00,0.95233
2020/01/01 09:40:00,0.95871
2020/01/01 09:45:00,0.9628
2020/01/01 09:50:00,0.96665
2020/01/01 09:55:00,0.96756
2020/01/01 10:00:00,0.96757
2020/01/01 10:05:00,0.96607
2020/01/01 10:10:00,0.96286
2020/01/01 10:15:00,0.95798
2020/01/01 10:20:00,0.95194
2020/01/01 10:25:00,0.94416
2020/01/01 10:30:00,0.93496
2020/01/01 10:35:00,0.92407
2020/01/01 10:40:00,0.91208
2020/01/01 10:45:00,0.89835
2020/01/01 10:50:00,0.88339
2020/01/01 10:55:00,0.86687
2020/01/01 11:00:00,0.84919
2020/01/01 11:05:00,0.83008
2020/01/01 11:10:00,0.80969
2020/01/01 11:15:00,0.78804
2020/01/01 11:20:00,0.76499
2020/01/01 11:25:00,0.74185
2020/01/01 11:30:00,0.71554
2020/01/01 11:35:00,0.69024
2020/01/01 11:40:00,0.66253
2020/01/01 11:45:00,0.63429
2020/01/01 11:50:00,0.60535
2020/01/01 11:55:00,0.575
2020/01/01 12:00:00,0.54459
2020/01/01 12:05:00,0.51195
2020/01/01 12:10:00,0.48014
2020/01/01 12:15:00,0.44714
2020/01/01 12:20:00,0.41378
2020/01/01 12:25:00,0.37751
2020/01/01 12:30:00,0.34602
2020/01/01 12:35:00,0.30894
2020/01/01 12:40:00,0.27297
