Time [yyyy/MM/dd HH:mm:ss],ObservationPoint03: water level (waterlevel) at ObservationPoint03_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-0.0014215
2019/12/01 00:10:00,-0.081791
2019/12/01 00:15:00,-0.11652
2019/12/01 00:20:00,-0.14665
2019/12/01 00:25:00,-0.22066
2019/12/01 00:30:00,-0.29863
2019/12/01 00:35:00,-0.34328
2019/12/01 00:40:00,-0.43412
2019/12/01 00:45:00,-0.52132
2019/12/01 00:50:00,-0.59995
2019/12/01 00:55:00,-0.68605
2019/12/01 01:00:00,-0.8018
2019/12/01 01:05:00,-0.8887
2019/12/01 01:10:00,-0.81936
2019/12/01 01:15:00,-0.87912
2019/12/01 01:20:00,-0.94796
2019/12/01 01:25:00,-0.93532
2019/12/01 01:30:00,-0.92751
2019/12/01 01:35:00,-1.0061
2019/12/01 01:40:00,-1.0178
2019/12/01 01:45:00,-1.0054
2019/12/01 01:50:00,-1.0405
2019/12/01 01:55:00,-1.0781
2019/12/01 02:00:00,-1.061
2019/12/01 02:05:00,-1.0719
2019/12/01 02:10:00,-1.1078
2019/12/01 02:15:00,-1.1032
2019/12/01 02:20:00,-1.0936
2019/12/01 02:25:00,-1.1144
2019/12/01 02:30:00,-1.1209
2019/12/01 02:35:00,-1.1037
2019/12/01 02:40:00,-1.1068
2019/12/01 02:45:00,-1.1136
2019/12/01 02:50:00,-1.0988
2019/12/01 02:55:00,-1.0844
2019/12/01 03:00:00,-1.0864
2019/12/01 03:05:00,-1.073
2019/12/01 03:10:00,-1.0498
2019/12/01 03:15:00,-1.0398
2019/12/01 03:20:00,-1.0271
2019/12/01 03:25:00,-1.0001
2019/12/01 03:30:00,-0.97823
2019/12/01 03:35:00,-0.96137
2019/12/01 03:40:00,-0.93378
2019/12/01 03:45:00,-0.9028
2019/12/01 03:50:00,-0.87931
2019/12/01 03:55:00,-0.85037
2019/12/01 04:00:00,-0.81436
2019/12/01 04:05:00,-0.78459
2019/12/01 04:10:00,-0.75141
2019/12/01 04:15:00,-0.71304
2019/12/01 04:20:00,-0.67433
2019/12/01 04:25:00,-0.63879
2019/12/01 04:30:00,-0.59648
2019/12/01 04:35:00,-0.55501
2019/12/01 04:40:00,-0.51572
2019/12/01 04:45:00,-0.47274
2019/12/01 04:50:00,-0.42546
2019/12/01 04:55:00,-0.38306
2019/12/01 05:00:00,-0.33846
2019/12/01 05:05:00,-0.29111
2019/12/01 05:10:00,-0.24317
2019/12/01 05:15:00,-0.19833
2019/12/01 05:20:00,-0.14943
2019/12/01 05:25:00,-0.099746
2019/12/01 05:30:00,-0.052736
2019/12/01 05:35:00,-0.0045153
2019/12/01 05:40:00,0.046254
2019/12/01 05:45:00,0.093797
2019/12/01 05:50:00,0.14256
2019/12/01 05:55:00,0.19147
2019/12/01 06:00:00,0.24198
2019/12/01 06:05:00,0.28914
2019/12/01 06:10:00,0.33493
2019/12/01 06:15:00,0.38658
2019/12/01 06:20:00,0.4332
2019/12/01 06:25:00,0.47825
2019/12/01 06:30:00,0.52026
2019/12/01 06:35:00,0.57346
2019/12/01 06:40:00,0.60776
2019/12/01 06:45:00,0.65554
2019/12/01 06:50:00,0.69909
2019/12/01 06:55:00,0.73693
2019/12/01 07:00:00,0.78055
2019/12/01 07:05:00,0.81754
2019/12/01 07:10:00,0.85378
2019/12/01 07:15:00,0.89506
2019/12/01 07:20:00,0.92431
2019/12/01 07:25:00,0.95875
2019/12/01 07:30:00,0.99503
2019/12/01 07:35:00,1.0203
2019/12/01 07:40:00,1.052
2019/12/01 07:45:00,1.0783
2019/12/01 07:50:00,1.1029
2019/12/01 07:55:00,1.1278
2019/12/01 08:00:00,1.1493
2019/12/01 08:05:00,1.1694
2019/12/01 08:10:00,1.1878
2019/12/01 08:15:00,1.2041
2019/12/01 08:20:00,1.2189
2019/12/01 08:25:00,1.2316
2019/12/01 08:30:00,1.2419
2019/12/01 08:35:00,1.2508
2019/12/01 08:40:00,1.258
2019/12/01 08:45:00,1.2623
2019/12/01 08:50:00,1.2654
2019/12/01 08:55:00,1.2663
2019/12/01 09:00:00,1.2652
2019/12/01 09:05:00,1.2621
2019/12/01 09:10:00,1.2571
2019/12/01 09:15:00,1.2503
2019/12/01 09:20:00,1.2413
2019/12/01 09:25:00,1.2305
2019/12/01 09:30:00,1.2178
2019/12/01 09:35:00,1.2034
2019/12/01 09:40:00,1.1868
2019/12/01 09:45:00,1.1686
2019/12/01 09:50:00,1.1489
2019/12/01 09:55:00,1.127
2019/12/01 10:00:00,1.1036
2019/12/01 10:05:00,1.0787
2019/12/01 10:10:00,1.0521
2019/12/01 10:15:00,1.0237
2019/12/01 10:20:00,0.99407
2019/12/01 10:25:00,0.96306
2019/12/01 10:30:00,0.9304
2019/12/01 10:35:00,0.89647
2019/12/01 10:40:00,0.86138
2019/12/01 10:45:00,0.82461
2019/12/01 10:50:00,0.78721
2019/12/01 10:55:00,0.74803
2019/12/01 11:00:00,0.71013
2019/12/01 11:05:00,0.66796
2019/12/01 11:10:00,0.6276
2019/12/01 11:15:00,0.58608
2019/12/01 11:20:00,0.54173
2019/12/01 11:25:00,0.49832
2019/12/01 11:30:00,0.45518
2019/12/01 11:35:00,0.40896
2019/12/01 11:40:00,0.36449
2019/12/01 11:45:00,0.3197
2019/12/01 11:50:00,0.27349
2019/12/01 11:55:00,0.22819
2019/12/01 12:00:00,0.18138
2019/12/01 12:05:00,0.13638
2019/12/01 12:10:00,0.089002
