 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.01.2020 	 2 	 2,75 	 2,78 	 10 	 13 	 210 	 986 	 6 	  
23:50 31.12.2019 	 2,07 	 2,9 	 2,93 	 10 	 14 	 206 	 986 	 6 	  
23:40 31.12.2019 	 2,14 	 2,96 	 2,99 	 9 	 12 	 204 	 987 	 6,3 	  
23:30 31.12.2019 	 2,2 	 2,97 	 3 	 8 	 11 	 204 	 987 	 6,4 	  
23:20 31.12.2019 	 2,26 	 3,11 	 3,13 	 8 	 12 	 201 	 987 	 6,3 	  
23:10 31.12.2019 	 2,33 	 3,11 	 3,14 	 8 	 12 	 197 	 987 	 6,2 	  
23:00 31.12.2019 	 2,38 	 3,11 	 3,14 	 8 	 13 	 198 	 987 	 6,3 	  
22:50 31.12.2019 	 2,42 	 3,28 	 3,31 	 8 	 12 	 199 	 987 	 6,4 	  
22:40 31.12.2019 	 2,47 	 3,26 	 3,28 	 8 	 13 	 201 	 988 	 6,4 	  
22:30 31.12.2019 	 2,51 	 3,22 	 3,25 	 9 	 14 	 204 	 988 	 6,4 	  
22:20 31.12.2019 	 2,54 	 3,37 	 3,4 	 8 	 12 	 198 	 988 	 6,2 	  
22:10 31.12.2019 	 2,58 	 3,43 	 3,45 	 7 	 11 	 200 	 989 	 6,2 	  
22:00 31.12.2019 	 2,59 	 3,36 	 3,39 	 9 	 13 	 189 	 989 	 6,4 	  
21:50 31.12.2019 	 2,61 	 3,3 	 3,33 	 8 	 11 	 188 	 989 	 6,5 	  
21:40 31.12.2019 	 2,62 	 3,45 	 3,48 	 7 	 10 	 187 	 989 	 6,5 	  
21:30 31.12.2019 	 2,62 	 3,25 	 3,28 	 7 	 10 	 194 	 989 	 6,6 	  
21:20 31.12.2019 	 2,62 	 3,39 	 3,42 	 8 	 11 	 201 	 990 	 6,7 	  
21:10 31.12.2019 	 2,61 	 3,31 	 3,34 	 8 	 12 	 198 	 990 	 6,6 	  
21:00 31.12.2019 	 2,59 	 3,33 	 3,36 	 6 	 10 	 197 	 990 	 6,6 	  
