Time [yyyy/MM/dd HH:mm:ss],Grindavik_inni: water level (waterlevel) at Grindavik_inni_ FlowFM [m]
2020/01/01 00:00:00,0.27769
2020/01/01 00:05:00,0.27773
2020/01/01 00:10:00,0.30209
2020/01/01 00:15:00,0.32456
2020/01/01 00:20:00,0.29076
2020/01/01 00:25:00,0.28126
2020/01/01 00:30:00,0.27997
2020/01/01 00:35:00,0.26214
2020/01/01 00:40:00,0.22301
2020/01/01 00:45:00,0.18519
2020/01/01 00:50:00,0.16077
2020/01/01 00:55:00,0.11485
2020/01/01 01:00:00,0.054427
2020/01/01 01:05:00,0.0034541
2020/01/01 01:10:00,-0.014818
2020/01/01 01:15:00,-0.010327
2020/01/01 01:20:00,-0.096854
2020/01/01 01:25:00,-0.11243
2020/01/01 01:30:00,-0.12801
2020/01/01 01:35:00,-0.16272
2020/01/01 01:40:00,-0.20742
2020/01/01 01:45:00,-0.22847
2020/01/01 01:50:00,-0.24559
2020/01/01 01:55:00,-0.27792
2020/01/01 02:00:00,-0.32179
2020/01/01 02:05:00,-0.3207
2020/01/01 02:10:00,-0.35756
2020/01/01 02:15:00,-0.38584
2020/01/01 02:20:00,-0.40382
2020/01/01 02:25:00,-0.42392
2020/01/01 02:30:00,-0.44073
2020/01/01 02:35:00,-0.47192
2020/01/01 02:40:00,-0.47955
2020/01/01 02:45:00,-0.49351
2020/01/01 02:50:00,-0.51648
2020/01/01 02:55:00,-0.52762
2020/01/01 03:00:00,-0.53503
2020/01/01 03:05:00,-0.54913
2020/01/01 03:10:00,-0.55782
2020/01/01 03:15:00,-0.56717
2020/01/01 03:20:00,-0.56804
2020/01/01 03:25:00,-0.57498
2020/01/01 03:30:00,-0.58207
2020/01/01 03:35:00,-0.57684
2020/01/01 03:40:00,-0.57925
2020/01/01 03:45:00,-0.57898
2020/01/01 03:50:00,-0.57439
2020/01/01 03:55:00,-0.56964
2020/01/01 04:00:00,-0.56199
2020/01/01 04:05:00,-0.5568
2020/01/01 04:10:00,-0.54993
2020/01/01 04:15:00,-0.53647
2020/01/01 04:20:00,-0.52682
2020/01/01 04:25:00,-0.51447
2020/01/01 04:30:00,-0.49929
2020/01/01 04:35:00,-0.4838
2020/01/01 04:40:00,-0.46534
2020/01/01 04:45:00,-0.44912
2020/01/01 04:50:00,-0.4273
2020/01/01 04:55:00,-0.40542
2020/01/01 05:00:00,-0.38443
2020/01/01 05:05:00,-0.36012
2020/01/01 05:10:00,-0.33134
2020/01/01 05:15:00,-0.30566
2020/01/01 05:20:00,-0.27882
2020/01/01 05:25:00,-0.2494
2020/01/01 05:30:00,-0.21696
2020/01/01 05:35:00,-0.18791
2020/01/01 05:40:00,-0.15686
2020/01/01 05:45:00,-0.12244
2020/01/01 05:50:00,-0.0897
2020/01/01 05:55:00,-0.055999
2020/01/01 06:00:00,-0.0216
2020/01/01 06:05:00,0.015089
2020/01/01 06:10:00,0.04944
2020/01/01 06:15:00,0.086046
2020/01/01 06:20:00,0.12464
2020/01/01 06:25:00,0.16118
2020/01/01 06:30:00,0.19754
2020/01/01 06:35:00,0.23603
2020/01/01 06:40:00,0.27436
2020/01/01 06:45:00,0.3123
2020/01/01 06:50:00,0.3493
2020/01/01 06:55:00,0.38817
2020/01/01 07:00:00,0.42553
2020/01/01 07:05:00,0.46308
2020/01/01 07:10:00,0.50153
2020/01/01 07:15:00,0.53908
2020/01/01 07:20:00,0.57419
2020/01/01 07:25:00,0.61003
2020/01/01 07:30:00,0.64772
2020/01/01 07:35:00,0.68367
2020/01/01 07:40:00,0.71582
2020/01/01 07:45:00,0.75081
2020/01/01 07:50:00,0.78515
2020/01/01 07:55:00,0.8167
2020/01/01 08:00:00,0.84744
2020/01/01 08:05:00,0.8791
2020/01/01 08:10:00,0.91173
2020/01/01 08:15:00,0.93814
2020/01/01 08:20:00,0.96773
2020/01/01 08:25:00,0.99759
2020/01/01 08:30:00,1.0226
2020/01/01 08:35:00,1.0483
2020/01/01 08:40:00,1.0715
2020/01/01 08:45:00,1.0972
2020/01/01 08:50:00,1.1206
2020/01/01 08:55:00,1.1362
2020/01/01 09:00:00,1.1528
2020/01/01 09:05:00,1.1732
2020/01/01 09:10:00,1.1887
2020/01/01 09:15:00,1.1997
2020/01/01 09:20:00,1.2112
2020/01/01 09:25:00,1.2235
2020/01/01 09:30:00,1.2344
2020/01/01 09:35:00,1.2394
2020/01/01 09:40:00,1.2451
2020/01/01 09:45:00,1.2514
2020/01/01 09:50:00,1.2549
2020/01/01 09:55:00,1.2553
2020/01/01 10:00:00,1.2543
2020/01/01 10:05:00,1.2544
2020/01/01 10:10:00,1.2542
2020/01/01 10:15:00,1.2494
2020/01/01 10:20:00,1.2426
2020/01/01 10:25:00,1.2367
2020/01/01 10:30:00,1.2291
2020/01/01 10:35:00,1.2192
2020/01/01 10:40:00,1.2069
2020/01/01 10:45:00,1.1942
2020/01/01 10:50:00,1.1813
2020/01/01 10:55:00,1.1654
2020/01/01 11:00:00,1.1479
2020/01/01 11:05:00,1.1296
2020/01/01 11:10:00,1.111
2020/01/01 11:15:00,1.09
2020/01/01 11:20:00,1.0677
2020/01/01 11:25:00,1.0446
2020/01/01 11:30:00,1.0207
2020/01/01 11:35:00,0.99544
2020/01/01 11:40:00,0.96861
2020/01/01 11:45:00,0.94136
2020/01/01 11:50:00,0.91309
2020/01/01 11:55:00,0.88387
2020/01/01 12:00:00,0.85374
2020/01/01 12:05:00,0.82294
2020/01/01 12:10:00,0.79171
2020/01/01 12:15:00,0.75923
2020/01/01 12:20:00,0.72649
2020/01/01 12:25:00,0.69317
2020/01/01 12:30:00,0.65945
2020/01/01 12:35:00,0.62504
2020/01/01 12:40:00,0.59033
2020/01/01 12:45:00,0.55558
2020/01/01 12:50:00,0.52036
2020/01/01 12:55:00,0.48495
2020/01/01 13:00:00,0.44942
2020/01/01 13:05:00,0.41399
2020/01/01 13:10:00,0.38144
2020/01/01 13:15:00,0.34589
2020/01/01 13:20:00,0.31069
2020/01/01 13:25:00,0.27633
2020/01/01 13:30:00,0.24314
2020/01/01 13:35:00,0.20932
2020/01/01 13:40:00,0.17504
2020/01/01 13:45:00,0.14222
2020/01/01 13:50:00,0.11056
2020/01/01 13:55:00,0.077768
2020/01/01 14:00:00,0.04657
2020/01/01 14:05:00,0.015524
2020/01/01 14:10:00,-0.017324
2020/01/01 14:15:00,-0.046328
2020/01/01 14:20:00,-0.075385
2020/01/01 14:25:00,-0.10359
2020/01/01 14:30:00,-0.13209
2020/01/01 14:35:00,-0.15741
2020/01/01 14:40:00,-0.18298
2020/01/01 14:45:00,-0.20782
2020/01/01 14:50:00,-0.23136
2020/01/01 14:55:00,-0.25273
2020/01/01 15:00:00,-0.27383
2020/01/01 15:05:00,-0.29428
2020/01/01 15:10:00,-0.30899
2020/01/01 15:15:00,-0.32638
2020/01/01 15:20:00,-0.3427
2020/01/01 15:25:00,-0.35584
2020/01/01 15:30:00,-0.36744
2020/01/01 15:35:00,-0.37946
2020/01/01 15:40:00,-0.38992
2020/01/01 15:45:00,-0.39744
2020/01/01 15:50:00,-0.40449
2020/01/01 15:55:00,-0.41091
2020/01/01 16:00:00,-0.41549
2020/01/01 16:05:00,-0.41712
2020/01/01 16:10:00,-0.42287
2020/01/01 16:15:00,-0.42297
2020/01/01 16:20:00,-0.42089
2020/01/01 16:25:00,-0.42001
2020/01/01 16:30:00,-0.41744
2020/01/01 16:35:00,-0.41221
2020/01/01 16:40:00,-0.40484
2020/01/01 16:45:00,-0.39873
2020/01/01 16:50:00,-0.3898
2020/01/01 16:55:00,-0.37897
2020/01/01 17:00:00,-0.3668
2020/01/01 17:05:00,-0.35557
2020/01/01 17:10:00,-0.3437
2020/01/01 17:15:00,-0.32828
2020/01/01 17:20:00,-0.31138
2020/01/01 17:25:00,-0.29628
2020/01/01 17:30:00,-0.2783
2020/01/01 17:35:00,-0.25797
2020/01/01 17:40:00,-0.23811
2020/01/01 17:45:00,-0.21743
2020/01/01 17:50:00,-0.195
2020/01/01 17:55:00,-0.17154
2020/01/01 18:00:00,-0.14754
2020/01/01 18:05:00,-0.12364
2020/01/01 18:10:00,-0.093893
2020/01/01 18:15:00,-0.068233
2020/01/01 18:20:00,-0.040963
2020/01/01 18:25:00,-0.012134
2020/01/01 18:30:00,0.017545
2020/01/01 18:35:00,0.045891
2020/01/01 18:40:00,0.076427
2020/01/01 18:45:00,0.10809
2020/01/01 18:50:00,0.13863
2020/01/01 18:55:00,0.16849
2020/01/01 19:00:00,0.20119
2020/01/01 19:05:00,0.23322
2020/01/01 19:10:00,0.26443
2020/01/01 19:15:00,0.29617
2020/01/01 19:20:00,0.32816
2020/01/01 19:25:00,0.36075
2020/01/01 19:30:00,0.39147
2020/01/01 19:35:00,0.42311
2020/01/01 19:40:00,0.45489
2020/01/01 19:45:00,0.4867
2020/01/01 19:50:00,0.51698
2020/01/01 19:55:00,0.54628
2020/01/01 20:00:00,0.5771
2020/01/01 20:05:00,0.60687
2020/01/01 20:10:00,0.63542
2020/01/01 20:15:00,0.66343
2020/01/01 20:20:00,0.69116
2020/01/01 20:25:00,0.71874
2020/01/01 20:30:00,0.74454
2020/01/01 20:35:00,0.76991
2020/01/01 20:40:00,0.79426
2020/01/01 20:45:00,0.81851
2020/01/01 20:50:00,0.84105
2020/01/01 20:55:00,0.86281
2020/01/01 21:00:00,0.88375
2020/01/01 21:05:00,0.9035
2020/01/01 21:10:00,0.91919
2020/01/01 21:15:00,0.93668
2020/01/01 21:20:00,0.95287
2020/01/01 21:25:00,0.9678
2020/01/01 21:30:00,0.98076
2020/01/01 21:35:00,0.99309
2020/01/01 21:40:00,1.0051
2020/01/01 21:45:00,1.0147
2020/01/01 21:50:00,1.0222
2020/01/01 21:55:00,1.0296
2020/01/01 22:00:00,1.0359
2020/01/01 22:05:00,1.0413
2020/01/01 22:10:00,1.0466
2020/01/01 22:15:00,1.0491
2020/01/01 22:20:00,1.0506
2020/01/01 22:25:00,1.0509
2020/01/01 22:30:00,1.0502
2020/01/01 22:35:00,1.0485
2020/01/01 22:40:00,1.0443
2020/01/01 22:45:00,1.0395
2020/01/01 22:50:00,1.0339
2020/01/01 22:55:00,1.0265
2020/01/01 23:00:00,1.0181
2020/01/01 23:05:00,1.0079
2020/01/01 23:10:00,0.99455
2020/01/01 23:15:00,0.9822
2020/01/01 23:20:00,0.96848
2020/01/01 23:25:00,0.95329
2020/01/01 23:30:00,0.93667
2020/01/01 23:35:00,0.91904
2020/01/01 23:40:00,0.9014
2020/01/01 23:45:00,0.88192
2020/01/01 23:50:00,0.86112
2020/01/01 23:55:00,0.8405
2020/01/02 00:00:00,0.81826
2020/01/02 00:05:00,0.79584
2020/01/02 00:10:00,0.77462
2020/01/02 00:15:00,0.75072
2020/01/02 00:20:00,0.72573
2020/01/02 00:25:00,0.70112
2020/01/02 00:30:00,0.67643
2020/01/02 00:35:00,0.65016
2020/01/02 00:40:00,0.62293
2020/01/02 00:45:00,0.59626
2020/01/02 00:50:00,0.56974
2020/01/02 00:55:00,0.54134
2020/01/02 01:00:00,0.51341
