Time [yyyy/MM/dd HH:mm:ss],Grindavik_ut: water level (waterlevel) at Grindavik_ut_ FlowFM [m]
2020/01/01 00:00:00,0.27769
2020/01/01 00:05:00,0.28988
2020/01/01 00:10:00,0.30347
2020/01/01 00:15:00,0.29907
2020/01/01 00:20:00,0.29903
2020/01/01 00:25:00,0.28504
2020/01/01 00:30:00,0.27311
2020/01/01 00:35:00,0.25137
2020/01/01 00:40:00,0.22175
2020/01/01 00:45:00,0.18973
2020/01/01 00:50:00,0.15013
2020/01/01 00:55:00,0.1062
2020/01/01 01:00:00,0.056028
2020/01/01 01:05:00,0.016246
2020/01/01 01:10:00,-0.0040663
2020/01/01 01:15:00,-0.049232
2020/01/01 01:20:00,-0.072398
2020/01/01 01:25:00,-0.11021
2020/01/01 01:30:00,-0.13653
2020/01/01 01:35:00,-0.16804
2020/01/01 01:40:00,-0.19944
2020/01/01 01:45:00,-0.22671
2020/01/01 01:50:00,-0.25184
2020/01/01 01:55:00,-0.28443
2020/01/01 02:00:00,-0.30431
2020/01/01 02:05:00,-0.33606
2020/01/01 02:10:00,-0.35571
2020/01/01 02:15:00,-0.38295
2020/01/01 02:20:00,-0.4051
2020/01/01 02:25:00,-0.4239
2020/01/01 02:30:00,-0.44736
2020/01/01 02:35:00,-0.46393
2020/01/01 02:40:00,-0.48195
2020/01/01 02:45:00,-0.49819
2020/01/01 02:50:00,-0.51227
2020/01/01 02:55:00,-0.5263
2020/01/01 03:00:00,-0.5379
2020/01/01 03:05:00,-0.5473
2020/01/01 03:10:00,-0.55839
2020/01/01 03:15:00,-0.56367
2020/01/01 03:20:00,-0.57068
2020/01/01 03:25:00,-0.57515
2020/01/01 03:30:00,-0.57726
2020/01/01 03:35:00,-0.5796
2020/01/01 03:40:00,-0.57833
2020/01/01 03:45:00,-0.57712
2020/01/01 03:50:00,-0.57412
2020/01/01 03:55:00,-0.56827
2020/01/01 04:00:00,-0.5627
2020/01/01 04:05:00,-0.55618
2020/01/01 04:10:00,-0.54694
2020/01/01 04:15:00,-0.53784
2020/01/01 04:20:00,-0.52528
2020/01/01 04:25:00,-0.51299
2020/01/01 04:30:00,-0.49833
2020/01/01 04:35:00,-0.48192
2020/01/01 04:40:00,-0.46519
2020/01/01 04:45:00,-0.44601
2020/01/01 04:50:00,-0.42622
2020/01/01 04:55:00,-0.40493
2020/01/01 05:00:00,-0.38218
2020/01/01 05:05:00,-0.35712
2020/01/01 05:10:00,-0.33141
2020/01/01 05:15:00,-0.30398
2020/01/01 05:20:00,-0.27669
2020/01/01 05:25:00,-0.24692
2020/01/01 05:30:00,-0.21725
2020/01/01 05:35:00,-0.18614
2020/01/01 05:40:00,-0.15439
2020/01/01 05:45:00,-0.12181
2020/01/01 05:50:00,-0.087966
2020/01/01 05:55:00,-0.054363
2020/01/01 06:00:00,-0.019099
2020/01/01 06:05:00,0.01606
2020/01/01 06:10:00,0.0521
2020/01/01 06:15:00,0.088458
2020/01/01 06:20:00,0.1254
2020/01/01 06:25:00,0.16257
2020/01/01 06:30:00,0.19996
2020/01/01 06:35:00,0.23763
2020/01/01 06:40:00,0.27567
2020/01/01 06:45:00,0.31328
2020/01/01 06:50:00,0.35151
2020/01/01 06:55:00,0.38917
2020/01/01 07:00:00,0.42718
2020/01/01 07:05:00,0.46467
2020/01/01 07:10:00,0.50219
