Time [yyyy/MM/dd HH:mm:ss],Grindavik_ut: water level (waterlevel) at Grindavik_ut_ FlowFM [m]
2020/01/01 00:00:00,0.27769
2020/01/01 00:05:00,0.29199
2020/01/01 00:10:00,0.30443
2020/01/01 00:15:00,0.3005
2020/01/01 00:20:00,0.2996
2020/01/01 00:25:00,0.28595
2020/01/01 00:30:00,0.27412
2020/01/01 00:35:00,0.25193
2020/01/01 00:40:00,0.22216
2020/01/01 00:45:00,0.1906
2020/01/01 00:50:00,0.15043
2020/01/01 00:55:00,0.10688
2020/01/01 01:00:00,0.055992
2020/01/01 01:05:00,0.017039
2020/01/01 01:10:00,-0.0038645
2020/01/01 01:15:00,-0.04885
2020/01/01 01:20:00,-0.071962
2020/01/01 01:25:00,-0.10997
2020/01/01 01:30:00,-0.136
2020/01/01 01:35:00,-0.16794
2020/01/01 01:40:00,-0.19898
2020/01/01 01:45:00,-0.22632
2020/01/01 01:50:00,-0.25176
2020/01/01 01:55:00,-0.28387
2020/01/01 02:00:00,-0.30428
2020/01/01 02:05:00,-0.33561
2020/01/01 02:10:00,-0.35547
2020/01/01 02:15:00,-0.38273
2020/01/01 02:20:00,-0.40455
2020/01/01 02:25:00,-0.42378
2020/01/01 02:30:00,-0.44684
2020/01/01 02:35:00,-0.46354
2020/01/01 02:40:00,-0.48166
2020/01/01 02:45:00,-0.49762
2020/01/01 02:50:00,-0.512
2020/01/01 02:55:00,-0.52583
2020/01/01 03:00:00,-0.53739
2020/01/01 03:05:00,-0.54709
2020/01/01 03:10:00,-0.55767
2020/01/01 03:15:00,-0.56341
2020/01/01 03:20:00,-0.5702
2020/01/01 03:25:00,-0.57455
2020/01/01 03:30:00,-0.57698
2020/01/01 03:35:00,-0.57894
2020/01/01 03:40:00,-0.57795
2020/01/01 03:45:00,-0.57668
2020/01/01 03:50:00,-0.57343
2020/01/01 03:55:00,-0.56799
2020/01/01 04:00:00,-0.56209
2020/01/01 04:05:00,-0.55571
2020/01/01 04:10:00,-0.54665
2020/01/01 04:15:00,-0.53723
2020/01/01 04:20:00,-0.52508
2020/01/01 04:25:00,-0.51255
2020/01/01 04:30:00,-0.49792
2020/01/01 04:35:00,-0.4818
2020/01/01 04:40:00,-0.46477
2020/01/01 04:45:00,-0.44589
2020/01/01 04:50:00,-0.42604
2020/01/01 04:55:00,-0.40467
2020/01/01 05:00:00,-0.38219
2020/01/01 05:05:00,-0.35692
2020/01/01 05:10:00,-0.33144
2020/01/01 05:15:00,-0.30412
2020/01/01 05:20:00,-0.27663
2020/01/01 05:25:00,-0.24723
2020/01/01 05:30:00,-0.21733
2020/01/01 05:35:00,-0.18641
2020/01/01 05:40:00,-0.1547
2020/01/01 05:45:00,-0.122
2020/01/01 05:50:00,-0.088461
2020/01/01 05:55:00,-0.054639
2020/01/01 06:00:00,-0.019592
2020/01/01 06:05:00,0.015625
2020/01/01 06:10:00,0.051734
2020/01/01 06:15:00,0.08792
2020/01/01 06:20:00,0.12502
2020/01/01 06:25:00,0.16204
2020/01/01 06:30:00,0.19949
2020/01/01 06:35:00,0.23721
2020/01/01 06:40:00,0.27506
2020/01/01 06:45:00,0.3129
2020/01/01 06:50:00,0.35091
2020/01/01 06:55:00,0.38874
2020/01/01 07:00:00,0.42664
2020/01/01 07:05:00,0.46421
2020/01/01 07:10:00,0.50183
2020/01/01 07:15:00,0.53881
2020/01/01 07:20:00,0.57546
2020/01/01 07:25:00,0.61184
2020/01/01 07:30:00,0.64796
2020/01/01 07:35:00,0.68295
2020/01/01 07:40:00,0.71764
2020/01/01 07:45:00,0.75165
2020/01/01 07:50:00,0.78514
2020/01/01 07:55:00,0.8176
2020/01/01 08:00:00,0.84947
2020/01/01 08:05:00,0.88119
2020/01/01 08:10:00,0.91099
2020/01/01 08:15:00,0.94127
2020/01/01 08:20:00,0.97004
2020/01/01 08:25:00,0.99769
2020/01/01 08:30:00,1.0245
2020/01/01 08:35:00,1.0495
2020/01/01 08:40:00,1.074
2020/01/01 08:45:00,1.0968
2020/01/01 08:50:00,1.1186
2020/01/01 08:55:00,1.1379
2020/01/01 09:00:00,1.1564
2020/01/01 09:05:00,1.1726
2020/01/01 09:10:00,1.1879
2020/01/01 09:15:00,1.2009
2020/01/01 09:20:00,1.2126
2020/01/01 09:25:00,1.2238
2020/01/01 09:30:00,1.2323
2020/01/01 09:35:00,1.2401
2020/01/01 09:40:00,1.246
2020/01/01 09:45:00,1.2507
2020/01/01 09:50:00,1.2538
2020/01/01 09:55:00,1.2549
2020/01/01 10:00:00,1.2553
2020/01/01 10:05:00,1.2548
2020/01/01 10:10:00,1.2524
2020/01/01 10:15:00,1.2487
2020/01/01 10:20:00,1.2436
2020/01/01 10:25:00,1.2365
2020/01/01 10:30:00,1.2285
2020/01/01 10:35:00,1.2186
2020/01/01 10:40:00,1.2072
2020/01/01 10:45:00,1.1947
2020/01/01 10:50:00,1.1805
2020/01/01 10:55:00,1.1651
2020/01/01 11:00:00,1.1479
2020/01/01 11:05:00,1.1301
2020/01/01 11:10:00,1.1106
2020/01/01 11:15:00,1.0901
2020/01/01 11:20:00,1.0681
2020/01/01 11:25:00,1.0451
2020/01/01 11:30:00,1.0211
2020/01/01 11:35:00,0.99573
2020/01/01 11:40:00,0.96956
2020/01/01 11:45:00,0.9422
2020/01/01 11:50:00,0.91407
2020/01/01 11:55:00,0.88495
2020/01/01 12:00:00,0.85498
2020/01/01 12:05:00,0.82414
2020/01/01 12:10:00,0.79252
2020/01/01 12:15:00,0.76039
2020/01/01 12:20:00,0.72752
2020/01/01 12:25:00,0.69425
2020/01/01 12:30:00,0.66037
2020/01/01 12:35:00,0.62614
2020/01/01 12:40:00,0.59156
2020/01/01 12:45:00,0.5566
2020/01/01 12:50:00,0.5215
2020/01/01 12:55:00,0.48611
2020/01/01 13:00:00,0.45072
2020/01/01 13:05:00,0.41674
2020/01/01 13:10:00,0.38165
2020/01/01 13:15:00,0.34766
2020/01/01 13:20:00,0.31289
2020/01/01 13:25:00,0.27856
2020/01/01 13:30:00,0.24461
2020/01/01 13:35:00,0.21085
2020/01/01 13:40:00,0.17746
2020/01/01 13:45:00,0.14468
2020/01/01 13:50:00,0.11195
2020/01/01 13:55:00,0.080247
2020/01/01 14:00:00,0.04869
2020/01/01 14:05:00,0.016597
2020/01/01 14:10:00,-0.013817
2020/01/01 14:15:00,-0.044352
2020/01/01 14:20:00,-0.073183
2020/01/01 14:25:00,-0.10176
2020/01/01 14:30:00,-0.12919
2020/01/01 14:35:00,-0.15571
2020/01/01 14:40:00,-0.181
2020/01/01 14:45:00,-0.20546
2020/01/01 14:50:00,-0.22868
2020/01/01 14:55:00,-0.25096
2020/01/01 15:00:00,-0.27193
2020/01/01 15:05:00,-0.29016
2020/01/01 15:10:00,-0.30837
2020/01/01 15:15:00,-0.32438
2020/01/01 15:20:00,-0.3401
2020/01/01 15:25:00,-0.35373
2020/01/01 15:30:00,-0.36643
2020/01/01 15:35:00,-0.37783
2020/01/01 15:40:00,-0.38793
2020/01/01 15:45:00,-0.3964
2020/01/01 15:50:00,-0.40358
2020/01/01 15:55:00,-0.40951
2020/01/01 16:00:00,-0.41372
2020/01/01 16:05:00,-0.4185
2020/01/01 16:10:00,-0.42043
2020/01/01 16:15:00,-0.422
2020/01/01 16:20:00,-0.42114
2020/01/01 16:25:00,-0.41949
2020/01/01 16:30:00,-0.41625
2020/01/01 16:35:00,-0.41143
2020/01/01 16:40:00,-0.40529
2020/01/01 16:45:00,-0.39789
2020/01/01 16:50:00,-0.38916
2020/01/01 16:55:00,-0.37878
2020/01/01 17:00:00,-0.36752
2020/01/01 17:05:00,-0.35609
2020/01/01 17:10:00,-0.34271
2020/01/01 17:15:00,-0.32837
2020/01/01 17:20:00,-0.31254
2020/01/01 17:25:00,-0.29591
2020/01/01 17:30:00,-0.2778
2020/01/01 17:35:00,-0.25872
2020/01/01 17:40:00,-0.23837
2020/01/01 17:45:00,-0.21735
2020/01/01 17:50:00,-0.19517
2020/01/01 17:55:00,-0.17188
2020/01/01 18:00:00,-0.14812
2020/01/01 18:05:00,-0.12151
2020/01/01 18:10:00,-0.095639
2020/01/01 18:15:00,-0.067852
2020/01/01 18:20:00,-0.040359
2020/01/01 18:25:00,-0.011691
2020/01/01 18:30:00,0.01743
2020/01/01 18:35:00,0.04698
2020/01/01 18:40:00,0.076913
2020/01/01 18:45:00,0.10762
2020/01/01 18:50:00,0.13817
2020/01/01 18:55:00,0.16964
2020/01/01 19:00:00,0.20098
2020/01/01 19:05:00,0.23285
2020/01/01 19:10:00,0.26477
2020/01/01 19:15:00,0.29649
2020/01/01 19:20:00,0.32876
2020/01/01 19:25:00,0.36034
2020/01/01 19:30:00,0.39236
2020/01/01 19:35:00,0.4238
2020/01/01 19:40:00,0.45537
2020/01/01 19:45:00,0.48657
2020/01/01 19:50:00,0.51724
2020/01/01 19:55:00,0.54776
2020/01/01 20:00:00,0.57768
2020/01/01 20:05:00,0.6072
2020/01/01 20:10:00,0.63594
2020/01/01 20:15:00,0.66411
2020/01/01 20:20:00,0.69187
2020/01/01 20:25:00,0.71868
2020/01/01 20:30:00,0.74499
2020/01/01 20:35:00,0.77024
2020/01/01 20:40:00,0.79495
2020/01/01 20:45:00,0.81859
2020/01/01 20:50:00,0.84133
2020/01/01 20:55:00,0.8632
2020/01/01 21:00:00,0.88417
2020/01/01 21:05:00,0.90245
2020/01/01 21:10:00,0.92064
2020/01/01 21:15:00,0.93688
2020/01/01 21:20:00,0.95263
2020/01/01 21:25:00,0.96717
2020/01/01 21:30:00,0.98023
2020/01/01 21:35:00,0.99255
2020/01/01 21:40:00,1.0036
2020/01/01 21:45:00,1.0133
2020/01/01 21:50:00,1.0219
2020/01/01 21:55:00,1.0289
2020/01/01 22:00:00,1.0353
2020/01/01 22:05:00,1.041
2020/01/01 22:10:00,1.045
2020/01/01 22:15:00,1.0484
2020/01/01 22:20:00,1.0501
2020/01/01 22:25:00,1.0503
2020/01/01 22:30:00,1.0497
2020/01/01 22:35:00,1.0474
2020/01/01 22:40:00,1.0439
2020/01/01 22:45:00,1.0392
2020/01/01 22:50:00,1.033
2020/01/01 22:55:00,1.0259
2020/01/01 23:00:00,1.0171
2020/01/01 23:05:00,1.006
2020/01/01 23:10:00,0.99444
2020/01/01 23:15:00,0.98092
2020/01/01 23:20:00,0.9668
2020/01/01 23:25:00,0.95163
2020/01/01 23:30:00,0.93496
2020/01/01 23:35:00,0.91769
2020/01/01 23:40:00,0.89943
2020/01/01 23:45:00,0.88011
2020/01/01 23:50:00,0.85989
2020/01/01 23:55:00,0.83863
2020/01/02 00:00:00,0.81711
2020/01/02 00:05:00,0.79564
2020/01/02 00:10:00,0.77246
2020/01/02 00:15:00,0.7497
2020/01/02 00:20:00,0.72562
2020/01/02 00:25:00,0.70071
2020/01/02 00:30:00,0.67562
2020/01/02 00:35:00,0.64971
2020/01/02 00:40:00,0.62331
2020/01/02 00:45:00,0.59732
2020/01/02 00:50:00,0.57193
2020/01/02 00:55:00,0.55125
2020/01/02 01:00:00,0.55246
2020/01/02 01:05:00,0.56062
2020/01/02 01:10:00,0.54155
2020/01/02 01:15:00,0.53947
2020/01/02 01:20:00,0.48231
2020/01/02 01:25:00,0.48241
2020/01/02 01:30:00,0.53489
2020/01/02 01:35:00,0.70734
2020/01/02 01:40:00,0.771
2020/01/02 01:45:00,0.76694
2020/01/02 01:50:00,0.72743
2020/01/02 01:55:00,0.69425
2020/01/02 02:00:00,0.65333
2020/01/02 02:05:00,0.6315
2020/01/02 02:10:00,0.64299
2020/01/02 02:15:00,0.6746
2020/01/02 02:20:00,0.66099
2020/01/02 02:25:00,0.60579
2020/01/02 02:30:00,0.54635
2020/01/02 02:35:00,0.51354
2020/01/02 02:40:00,0.47992
2020/01/02 02:45:00,0.43525
2020/01/02 02:50:00,0.39096
2020/01/02 02:55:00,0.35654
2020/01/02 03:00:00,0.32604
2020/01/02 03:05:00,0.29199
2020/01/02 03:10:00,0.26371
2020/01/02 03:15:00,0.24698
2020/01/02 03:20:00,0.23247
2020/01/02 03:25:00,0.21767
2020/01/02 03:30:00,0.2031
2020/01/02 03:35:00,0.19289
2020/01/02 03:40:00,0.18182
2020/01/02 03:45:00,0.16761
2020/01/02 03:50:00,0.15504
2020/01/02 03:55:00,0.14626
2020/01/02 04:00:00,0.1383
2020/01/02 04:05:00,0.13381
2020/01/02 04:10:00,0.12841
2020/01/02 04:15:00,0.12971
2020/01/02 04:20:00,0.12993
2020/01/02 04:25:00,0.13165
2020/01/02 04:30:00,0.13509
2020/01/02 04:35:00,0.14047
2020/01/02 04:40:00,0.14699
2020/01/02 04:45:00,0.154
2020/01/02 04:50:00,0.16303
2020/01/02 04:55:00,0.17355
2020/01/02 05:00:00,0.18538
2020/01/02 05:05:00,0.19417
2020/01/02 05:10:00,0.20798
2020/01/02 05:15:00,0.21979
2020/01/02 05:20:00,0.23541
2020/01/02 05:25:00,0.25057
2020/01/02 05:30:00,0.26718
2020/01/02 05:35:00,0.2853
2020/01/02 05:40:00,0.30456
2020/01/02 05:45:00,0.32473
2020/01/02 05:50:00,0.34609
2020/01/02 05:55:00,0.36882
2020/01/02 06:00:00,0.39265
2020/01/02 06:05:00,0.41787
2020/01/02 06:10:00,0.44375
2020/01/02 06:15:00,0.47124
2020/01/02 06:20:00,0.49928
2020/01/02 06:25:00,0.52867
2020/01/02 06:30:00,0.55877
2020/01/02 06:35:00,0.58997
2020/01/02 06:40:00,0.62168
2020/01/02 06:45:00,0.65423
2020/01/02 06:50:00,0.68692
2020/01/02 06:55:00,0.72024
2020/01/02 07:00:00,0.7539
2020/01/02 07:05:00,0.78512
2020/01/02 07:10:00,0.81737
2020/01/02 07:15:00,0.84838
2020/01/02 07:20:00,0.88032
2020/01/02 07:25:00,0.91152
2020/01/02 07:30:00,0.943
2020/01/02 07:35:00,0.97516
2020/01/02 07:40:00,1.0074
2020/01/02 07:45:00,1.04
2020/01/02 07:50:00,1.0732
2020/01/02 07:55:00,1.107
2020/01/02 08:00:00,1.1409
2020/01/02 08:05:00,1.1749
2020/01/02 08:10:00,1.2088
2020/01/02 08:15:00,1.2416
2020/01/02 08:20:00,1.2739
2020/01/02 08:25:00,1.3057
2020/01/02 08:30:00,1.3363
2020/01/02 08:35:00,1.3668
2020/01/02 08:40:00,1.3966
2020/01/02 08:45:00,1.426
2020/01/02 08:50:00,1.4542
2020/01/02 08:55:00,1.4816
2020/01/02 09:00:00,1.5083
2020/01/02 09:05:00,1.5304
2020/01/02 09:10:00,1.5547
2020/01/02 09:15:00,1.5752
2020/01/02 09:20:00,1.597
2020/01/02 09:25:00,1.6162
2020/01/02 09:30:00,1.6349
2020/01/02 09:35:00,1.6523
2020/01/02 09:40:00,1.6687
2020/01/02 09:45:00,1.6831
2020/01/02 09:50:00,1.6962
2020/01/02 09:55:00,1.7079
2020/01/02 10:00:00,1.7189
2020/01/02 10:05:00,1.7281
2020/01/02 10:10:00,1.7366
2020/01/02 10:15:00,1.7429
2020/01/02 10:20:00,1.7481
2020/01/02 10:25:00,1.7513
2020/01/02 10:30:00,1.7533
2020/01/02 10:35:00,1.754
2020/01/02 10:40:00,1.7535
2020/01/02 10:45:00,1.7516
2020/01/02 10:50:00,1.7481
2020/01/02 10:55:00,1.7432
2020/01/02 11:00:00,1.7366
2020/01/02 11:05:00,1.7285
2020/01/02 11:10:00,1.719
2020/01/02 11:15:00,1.7081
2020/01/02 11:20:00,1.696
2020/01/02 11:25:00,1.6825
2020/01/02 11:30:00,1.6677
2020/01/02 11:35:00,1.6514
2020/01/02 11:40:00,1.6337
2020/01/02 11:45:00,1.6147
2020/01/02 11:50:00,1.5941
2020/01/02 11:55:00,1.5726
2020/01/02 12:00:00,1.55
2020/01/02 12:05:00,1.5282
2020/01/02 12:10:00,1.5033
2020/01/02 12:15:00,1.4787
2020/01/02 12:20:00,1.4516
2020/01/02 12:25:00,1.4242
2020/01/02 12:30:00,1.3958
2020/01/02 12:35:00,1.3664
2020/01/02 12:40:00,1.3366
2020/01/02 12:45:00,1.3057
2020/01/02 12:50:00,1.2744
2020/01/02 12:55:00,1.2423
2020/01/02 13:00:00,1.2094
2020/01/02 13:05:00,1.1759
2020/01/02 13:10:00,1.1416
2020/01/02 13:15:00,1.1072
2020/01/02 13:20:00,1.0722
2020/01/02 13:25:00,1.037
2020/01/02 13:30:00,1.0015
2020/01/02 13:35:00,0.96553
2020/01/02 13:40:00,0.92941
2020/01/02 13:45:00,0.89309
2020/01/02 13:50:00,0.85669
2020/01/02 13:55:00,0.82036
2020/01/02 14:00:00,0.78411
2020/01/02 14:05:00,0.74972
2020/01/02 14:10:00,0.71409
2020/01/02 14:15:00,0.67993
2020/01/02 14:20:00,0.64502
2020/01/02 14:25:00,0.61055
2020/01/02 14:30:00,0.57625
2020/01/02 14:35:00,0.54225
2020/01/02 14:40:00,0.50906
2020/01/02 14:45:00,0.47633
2020/01/02 14:50:00,0.4443
2020/01/02 14:55:00,0.41287
2020/01/02 15:00:00,0.38197
2020/01/02 15:05:00,0.3521
2020/01/02 15:10:00,0.32292
2020/01/02 15:15:00,0.29445
2020/01/02 15:20:00,0.26706
2020/01/02 15:25:00,0.24039
2020/01/02 15:30:00,0.21477
2020/01/02 15:35:00,0.18997
2020/01/02 15:40:00,0.16638
2020/01/02 15:45:00,0.14372
2020/01/02 15:50:00,0.12213
2020/01/02 15:55:00,0.1017
2020/01/02 16:00:00,0.082409
2020/01/02 16:05:00,0.062684
2020/01/02 16:10:00,0.0455
2020/01/02 16:15:00,0.02825
2020/01/02 16:20:00,0.013306
2020/01/02 16:25:00,-0.0009033
2020/01/02 16:30:00,-0.013586
2020/01/02 16:35:00,-0.024878
2020/01/02 16:40:00,-0.034797
2020/01/02 16:45:00,-0.043425
2020/01/02 16:50:00,-0.050824
2020/01/02 16:55:00,-0.056583
2020/01/02 17:00:00,-0.061337
2020/01/02 17:05:00,-0.062795
2020/01/02 17:10:00,-0.064384
2020/01/02 17:15:00,-0.063053
2020/01/02 17:20:00,-0.061776
2020/01/02 17:25:00,-0.058343
2020/01/02 17:30:00,-0.054022
