Time [yyyy/MM/dd HH:mm:ss],Husavik: water level (waterlevel) at Husavik_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,7.624E-46
2019/12/01 00:10:00,6.6426E-37
2019/12/01 00:15:00,1.8624E-30
2019/12/01 00:20:00,3.5026E-25
2019/12/01 00:25:00,1.0033E-20
2019/12/01 00:30:00,6.4732E-17
2019/12/01 00:35:00,1.1766E-13
2019/12/01 00:40:00,6.9282E-11
2019/12/01 00:45:00,1.448E-08
2019/12/01 00:50:00,1.1459E-06
2019/12/01 00:55:00,3.6464E-05
2019/12/01 01:00:00,0.0005122
2019/12/01 01:05:00,0.003771
2019/12/01 01:10:00,0.017661
2019/12/01 01:15:00,0.05615
2019/12/01 01:20:00,0.12293
2019/12/01 01:25:00,0.2039
2019/12/01 01:30:00,0.28672
2019/12/01 01:35:00,0.35751
2019/12/01 01:40:00,0.41545
2019/12/01 01:45:00,0.47197
2019/12/01 01:50:00,0.53139
2019/12/01 01:55:00,0.59256
2019/12/01 02:00:00,0.64649
2019/12/01 02:05:00,0.68436
2019/12/01 02:10:00,0.69104
2019/12/01 02:15:00,0.65455
2019/12/01 02:20:00,0.57643
2019/12/01 02:25:00,0.47594
2019/12/01 02:30:00,0.38285
2019/12/01 02:35:00,0.31276
2019/12/01 02:40:00,0.26432
2019/12/01 02:45:00,0.22692
2019/12/01 02:50:00,0.18526
2019/12/01 02:55:00,0.14608
2019/12/01 03:00:00,0.11865
2019/12/01 03:05:00,0.097968
2019/12/01 03:10:00,0.075527
2019/12/01 03:15:00,0.04731
2019/12/01 03:20:00,0.022511
2019/12/01 03:25:00,0.0067492
2019/12/01 03:30:00,-0.0038628
2019/12/01 03:35:00,-0.016712
2019/12/01 03:40:00,-0.030965
2019/12/01 03:45:00,-0.037396
2019/12/01 03:50:00,-0.032396
2019/12/01 03:55:00,-0.015587
2019/12/01 04:00:00,0.013582
2019/12/01 04:05:00,0.05147
2019/12/01 04:10:00,0.093737
