Time [yyyy/MM/dd HH:mm:ss],Husavik: water level (waterlevel) at Husavik_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,-8.1494E-45
2019/01/01 00:10:00,-7.046E-36
2019/01/01 00:15:00,-1.958E-29
2019/01/01 00:20:00,-3.6441E-24
2019/01/01 00:25:00,-1.0309E-19
2019/01/01 00:30:00,-6.5508E-16
2019/01/01 00:35:00,-1.1683E-12
2019/01/01 00:40:00,-6.7125E-10
2019/01/01 00:45:00,-1.357E-07
2019/01/01 00:50:00,-1.0231E-05
2019/01/01 00:55:00,-0.00030119
2019/01/01 01:00:00,-0.0036812
2019/01/01 01:05:00,-0.021192
2019/01/01 01:10:00,-0.071296
2019/01/01 01:15:00,-0.17116
2019/01/01 01:20:00,-0.31987
2019/01/01 01:25:00,-0.48471
2019/01/01 01:30:00,-0.62121
2019/01/01 01:35:00,-0.7079
2019/01/01 01:40:00,-0.75287
2019/01/01 01:45:00,-0.7719
2019/01/01 01:50:00,-0.79148
2019/01/01 01:55:00,-0.80929
2019/01/01 02:00:00,-0.80171
2019/01/01 02:05:00,-0.77159
2019/01/01 02:10:00,-0.70669
2019/01/01 02:15:00,-0.59193
2019/01/01 02:20:00,-0.43722
2019/01/01 02:25:00,-0.26547
2019/01/01 02:30:00,-0.11817
2019/01/01 02:35:00,-0.013319
2019/01/01 02:40:00,0.054576
2019/01/01 02:45:00,0.095868
2019/01/01 02:50:00,0.14706
2019/01/01 02:55:00,0.20421
2019/01/01 03:00:00,0.22959
2019/01/01 03:05:00,0.25326
2019/01/01 03:10:00,0.28355
2019/01/01 03:15:00,0.30562
2019/01/01 03:20:00,0.33277
2019/01/01 03:25:00,0.34571
2019/01/01 03:30:00,0.35011
2019/01/01 03:35:00,0.35
2019/01/01 03:40:00,0.32957
2019/01/01 03:45:00,0.27975
2019/01/01 03:50:00,0.19856
2019/01/01 03:55:00,0.098767
2019/01/01 04:00:00,-0.008443
2019/01/01 04:05:00,-0.10657
2019/01/01 04:10:00,-0.18205
2019/01/01 04:15:00,-0.24093
2019/01/01 04:20:00,-0.27883
2019/01/01 04:25:00,-0.29883
2019/01/01 04:30:00,-0.31353
2019/01/01 04:35:00,-0.32607
2019/01/01 04:40:00,-0.32913
2019/01/01 04:45:00,-0.3047
2019/01/01 04:50:00,-0.24317
2019/01/01 04:55:00,-0.14894
2019/01/01 05:00:00,-0.03626
2019/01/01 05:05:00,0.080114
2019/01/01 05:10:00,0.1908
2019/01/01 05:15:00,0.28815
2019/01/01 05:20:00,0.36908
2019/01/01 05:25:00,0.43277
2019/01/01 05:30:00,0.48722
2019/01/01 05:35:00,0.54181
2019/01/01 05:40:00,0.59259
2019/01/01 05:45:00,0.6426
2019/01/01 05:50:00,0.69072
2019/01/01 05:55:00,0.72834
2019/01/01 06:00:00,0.75813
2019/01/01 06:05:00,0.77648
2019/01/01 06:10:00,0.77508
2019/01/01 06:15:00,0.75421
2019/01/01 06:20:00,0.71279
2019/01/01 06:25:00,0.65078
2019/01/01 06:30:00,0.57339
2019/01/01 06:35:00,0.48465
2019/01/01 06:40:00,0.39137
2019/01/01 06:45:00,0.30062
2019/01/01 06:50:00,0.21646
2019/01/01 06:55:00,0.14023
2019/01/01 07:00:00,0.073697
