Time [yyyy/MM/dd HH:mm:ss],Hofn: water level (waterlevel) at Hofn_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-3.02E-39
2019/12/01 00:10:00,-2.9471E-30
2019/12/01 00:15:00,-4.2458E-24
2019/12/01 00:20:00,-3.9352E-19
2019/12/01 00:25:00,-5.296E-15
2019/12/01 00:30:00,-1.5149E-11
2019/12/01 00:35:00,-1.1373E-08
2019/12/01 00:40:00,-2.537E-06
2019/12/01 00:45:00,-0.00018115
2019/12/01 00:50:00,-0.0043651
2019/12/01 00:55:00,-0.038224
2019/12/01 01:00:00,-0.14311
2019/12/01 01:05:00,-0.29897
2019/12/01 01:10:00,-0.46269
2019/12/01 01:15:00,-0.60497
2019/12/01 01:20:00,-0.69553
2019/12/01 01:25:00,-0.78064
2019/12/01 01:30:00,-0.87006
2019/12/01 01:35:00,-0.96856
2019/12/01 01:40:00,-1.0941
2019/12/01 01:45:00,-1.1813
2019/12/01 01:50:00,-1.1921
2019/12/01 01:55:00,-1.1277
2019/12/01 02:00:00,-0.9499
2019/12/01 02:05:00,-0.71062
2019/12/01 02:10:00,-0.50103
2019/12/01 02:15:00,-0.32032
2019/12/01 02:20:00,-0.20082
2019/12/01 02:25:00,-0.066474
2019/12/01 02:30:00,0.08521
2019/12/01 02:35:00,0.21457
2019/12/01 02:40:00,0.32669
2019/12/01 02:45:00,0.33855
2019/12/01 02:50:00,0.25741
2019/12/01 02:55:00,0.17539
2019/12/01 03:00:00,0.14065
2019/12/01 03:05:00,0.12118
2019/12/01 03:10:00,0.070794
2019/12/01 03:15:00,-0.014378
2019/12/01 03:20:00,-0.14507
2019/12/01 03:25:00,-0.29478
2019/12/01 03:30:00,-0.40843
2019/12/01 03:35:00,-0.42824
2019/12/01 03:40:00,-0.36867
2019/12/01 03:45:00,-0.27362
2019/12/01 03:50:00,-0.18631
2019/12/01 03:55:00,-0.13055
2019/12/01 04:00:00,-0.10602
2019/12/01 04:05:00,-0.10385
2019/12/01 04:10:00,-0.10057
2019/12/01 04:15:00,-0.067352
2019/12/01 04:20:00,0.016808
2019/12/01 04:25:00,0.14996
2019/12/01 04:30:00,0.29965
2019/12/01 04:35:00,0.41153
2019/12/01 04:40:00,0.45539
2019/12/01 04:45:00,0.44246
2019/12/01 04:50:00,0.41833
2019/12/01 04:55:00,0.43223
2019/12/01 05:00:00,0.51057
2019/12/01 05:05:00,0.63545
2019/12/01 05:10:00,0.76915
2019/12/01 05:15:00,0.87691
2019/12/01 05:20:00,0.9358
2019/12/01 05:25:00,0.94776
2019/12/01 05:30:00,0.92598
2019/12/01 05:35:00,0.89211
2019/12/01 05:40:00,0.86387
2019/12/01 05:45:00,0.84903
2019/12/01 05:50:00,0.83188
2019/12/01 05:55:00,0.8042
2019/12/01 06:00:00,0.77511
2019/12/01 06:05:00,0.74863
2019/12/01 06:10:00,0.71414
2019/12/01 06:15:00,0.65857
2019/12/01 06:20:00,0.58968
2019/12/01 06:25:00,0.53265
2019/12/01 06:30:00,0.50675
2019/12/01 06:35:00,0.51899
2019/12/01 06:40:00,0.57086
2019/12/01 06:45:00,0.65197
2019/12/01 06:50:00,0.73543
2019/12/01 06:55:00,0.80115
2019/12/01 07:00:00,0.84654
2019/12/01 07:05:00,0.88879
2019/12/01 07:10:00,0.94629
2019/12/01 07:15:00,1.0209
2019/12/01 07:20:00,1.1036
2019/12/01 07:25:00,1.1928
2019/12/01 07:30:00,1.2824
2019/12/01 07:35:00,1.3502
2019/12/01 07:40:00,1.3765
2019/12/01 07:45:00,1.3601
2019/12/01 07:50:00,1.3161
2019/12/01 07:55:00,1.2673
2019/12/01 08:00:00,1.2328
2019/12/01 08:05:00,1.2194
2019/12/01 08:10:00,1.2072
2019/12/01 08:15:00,1.1729
2019/12/01 08:20:00,1.0997
2019/12/01 08:25:00,0.98294
2019/12/01 08:30:00,0.83029
2019/12/01 08:35:00,0.66453
2019/12/01 08:40:00,0.509
2019/12/01 08:45:00,0.38185
2019/12/01 08:50:00,0.30207
2019/12/01 08:55:00,0.27015
2019/12/01 09:00:00,0.2666
2019/12/01 09:05:00,0.27329
2019/12/01 09:10:00,0.28972
2019/12/01 09:15:00,0.3299
2019/12/01 09:20:00,0.40836
2019/12/01 09:25:00,0.5302
2019/12/01 09:30:00,0.67569
2019/12/01 09:35:00,0.81073
2019/12/01 09:40:00,0.90795
2019/12/01 09:45:00,0.96013
2019/12/01 09:50:00,0.97344
2019/12/01 09:55:00,0.96011
2019/12/01 10:00:00,0.93486
2019/12/01 10:05:00,0.90401
2019/12/01 10:10:00,0.8634
2019/12/01 10:15:00,0.80463
2019/12/01 10:20:00,0.71557
2019/12/01 10:25:00,0.59719
2019/12/01 10:30:00,0.45539
2019/12/01 10:35:00,0.29787
2019/12/01 10:40:00,0.13048
2019/12/01 10:45:00,-0.037208
2019/12/01 10:50:00,-0.19404
2019/12/01 10:55:00,-0.32855
2019/12/01 11:00:00,-0.43357
2019/12/01 11:05:00,-0.50811
2019/12/01 11:10:00,-0.55308
2019/12/01 11:15:00,-0.56909
2019/12/01 11:20:00,-0.55952
2019/12/01 11:25:00,-0.52784
2019/12/01 11:30:00,-0.47506
2019/12/01 11:35:00,-0.40035
2019/12/01 11:40:00,-0.30654
2019/12/01 11:45:00,-0.20138
2019/12/01 11:50:00,-0.097543
2019/12/01 11:55:00,-0.0089944
2019/12/01 12:00:00,0.055375
2019/12/01 12:05:00,0.091506
2019/12/01 12:10:00,0.094158
2019/12/01 12:15:00,0.071896
2019/12/01 12:20:00,0.03923
2019/12/01 12:25:00,-0.00012089
2019/12/01 12:30:00,-0.055067
2019/12/01 12:35:00,-0.13352
2019/12/01 12:40:00,-0.24297
2019/12/01 12:45:00,-0.38025
2019/12/01 12:50:00,-0.53733
2019/12/01 12:55:00,-0.70092
2019/12/01 13:00:00,-0.85001
2019/12/01 13:05:00,-0.96689
2019/12/01 13:10:00,-1.0429
2019/12/01 13:15:00,-1.0768
2019/12/01 13:20:00,-1.0726
2019/12/01 13:25:00,-1.0415
2019/12/01 13:30:00,-0.99829
2019/12/01 13:35:00,-0.95255
