Time [yyyy/MM/dd HH:mm:ss],Mjoeyrarhofn: water level (waterlevel) at Mjoeyrarhofn_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-6.4429E-39
2019/12/01 00:10:00,-3.2516E-30
2019/12/01 00:15:00,-4.4878E-24
2019/12/01 00:20:00,-3.9595E-19
2019/12/01 00:25:00,-5.0333E-15
2019/12/01 00:30:00,-1.3499E-11
2019/12/01 00:35:00,-9.435E-09
2019/12/01 00:40:00,-1.9453E-06
2019/12/01 00:45:00,-0.00012714
2019/12/01 00:50:00,-0.0027559
2019/12/01 00:55:00,-0.021043
2019/12/01 01:00:00,-0.0671
2019/12/01 01:05:00,-0.12391
2019/12/01 01:10:00,-0.18256
2019/12/01 01:15:00,-0.26869
2019/12/01 01:20:00,-0.36478
2019/12/01 01:25:00,-0.41747
2019/12/01 01:30:00,-0.44167
2019/12/01 01:35:00,-0.48307
2019/12/01 01:40:00,-0.50527
2019/12/01 01:45:00,-0.47504
2019/12/01 01:50:00,-0.43139
2019/12/01 01:55:00,-0.38821
2019/12/01 02:00:00,-0.30543
2019/12/01 02:05:00,-0.18466
2019/12/01 02:10:00,-0.0593
2019/12/01 02:15:00,0.060335
2019/12/01 02:20:00,0.17289
2019/12/01 02:25:00,0.2658
2019/12/01 02:30:00,0.34565
2019/12/01 02:35:00,0.42451
2019/12/01 02:40:00,0.48271
2019/12/01 02:45:00,0.51543
2019/12/01 02:50:00,0.55988
2019/12/01 02:55:00,0.61503
2019/12/01 03:00:00,0.63307
2019/12/01 03:05:00,0.61156
2019/12/01 03:10:00,0.59716
2019/12/01 03:15:00,0.60255
2019/12/01 03:20:00,0.59445
2019/12/01 03:25:00,0.56671
2019/12/01 03:30:00,0.54756
2019/12/01 03:35:00,0.53488
2019/12/01 03:40:00,0.48255
2019/12/01 03:45:00,0.36362
2019/12/01 03:50:00,0.21107
2019/12/01 03:55:00,0.076577
2019/12/01 04:00:00,-0.039201
2019/12/01 04:05:00,-0.1773
