Time [yyyy/MM/dd HH:mm:ss],Hofn: water level (waterlevel) at Hofn_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,2.6314E-39
2019/01/01 00:10:00,2.5802E-30
2019/01/01 00:15:00,3.7202E-24
2019/01/01 00:20:00,3.4506E-19
2019/01/01 00:25:00,4.6468E-15
2019/01/01 00:30:00,1.3298E-11
2019/01/01 00:35:00,9.9871E-09
2019/01/01 00:40:00,2.2277E-06
2019/01/01 00:45:00,0.00015898
2019/01/01 00:50:00,0.0038286
2019/01/01 00:55:00,0.033523
2019/01/01 01:00:00,0.12455
2019/01/01 01:05:00,0.25495
2019/01/01 01:10:00,0.38628
2019/01/01 01:15:00,0.48857
2019/01/01 01:20:00,0.54484
2019/01/01 01:25:00,0.60089
2019/01/01 01:30:00,0.66022
2019/01/01 01:35:00,0.74228
2019/01/01 01:40:00,0.81958
2019/01/01 01:45:00,0.85189
2019/01/01 01:50:00,0.82389
2019/01/01 01:55:00,0.74159
2019/01/01 02:00:00,0.59081
2019/01/01 02:05:00,0.40495
2019/01/01 02:10:00,0.21901
2019/01/01 02:15:00,0.059696
2019/01/01 02:20:00,-0.054712
2019/01/01 02:25:00,-0.16008
2019/01/01 02:30:00,-0.24374
2019/01/01 02:35:00,-0.30998
2019/01/01 02:40:00,-0.36312
2019/01/01 02:45:00,-0.35263
2019/01/01 02:50:00,-0.27635
2019/01/01 02:55:00,-0.18012
2019/01/01 03:00:00,-0.10633
2019/01/01 03:05:00,-0.066718
2019/01/01 03:10:00,-0.034557
2019/01/01 03:15:00,0.025923
2019/01/01 03:20:00,0.12721
2019/01/01 03:25:00,0.23199
2019/01/01 03:30:00,0.29719
2019/01/01 03:35:00,0.28613
2019/01/01 03:40:00,0.19553
2019/01/01 03:45:00,0.073874
2019/01/01 03:50:00,-0.033962
2019/01/01 03:55:00,-0.10293
2019/01/01 04:00:00,-0.13195
2019/01/01 04:05:00,-0.1335
2019/01/01 04:10:00,-0.1329
2019/01/01 04:15:00,-0.1593
2019/01/01 04:20:00,-0.22642
2019/01/01 04:25:00,-0.32094
2019/01/01 04:30:00,-0.41137
2019/01/01 04:35:00,-0.46581
2019/01/01 04:40:00,-0.46575
2019/01/01 04:45:00,-0.41738
2019/01/01 04:50:00,-0.3572
2019/01/01 04:55:00,-0.33637
2019/01/01 05:00:00,-0.38387
2019/01/01 05:05:00,-0.48553
2019/01/01 05:10:00,-0.59847
2019/01/01 05:15:00,-0.68147
2019/01/01 05:20:00,-0.72118
2019/01/01 05:25:00,-0.71596
2019/01/01 05:30:00,-0.67626
2019/01/01 05:35:00,-0.62847
2019/01/01 05:40:00,-0.60819
2019/01/01 05:45:00,-0.61632
2019/01/01 05:50:00,-0.63257
2019/01/01 05:55:00,-0.64078
2019/01/01 06:00:00,-0.64301
2019/01/01 06:05:00,-0.63892
2019/01/01 06:10:00,-0.61848
2019/01/01 06:15:00,-0.57822
2019/01/01 06:20:00,-0.52311
2019/01/01 06:25:00,-0.46932
2019/01/01 06:30:00,-0.43653
2019/01/01 06:35:00,-0.43847
2019/01/01 06:40:00,-0.47741
2019/01/01 06:45:00,-0.53681
2019/01/01 06:50:00,-0.58319
2019/01/01 06:55:00,-0.59332
2019/01/01 07:00:00,-0.57118
2019/01/01 07:05:00,-0.53985
2019/01/01 07:10:00,-0.53124
2019/01/01 07:15:00,-0.56189
2019/01/01 07:20:00,-0.62554
2019/01/01 07:25:00,-0.70796
2019/01/01 07:30:00,-0.79072
2019/01/01 07:35:00,-0.85105
2019/01/01 07:40:00,-0.87333
2019/01/01 07:45:00,-0.8595
2019/01/01 07:50:00,-0.82332
2019/01/01 07:55:00,-0.78678
2019/01/01 08:00:00,-0.77641
2019/01/01 08:05:00,-0.79513
2019/01/01 08:10:00,-0.81888
2019/01/01 08:15:00,-0.80867
2019/01/01 08:20:00,-0.74312
2019/01/01 08:25:00,-0.618
2019/01/01 08:30:00,-0.45188
2019/01/01 08:35:00,-0.28743
2019/01/01 08:40:00,-0.15377
2019/01/01 08:45:00,-0.063103
2019/01/01 08:50:00,-0.011097
2019/01/01 08:55:00,0.015618
2019/01/01 09:00:00,0.046546
2019/01/01 09:05:00,0.072657
2019/01/01 09:10:00,0.086802
2019/01/01 09:15:00,0.070232
2019/01/01 09:20:00,0.0014083
2019/01/01 09:25:00,-0.11667
2019/01/01 09:30:00,-0.25765
2019/01/01 09:35:00,-0.38616
2019/01/01 09:40:00,-0.46656
2019/01/01 09:45:00,-0.49228
