Time [yyyy/MM/dd HH:mm:ss],Mjoeyrarhofn: water level (waterlevel) at Mjoeyrarhofn_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,7.869E-40
2019/01/01 00:10:00,3.9459E-31
2019/01/01 00:15:00,5.4057E-25
2019/01/01 00:20:00,4.7257E-20
2019/01/01 00:25:00,5.9381E-16
2019/01/01 00:30:00,1.5686E-12
2019/01/01 00:35:00,1.0739E-09
2019/01/01 00:40:00,2.1485E-07
2019/01/01 00:45:00,1.3387E-05
2019/01/01 00:50:00,0.00026637
2019/01/01 00:55:00,0.0016986
2019/01/01 01:00:00,0.0034359
2019/01/01 01:05:00,0.00058926
2019/01/01 01:10:00,-0.008678
2019/01/01 01:15:00,-0.017912
2019/01/01 01:20:00,-0.021904
2019/01/01 01:25:00,-0.020287
2019/01/01 01:30:00,-0.0068418
2019/01/01 01:35:00,0.0247
2019/01/01 01:40:00,0.063012
2019/01/01 01:45:00,0.097695
2019/01/01 01:50:00,0.13284
2019/01/01 01:55:00,0.16641
2019/01/01 02:00:00,0.17801
2019/01/01 02:05:00,0.15202
2019/01/01 02:10:00,0.098095
2019/01/01 02:15:00,0.033869
2019/01/01 02:20:00,-0.043852
2019/01/01 02:25:00,-0.14867
2019/01/01 02:30:00,-0.27629
2019/01/01 02:35:00,-0.40065
2019/01/01 02:40:00,-0.49655
2019/01/01 02:45:00,-0.56357
2019/01/01 02:50:00,-0.61727
2019/01/01 02:55:00,-0.65469
2019/01/01 03:00:00,-0.6519
2019/01/01 03:05:00,-0.61001
2019/01/01 03:10:00,-0.56284
2019/01/01 03:15:00,-0.52684
2019/01/01 03:20:00,-0.4884
2019/01/01 03:25:00,-0.44616
2019/01/01 03:30:00,-0.41704
2019/01/01 03:35:00,-0.39698
2019/01/01 03:40:00,-0.35415
2019/01/01 03:45:00,-0.27365
2019/01/01 03:50:00,-0.18135
2019/01/01 03:55:00,-0.10779
2019/01/01 04:00:00,-0.039095
2019/01/01 04:05:00,0.062194
2019/01/01 04:10:00,0.18348
2019/01/01 04:15:00,0.26181
2019/01/01 04:20:00,0.26582
2019/01/01 04:25:00,0.22468
2019/01/01 04:30:00,0.15392
2019/01/01 04:35:00,0.014944
2019/01/01 04:40:00,-0.22628
2019/01/01 04:45:00,-0.54073
2019/01/01 04:50:00,-0.86197
2019/01/01 04:55:00,-1.1316
2019/01/01 05:00:00,-1.3215
2019/01/01 05:05:00,-1.4208
2019/01/01 05:10:00,-1.4154
2019/01/01 05:15:00,-1.2946
2019/01/01 05:20:00,-1.0751
2019/01/01 05:25:00,-0.79978
2019/01/01 05:30:00,-0.51139
2019/01/01 05:35:00,-0.25241
2019/01/01 05:40:00,-0.053126
2019/01/01 05:45:00,0.084919
2019/01/01 05:50:00,0.15871
2019/01/01 05:55:00,0.20675
2019/01/01 06:00:00,0.24049
2019/01/01 06:05:00,0.23613
2019/01/01 06:10:00,0.19004
2019/01/01 06:15:00,0.12034
2019/01/01 06:20:00,0.050112
2019/01/01 06:25:00,-0.035096
2019/01/01 06:30:00,-0.13896
2019/01/01 06:35:00,-0.24659
2019/01/01 06:40:00,-0.32723
2019/01/01 06:45:00,-0.36192
2019/01/01 06:50:00,-0.36604
2019/01/01 06:55:00,-0.36627
2019/01/01 07:00:00,-0.38521
2019/01/01 07:05:00,-0.41634
2019/01/01 07:10:00,-0.4364
2019/01/01 07:15:00,-0.43708
2019/01/01 07:20:00,-0.43225
2019/01/01 07:25:00,-0.4259
2019/01/01 07:30:00,-0.40987
2019/01/01 07:35:00,-0.38112
2019/01/01 07:40:00,-0.34291
2019/01/01 07:45:00,-0.29562
2019/01/01 07:50:00,-0.23447
2019/01/01 07:55:00,-0.15612
2019/01/01 08:00:00,-0.058212
2019/01/01 08:05:00,0.060903
2019/01/01 08:10:00,0.19532
2019/01/01 08:15:00,0.32628
2019/01/01 08:20:00,0.43066
2019/01/01 08:25:00,0.49691
2019/01/01 08:30:00,0.529
2019/01/01 08:35:00,0.53333
2019/01/01 08:40:00,0.5096
2019/01/01 08:45:00,0.4598
2019/01/01 08:50:00,0.39827
2019/01/01 08:55:00,0.33574
2019/01/01 09:00:00,0.26885
2019/01/01 09:05:00,0.19275
2019/01/01 09:10:00,0.10827
2019/01/01 09:15:00,0.016631
2019/01/01 09:20:00,-0.080727
2019/01/01 09:25:00,-0.17012
2019/01/01 09:30:00,-0.22969
2019/01/01 09:35:00,-0.24383
2019/01/01 09:40:00,-0.20665
2019/01/01 09:45:00,-0.12122
2019/01/01 09:50:00,-0.0013143
2019/01/01 09:55:00,0.13729
2019/01/01 10:00:00,0.28516
2019/01/01 10:05:00,0.43081
2019/01/01 10:10:00,0.55471
2019/01/01 10:15:00,0.63883
2019/01/01 10:20:00,0.68346
2019/01/01 10:25:00,0.69473
2019/01/01 10:30:00,0.67155
2019/01/01 10:35:00,0.61387
2019/01/01 10:40:00,0.52738
2019/01/01 10:45:00,0.417
2019/01/01 10:50:00,0.29676
2019/01/01 10:55:00,0.19834
2019/01/01 11:00:00,0.13861
2019/01/01 11:05:00,0.11492
2019/01/01 11:10:00,0.13092
2019/01/01 11:15:00,0.19316
2019/01/01 11:20:00,0.29084
2019/01/01 11:25:00,0.40167
2019/01/01 11:30:00,0.50517
2019/01/01 11:35:00,0.58731
2019/01/01 11:40:00,0.63819
2019/01/01 11:45:00,0.65134
2019/01/01 11:50:00,0.62645
2019/01/01 11:55:00,0.56774
2019/01/01 12:00:00,0.47793
2019/01/01 12:05:00,0.35888
2019/01/01 12:10:00,0.21829
2019/01/01 12:15:00,0.069518
2019/01/01 12:20:00,-0.073529
2019/01/01 12:25:00,-0.19462
2019/01/01 12:30:00,-0.27542
2019/01/01 12:35:00,-0.3029
2019/01/01 12:40:00,-0.27228
2019/01/01 12:45:00,-0.18619
2019/01/01 12:50:00,-0.056742
2019/01/01 12:55:00,0.09776
2019/01/01 13:00:00,0.25636
2019/01/01 13:05:00,0.39781
2019/01/01 13:10:00,0.50676
2019/01/01 13:15:00,0.57609
2019/01/01 13:20:00,0.60424
2019/01/01 13:25:00,0.59252
2019/01/01 13:30:00,0.54702
2019/01/01 13:35:00,0.47222
2019/01/01 13:40:00,0.37324
2019/01/01 13:45:00,0.26146
2019/01/01 13:50:00,0.15005
2019/01/01 13:55:00,0.045568
2019/01/01 14:00:00,-0.053928
2019/01/01 14:05:00,-0.1431
2019/01/01 14:10:00,-0.21116
2019/01/01 14:15:00,-0.25977
2019/01/01 14:20:00,-0.29913
2019/01/01 14:25:00,-0.33579
2019/01/01 14:30:00,-0.37141
2019/01/01 14:35:00,-0.40726
2019/01/01 14:40:00,-0.44263
2019/01/01 14:45:00,-0.47077
2019/01/01 14:50:00,-0.48664
2019/01/01 14:55:00,-0.48889
2019/01/01 15:00:00,-0.47301
2019/01/01 15:05:00,-0.4339
2019/01/01 15:10:00,-0.37658
2019/01/01 15:15:00,-0.31156
2019/01/01 15:20:00,-0.24343
2019/01/01 15:25:00,-0.17213
2019/01/01 15:30:00,-0.097114
2019/01/01 15:35:00,-0.018309
2019/01/01 15:40:00,0.062248
2019/01/01 15:45:00,0.13508
2019/01/01 15:50:00,0.18357
2019/01/01 15:55:00,0.19442
2019/01/01 16:00:00,0.16336
2019/01/01 16:05:00,0.08907
2019/01/01 16:10:00,-0.028521
2019/01/01 16:15:00,-0.1812
2019/01/01 16:20:00,-0.34962
2019/01/01 16:25:00,-0.51497
2019/01/01 16:30:00,-0.66671
2019/01/01 16:35:00,-0.79995
2019/01/01 16:40:00,-0.91275
2019/01/01 16:45:00,-1.0047
2019/01/01 16:50:00,-1.0709
2019/01/01 16:55:00,-1.0964
2019/01/01 17:00:00,-1.0684
2019/01/01 17:05:00,-0.98851
2019/01/01 17:10:00,-0.86437
2019/01/01 17:15:00,-0.69961
2019/01/01 17:20:00,-0.50778
2019/01/01 17:25:00,-0.31597
2019/01/01 17:30:00,-0.14126
2019/01/01 17:35:00,0.0025892
2019/01/01 17:40:00,0.091793
2019/01/01 17:45:00,0.13234
2019/01/01 17:50:00,0.13821
2019/01/01 17:55:00,0.10921
2019/01/01 18:00:00,0.040364
2019/01/01 18:05:00,-0.059075
2019/01/01 18:10:00,-0.1657
2019/01/01 18:15:00,-0.27211
2019/01/01 18:20:00,-0.37105
2019/01/01 18:25:00,-0.45564
2019/01/01 18:30:00,-0.51508
2019/01/01 18:35:00,-0.55014
2019/01/01 18:40:00,-0.5663
2019/01/01 18:45:00,-0.56862
2019/01/01 18:50:00,-0.56392
2019/01/01 18:55:00,-0.5584
2019/01/01 19:00:00,-0.55393
2019/01/01 19:05:00,-0.54931
2019/01/01 19:10:00,-0.5394
2019/01/01 19:15:00,-0.51312
2019/01/01 19:20:00,-0.46008
2019/01/01 19:25:00,-0.37974
2019/01/01 19:30:00,-0.28203
2019/01/01 19:35:00,-0.17533
2019/01/01 19:40:00,-0.064798
2019/01/01 19:45:00,0.037608
2019/01/01 19:50:00,0.11844
2019/01/01 19:55:00,0.17262
2019/01/01 20:00:00,0.20275
2019/01/01 20:05:00,0.20926
2019/01/01 20:10:00,0.19501
2019/01/01 20:15:00,0.16796
2019/01/01 20:20:00,0.13269
2019/01/01 20:25:00,0.089778
2019/01/01 20:30:00,0.046574
2019/01/01 20:35:00,0.018117
2019/01/01 20:40:00,0.013868
2019/01/01 20:45:00,0.033706
2019/01/01 20:50:00,0.071551
2019/01/01 20:55:00,0.12248
2019/01/01 21:00:00,0.17852
2019/01/01 21:05:00,0.22674
2019/01/01 21:10:00,0.25437
2019/01/01 21:15:00,0.25678
2019/01/01 21:20:00,0.23813
2019/01/01 21:25:00,0.20557
2019/01/01 21:30:00,0.16869
2019/01/01 21:35:00,0.1396
2019/01/01 21:40:00,0.12486
2019/01/01 21:45:00,0.12362
2019/01/01 21:50:00,0.13395
2019/01/01 21:55:00,0.15575
2019/01/01 22:00:00,0.1887
2019/01/01 22:05:00,0.23014
2019/01/01 22:10:00,0.27689
2019/01/01 22:15:00,0.32804
2019/01/01 22:20:00,0.38511
2019/01/01 22:25:00,0.44807
2019/01/01 22:30:00,0.51167
2019/01/01 22:35:00,0.56963
2019/01/01 22:40:00,0.61966
2019/01/01 22:45:00,0.6608
2019/01/01 22:50:00,0.69081
2019/01/01 22:55:00,0.70927
2019/01/01 23:00:00,0.71698
2019/01/01 23:05:00,0.71161
2019/01/01 23:10:00,0.68971
2019/01/01 23:15:00,0.65252
2019/01/01 23:20:00,0.60664
2019/01/01 23:25:00,0.55774
2019/01/01 23:30:00,0.50609
2019/01/01 23:35:00,0.45241
2019/01/01 23:40:00,0.40464
2019/01/01 23:45:00,0.37101
2019/01/01 23:50:00,0.35012
2019/01/01 23:55:00,0.33454
2019/01/02 00:00:00,0.31917
2019/01/02 00:05:00,0.30235
2019/01/02 00:10:00,0.284
2019/01/02 00:15:00,0.26474
2019/01/02 00:20:00,0.24645
2019/01/02 00:25:00,0.2348
2019/01/02 00:30:00,0.2375
2019/01/02 00:35:00,0.25833
2019/01/02 00:40:00,0.29736
2019/01/02 00:45:00,0.35432
2019/01/02 00:50:00,0.42582
2019/01/02 00:55:00,0.50426
2019/01/02 01:00:00,0.58229
2019/01/02 01:05:00,0.65412
2019/01/02 01:10:00,0.71474
2019/01/02 01:15:00,0.75966
2019/01/02 01:20:00,0.78243
2019/01/02 01:25:00,0.77619
2019/01/02 01:30:00,0.739
2019/01/02 01:35:00,0.67222
2019/01/02 01:40:00,0.57701
2019/01/02 01:45:00,0.45763
2019/01/02 01:50:00,0.32245
2019/01/02 01:55:00,0.18064
2019/01/02 02:00:00,0.041303
2019/01/02 02:05:00,-0.087762
2019/01/02 02:10:00,-0.20165
2019/01/02 02:15:00,-0.29589
2019/01/02 02:20:00,-0.36456
2019/01/02 02:25:00,-0.40384
2019/01/02 02:30:00,-0.41481
2019/01/02 02:35:00,-0.3972
2019/01/02 02:40:00,-0.34284
2019/01/02 02:45:00,-0.25032
2019/01/02 02:50:00,-0.13589
2019/01/02 02:55:00,-0.013115
2019/01/02 03:00:00,0.11941
2019/01/02 03:05:00,0.25421
2019/01/02 03:10:00,0.36731
2019/01/02 03:15:00,0.44419
2019/01/02 03:20:00,0.48623
2019/01/02 03:25:00,0.48705
2019/01/02 03:30:00,0.43568
2019/01/02 03:35:00,0.33584
2019/01/02 03:40:00,0.20405
2019/01/02 03:45:00,0.051097
2019/01/02 03:50:00,-0.11582
2019/01/02 03:55:00,-0.2832
2019/01/02 04:00:00,-0.43267
2019/01/02 04:05:00,-0.55197
2019/01/02 04:10:00,-0.63564
2019/01/02 04:15:00,-0.68261
2019/01/02 04:20:00,-0.69621
2019/01/02 04:25:00,-0.68116
2019/01/02 04:30:00,-0.64273
2019/01/02 04:35:00,-0.59033
2019/01/02 04:40:00,-0.53602
2019/01/02 04:45:00,-0.48816
2019/01/02 04:50:00,-0.45007
2019/01/02 04:55:00,-0.42366
2019/01/02 05:00:00,-0.41043
2019/01/02 05:05:00,-0.40758
2019/01/02 05:10:00,-0.40776
2019/01/02 05:15:00,-0.40491
2019/01/02 05:20:00,-0.39717
2019/01/02 05:25:00,-0.38092
2019/01/02 05:30:00,-0.35106
2019/01/02 05:35:00,-0.30882
2019/01/02 05:40:00,-0.26243
2019/01/02 05:45:00,-0.22147
2019/01/02 05:50:00,-0.19295
2019/01/02 05:55:00,-0.18135
2019/01/02 06:00:00,-0.19076
2019/01/02 06:05:00,-0.22471
2019/01/02 06:10:00,-0.28342
2019/01/02 06:15:00,-0.3617
2019/01/02 06:20:00,-0.45036
2019/01/02 06:25:00,-0.53993
2019/01/02 06:30:00,-0.62243
2019/01/02 06:35:00,-0.69132
2019/01/02 06:40:00,-0.7409
2019/01/02 06:45:00,-0.76695
2019/01/02 06:50:00,-0.76712
2019/01/02 06:55:00,-0.74151
2019/01/02 07:00:00,-0.69256
2019/01/02 07:05:00,-0.62482
2019/01/02 07:10:00,-0.54446
2019/01/02 07:15:00,-0.45745
2019/01/02 07:20:00,-0.36936
2019/01/02 07:25:00,-0.28754
2019/01/02 07:30:00,-0.22135
2019/01/02 07:35:00,-0.17725
2019/01/02 07:40:00,-0.15349
2019/01/02 07:45:00,-0.14715
2019/01/02 07:50:00,-0.15622
2019/01/02 07:55:00,-0.175
2019/01/02 08:00:00,-0.19611
2019/01/02 08:05:00,-0.2124
2019/01/02 08:10:00,-0.21914
2019/01/02 08:15:00,-0.2144
2019/01/02 08:20:00,-0.19871
2019/01/02 08:25:00,-0.17438
2019/01/02 08:30:00,-0.14429
2019/01/02 08:35:00,-0.11187
2019/01/02 08:40:00,-0.080631
2019/01/02 08:45:00,-0.053477
2019/01/02 08:50:00,-0.0319
2019/01/02 08:55:00,-0.016974
2019/01/02 09:00:00,-0.010061
2019/01/02 09:05:00,-0.011045
2019/01/02 09:10:00,-0.017901
2019/01/02 09:15:00,-0.029448
2019/01/02 09:20:00,-0.046224
2019/01/02 09:25:00,-0.067689
2019/01/02 09:30:00,-0.090488
2019/01/02 09:35:00,-0.11049
2019/01/02 09:40:00,-0.12478
2019/01/02 09:45:00,-0.12998
2019/01/02 09:50:00,-0.1211
2019/01/02 09:55:00,-0.093721
2019/01/02 10:00:00,-0.04625
2019/01/02 10:05:00,0.020687
