Time [yyyy/MM/dd HH:mm:ss],Akranes: water level (waterlevel) at Akranes_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,1.1517E-54
2019/12/01 00:10:00,3.5203E-45
2019/12/01 00:15:00,3.3494E-38
2019/12/01 00:20:00,2.2025E-32
2019/12/01 00:25:00,2.2808E-27
2019/12/01 00:30:00,5.519E-23
2019/12/01 00:35:00,3.9168E-19
2019/12/01 00:40:00,9.401E-16
2019/12/01 00:45:00,8.3632E-13
2019/12/01 00:50:00,2.9189E-10
2019/12/01 00:55:00,4.1157E-08
2019/12/01 01:00:00,2.3511E-06
2019/12/01 01:05:00,5.2701E-05
2019/12/01 01:10:00,0.00041188
2019/12/01 01:15:00,0.00040015
2019/12/01 01:20:00,-0.0069747
2019/12/01 01:25:00,-0.035131
2019/12/01 01:30:00,-0.094838
2019/12/01 01:35:00,-0.18077
2019/12/01 01:40:00,-0.27386
2019/12/01 01:45:00,-0.38089
2019/12/01 01:50:00,-0.51553
2019/12/01 01:55:00,-0.67327
2019/12/01 02:00:00,-0.85655
2019/12/01 02:05:00,-1.0676
2019/12/01 02:10:00,-1.2951
2019/12/01 02:15:00,-1.5219
2019/12/01 02:20:00,-1.7271
2019/12/01 02:25:00,-1.8886
2019/12/01 02:30:00,-1.997
2019/12/01 02:35:00,-2.0669
2019/12/01 02:40:00,-2.1343
2019/12/01 02:45:00,-2.2037
2019/12/01 02:50:00,-2.2446
2019/12/01 02:55:00,-2.2567
2019/12/01 03:00:00,-2.2236
2019/12/01 03:05:00,-2.1387
2019/12/01 03:10:00,-2.0374
2019/12/01 03:15:00,-1.9531
2019/12/01 03:20:00,-1.8712
2019/12/01 03:25:00,-1.7699
2019/12/01 03:30:00,-1.6567
2019/12/01 03:35:00,-1.5284
2019/12/01 03:40:00,-1.3702
2019/12/01 03:45:00,-1.177
2019/12/01 03:50:00,-0.97511
2019/12/01 03:55:00,-0.78671
2019/12/01 04:00:00,-0.63786
2019/12/01 04:05:00,-0.51005
2019/12/01 04:10:00,-0.38669
2019/12/01 04:15:00,-0.26443
2019/12/01 04:20:00,-0.16881
2019/12/01 04:25:00,-0.088552
2019/12/01 04:30:00,-0.033158
2019/12/01 04:35:00,-0.015733
2019/12/01 04:40:00,-0.042529
2019/12/01 04:45:00,-0.098639
2019/12/01 04:50:00,-0.12415
2019/12/01 04:55:00,-0.1117
2019/12/01 05:00:00,-0.097928
2019/12/01 05:05:00,-0.086497
2019/12/01 05:10:00,-0.080691
2019/12/01 05:15:00,-0.085862
2019/12/01 05:20:00,-0.094913
2019/12/01 05:25:00,-0.10599
2019/12/01 05:30:00,-0.10977
2019/12/01 05:35:00,-0.091503
2019/12/01 05:40:00,-0.067047
2019/12/01 05:45:00,-0.062004
2019/12/01 05:50:00,-0.076925
