Time [yyyy/MM/dd HH:mm:ss],Eyjargardur: water level (waterlevel) at Eyjargardur_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,4.022E-64
2019/12/01 00:10:00,2.9515E-54
2019/12/01 00:15:00,6.5746E-47
2019/12/01 00:20:00,1.0436E-40
2019/12/01 00:25:00,2.7024E-35
2019/12/01 00:30:00,1.7027E-30
2019/12/01 00:35:00,3.2971E-26
2019/12/01 00:40:00,2.28E-22
2019/12/01 00:45:00,6.2325E-19
2019/12/01 00:50:00,7.2219E-16
2019/12/01 00:55:00,3.718E-13
2019/12/01 01:00:00,8.7489E-11
2019/12/01 01:05:00,9.5128E-09
2019/12/01 01:10:00,4.7275E-07
2019/12/01 01:15:00,1.0179E-05
2019/12/01 01:20:00,7.5615E-05
2019/12/01 01:25:00,-0.00019802
2019/12/01 01:30:00,-0.0052766
2019/12/01 01:35:00,-0.029023
2019/12/01 01:40:00,-0.088918
2019/12/01 01:45:00,-0.1931
2019/12/01 01:50:00,-0.33841
2019/12/01 01:55:00,-0.52117
2019/12/01 02:00:00,-0.7387
2019/12/01 02:05:00,-0.98387
2019/12/01 02:10:00,-1.2443
2019/12/01 02:15:00,-1.5101
2019/12/01 02:20:00,-1.7787
2019/12/01 02:25:00,-2.0502
2019/12/01 02:30:00,-2.3052
2019/12/01 02:35:00,-2.5019
2019/12/01 02:40:00,-2.5979
2019/12/01 02:45:00,-2.5914
2019/12/01 02:50:00,-2.5289
2019/12/01 02:55:00,-2.4374
2019/12/01 03:00:00,-2.3309
2019/12/01 03:05:00,-2.2322
2019/12/01 03:10:00,-2.1619
2019/12/01 03:15:00,-2.1031
2019/12/01 03:20:00,-1.9945
2019/12/01 03:25:00,-1.829
2019/12/01 03:30:00,-1.6711
2019/12/01 03:35:00,-1.5301
2019/12/01 03:40:00,-1.3652
2019/12/01 03:45:00,-1.1563
2019/12/01 03:50:00,-0.9127
2019/12/01 03:55:00,-0.64797
2019/12/01 04:00:00,-0.3808
2019/12/01 04:05:00,-0.14788
2019/12/01 04:10:00,0.014502
2019/12/01 04:15:00,0.11552
2019/12/01 04:20:00,0.14162
2019/12/01 04:25:00,0.11434
2019/12/01 04:30:00,0.055848
2019/12/01 04:35:00,0.0088499
2019/12/01 04:40:00,-0.010485
2019/12/01 04:45:00,-0.024937
2019/12/01 04:50:00,-0.054579
2019/12/01 04:55:00,-0.10869
2019/12/01 05:00:00,-0.16154
2019/12/01 05:05:00,-0.17968
2019/12/01 05:10:00,-0.16511
2019/12/01 05:15:00,-0.13232
2019/12/01 05:20:00,-0.09032
2019/12/01 05:25:00,-0.058474
2019/12/01 05:30:00,-0.051103
2019/12/01 05:35:00,-0.080155
2019/12/01 05:40:00,-0.13293
2019/12/01 05:45:00,-0.18582
2019/12/01 05:50:00,-0.21572
2019/12/01 05:55:00,-0.21441
2019/12/01 06:00:00,-0.19411
2019/12/01 06:05:00,-0.16352
2019/12/01 06:10:00,-0.12616
