Time [yyyy/MM/dd HH:mm:ss],Gamla_hofnin: water level (waterlevel) at Gamla_hofnin_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,2.0521E-66
2019/12/01 00:10:00,1.8475E-56
2019/12/01 00:15:00,5.0192E-49
2019/12/01 00:20:00,9.7998E-43
2019/12/01 00:25:00,3.1522E-37
2019/12/01 00:30:00,2.4942E-32
2019/12/01 00:35:00,6.1407E-28
2019/12/01 00:40:00,5.4757E-24
2019/12/01 00:45:00,1.9617E-20
2019/12/01 00:50:00,3.0358E-17
2019/12/01 00:55:00,2.1343E-14
2019/12/01 01:00:00,7.0443E-12
2019/12/01 01:05:00,1.1107E-09
2019/12/01 01:10:00,8.368E-08
2019/12/01 01:15:00,2.9349E-06
2019/12/01 01:20:00,4.3577E-05
2019/12/01 01:25:00,0.00015707
2019/12/01 01:30:00,-0.0019204
2019/12/01 01:35:00,-0.019646
2019/12/01 01:40:00,-0.076117
2019/12/01 01:45:00,-0.17856
2019/12/01 01:50:00,-0.32072
2019/12/01 01:55:00,-0.49953
2019/12/01 02:00:00,-0.71441
2019/12/01 02:05:00,-0.94887
2019/12/01 02:10:00,-1.1852
2019/12/01 02:15:00,-1.385
2019/12/01 02:20:00,-1.5189
2019/12/01 02:25:00,-1.5938
2019/12/01 02:30:00,-1.6336
2019/12/01 02:35:00,-1.6548
2019/12/01 02:40:00,-1.6668
2019/12/01 02:45:00,-1.6742
2019/12/01 02:50:00,-1.6788
2019/12/01 02:55:00,-1.6814
2019/12/01 03:00:00,-1.6834
2019/12/01 03:05:00,-1.6847
2019/12/01 03:10:00,-1.6858
2019/12/01 03:15:00,-1.6867
2019/12/01 03:20:00,-1.6874
2019/12/01 03:25:00,-1.6878
2019/12/01 03:30:00,-1.6879
2019/12/01 03:35:00,-1.6754
2019/12/01 03:40:00,-1.5825
2019/12/01 03:45:00,-1.3244
2019/12/01 03:50:00,-0.92796
2019/12/01 03:55:00,-0.63648
2019/12/01 04:00:00,-0.39032
2019/12/01 04:05:00,-0.11042
2019/12/01 04:10:00,0.013328
2019/12/01 04:15:00,0.15797
2019/12/01 04:20:00,0.13464
2019/12/01 04:25:00,0.13843
2019/12/01 04:30:00,0.053231
2019/12/01 04:35:00,-9.5314E-05
2019/12/01 04:40:00,-0.013504
2019/12/01 04:45:00,-0.015939
2019/12/01 04:50:00,-0.051292
2019/12/01 04:55:00,-0.096651
2019/12/01 05:00:00,-0.17979
2019/12/01 05:05:00,-0.18417
2019/12/01 05:10:00,-0.17358
2019/12/01 05:15:00,-0.13405
2019/12/01 05:20:00,-0.088541
2019/12/01 05:25:00,-0.054115
2019/12/01 05:30:00,-0.040357
2019/12/01 05:35:00,-0.070983
2019/12/01 05:40:00,-0.13267
2019/12/01 05:45:00,-0.19037
2019/12/01 05:50:00,-0.22617
2019/12/01 05:55:00,-0.22056
2019/12/01 06:00:00,-0.19498
2019/12/01 06:05:00,-0.1696
2019/12/01 06:10:00,-0.12078
2019/12/01 06:15:00,-0.097026
2019/12/01 06:20:00,-0.095787
2019/12/01 06:25:00,-0.11298
2019/12/01 06:30:00,-0.12929
2019/12/01 06:35:00,-0.15916
2019/12/01 06:40:00,-0.18411
2019/12/01 06:45:00,-0.18354
2019/12/01 06:50:00,-0.1538
2019/12/01 06:55:00,-0.1074
2019/12/01 07:00:00,-0.0040405
2019/12/01 07:05:00,0.14978
2019/12/01 07:10:00,0.33938
2019/12/01 07:15:00,0.55358
2019/12/01 07:20:00,0.79772
2019/12/01 07:25:00,1.0186
2019/12/01 07:30:00,1.239
2019/12/01 07:35:00,1.4948
2019/12/01 07:40:00,1.6782
2019/12/01 07:45:00,1.8232
2019/12/01 07:50:00,1.9564
2019/12/01 07:55:00,2.0737
2019/12/01 08:00:00,2.1695
2019/12/01 08:05:00,2.2227
2019/12/01 08:10:00,2.2548
2019/12/01 08:15:00,2.2654
2019/12/01 08:20:00,2.2718
2019/12/01 08:25:00,2.2933
2019/12/01 08:30:00,2.3008
2019/12/01 08:35:00,2.2575
2019/12/01 08:40:00,2.1936
2019/12/01 08:45:00,2.127
2019/12/01 08:50:00,2.0639
2019/12/01 08:55:00,1.9851
2019/12/01 09:00:00,1.8943
2019/12/01 09:05:00,1.7999
2019/12/01 09:10:00,1.7204
2019/12/01 09:15:00,1.6594
2019/12/01 09:20:00,1.6022
2019/12/01 09:25:00,1.5433
2019/12/01 09:30:00,1.4831
2019/12/01 09:35:00,1.4232
2019/12/01 09:40:00,1.3612
2019/12/01 09:45:00,1.2985
2019/12/01 09:50:00,1.2346
2019/12/01 09:55:00,1.1774
2019/12/01 10:00:00,1.1384
2019/12/01 10:05:00,1.1172
2019/12/01 10:10:00,1.1036
2019/12/01 10:15:00,1.0842
2019/12/01 10:20:00,1.0513
2019/12/01 10:25:00,1.0068
2019/12/01 10:30:00,0.95752
2019/12/01 10:35:00,0.90827
2019/12/01 10:40:00,0.86328
2019/12/01 10:45:00,0.82561
2019/12/01 10:50:00,0.80365
2019/12/01 10:55:00,0.80103
2019/12/01 11:00:00,0.817
2019/12/01 11:05:00,0.85206
2019/12/01 11:10:00,0.90255
2019/12/01 11:15:00,0.97574
2019/12/01 11:20:00,1.0664
2019/12/01 11:25:00,1.1634
2019/12/01 11:30:00,1.2502
2019/12/01 11:35:00,1.314
2019/12/01 11:40:00,1.3473
2019/12/01 11:45:00,1.3644
2019/12/01 11:50:00,1.3709
2019/12/01 11:55:00,1.3601
2019/12/01 12:00:00,1.3236
2019/12/01 12:05:00,1.2635
2019/12/01 12:10:00,1.1871
2019/12/01 12:15:00,1.0987
2019/12/01 12:20:00,0.99074
2019/12/01 12:25:00,0.85769
2019/12/01 12:30:00,0.70273
2019/12/01 12:35:00,0.53464
2019/12/01 12:40:00,0.36103
2019/12/01 12:45:00,0.18266
2019/12/01 12:50:00,0.00096335
2019/12/01 12:55:00,-0.17862
2019/12/01 13:00:00,-0.34579
2019/12/01 13:05:00,-0.49396
2019/12/01 13:10:00,-0.62028
2019/12/01 13:15:00,-0.7266
2019/12/01 13:20:00,-0.81719
2019/12/01 13:25:00,-0.90002
2019/12/01 13:30:00,-0.97392
2019/12/01 13:35:00,-1.0338
2019/12/01 13:40:00,-1.0749
2019/12/01 13:45:00,-1.0957
2019/12/01 13:50:00,-1.1012
2019/12/01 13:55:00,-1.1012
2019/12/01 14:00:00,-1.1083
2019/12/01 14:05:00,-1.1299
2019/12/01 14:10:00,-1.1654
2019/12/01 14:15:00,-1.2105
2019/12/01 14:20:00,-1.2569
2019/12/01 14:25:00,-1.297
2019/12/01 14:30:00,-1.326
2019/12/01 14:35:00,-1.3399
2019/12/01 14:40:00,-1.3376
2019/12/01 14:45:00,-1.3248
2019/12/01 14:50:00,-1.3068
2019/12/01 14:55:00,-1.2799
2019/12/01 15:00:00,-1.2409
2019/12/01 15:05:00,-1.1905
2019/12/01 15:10:00,-1.129
2019/12/01 15:15:00,-1.0606
2019/12/01 15:20:00,-0.99548
2019/12/01 15:25:00,-0.93812
2019/12/01 15:30:00,-0.88203
2019/12/01 15:35:00,-0.82878
2019/12/01 15:40:00,-0.78089
2019/12/01 15:45:00,-0.73628
2019/12/01 15:50:00,-0.69557
2019/12/01 15:55:00,-0.6567
2019/12/01 16:00:00,-0.63278
2019/12/01 16:05:00,-0.61992
2019/12/01 16:10:00,-0.62611
2019/12/01 16:15:00,-0.66194
2019/12/01 16:20:00,-0.71135
2019/12/01 16:25:00,-0.78072
2019/12/01 16:30:00,-0.87037
2019/12/01 16:35:00,-0.97682
2019/12/01 16:40:00,-1.1006
2019/12/01 16:45:00,-1.2152
2019/12/01 16:50:00,-1.3089
2019/12/01 16:55:00,-1.3894
2019/12/01 17:00:00,-1.4556
2019/12/01 17:05:00,-1.5058
2019/12/01 17:10:00,-1.5415
2019/12/01 17:15:00,-1.5651
2019/12/01 17:20:00,-1.5785
2019/12/01 17:25:00,-1.5789
2019/12/01 17:30:00,-1.5549
2019/12/01 17:35:00,-1.4987
2019/12/01 17:40:00,-1.3992
2019/12/01 17:45:00,-1.2586
2019/12/01 17:50:00,-1.1114
2019/12/01 17:55:00,-0.98429
2019/12/01 18:00:00,-0.85497
2019/12/01 18:05:00,-0.72547
2019/12/01 18:10:00,-0.60187
2019/12/01 18:15:00,-0.48359
2019/12/01 18:20:00,-0.40204
2019/12/01 18:25:00,-0.32501
2019/12/01 18:30:00,-0.23809
2019/12/01 18:35:00,-0.15078
2019/12/01 18:40:00,-0.080254
2019/12/01 18:45:00,-0.011622
2019/12/01 18:50:00,0.047374
2019/12/01 18:55:00,0.11778
2019/12/01 19:00:00,0.17418
2019/12/01 19:05:00,0.244
2019/12/01 19:10:00,0.30714
2019/12/01 19:15:00,0.37625
2019/12/01 19:20:00,0.44198
2019/12/01 19:25:00,0.51772
2019/12/01 19:30:00,0.59779
2019/12/01 19:35:00,0.66968
2019/12/01 19:40:00,0.73832
2019/12/01 19:45:00,0.79957
2019/12/01 19:50:00,0.85427
2019/12/01 19:55:00,0.90035
2019/12/01 20:00:00,0.93075
2019/12/01 20:05:00,0.93753
2019/12/01 20:10:00,0.91531
2019/12/01 20:15:00,0.87427
2019/12/01 20:20:00,0.8205
2019/12/01 20:25:00,0.76133
2019/12/01 20:30:00,0.69056
2019/12/01 20:35:00,0.61191
2019/12/01 20:40:00,0.5315
2019/12/01 20:45:00,0.46195
2019/12/01 20:50:00,0.40278
2019/12/01 20:55:00,0.34882
2019/12/01 21:00:00,0.30551
2019/12/01 21:05:00,0.2773
2019/12/01 21:10:00,0.2667
2019/12/01 21:15:00,0.27365
2019/12/01 21:20:00,0.29604
2019/12/01 21:25:00,0.33119
2019/12/01 21:30:00,0.37972
2019/12/01 21:35:00,0.44453
2019/12/01 21:40:00,0.52354
2019/12/01 21:45:00,0.60834
2019/12/01 21:50:00,0.69384
2019/12/01 21:55:00,0.77733
2019/12/01 22:00:00,0.85766
2019/12/01 22:05:00,0.93215
2019/12/01 22:10:00,0.99624
2019/12/01 22:15:00,1.0495
2019/12/01 22:20:00,1.0912
2019/12/01 22:25:00,1.1221
2019/12/01 22:30:00,1.1348
2019/12/01 22:35:00,1.132
2019/12/01 22:40:00,1.1174
2019/12/01 22:45:00,1.0907
2019/12/01 22:50:00,1.0566
2019/12/01 22:55:00,1.0169
2019/12/01 23:00:00,0.96748
2019/12/01 23:05:00,0.9185
2019/12/01 23:10:00,0.87492
2019/12/01 23:15:00,0.83398
2019/12/01 23:20:00,0.79658
2019/12/01 23:25:00,0.76256
2019/12/01 23:30:00,0.73011
2019/12/01 23:35:00,0.7024
2019/12/01 23:40:00,0.67577
2019/12/01 23:45:00,0.63722
2019/12/01 23:50:00,0.58417
2019/12/01 23:55:00,0.52429
2019/12/02 00:00:00,0.46101
2019/12/02 00:05:00,0.39077
2019/12/02 00:10:00,0.31044
2019/12/02 00:15:00,0.21611
2019/12/02 00:20:00,0.11027
2019/12/02 00:25:00,-0.0011359
2019/12/02 00:30:00,-0.11659
2019/12/02 00:35:00,-0.23508
2019/12/02 00:40:00,-0.35332
2019/12/02 00:45:00,-0.46708
2019/12/02 00:50:00,-0.57344
2019/12/02 00:55:00,-0.67114
2019/12/02 01:00:00,-0.75971
2019/12/02 01:05:00,-0.83703
2019/12/02 01:10:00,-0.89821
2019/12/02 01:15:00,-0.93581
2019/12/02 01:20:00,-0.94604
2019/12/02 01:25:00,-0.93206
2019/12/02 01:30:00,-0.90066
2019/12/02 01:35:00,-0.85622
2019/12/02 01:40:00,-0.80299
2019/12/02 01:45:00,-0.74314
2019/12/02 01:50:00,-0.6818
2019/12/02 01:55:00,-0.62293
2019/12/02 02:00:00,-0.56454
2019/12/02 02:05:00,-0.52191
2019/12/02 02:10:00,-0.49138
2019/12/02 02:15:00,-0.46591
2019/12/02 02:20:00,-0.45589
2019/12/02 02:25:00,-0.45632
2019/12/02 02:30:00,-0.47016
2019/12/02 02:35:00,-0.49312
2019/12/02 02:40:00,-0.52584
2019/12/02 02:45:00,-0.56353
2019/12/02 02:50:00,-0.61504
2019/12/02 02:55:00,-0.67467
2019/12/02 03:00:00,-0.73284
2019/12/02 03:05:00,-0.79706
2019/12/02 03:10:00,-0.85912
2019/12/02 03:15:00,-0.91473
2019/12/02 03:20:00,-0.96469
2019/12/02 03:25:00,-1.0052
2019/12/02 03:30:00,-1.0376
2019/12/02 03:35:00,-1.0633
2019/12/02 03:40:00,-1.0824
2019/12/02 03:45:00,-1.0951
2019/12/02 03:50:00,-1.101
2019/12/02 03:55:00,-1.103
2019/12/02 04:00:00,-1.1038
2019/12/02 04:05:00,-1.1047
2019/12/02 04:10:00,-1.1103
2019/12/02 04:15:00,-1.1207
2019/12/02 04:20:00,-1.1344
2019/12/02 04:25:00,-1.1553
2019/12/02 04:30:00,-1.1807
2019/12/02 04:35:00,-1.2053
2019/12/02 04:40:00,-1.2289
2019/12/02 04:45:00,-1.2478
2019/12/02 04:50:00,-1.2556
2019/12/02 04:55:00,-1.252
2019/12/02 05:00:00,-1.2381
2019/12/02 05:05:00,-1.2105
2019/12/02 05:10:00,-1.1664
2019/12/02 05:15:00,-1.1065
2019/12/02 05:20:00,-1.0294
2019/12/02 05:25:00,-0.93549
2019/12/02 05:30:00,-0.82631
2019/12/02 05:35:00,-0.7005
2019/12/02 05:40:00,-0.56964
2019/12/02 05:45:00,-0.43927
2019/12/02 05:50:00,-0.31444
2019/12/02 05:55:00,-0.19638
2019/12/02 06:00:00,-0.063347
2019/12/02 06:05:00,0.054846
2019/12/02 06:10:00,0.15161
2019/12/02 06:15:00,0.25022
2019/12/02 06:20:00,0.33691
2019/12/02 06:25:00,0.39848
2019/12/02 06:30:00,0.44125
2019/12/02 06:35:00,0.46363
2019/12/02 06:40:00,0.46962
2019/12/02 06:45:00,0.46436
