Time [yyyy/MM/dd HH:mm:ss],Grindavik: water level (waterlevel) at Grindavik_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-7.0923E-26
2019/12/01 00:10:00,-3.6621E-18
2019/12/01 00:15:00,-5.1681E-13
2019/12/01 00:20:00,-3.9953E-09
2019/12/01 00:25:00,-3.6451E-06
2019/12/01 00:30:00,-0.00054051
2019/12/01 00:35:00,-0.014945
2019/12/01 00:40:00,-0.087398
2019/12/01 00:45:00,-0.17991
2019/12/01 00:50:00,-0.26791
2019/12/01 00:55:00,-0.36038
2019/12/01 01:00:00,-0.45367
2019/12/01 01:05:00,-0.55473
2019/12/01 01:10:00,-0.66541
2019/12/01 01:15:00,-0.78848
2019/12/01 01:20:00,-0.91121
2019/12/01 01:25:00,-1.0242
2019/12/01 01:30:00,-1.1467
2019/12/01 01:35:00,-1.2525
2019/12/01 01:40:00,-1.2484
2019/12/01 01:45:00,-1.2313
2019/12/01 01:50:00,-1.2356
2019/12/01 01:55:00,-1.2313
2019/12/01 02:00:00,-1.2002
2019/12/01 02:05:00,-1.1551
2019/12/01 02:10:00,-1.0836
2019/12/01 02:15:00,-0.96719
2019/12/01 02:20:00,-0.88375
2019/12/01 02:25:00,-0.8793
2019/12/01 02:30:00,-0.86236
2019/12/01 02:35:00,-0.8177
2019/12/01 02:40:00,-0.75302
2019/12/01 02:45:00,-0.68355
2019/12/01 02:50:00,-0.6506
2019/12/01 02:55:00,-0.67004
2019/12/01 03:00:00,-0.73221
2019/12/01 03:05:00,-0.82751
2019/12/01 03:10:00,-0.93172
2019/12/01 03:15:00,-1.0325
2019/12/01 03:20:00,-1.0977
2019/12/01 03:25:00,-1.0923
2019/12/01 03:30:00,-1.0399
2019/12/01 03:35:00,-0.99861
2019/12/01 03:40:00,-0.9835
2019/12/01 03:45:00,-0.97687
2019/12/01 03:50:00,-0.95287
2019/12/01 03:55:00,-0.90028
2019/12/01 04:00:00,-0.83834
2019/12/01 04:05:00,-0.80245
2019/12/01 04:10:00,-0.77271
2019/12/01 04:15:00,-0.70491
2019/12/01 04:20:00,-0.5997
2019/12/01 04:25:00,-0.47936
2019/12/01 04:30:00,-0.36072
2019/12/01 04:35:00,-0.25056
2019/12/01 04:40:00,-0.15053
2019/12/01 04:45:00,-0.058157
2019/12/01 04:50:00,0.023158
2019/12/01 04:55:00,0.070086
2019/12/01 05:00:00,0.081618
2019/12/01 05:05:00,0.081926
2019/12/01 05:10:00,0.086259
2019/12/01 05:15:00,0.079629
2019/12/01 05:20:00,0.041095
2019/12/01 05:25:00,-0.038745
2019/12/01 05:30:00,-0.14777
2019/12/01 05:35:00,-0.24088
2019/12/01 05:40:00,-0.27373
2019/12/01 05:45:00,-0.23153
2019/12/01 05:50:00,-0.13029
2019/12/01 05:55:00,-0.0079338
2019/12/01 06:00:00,0.11017
2019/12/01 06:05:00,0.21825
2019/12/01 06:10:00,0.31614
2019/12/01 06:15:00,0.40532
2019/12/01 06:20:00,0.50234
2019/12/01 06:25:00,0.62061
2019/12/01 06:30:00,0.75183
2019/12/01 06:35:00,0.88109
2019/12/01 06:40:00,0.99066
2019/12/01 06:45:00,1.0709
2019/12/01 06:50:00,1.1181
2019/12/01 06:55:00,1.1391
2019/12/01 07:00:00,1.1323
2019/12/01 07:05:00,1.1218
2019/12/01 07:10:00,1.1009
2019/12/01 07:15:00,1.0409
2019/12/01 07:20:00,0.95828
2019/12/01 07:25:00,0.89176
2019/12/01 07:30:00,0.86647
2019/12/01 07:35:00,0.87033
2019/12/01 07:40:00,0.8941
2019/12/01 07:45:00,0.9383
2019/12/01 07:50:00,0.99429
2019/12/01 07:55:00,1.0445
2019/12/01 08:00:00,1.0879
2019/12/01 08:05:00,1.1374
2019/12/01 08:10:00,1.1971
2019/12/01 08:15:00,1.2825
2019/12/01 08:20:00,1.3838
2019/12/01 08:25:00,1.4734
2019/12/01 08:30:00,1.526
2019/12/01 08:35:00,1.541
2019/12/01 08:40:00,1.5404
2019/12/01 08:45:00,1.5402
2019/12/01 08:50:00,1.5441
2019/12/01 08:55:00,1.548
2019/12/01 09:00:00,1.5459
2019/12/01 09:05:00,1.522
2019/12/01 09:10:00,1.4647
2019/12/01 09:15:00,1.3849
2019/12/01 09:20:00,1.2977
2019/12/01 09:25:00,1.2116
2019/12/01 09:30:00,1.1336
2019/12/01 09:35:00,1.0672
2019/12/01 09:40:00,1.013
2019/12/01 09:45:00,0.96761
2019/12/01 09:50:00,0.93021
2019/12/01 09:55:00,0.90772
2019/12/01 10:00:00,0.90804
2019/12/01 10:05:00,0.93116
2019/12/01 10:10:00,0.96657
2019/12/01 10:15:00,0.99918
2019/12/01 10:20:00,1.0193
2019/12/01 10:25:00,1.0275
2019/12/01 10:30:00,1.0321
2019/12/01 10:35:00,1.0422
2019/12/01 10:40:00,1.0598
2019/12/01 10:45:00,1.0778
2019/12/01 10:50:00,1.0822
2019/12/01 10:55:00,1.0611
2019/12/01 11:00:00,1.0079
2019/12/01 11:05:00,0.92546
2019/12/01 11:10:00,0.82116
2019/12/01 11:15:00,0.7076
2019/12/01 11:20:00,0.59648
2019/12/01 11:25:00,0.49082
2019/12/01 11:30:00,0.38787
2019/12/01 11:35:00,0.28721
2019/12/01 11:40:00,0.19074
2019/12/01 11:45:00,0.10201
2019/12/01 11:50:00,0.026752
2019/12/01 11:55:00,-0.029857
2019/12/01 12:00:00,-0.066342
2019/12/01 12:05:00,-0.083728
2019/12/01 12:10:00,-0.083166
2019/12/01 12:15:00,-0.066307
2019/12/01 12:20:00,-0.037416
2019/12/01 12:25:00,-0.0045319
2019/12/01 12:30:00,0.023166
2019/12/01 12:35:00,0.037464
2019/12/01 12:40:00,0.031898
2019/12/01 12:45:00,0.0035437
2019/12/01 12:50:00,-0.046926
2019/12/01 12:55:00,-0.11586
2019/12/01 13:00:00,-0.19605
2019/12/01 13:05:00,-0.28019
2019/12/01 13:10:00,-0.36487
2019/12/01 13:15:00,-0.45257
2019/12/01 13:20:00,-0.54734
2019/12/01 13:25:00,-0.64878
2019/12/01 13:30:00,-0.75191
2019/12/01 13:35:00,-0.84886
2019/12/01 13:40:00,-0.93056
2019/12/01 13:45:00,-0.99072
2019/12/01 13:50:00,-1.0279
2019/12/01 13:55:00,-1.0457
2019/12/01 14:00:00,-1.0495
2019/12/01 14:05:00,-1.0427
2019/12/01 14:10:00,-1.0257
2019/12/01 14:15:00,-0.99893
2019/12/01 14:20:00,-0.96492
2019/12/01 14:25:00,-0.92757
2019/12/01 14:30:00,-0.88984
2019/12/01 14:35:00,-0.8556
2019/12/01 14:40:00,-0.82773
2019/12/01 14:45:00,-0.80701
2019/12/01 14:50:00,-0.79547
2019/12/01 14:55:00,-0.79496
2019/12/01 15:00:00,-0.80726
2019/12/01 15:05:00,-0.83589
2019/12/01 15:10:00,-0.88007
2019/12/01 15:15:00,-0.93384
2019/12/01 15:20:00,-0.99146
2019/12/01 15:25:00,-1.046
2019/12/01 15:30:00,-1.092
2019/12/01 15:35:00,-1.1283
2019/12/01 15:40:00,-1.1571
2019/12/01 15:45:00,-1.1806
2019/12/01 15:50:00,-1.1984
2019/12/01 15:55:00,-1.2066
2019/12/01 16:00:00,-1.2004
2019/12/01 16:05:00,-1.1757
2019/12/01 16:10:00,-1.1312
2019/12/01 16:15:00,-1.0689
2019/12/01 16:20:00,-0.99406
2019/12/01 16:25:00,-0.91345
2019/12/01 16:30:00,-0.83229
2019/12/01 16:35:00,-0.75448
2019/12/01 16:40:00,-0.68328
2019/12/01 16:45:00,-0.62189
2019/12/01 16:50:00,-0.57377
2019/12/01 16:55:00,-0.54144
2019/12/01 17:00:00,-0.52401
2019/12/01 17:05:00,-0.51616
2019/12/01 17:10:00,-0.51112
2019/12/01 17:15:00,-0.5107
2019/12/01 17:20:00,-0.51642
2019/12/01 17:25:00,-0.5258
2019/12/01 17:30:00,-0.53897
2019/12/01 17:35:00,-0.55632
2019/12/01 17:40:00,-0.57428
2019/12/01 17:45:00,-0.58364
2019/12/01 17:50:00,-0.57625
2019/12/01 17:55:00,-0.54836
2019/12/01 18:00:00,-0.50027
2019/12/01 18:05:00,-0.43586
2019/12/01 18:10:00,-0.35901
2019/12/01 18:15:00,-0.27547
2019/12/01 18:20:00,-0.18834
2019/12/01 18:25:00,-0.096485
2019/12/01 18:30:00,0.00065289
2019/12/01 18:35:00,0.099218
2019/12/01 18:40:00,0.1935
2019/12/01 18:45:00,0.28083
2019/12/01 18:50:00,0.35435
2019/12/01 18:55:00,0.40799
2019/12/01 19:00:00,0.44047
2019/12/01 19:05:00,0.45424
2019/12/01 19:10:00,0.45022
2019/12/01 19:15:00,0.43357
2019/12/01 19:20:00,0.41278
2019/12/01 19:25:00,0.38848
2019/12/01 19:30:00,0.36353
2019/12/01 19:35:00,0.34496
2019/12/01 19:40:00,0.33342
2019/12/01 19:45:00,0.33099
2019/12/01 19:50:00,0.33996
2019/12/01 19:55:00,0.3566
2019/12/01 20:00:00,0.38162
2019/12/01 20:05:00,0.41829
2019/12/01 20:10:00,0.46518
2019/12/01 20:15:00,0.52126
2019/12/01 20:20:00,0.58616
2019/12/01 20:25:00,0.65567
2019/12/01 20:30:00,0.72399
2019/12/01 20:35:00,0.78647
2019/12/01 20:40:00,0.83751
2019/12/01 20:45:00,0.87492
2019/12/01 20:50:00,0.89905
2019/12/01 20:55:00,0.91258
2019/12/01 21:00:00,0.91758
2019/12/01 21:05:00,0.91458
2019/12/01 21:10:00,0.90426
2019/12/01 21:15:00,0.88345
2019/12/01 21:20:00,0.84932
2019/12/01 21:25:00,0.80369
2019/12/01 21:30:00,0.75319
2019/12/01 21:35:00,0.70401
2019/12/01 21:40:00,0.65698
2019/12/01 21:45:00,0.61502
2019/12/01 21:50:00,0.58247
2019/12/01 21:55:00,0.56066
2019/12/01 22:00:00,0.54929
2019/12/01 22:05:00,0.54889
2019/12/01 22:10:00,0.55854
2019/12/01 22:15:00,0.57544
2019/12/01 22:20:00,0.59777
2019/12/01 22:25:00,0.62295
2019/12/01 22:30:00,0.6476
2019/12/01 22:35:00,0.67027
2019/12/01 22:40:00,0.68939
2019/12/01 22:45:00,0.70389
2019/12/01 22:50:00,0.71199
2019/12/01 22:55:00,0.70908
2019/12/01 23:00:00,0.69167
2019/12/01 23:05:00,0.65667
2019/12/01 23:10:00,0.60392
2019/12/01 23:15:00,0.53663
2019/12/01 23:20:00,0.45902
2019/12/01 23:25:00,0.3763
2019/12/01 23:30:00,0.29208
2019/12/01 23:35:00,0.20895
2019/12/01 23:40:00,0.13094
2019/12/01 23:45:00,0.059795
2019/12/01 23:50:00,-0.0046022
2019/12/01 23:55:00,-0.06023
2019/12/02 00:00:00,-0.10463
2019/12/02 00:05:00,-0.13664
2019/12/02 00:10:00,-0.15618
2019/12/02 00:15:00,-0.16404
2019/12/02 00:20:00,-0.16212
2019/12/02 00:25:00,-0.15387
2019/12/02 00:30:00,-0.14282
2019/12/02 00:35:00,-0.13194
2019/12/02 00:40:00,-0.12446
2019/12/02 00:45:00,-0.12395
2019/12/02 00:50:00,-0.13273
2019/12/02 00:55:00,-0.1513
2019/12/02 01:00:00,-0.17988
2019/12/02 01:05:00,-0.21806
2019/12/02 01:10:00,-0.26487
2019/12/02 01:15:00,-0.31954
2019/12/02 01:20:00,-0.3815
2019/12/02 01:25:00,-0.44968
2019/12/02 01:30:00,-0.52258
2019/12/02 01:35:00,-0.59742
2019/12/02 01:40:00,-0.66955
2019/12/02 01:45:00,-0.73439
2019/12/02 01:50:00,-0.78831
2019/12/02 01:55:00,-0.8287
2019/12/02 02:00:00,-0.85422
2019/12/02 02:05:00,-0.86541
2019/12/02 02:10:00,-0.86512
2019/12/02 02:15:00,-0.8565
2019/12/02 02:20:00,-0.84146
2019/12/02 02:25:00,-0.82104
2019/12/02 02:30:00,-0.79722
2019/12/02 02:35:00,-0.7714
2019/12/02 02:40:00,-0.74511
2019/12/02 02:45:00,-0.72146
2019/12/02 02:50:00,-0.70252
2019/12/02 02:55:00,-0.69021
2019/12/02 03:00:00,-0.68693
2019/12/02 03:05:00,-0.69375
2019/12/02 03:10:00,-0.71094
2019/12/02 03:15:00,-0.73777
2019/12/02 03:20:00,-0.77197
2019/12/02 03:25:00,-0.81059
2019/12/02 03:30:00,-0.85105
2019/12/02 03:35:00,-0.8897
2019/12/02 03:40:00,-0.92292
2019/12/02 03:45:00,-0.94926
2019/12/02 03:50:00,-0.96798
2019/12/02 03:55:00,-0.9777
2019/12/02 04:00:00,-0.97778
2019/12/02 04:05:00,-0.96739
2019/12/02 04:10:00,-0.94511
2019/12/02 04:15:00,-0.91056
2019/12/02 04:20:00,-0.86441
2019/12/02 04:25:00,-0.80871
2019/12/02 04:30:00,-0.74645
2019/12/02 04:35:00,-0.68112
2019/12/02 04:40:00,-0.61616
2019/12/02 04:45:00,-0.55409
2019/12/02 04:50:00,-0.49694
2019/12/02 04:55:00,-0.44625
2019/12/02 05:00:00,-0.40192
2019/12/02 05:05:00,-0.36469
2019/12/02 05:10:00,-0.33655
2019/12/02 05:15:00,-0.31749
2019/12/02 05:20:00,-0.30603
2019/12/02 05:25:00,-0.30116
2019/12/02 05:30:00,-0.30195
2019/12/02 05:35:00,-0.30539
2019/12/02 05:40:00,-0.3089
2019/12/02 05:45:00,-0.31072
2019/12/02 05:50:00,-0.30786
2019/12/02 05:55:00,-0.29567
2019/12/02 06:00:00,-0.27141
2019/12/02 06:05:00,-0.23568
2019/12/02 06:10:00,-0.18843
2019/12/02 06:15:00,-0.13036
2019/12/02 06:20:00,-0.06375
2019/12/02 06:25:00,0.0082266
2019/12/02 06:30:00,0.084103
2019/12/02 06:35:00,0.16207
2019/12/02 06:40:00,0.23958
2019/12/02 06:45:00,0.31512
2019/12/02 06:50:00,0.38577
2019/12/02 06:55:00,0.44911
2019/12/02 07:00:00,0.50129
2019/12/02 07:05:00,0.5422
2019/12/02 07:10:00,0.56911
2019/12/02 07:15:00,0.58671
2019/12/02 07:20:00,0.59545
2019/12/02 07:25:00,0.59438
2019/12/02 07:30:00,0.59012
2019/12/02 07:35:00,0.58625
2019/12/02 07:40:00,0.58141
2019/12/02 07:45:00,0.57775
2019/12/02 07:50:00,0.57904
2019/12/02 07:55:00,0.58763
2019/12/02 08:00:00,0.60237
2019/12/02 08:05:00,0.6231
2019/12/02 08:10:00,0.65349
2019/12/02 08:15:00,0.69385
2019/12/02 08:20:00,0.74139
2019/12/02 08:25:00,0.79499
2019/12/02 08:30:00,0.8536
2019/12/02 08:35:00,0.91453
2019/12/02 08:40:00,0.97389
2019/12/02 08:45:00,1.0286
2019/12/02 08:50:00,1.0762
2019/12/02 08:55:00,1.1138
2019/12/02 09:00:00,1.1417
2019/12/02 09:05:00,1.1596
2019/12/02 09:10:00,1.1674
2019/12/02 09:15:00,1.1666
2019/12/02 09:20:00,1.1562
2019/12/02 09:25:00,1.136
2019/12/02 09:30:00,1.1086
2019/12/02 09:35:00,1.076
2019/12/02 09:40:00,1.0397
2019/12/02 09:45:00,1.0026
2019/12/02 09:50:00,0.96846
2019/12/02 09:55:00,0.93935
2019/12/02 10:00:00,0.91694
2019/12/02 10:05:00,0.90236
2019/12/02 10:10:00,0.89549
2019/12/02 10:15:00,0.89519
2019/12/02 10:20:00,0.90075
2019/12/02 10:25:00,0.91157
2019/12/02 10:30:00,0.92575
2019/12/02 10:35:00,0.94088
2019/12/02 10:40:00,0.95538
2019/12/02 10:45:00,0.96746
2019/12/02 10:50:00,0.97497
2019/12/02 10:55:00,0.97625
2019/12/02 11:00:00,0.96984
2019/12/02 11:05:00,0.95388
2019/12/02 11:10:00,0.927
2019/12/02 11:15:00,0.88923
2019/12/02 11:20:00,0.84172
2019/12/02 11:25:00,0.78595
2019/12/02 11:30:00,0.72414
2019/12/02 11:35:00,0.6587
2019/12/02 11:40:00,0.59172
2019/12/02 11:45:00,0.52522
2019/12/02 11:50:00,0.46139
2019/12/02 11:55:00,0.40208
2019/12/02 12:00:00,0.34837
2019/12/02 12:05:00,0.30183
2019/12/02 12:10:00,0.26395
2019/12/02 12:15:00,0.23503
2019/12/02 12:20:00,0.21496
2019/12/02 12:25:00,0.20321
2019/12/02 12:30:00,0.19778
