Time [yyyy/MM/dd HH:mm:ss],Kleppsbakki: water level (waterlevel) at Kleppsbakki_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,5.8393E-68
2019/12/01 00:10:00,5.8702E-58
2019/12/01 00:15:00,1.8104E-50
2019/12/01 00:20:00,4.0226E-44
2019/12/01 00:25:00,1.477E-38
2019/12/01 00:30:00,1.3386E-33
2019/12/01 00:35:00,3.7895E-29
2019/12/01 00:40:00,3.903E-25
2019/12/01 00:45:00,1.6236E-21
2019/12/01 00:50:00,2.936E-18
2019/12/01 00:55:00,2.4306E-15
2019/12/01 01:00:00,9.5407E-13
2019/12/01 01:05:00,1.8131E-10
2019/12/01 01:10:00,1.6792E-08
2019/12/01 01:15:00,7.4925E-07
2019/12/01 01:20:00,1.5355E-05
2019/12/01 01:25:00,0.00012008
2019/12/01 01:30:00,-0.00012454
2019/12/01 01:35:00,-0.0067291
2019/12/01 01:40:00,-0.03979
2019/12/01 01:45:00,-0.12401
2019/12/01 01:50:00,-0.2685
2019/12/01 01:55:00,-0.46912
2019/12/01 02:00:00,-0.70905
2019/12/01 02:05:00,-0.96445
2019/12/01 02:10:00,-1.2223
2019/12/01 02:15:00,-1.4858
2019/12/01 02:20:00,-1.7579
2019/12/01 02:25:00,-2.0303
2019/12/01 02:30:00,-2.2911
2019/12/01 02:35:00,-2.5236
2019/12/01 02:40:00,-2.6939
2019/12/01 02:45:00,-2.7417
2019/12/01 02:50:00,-2.5961
2019/12/01 02:55:00,-2.3611
2019/12/01 03:00:00,-2.2635
2019/12/01 03:05:00,-2.2777
2019/12/01 03:10:00,-2.227
2019/12/01 03:15:00,-2.1016
2019/12/01 03:20:00,-1.9817
2019/12/01 03:25:00,-1.8774
2019/12/01 03:30:00,-1.7147
2019/12/01 03:35:00,-1.5117
2019/12/01 03:40:00,-1.378
2019/12/01 03:45:00,-1.2199
2019/12/01 03:50:00,-0.98006
2019/12/01 03:55:00,-0.69006
2019/12/01 04:00:00,-0.41167
2019/12/01 04:05:00,-0.17269
2019/12/01 04:10:00,0.039922
2019/12/01 04:15:00,0.1801
2019/12/01 04:20:00,0.19667
2019/12/01 04:25:00,0.18543
2019/12/01 04:30:00,0.10079
2019/12/01 04:35:00,0.022242
2019/12/01 04:40:00,0.024109
2019/12/01 04:45:00,0.0069005
2019/12/01 04:50:00,-0.057081
2019/12/01 04:55:00,-0.12133
2019/12/01 05:00:00,-0.17416
2019/12/01 05:05:00,-0.20847
2019/12/01 05:10:00,-0.20994
2019/12/01 05:15:00,-0.16577
2019/12/01 05:20:00,-0.11341
2019/12/01 05:25:00,-0.062153
2019/12/01 05:30:00,-0.021916
2019/12/01 05:35:00,-0.029834
2019/12/01 05:40:00,-0.09264
2019/12/01 05:45:00,-0.16003
2019/12/01 05:50:00,-0.22345
2019/12/01 05:55:00,-0.26417
2019/12/01 06:00:00,-0.24999
2019/12/01 06:05:00,-0.19576
2019/12/01 06:10:00,-0.1503
2019/12/01 06:15:00,-0.11526
2019/12/01 06:20:00,-0.080044
2019/12/01 06:25:00,-0.076934
2019/12/01 06:30:00,-0.10823
2019/12/01 06:35:00,-0.13532
2019/12/01 06:40:00,-0.15937
2019/12/01 06:45:00,-0.19384
2019/12/01 06:50:00,-0.20002
2019/12/01 06:55:00,-0.14952
2019/12/01 07:00:00,-0.060585
2019/12/01 07:05:00,0.073227
2019/12/01 07:10:00,0.2739
2019/12/01 07:15:00,0.50355
2019/12/01 07:20:00,0.73965
2019/12/01 07:25:00,0.96836
2019/12/01 07:30:00,1.1995
2019/12/01 07:35:00,1.4429
2019/12/01 07:40:00,1.6717
2019/12/01 07:45:00,1.8628
2019/12/01 07:50:00,1.9985
2019/12/01 07:55:00,2.1334
2019/12/01 08:00:00,2.2415
2019/12/01 08:05:00,2.2796
2019/12/01 08:10:00,2.2513
2019/12/01 08:15:00,2.2358
2019/12/01 08:20:00,2.2648
2019/12/01 08:25:00,2.2702
2019/12/01 08:30:00,2.2797
2019/12/01 08:35:00,2.2941
2019/12/01 08:40:00,2.2792
2019/12/01 08:45:00,2.2105
2019/12/01 08:50:00,2.1056
2019/12/01 08:55:00,1.9831
2019/12/01 09:00:00,1.8716
2019/12/01 09:05:00,1.7698
2019/12/01 09:10:00,1.692
2019/12/01 09:15:00,1.6387
2019/12/01 09:20:00,1.5964
2019/12/01 09:25:00,1.5557
2019/12/01 09:30:00,1.5082
2019/12/01 09:35:00,1.4479
2019/12/01 09:40:00,1.3762
2019/12/01 09:45:00,1.297
2019/12/01 09:50:00,1.2183
2019/12/01 09:55:00,1.1512
2019/12/01 10:00:00,1.1057
2019/12/01 10:05:00,1.0839
2019/12/01 10:10:00,1.0785
2019/12/01 10:15:00,1.0778
2019/12/01 10:20:00,1.0699
2019/12/01 10:25:00,1.0433
2019/12/01 10:30:00,0.99673
2019/12/01 10:35:00,0.9313
2019/12/01 10:40:00,0.85924
2019/12/01 10:45:00,0.79985
2019/12/01 10:50:00,0.76672
2019/12/01 10:55:00,0.76194
2019/12/01 11:00:00,0.77832
2019/12/01 11:05:00,0.81679
2019/12/01 11:10:00,0.87939
2019/12/01 11:15:00,0.96088
2019/12/01 11:20:00,1.0534
2019/12/01 11:25:00,1.1558
2019/12/01 11:30:00,1.251
2019/12/01 11:35:00,1.3271
2019/12/01 11:40:00,1.3817
2019/12/01 11:45:00,1.4123
2019/12/01 11:50:00,1.4201
2019/12/01 11:55:00,1.4029
2019/12/01 12:00:00,1.3514
2019/12/01 12:05:00,1.2739
2019/12/01 12:10:00,1.189
2019/12/01 12:15:00,1.1034
2019/12/01 12:20:00,1.0048
2019/12/01 12:25:00,0.88373
2019/12/01 12:30:00,0.73308
2019/12/01 12:35:00,0.55763
2019/12/01 12:40:00,0.36865
2019/12/01 12:45:00,0.17656
2019/12/01 12:50:00,-0.0098381
2019/12/01 12:55:00,-0.18695
2019/12/01 13:00:00,-0.35745
2019/12/01 13:05:00,-0.51143
2019/12/01 13:10:00,-0.64061
2019/12/01 13:15:00,-0.74421
2019/12/01 13:20:00,-0.83014
2019/12/01 13:25:00,-0.90923
2019/12/01 13:30:00,-0.98424
2019/12/01 13:35:00,-1.0478
2019/12/01 13:40:00,-1.0904
2019/12/01 13:45:00,-1.109
2019/12/01 13:50:00,-1.11
2019/12/01 13:55:00,-1.1057
2019/12/01 14:00:00,-1.1082
2019/12/01 14:05:00,-1.1267
2019/12/01 14:10:00,-1.1637
2019/12/01 14:15:00,-1.2137
2019/12/01 14:20:00,-1.2647
2019/12/01 14:25:00,-1.3058
2019/12/01 14:30:00,-1.3319
2019/12/01 14:35:00,-1.3432
2019/12/01 14:40:00,-1.3416
2019/12/01 14:45:00,-1.3295
2019/12/01 14:50:00,-1.3091
2019/12/01 14:55:00,-1.2808
2019/12/01 15:00:00,-1.2434
2019/12/01 15:05:00,-1.1947
2019/12/01 15:10:00,-1.1368
2019/12/01 15:15:00,-1.0687
2019/12/01 15:20:00,-0.99823
2019/12/01 15:25:00,-0.93624
