Time [yyyy/MM/dd HH:mm:ss],Landeyjahofn: water level (waterlevel) at Landeyjahofn_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-1.2186E-22
2019/12/01 00:10:00,-3.4017E-15
2019/12/01 00:15:00,-2.4057E-10
2019/12/01 00:20:00,-8.4581E-07
2019/12/01 00:25:00,-0.00030906
2019/12/01 00:30:00,-0.015545
2019/12/01 00:35:00,-0.12479
2019/12/01 00:40:00,-0.26753
2019/12/01 00:45:00,-0.4029
2019/12/01 00:50:00,-0.58638
2019/12/01 00:55:00,-0.68174
2019/12/01 01:00:00,-0.73957
2019/12/01 01:05:00,-0.77299
2019/12/01 01:10:00,-0.79516
2019/12/01 01:15:00,-0.84899
2019/12/01 01:20:00,-0.95265
2019/12/01 01:25:00,-1.0675
2019/12/01 01:30:00,-1.1459
2019/12/01 01:35:00,-1.0587
2019/12/01 01:40:00,-0.92567
2019/12/01 01:45:00,-0.87977
2019/12/01 01:50:00,-0.76819
2019/12/01 01:55:00,-0.83382
2019/12/01 02:00:00,-0.90788
2019/12/01 02:05:00,-0.94899
2019/12/01 02:10:00,-0.99926
2019/12/01 02:15:00,-0.93104
2019/12/01 02:20:00,-0.91132
2019/12/01 02:25:00,-0.82861
2019/12/01 02:30:00,-0.77123
2019/12/01 02:35:00,-0.73991
2019/12/01 02:40:00,-0.70473
2019/12/01 02:45:00,-0.58694
2019/12/01 02:50:00,-0.47977
2019/12/01 02:55:00,-0.46163
2019/12/01 03:00:00,-0.56098
2019/12/01 03:05:00,-0.75061
2019/12/01 03:10:00,-0.93182
2019/12/01 03:15:00,-1.0535
2019/12/01 03:20:00,-1.0386
2019/12/01 03:25:00,-0.9808
2019/12/01 03:30:00,-0.91791
2019/12/01 03:35:00,-0.8361
2019/12/01 03:40:00,-0.79276
2019/12/01 03:45:00,-0.78806
2019/12/01 03:50:00,-0.77666
2019/12/01 03:55:00,-0.70064
2019/12/01 04:00:00,-0.60251
2019/12/01 04:05:00,-0.47616
2019/12/01 04:10:00,-0.36321
2019/12/01 04:15:00,-0.28065
2019/12/01 04:20:00,-0.24296
2019/12/01 04:25:00,-0.26179
2019/12/01 04:30:00,-0.27522
2019/12/01 04:35:00,-0.21118
2019/12/01 04:40:00,-0.10657
2019/12/01 04:45:00,-0.0047738
2019/12/01 04:50:00,0.034181
2019/12/01 04:55:00,0.024875
2019/12/01 05:00:00,0.0039316
2019/12/01 05:05:00,-0.038255
2019/12/01 05:10:00,-0.088527
2019/12/01 05:15:00,-0.10539
2019/12/01 05:20:00,-0.08804
2019/12/01 05:25:00,-0.053141
2019/12/01 05:30:00,-0.030506
2019/12/01 05:35:00,-0.044796
2019/12/01 05:40:00,-0.018047
2019/12/01 05:45:00,0.077071
2019/12/01 05:50:00,0.20814
2019/12/01 05:55:00,0.33705
2019/12/01 06:00:00,0.43466
2019/12/01 06:05:00,0.49858
2019/12/01 06:10:00,0.53387
2019/12/01 06:15:00,0.54868
2019/12/01 06:20:00,0.56947
2019/12/01 06:25:00,0.61024
2019/12/01 06:30:00,0.66907
2019/12/01 06:35:00,0.73723
2019/12/01 06:40:00,0.80551
2019/12/01 06:45:00,0.86468
2019/12/01 06:50:00,0.90004
2019/12/01 06:55:00,0.90184
2019/12/01 07:00:00,0.9068
2019/12/01 07:05:00,0.92145
2019/12/01 07:10:00,0.92785
2019/12/01 07:15:00,0.91085
2019/12/01 07:20:00,0.85559
2019/12/01 07:25:00,0.7829
2019/12/01 07:30:00,0.74095
2019/12/01 07:35:00,0.7497
2019/12/01 07:40:00,0.80078
2019/12/01 07:45:00,0.8655
2019/12/01 07:50:00,0.92327
2019/12/01 07:55:00,0.95615
2019/12/01 08:00:00,0.97013
2019/12/01 08:05:00,0.98944
2019/12/01 08:10:00,1.0346
2019/12/01 08:15:00,1.1124
2019/12/01 08:20:00,1.1919
2019/12/01 08:25:00,1.2437
2019/12/01 08:30:00,1.2611
