Time [yyyy/MM/dd HH:mm:ss],Sandgerdi: water level (waterlevel) at Sandgerdi_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-8.3196E-37
2019/12/01 00:10:00,-2.2009E-28
2019/12/01 00:15:00,-1.8661E-22
2019/12/01 00:20:00,-1.0518E-17
2019/12/01 00:25:00,-8.8881E-14
2019/12/01 00:30:00,-1.6502E-10
2019/12/01 00:35:00,-8.3214E-08
2019/12/01 00:40:00,-1.2906E-05
2019/12/01 00:45:00,-0.00066205
2019/12/01 00:50:00,-0.011714
2019/12/01 00:55:00,-0.075729
2019/12/01 01:00:00,-0.2155
2019/12/01 01:05:00,-0.35497
2019/12/01 01:10:00,-0.43296
2019/12/01 01:15:00,-0.49114
2019/12/01 01:20:00,-0.61515
2019/12/01 01:25:00,-0.78884
2019/12/01 01:30:00,-0.94029
2019/12/01 01:35:00,-1.0494
2019/12/01 01:40:00,-1.1517
2019/12/01 01:45:00,-1.2842
2019/12/01 01:50:00,-1.4156
2019/12/01 01:55:00,-1.4251
2019/12/01 02:00:00,-1.203
2019/12/01 02:05:00,-0.95872
2019/12/01 02:10:00,-0.99641
2019/12/01 02:15:00,-1.2374
2019/12/01 02:20:00,-1.3795
2019/12/01 02:25:00,-1.3709
2019/12/01 02:30:00,-1.3024
2019/12/01 02:35:00,-1.3192
2019/12/01 02:40:00,-1.4465
2019/12/01 02:45:00,-1.4717
2019/12/01 02:50:00,-1.3909
2019/12/01 02:55:00,-1.2991
2019/12/01 03:00:00,-1.2981
2019/12/01 03:05:00,-1.3136
2019/12/01 03:10:00,-1.2234
2019/12/01 03:15:00,-1.077
2019/12/01 03:20:00,-1.0074
2019/12/01 03:25:00,-1.0293
2019/12/01 03:30:00,-1.0316
2019/12/01 03:35:00,-0.96564
2019/12/01 03:40:00,-0.89716
2019/12/01 03:45:00,-0.89288
2019/12/01 03:50:00,-0.90383
2019/12/01 03:55:00,-0.83608
2019/12/01 04:00:00,-0.73181
2019/12/01 04:05:00,-0.71581
2019/12/01 04:10:00,-0.75716
2019/12/01 04:15:00,-0.73494
2019/12/01 04:20:00,-0.62346
2019/12/01 04:25:00,-0.51341
2019/12/01 04:30:00,-0.47849
2019/12/01 04:35:00,-0.49201
2019/12/01 04:40:00,-0.50299
2019/12/01 04:45:00,-0.44557
2019/12/01 04:50:00,-0.31177
2019/12/01 04:55:00,-0.18162
2019/12/01 05:00:00,-0.10776
2019/12/01 05:05:00,-0.044255
2019/12/01 05:10:00,0.046106
2019/12/01 05:15:00,0.09862
2019/12/01 05:20:00,0.072639
2019/12/01 05:25:00,0.00052809
2019/12/01 05:30:00,-0.045339
2019/12/01 05:35:00,-0.058057
2019/12/01 05:40:00,-0.066445
2019/12/01 05:45:00,-0.085671
2019/12/01 05:50:00,-0.12133
2019/12/01 05:55:00,-0.14495
2019/12/01 06:00:00,-0.1393
2019/12/01 06:05:00,-0.10557
2019/12/01 06:10:00,-0.034905
2019/12/01 06:15:00,0.071829
2019/12/01 06:20:00,0.20294
2019/12/01 06:25:00,0.33279
2019/12/01 06:30:00,0.426
2019/12/01 06:35:00,0.49667
2019/12/01 06:40:00,0.5795
2019/12/01 06:45:00,0.67771
2019/12/01 06:50:00,0.77476
2019/12/01 06:55:00,0.86065
2019/12/01 07:00:00,0.91427
2019/12/01 07:05:00,0.90592
2019/12/01 07:10:00,0.88076
2019/12/01 07:15:00,0.90992
2019/12/01 07:20:00,0.98834
2019/12/01 07:25:00,1.0882
2019/12/01 07:30:00,1.1779
2019/12/01 07:35:00,1.2302
2019/12/01 07:40:00,1.2606
2019/12/01 07:45:00,1.2921
2019/12/01 07:50:00,1.332
2019/12/01 07:55:00,1.3909
2019/12/01 08:00:00,1.4758
2019/12/01 08:05:00,1.5725
2019/12/01 08:10:00,1.6632
2019/12/01 08:15:00,1.7268
2019/12/01 08:20:00,1.7455
2019/12/01 08:25:00,1.741
2019/12/01 08:30:00,1.7363
2019/12/01 08:35:00,1.7266
2019/12/01 08:40:00,1.7074
2019/12/01 08:45:00,1.6864
2019/12/01 08:50:00,1.655
2019/12/01 08:55:00,1.6042
2019/12/01 09:00:00,1.5483
2019/12/01 09:05:00,1.5089
2019/12/01 09:10:00,1.496
2019/12/01 09:15:00,1.5049
2019/12/01 09:20:00,1.516
2019/12/01 09:25:00,1.508
2019/12/01 09:30:00,1.4793
2019/12/01 09:35:00,1.4374
2019/12/01 09:40:00,1.3886
2019/12/01 09:45:00,1.3396
2019/12/01 09:50:00,1.3015
2019/12/01 09:55:00,1.2721
2019/12/01 10:00:00,1.2371
2019/12/01 10:05:00,1.191
2019/12/01 10:10:00,1.1402
2019/12/01 10:15:00,1.097
