Time [yyyy/MM/dd HH:mm:ss],Skarfagardur: water level (waterlevel) at Skarfagardur_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,2.0372E-66
2019/12/01 00:10:00,1.8048E-56
2019/12/01 00:15:00,4.8903E-49
2019/12/01 00:20:00,9.5034E-43
2019/12/01 00:25:00,3.0358E-37
2019/12/01 00:30:00,2.3798E-32
2019/12/01 00:35:00,5.7897E-28
2019/12/01 00:40:00,5.0875E-24
2019/12/01 00:45:00,1.7908E-20
2019/12/01 00:50:00,2.7145E-17
2019/12/01 00:55:00,1.8633E-14
2019/12/01 01:00:00,5.9866E-12
2019/12/01 01:05:00,9.1676E-10
2019/12/01 01:10:00,6.706E-08
2019/12/01 01:15:00,2.2956E-06
2019/12/01 01:20:00,3.4102E-05
2019/12/01 01:25:00,0.00014952
2019/12/01 01:30:00,-0.0010195
2019/12/01 01:35:00,-0.012806
2019/12/01 01:40:00,-0.056844
2019/12/01 01:45:00,-0.15204
2019/12/01 01:50:00,-0.29965
2019/12/01 01:55:00,-0.49363
2019/12/01 02:00:00,-0.72404
2019/12/01 02:05:00,-0.97401
2019/12/01 02:10:00,-1.2333
2019/12/01 02:15:00,-1.5009
2019/12/01 02:20:00,-1.7761
2019/12/01 02:25:00,-2.0525
2019/12/01 02:30:00,-2.3162
2019/12/01 02:35:00,-2.5399
2019/12/01 02:40:00,-2.6717
2019/12/01 02:45:00,-2.6666
2019/12/01 02:50:00,-2.5518
2019/12/01 02:55:00,-2.4049
2019/12/01 03:00:00,-2.2995
2019/12/01 03:05:00,-2.2544
2019/12/01 03:10:00,-2.2024
2019/12/01 03:15:00,-2.1027
2019/12/01 03:20:00,-1.9868
2019/12/01 03:25:00,-1.8618
2019/12/01 03:30:00,-1.6996
2019/12/01 03:35:00,-1.5259
2019/12/01 03:40:00,-1.3727
2019/12/01 03:45:00,-1.1941
2019/12/01 03:50:00,-0.95489
2019/12/01 03:55:00,-0.66772
2019/12/01 04:00:00,-0.38181
2019/12/01 04:05:00,-0.14654
