Time [yyyy/MM/dd HH:mm:ss],Torlakshofn: water level (waterlevel) at Torlakshofn_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-1.3565E-38
2019/12/01 00:10:00,-7.176E-30
2019/12/01 00:15:00,-1.1658E-23
2019/12/01 00:20:00,-1.202E-18
2019/12/01 00:25:00,-1.7662E-14
2019/12/01 00:30:00,-5.3916E-11
2019/12/01 00:35:00,-4.1967E-08
2019/12/01 00:40:00,-9.3374E-06
2019/12/01 00:45:00,-0.00062989
2019/12/01 00:50:00,-0.013284
2019/12/01 00:55:00,-0.093434
2019/12/01 01:00:00,-0.26916
2019/12/01 01:05:00,-0.45284
2019/12/01 01:10:00,-0.60933
2019/12/01 01:15:00,-0.7736
2019/12/01 01:20:00,-0.96184
2019/12/01 01:25:00,-1.1811
2019/12/01 01:30:00,-1.3992
2019/12/01 01:35:00,-1.5712
2019/12/01 01:40:00,-1.7173
2019/12/01 01:45:00,-1.8548
2019/12/01 01:50:00,-1.9053
2019/12/01 01:55:00,-1.7229
2019/12/01 02:00:00,-1.3649
2019/12/01 02:05:00,-1.1102
2019/12/01 02:10:00,-0.94891
2019/12/01 02:15:00,-0.84943
2019/12/01 02:20:00,-0.73317
2019/12/01 02:25:00,-0.58198
2019/12/01 02:30:00,-0.34987
2019/12/01 02:35:00,-0.17885
2019/12/01 02:40:00,-0.12693
2019/12/01 02:45:00,-0.15657
2019/12/01 02:50:00,-0.26017
2019/12/01 02:55:00,-0.46707
2019/12/01 03:00:00,-0.64311
2019/12/01 03:05:00,-0.73607
2019/12/01 03:10:00,-0.81463
2019/12/01 03:15:00,-0.91047
2019/12/01 03:20:00,-0.96379
2019/12/01 03:25:00,-1.0519
2019/12/01 03:30:00,-1.2599
2019/12/01 03:35:00,-1.4596
2019/12/01 03:40:00,-1.5232
2019/12/01 03:45:00,-1.4861
2019/12/01 03:50:00,-1.4208
2019/12/01 03:55:00,-1.3428
2019/12/01 04:00:00,-1.2131
2019/12/01 04:05:00,-0.9933
2019/12/01 04:10:00,-0.73856
2019/12/01 04:15:00,-0.50568
2019/12/01 04:20:00,-0.23248
2019/12/01 04:25:00,0.11949
2019/12/01 04:30:00,0.33441
2019/12/01 04:35:00,0.4431
2019/12/01 04:40:00,0.48228
2019/12/01 04:45:00,0.45037
2019/12/01 04:50:00,0.38721
2019/12/01 04:55:00,0.31766
2019/12/01 05:00:00,0.19562
2019/12/01 05:05:00,0.045791
2019/12/01 05:10:00,-0.058052
2019/12/01 05:15:00,-0.14964
2019/12/01 05:20:00,-0.22065
2019/12/01 05:25:00,-0.26761
2019/12/01 05:30:00,-0.30973
2019/12/01 05:35:00,-0.34621
2019/12/01 05:40:00,-0.36183
2019/12/01 05:45:00,-0.33959
2019/12/01 05:50:00,-0.29066
2019/12/01 05:55:00,-0.24235
2019/12/01 06:00:00,-0.16316
2019/12/01 06:05:00,-0.0093882
2019/12/01 06:10:00,0.21339
2019/12/01 06:15:00,0.4866
2019/12/01 06:20:00,0.78131
2019/12/01 06:25:00,1.0199
2019/12/01 06:30:00,1.185
2019/12/01 06:35:00,1.3104
2019/12/01 06:40:00,1.335
2019/12/01 06:45:00,1.3755
2019/12/01 06:50:00,1.4499
2019/12/01 06:55:00,1.4491
2019/12/01 07:00:00,1.3156
2019/12/01 07:05:00,1.1607
2019/12/01 07:10:00,1.0361
2019/12/01 07:15:00,0.93836
2019/12/01 07:20:00,0.86783
2019/12/01 07:25:00,0.80484
2019/12/01 07:30:00,0.74347
2019/12/01 07:35:00,0.67758
2019/12/01 07:40:00,0.61832
2019/12/01 07:45:00,0.58765
2019/12/01 07:50:00,0.59744
2019/12/01 07:55:00,0.62594
2019/12/01 08:00:00,0.67812
2019/12/01 08:05:00,0.78801
2019/12/01 08:10:00,0.9471
2019/12/01 08:15:00,1.1328
2019/12/01 08:20:00,1.3289
2019/12/01 08:25:00,1.5138
2019/12/01 08:30:00,1.695
2019/12/01 08:35:00,1.8598
2019/12/01 08:40:00,1.9641
2019/12/01 08:45:00,1.9758
2019/12/01 08:50:00,1.9163
2019/12/01 08:55:00,1.8216
2019/12/01 09:00:00,1.6912
2019/12/01 09:05:00,1.5388
2019/12/01 09:10:00,1.3932
2019/12/01 09:15:00,1.2455
2019/12/01 09:20:00,1.0914
2019/12/01 09:25:00,0.93728
2019/12/01 09:30:00,0.78584
2019/12/01 09:35:00,0.64755
2019/12/01 09:40:00,0.53895
2019/12/01 09:45:00,0.46947
2019/12/01 09:50:00,0.4512
2019/12/01 09:55:00,0.48846
2019/12/01 10:00:00,0.55795
2019/12/01 10:05:00,0.63911
2019/12/01 10:10:00,0.74053
2019/12/01 10:15:00,0.86091
2019/12/01 10:20:00,0.99304
2019/12/01 10:25:00,1.1281
2019/12/01 10:30:00,1.242
2019/12/01 10:35:00,1.3226
2019/12/01 10:40:00,1.365
2019/12/01 10:45:00,1.3511
2019/12/01 10:50:00,1.2839
2019/12/01 10:55:00,1.1821
2019/12/01 11:00:00,1.0574
2019/12/01 11:05:00,0.91407
2019/12/01 11:10:00,0.74332
2019/12/01 11:15:00,0.55056
2019/12/01 11:20:00,0.34845
2019/12/01 11:25:00,0.1525
2019/12/01 11:30:00,-0.023964
2019/12/01 11:35:00,-0.17025
2019/12/01 11:40:00,-0.27702
2019/12/01 11:45:00,-0.34582
2019/12/01 11:50:00,-0.38642
2019/12/01 11:55:00,-0.39884
2019/12/01 12:00:00,-0.37683
2019/12/01 12:05:00,-0.32213
2019/12/01 12:10:00,-0.24511
2019/12/01 12:15:00,-0.15609
2019/12/01 12:20:00,-0.064625
2019/12/01 12:25:00,0.021995
2019/12/01 12:30:00,0.09793
2019/12/01 12:35:00,0.15287
2019/12/01 12:40:00,0.18088
2019/12/01 12:45:00,0.18095
2019/12/01 12:50:00,0.15196
2019/12/01 12:55:00,0.094616
2019/12/01 13:00:00,0.0072416
2019/12/01 13:05:00,-0.11618
2019/12/01 13:10:00,-0.27612
2019/12/01 13:15:00,-0.46085
2019/12/01 13:20:00,-0.64913
2019/12/01 13:25:00,-0.82678
2019/12/01 13:30:00,-0.98624
2019/12/01 13:35:00,-1.1247
2019/12/01 13:40:00,-1.2392
2019/12/01 13:45:00,-1.3255
2019/12/01 13:50:00,-1.3745
2019/12/01 13:55:00,-1.3777
2019/12/01 14:00:00,-1.3329
2019/12/01 14:05:00,-1.2491
2019/12/01 14:10:00,-1.1434
2019/12/01 14:15:00,-1.03
2019/12/01 14:20:00,-0.91974
2019/12/01 14:25:00,-0.81939
2019/12/01 14:30:00,-0.72637
2019/12/01 14:35:00,-0.63538
2019/12/01 14:40:00,-0.55045
2019/12/01 14:45:00,-0.48167
2019/12/01 14:50:00,-0.44274
2019/12/01 14:55:00,-0.45224
2019/12/01 15:00:00,-0.49641
2019/12/01 15:05:00,-0.58013
2019/12/01 15:10:00,-0.69441
2019/12/01 15:15:00,-0.82745
2019/12/01 15:20:00,-0.96739
2019/12/01 15:25:00,-1.1063
2019/12/01 15:30:00,-1.2379
2019/12/01 15:35:00,-1.3505
2019/12/01 15:40:00,-1.4365
2019/12/01 15:45:00,-1.4885
2019/12/01 15:50:00,-1.4967
2019/12/01 15:55:00,-1.4604
2019/12/01 16:00:00,-1.3863
2019/12/01 16:05:00,-1.2826
2019/12/01 16:10:00,-1.1535
2019/12/01 16:15:00,-1.0042
