Time [yyyy/MM/dd HH:mm:ss],Vestmannaeyjar: water level (waterlevel) at Vestmannaeyjar_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-6.3092E-19
2019/12/01 00:10:00,-5.6653E-12
2019/12/01 00:15:00,-1.1593E-07
2019/12/01 00:20:00,-0.00010234
2019/12/01 00:25:00,-0.007809
2019/12/01 00:30:00,-0.06971
2019/12/01 00:35:00,-0.14328
2019/12/01 00:40:00,-0.24902
2019/12/01 00:45:00,-0.39067
2019/12/01 00:50:00,-0.51568
2019/12/01 00:55:00,-0.63396
2019/12/01 01:00:00,-0.70911
2019/12/01 01:05:00,-0.75883
2019/12/01 01:10:00,-0.80227
2019/12/01 01:15:00,-0.86333
2019/12/01 01:20:00,-0.94565
2019/12/01 01:25:00,-1.0313
2019/12/01 01:30:00,-1.0339
2019/12/01 01:35:00,-1.0281
2019/12/01 01:40:00,-0.98892
2019/12/01 01:45:00,-0.91261
2019/12/01 01:50:00,-0.88586
2019/12/01 01:55:00,-0.87149
2019/12/01 02:00:00,-0.91551
2019/12/01 02:05:00,-0.94842
2019/12/01 02:10:00,-0.96868
2019/12/01 02:15:00,-0.95896
2019/12/01 02:20:00,-0.91605
2019/12/01 02:25:00,-0.86396
2019/12/01 02:30:00,-0.80518
2019/12/01 02:35:00,-0.74071
2019/12/01 02:40:00,-0.66376
2019/12/01 02:45:00,-0.57544
2019/12/01 02:50:00,-0.52474
2019/12/01 02:55:00,-0.53204
2019/12/01 03:00:00,-0.60858
2019/12/01 03:05:00,-0.74422
2019/12/01 03:10:00,-0.88398
2019/12/01 03:15:00,-0.97083
2019/12/01 03:20:00,-1.0007
2019/12/01 03:25:00,-0.96734
2019/12/01 03:30:00,-0.91604
2019/12/01 03:35:00,-0.88103
2019/12/01 03:40:00,-0.85667
2019/12/01 03:45:00,-0.82676
2019/12/01 03:50:00,-0.79047
2019/12/01 03:55:00,-0.72666
2019/12/01 04:00:00,-0.62955
2019/12/01 04:05:00,-0.52193
2019/12/01 04:10:00,-0.42478
2019/12/01 04:15:00,-0.35197
2019/12/01 04:20:00,-0.31028
2019/12/01 04:25:00,-0.27995
2019/12/01 04:30:00,-0.23869
2019/12/01 04:35:00,-0.18209
2019/12/01 04:40:00,-0.11335
2019/12/01 04:45:00,-0.051957
2019/12/01 04:50:00,-0.0070698
2019/12/01 04:55:00,0.014296
2019/12/01 05:00:00,0.0028114
2019/12/01 05:05:00,-0.026907
2019/12/01 05:10:00,-0.061337
2019/12/01 05:15:00,-0.085347
2019/12/01 05:20:00,-0.0846
2019/12/01 05:25:00,-0.072399
2019/12/01 05:30:00,-0.061634
2019/12/01 05:35:00,-0.044416
2019/12/01 05:40:00,-0.0021149
2019/12/01 05:45:00,0.074965
2019/12/01 05:50:00,0.17767
2019/12/01 05:55:00,0.28491
2019/12/01 06:00:00,0.37852
2019/12/01 06:05:00,0.45017
2019/12/01 06:10:00,0.49883
2019/12/01 06:15:00,0.53049
2019/12/01 06:20:00,0.5601
2019/12/01 06:25:00,0.60726
2019/12/01 06:30:00,0.67126
2019/12/01 06:35:00,0.73783
2019/12/01 06:40:00,0.79987
2019/12/01 06:45:00,0.85512
2019/12/01 06:50:00,0.89272
2019/12/01 06:55:00,0.91412
2019/12/01 07:00:00,0.92829
2019/12/01 07:05:00,0.93525
2019/12/01 07:10:00,0.93016
2019/12/01 07:15:00,0.90533
2019/12/01 07:20:00,0.8611
2019/12/01 07:25:00,0.81104
2019/12/01 07:30:00,0.77898
2019/12/01 07:35:00,0.78163
2019/12/01 07:40:00,0.81284
2019/12/01 07:45:00,0.85877
2019/12/01 07:50:00,0.90213
2019/12/01 07:55:00,0.93658
2019/12/01 08:00:00,0.96653
2019/12/01 08:05:00,1.0058
2019/12/01 08:10:00,1.0592
2019/12/01 08:15:00,1.1222
2019/12/01 08:20:00,1.1841
2019/12/01 08:25:00,1.2317
2019/12/01 08:30:00,1.259
2019/12/01 08:35:00,1.2699
2019/12/01 08:40:00,1.2654
2019/12/01 08:45:00,1.2502
2019/12/01 08:50:00,1.2303
2019/12/01 08:55:00,1.2065
2019/12/01 09:00:00,1.1767
2019/12/01 09:05:00,1.1368
2019/12/01 09:10:00,1.0839
2019/12/01 09:15:00,1.0206
2019/12/01 09:20:00,0.95348
2019/12/01 09:25:00,0.89089
2019/12/01 09:30:00,0.83834
2019/12/01 09:35:00,0.79859
2019/12/01 09:40:00,0.76934
2019/12/01 09:45:00,0.74883
2019/12/01 09:50:00,0.74021
2019/12/01 09:55:00,0.74761
2019/12/01 10:00:00,0.77056
2019/12/01 10:05:00,0.80373
2019/12/01 10:10:00,0.83824
2019/12/01 10:15:00,0.86207
2019/12/01 10:20:00,0.8692
2019/12/01 10:25:00,0.85927
2019/12/01 10:30:00,0.83841
2019/12/01 10:35:00,0.81146
2019/12/01 10:40:00,0.7797
2019/12/01 10:45:00,0.74164
2019/12/01 10:50:00,0.69187
2019/12/01 10:55:00,0.62756
2019/12/01 11:00:00,0.55106
2019/12/01 11:05:00,0.46862
2019/12/01 11:10:00,0.38808
2019/12/01 11:15:00,0.31358
2019/12/01 11:20:00,0.24664
2019/12/01 11:25:00,0.18584
2019/12/01 11:30:00,0.12911
2019/12/01 11:35:00,0.075661
2019/12/01 11:40:00,0.027206
2019/12/01 11:45:00,-0.012986
2019/12/01 11:50:00,-0.040778
2019/12/01 11:55:00,-0.05564
