Time [yyyy/MM/dd HH:mm:ss],Vogabakki: water level (waterlevel) at Vogabakki_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,2.2351E-72
2019/12/01 00:10:00,3.2579E-62
2019/12/01 00:15:00,1.3528E-54
2019/12/01 00:20:00,4.0921E-48
2019/12/01 00:25:00,2.0717E-42
2019/12/01 00:30:00,2.6258E-37
2019/12/01 00:35:00,1.0562E-32
2019/12/01 00:40:00,1.5736E-28
2019/12/01 00:45:00,9.6643E-25
2019/12/01 00:50:00,2.6412E-21
2019/12/01 00:55:00,3.3956E-18
2019/12/01 01:00:00,2.1374E-15
2019/12/01 01:05:00,6.7711E-13
2019/12/01 01:10:00,1.0974E-10
2019/12/01 01:15:00,9.1463E-09
2019/12/01 01:20:00,3.8828E-07
2019/12/01 01:25:00,8.0823E-06
2019/12/01 01:30:00,7.1983E-05
2019/12/01 01:35:00,5.6544E-05
2019/12/01 01:40:00,-0.0033375
2019/12/01 01:45:00,-0.024551
2019/12/01 01:50:00,-0.086383
2019/12/01 01:55:00,-0.19321
2019/12/01 02:00:00,-0.32259
2019/12/01 02:05:00,-0.4553
2019/12/01 02:10:00,-0.5812
2019/12/01 02:15:00,-0.69483
2019/12/01 02:20:00,-0.79431
2019/12/01 02:25:00,-0.88081
2019/12/01 02:30:00,-0.95437
2019/12/01 02:35:00,-1.0169
2019/12/01 02:40:00,-1.0697
2019/12/01 02:45:00,-1.1144
2019/12/01 02:50:00,-1.1519
2019/12/01 02:55:00,-1.1831
2019/12/01 03:00:00,-1.2085
2019/12/01 03:05:00,-1.2299
2019/12/01 03:10:00,-1.2493
2019/12/01 03:15:00,-1.2661
2019/12/01 03:20:00,-1.2803
2019/12/01 03:25:00,-1.2923
2019/12/01 03:30:00,-1.3028
2019/12/01 03:35:00,-1.3114
2019/12/01 03:40:00,-1.3171
2019/12/01 03:45:00,-1.3198
2019/12/01 03:50:00,-1.3173
2019/12/01 03:55:00,-1.2749
2019/12/01 04:00:00,-1.146
2019/12/01 04:05:00,-0.93053
2019/12/01 04:10:00,-0.63333
2019/12/01 04:15:00,-0.30163
2019/12/01 04:20:00,-0.040574
2019/12/01 04:25:00,0.091136
2019/12/01 04:30:00,0.19221
2019/12/01 04:35:00,0.23359
2019/12/01 04:40:00,0.16336
2019/12/01 04:45:00,0.061852
2019/12/01 04:50:00,-0.019739
2019/12/01 04:55:00,-0.087987
2019/12/01 05:00:00,-0.14583
2019/12/01 05:05:00,-0.19411
2019/12/01 05:10:00,-0.23483
2019/12/01 05:15:00,-0.25451
2019/12/01 05:20:00,-0.22692
2019/12/01 05:25:00,-0.15568
2019/12/01 05:30:00,-0.078189
2019/12/01 05:35:00,-0.0047642
2019/12/01 05:40:00,0.037607
2019/12/01 05:45:00,0.016426
2019/12/01 05:50:00,-0.078421
2019/12/01 05:55:00,-0.17942
2019/12/01 06:00:00,-0.26183
2019/12/01 06:05:00,-0.30464
2019/12/01 06:10:00,-0.28452
2019/12/01 06:15:00,-0.20615
2019/12/01 06:20:00,-0.13457
2019/12/01 06:25:00,-0.068891
2019/12/01 06:30:00,-0.025065
2019/12/01 06:35:00,-0.021751
2019/12/01 06:40:00,-0.07095
2019/12/01 06:45:00,-0.13865
2019/12/01 06:50:00,-0.20421
2019/12/01 06:55:00,-0.24535
2019/12/01 07:00:00,-0.23187
2019/12/01 07:05:00,-0.13875
2019/12/01 07:10:00,0.00021818
2019/12/01 07:15:00,0.19821
2019/12/01 07:20:00,0.46445
2019/12/01 07:25:00,0.76644
2019/12/01 07:30:00,1.0525
2019/12/01 07:35:00,1.298
2019/12/01 07:40:00,1.571
2019/12/01 07:45:00,1.8266
2019/12/01 07:50:00,2.0597
2019/12/01 07:55:00,2.2347
2019/12/01 08:00:00,2.3068
2019/12/01 08:05:00,2.3143
2019/12/01 08:10:00,2.2821
2019/12/01 08:15:00,2.2404
2019/12/01 08:20:00,2.196
2019/12/01 08:25:00,2.2138
2019/12/01 08:30:00,2.2699
2019/12/01 08:35:00,2.3391
2019/12/01 08:40:00,2.3553
2019/12/01 08:45:00,2.2984
2019/12/01 08:50:00,2.178
2019/12/01 08:55:00,2.0164
2019/12/01 09:00:00,1.8591
2019/12/01 09:05:00,1.7376
2019/12/01 09:10:00,1.6542
2019/12/01 09:15:00,1.6082
2019/12/01 09:20:00,1.587
2019/12/01 09:25:00,1.571
2019/12/01 09:30:00,1.5448
2019/12/01 09:35:00,1.4926
2019/12/01 09:40:00,1.413
2019/12/01 09:45:00,1.32
2019/12/01 09:50:00,1.2264
2019/12/01 09:55:00,1.1428
2019/12/01 10:00:00,1.0787
2019/12/01 10:05:00,1.0416
2019/12/01 10:10:00,1.0367
2019/12/01 10:15:00,1.058
2019/12/01 10:20:00,1.0846
2019/12/01 10:25:00,1.0943
2019/12/01 10:30:00,1.0661
2019/12/01 10:35:00,1.0006
2019/12/01 10:40:00,0.90437
2019/12/01 10:45:00,0.80186
2019/12/01 10:50:00,0.72446
2019/12/01 10:55:00,0.68909
2019/12/01 11:00:00,0.70446
2019/12/01 11:05:00,0.75998
2019/12/01 11:10:00,0.84159
2019/12/01 11:15:00,0.93014
2019/12/01 11:20:00,1.0262
2019/12/01 11:25:00,1.1212
2019/12/01 11:30:00,1.2212
2019/12/01 11:35:00,1.32
2019/12/01 11:40:00,1.4081
2019/12/01 11:45:00,1.474
2019/12/01 11:50:00,1.4952
2019/12/01 11:55:00,1.4612
2019/12/01 12:00:00,1.3892
2019/12/01 12:05:00,1.3009
2019/12/01 12:10:00,1.2077
2019/12/01 12:15:00,1.1181
2019/12/01 12:20:00,1.034
2019/12/01 12:25:00,0.94425
2019/12/01 12:30:00,0.83352
2019/12/01 12:35:00,0.69292
2019/12/01 12:40:00,0.5312
2019/12/01 12:45:00,0.36539
2019/12/01 12:50:00,0.20616
2019/12/01 12:55:00,0.054036
2019/12/01 13:00:00,-0.090305
2019/12/01 13:05:00,-0.22514
2019/12/01 13:10:00,-0.34877
2019/12/01 13:15:00,-0.45919
2019/12/01 13:20:00,-0.55579
2019/12/01 13:25:00,-0.63982
2019/12/01 13:30:00,-0.71379
2019/12/01 13:35:00,-0.77963
2019/12/01 13:40:00,-0.83792
2019/12/01 13:45:00,-0.88834
2019/12/01 13:50:00,-0.93075
2019/12/01 13:55:00,-0.96555
2019/12/01 14:00:00,-0.99381
2019/12/01 14:05:00,-1.0174
2019/12/01 14:10:00,-1.0387
2019/12/01 14:15:00,-1.0602
2019/12/01 14:20:00,-1.0825
2019/12/01 14:25:00,-1.1048
2019/12/01 14:30:00,-1.126
2019/12/01 14:35:00,-1.1456
2019/12/01 14:40:00,-1.1631
2019/12/01 14:45:00,-1.1786
2019/12/01 14:50:00,-1.1918
2019/12/01 14:55:00,-1.2029
2019/12/01 15:00:00,-1.2115
2019/12/01 15:05:00,-1.2172
2019/12/01 15:10:00,-1.2178
2019/12/01 15:15:00,-1.205
2019/12/01 15:20:00,-1.1777
2019/12/01 15:25:00,-1.1457
2019/12/01 15:30:00,-1.0998
2019/12/01 15:35:00,-1.0484
2019/12/01 15:40:00,-0.99238
2019/12/01 15:45:00,-0.92941
2019/12/01 15:50:00,-0.86033
2019/12/01 15:55:00,-0.79194
2019/12/01 16:00:00,-0.724
2019/12/01 16:05:00,-0.66111
2019/12/01 16:10:00,-0.60926
2019/12/01 16:15:00,-0.57755
2019/12/01 16:20:00,-0.57709
2019/12/01 16:25:00,-0.61834
