Time [yyyy/MM/dd HH:mm:ss],Gamla_hofnin: water level (waterlevel) at Gamla_hofnin_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,1.2656E-65
2020/02/01 00:10:00,1.1547E-55
2020/02/01 00:15:00,3.1508E-48
2020/02/01 00:20:00,6.182E-42
2020/02/01 00:25:00,2.0001E-36
2020/02/01 00:30:00,1.5937E-31
2020/02/01 00:35:00,3.9575E-27
2020/02/01 00:40:00,3.567E-23
2020/02/01 00:45:00,1.2956E-19
2020/02/01 00:50:00,2.042E-16
2020/02/01 00:55:00,1.4721E-13
2020/02/01 01:00:00,5.0376E-11
2020/02/01 01:05:00,8.3946E-09
2020/02/01 01:10:00,6.9288E-07
2020/02/01 01:15:00,2.8699E-05
2020/02/01 01:20:00,0.00060686
2020/02/01 01:25:00,0.0067921
2020/02/01 01:30:00,0.043089
2020/02/01 01:35:00,0.16759
2020/02/01 01:40:00,0.40973
2020/02/01 01:45:00,0.64932
2020/02/01 01:50:00,0.83302
2020/02/01 01:55:00,0.99591
2020/02/01 02:00:00,1.1255
2020/02/01 02:05:00,1.2239
2020/02/01 02:10:00,1.1935
2020/02/01 02:15:00,1.119
2020/02/01 02:20:00,1.0357
2020/02/01 02:25:00,0.9305
2020/02/01 02:30:00,0.78345
2020/02/01 02:35:00,0.52723
2020/02/01 02:40:00,0.23841
2020/02/01 02:45:00,-0.047353
2020/02/01 02:50:00,-0.26871
2020/02/01 02:55:00,-0.43755
2020/02/01 03:00:00,-0.59154
2020/02/01 03:05:00,-0.7253
2020/02/01 03:10:00,-0.87764
2020/02/01 03:15:00,-1.0531
2020/02/01 03:20:00,-1.234
2020/02/01 03:25:00,-1.4005
2020/02/01 03:30:00,-1.5167
2020/02/01 03:35:00,-1.5827
2020/02/01 03:40:00,-1.6189
2020/02/01 03:45:00,-1.6405
2020/02/01 03:50:00,-1.6541
2020/02/01 03:55:00,-1.663
2020/02/01 04:00:00,-1.6692
2020/02/01 04:05:00,-1.6731
2020/02/01 04:10:00,-1.6753
2020/02/01 04:15:00,-1.6711
2020/02/01 04:20:00,-1.5529
2020/02/01 04:25:00,-1.2169
2020/02/01 04:30:00,-0.89322
2020/02/01 04:35:00,-0.89891
2020/02/01 04:40:00,-0.87852
2020/02/01 04:45:00,-0.81862
2020/02/01 04:50:00,-0.85427
2020/02/01 04:55:00,-0.70813
2020/02/01 05:00:00,-0.61771
2020/02/01 05:05:00,-0.52132
2020/02/01 05:10:00,-0.37565
2020/02/01 05:15:00,-0.31271
2020/02/01 05:20:00,-0.21362
2020/02/01 05:25:00,-0.14861
2020/02/01 05:30:00,-0.074388
2020/02/01 05:35:00,-0.021868
