Time [yyyy/MM/dd HH:mm:ss],Grindavik: water level (waterlevel) at Grindavik_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,1.2721E-25
2020/02/01 00:10:00,6.524E-18
2020/02/01 00:15:00,9.1312E-13
2020/02/01 00:20:00,6.9834E-09
2020/02/01 00:25:00,6.2751E-06
2020/02/01 00:30:00,0.00090827
2020/02/01 00:35:00,0.023991
2020/02/01 00:40:00,0.12566
2020/02/01 00:45:00,0.21287
2020/02/01 00:50:00,0.25972
2020/02/01 00:55:00,0.2884
2020/02/01 01:00:00,0.30835
2020/02/01 01:05:00,0.30266
2020/02/01 01:10:00,0.30004
2020/02/01 01:15:00,0.30795
2020/02/01 01:20:00,0.30546
2020/02/01 01:25:00,0.25484
2020/02/01 01:30:00,0.19852
2020/02/01 01:35:00,0.13187
2020/02/01 01:40:00,0.047495
2020/02/01 01:45:00,-0.029432
2020/02/01 01:50:00,-0.10294
2020/02/01 01:55:00,-0.17421
2020/02/01 02:00:00,-0.26151
2020/02/01 02:05:00,-0.36731
2020/02/01 02:10:00,-0.46821
2020/02/01 02:15:00,-0.55052
2020/02/01 02:20:00,-0.59103
2020/02/01 02:25:00,-0.58298
2020/02/01 02:30:00,-0.55335
2020/02/01 02:35:00,-0.52388
2020/02/01 02:40:00,-0.51053
2020/02/01 02:45:00,-0.51139
2020/02/01 02:50:00,-0.50505
2020/02/01 02:55:00,-0.48965
2020/02/01 03:00:00,-0.48077
2020/02/01 03:05:00,-0.48445
2020/02/01 03:10:00,-0.49684
2020/02/01 03:15:00,-0.50762
2020/02/01 03:20:00,-0.51904
2020/02/01 03:25:00,-0.54222
2020/02/01 03:30:00,-0.57799
2020/02/01 03:35:00,-0.61097
2020/02/01 03:40:00,-0.62629
2020/02/01 03:45:00,-0.62692
2020/02/01 03:50:00,-0.62285
2020/02/01 03:55:00,-0.62908
2020/02/01 04:00:00,-0.65287
2020/02/01 04:05:00,-0.682
2020/02/01 04:10:00,-0.71639
2020/02/01 04:15:00,-0.7673
2020/02/01 04:20:00,-0.83063
2020/02/01 04:25:00,-0.88754
2020/02/01 04:30:00,-0.9329
2020/02/01 04:35:00,-0.95681
2020/02/01 04:40:00,-0.94405
