Time [yyyy/MM/dd HH:mm:ss],Landeyjarhofn: water level (waterlevel) at Landeyjarhofn_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,1.1437E-22
2020/02/01 00:10:00,3.1773E-15
2020/02/01 00:15:00,2.2325E-10
2020/02/01 00:20:00,7.7754E-07
2020/02/01 00:25:00,0.00027981
2020/02/01 00:30:00,0.013719
2020/02/01 00:35:00,0.10354
2020/02/01 00:40:00,0.18455
2020/02/01 00:45:00,0.22792
2020/02/01 00:50:00,0.28251
2020/02/01 00:55:00,0.24596
2020/02/01 01:00:00,0.15982
2020/02/01 01:05:00,0.076714
2020/02/01 01:10:00,-0.011442
2020/02/01 01:15:00,-0.048983
2020/02/01 01:20:00,-0.061789
2020/02/01 01:25:00,-0.079096
2020/02/01 01:30:00,-0.097445
2020/02/01 01:35:00,-0.12966
2020/02/01 01:40:00,-0.15445
2020/02/01 01:45:00,-0.14021
2020/02/01 01:50:00,-0.13418
2020/02/01 01:55:00,-0.17329
2020/02/01 02:00:00,-0.27499
2020/02/01 02:05:00,-0.37917
2020/02/01 02:10:00,-0.46959
2020/02/01 02:15:00,-0.54168
2020/02/01 02:20:00,-0.55027
2020/02/01 02:25:00,-0.55661
2020/02/01 02:30:00,-0.56696
2020/02/01 02:35:00,-0.53718
2020/02/01 02:40:00,-0.52095
2020/02/01 02:45:00,-0.52938
2020/02/01 02:50:00,-0.5182
2020/02/01 02:55:00,-0.47596
2020/02/01 03:00:00,-0.40269
2020/02/01 03:05:00,-0.34336
2020/02/01 03:10:00,-0.33394
2020/02/01 03:15:00,-0.35936
2020/02/01 03:20:00,-0.42095
2020/02/01 03:25:00,-0.49454
2020/02/01 03:30:00,-0.5645
2020/02/01 03:35:00,-0.60629
2020/02/01 03:40:00,-0.61054
2020/02/01 03:45:00,-0.59495
2020/02/01 03:50:00,-0.59385
2020/02/01 03:55:00,-0.6263
2020/02/01 04:00:00,-0.68199
2020/02/01 04:05:00,-0.73645
2020/02/01 04:10:00,-0.77288
2020/02/01 04:15:00,-0.77869
2020/02/01 04:20:00,-0.74695
2020/02/01 04:25:00,-0.70666
2020/02/01 04:30:00,-0.68964
2020/02/01 04:35:00,-0.67812
2020/02/01 04:40:00,-0.64037
2020/02/01 04:45:00,-0.57593
2020/02/01 04:50:00,-0.50004
2020/02/01 04:55:00,-0.43954
2020/02/01 05:00:00,-0.40951
2020/02/01 05:05:00,-0.39839
2020/02/01 05:10:00,-0.39913
2020/02/01 05:15:00,-0.4107
2020/02/01 05:20:00,-0.43011
2020/02/01 05:25:00,-0.44524
2020/02/01 05:30:00,-0.43692
2020/02/01 05:35:00,-0.41727
2020/02/01 05:40:00,-0.40331
2020/02/01 05:45:00,-0.3961
2020/02/01 05:50:00,-0.39858
2020/02/01 05:55:00,-0.39446
2020/02/01 06:00:00,-0.38067
2020/02/01 06:05:00,-0.35261
2020/02/01 06:10:00,-0.31968
2020/02/01 06:15:00,-0.30318
2020/02/01 06:20:00,-0.30813
2020/02/01 06:25:00,-0.32244
