Time [yyyy/MM/dd HH:mm:ss],Torlakshofn: water level (waterlevel) at Torlakshofn_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,1.8871E-38
2020/02/01 00:10:00,9.9366E-30
2020/02/01 00:15:00,1.6066E-23
2020/02/01 00:20:00,1.6479E-18
2020/02/01 00:25:00,2.4076E-14
2020/02/01 00:30:00,7.3008E-11
2020/02/01 00:35:00,5.6354E-08
2020/02/01 00:40:00,1.2396E-05
2020/02/01 00:45:00,0.00082216
2020/02/01 00:50:00,0.01687
2020/02/01 00:55:00,0.11176
2020/02/01 01:00:00,0.28429
2020/02/01 01:05:00,0.3937
2020/02/01 01:10:00,0.41844
2020/02/01 01:15:00,0.43264
2020/02/01 01:20:00,0.43783
2020/02/01 01:25:00,0.44405
2020/02/01 01:30:00,0.42048
2020/02/01 01:35:00,0.32855
2020/02/01 01:40:00,0.2011
2020/02/01 01:45:00,0.070296
2020/02/01 01:50:00,-0.10846
2020/02/01 01:55:00,-0.33463
2020/02/01 02:00:00,-0.5464
2020/02/01 02:05:00,-0.67836
2020/02/01 02:10:00,-0.74923
2020/02/01 02:15:00,-0.79275
2020/02/01 02:20:00,-0.78018
2020/02/01 02:25:00,-0.74651
2020/02/01 02:30:00,-0.75899
2020/02/01 02:35:00,-0.7795
2020/02/01 02:40:00,-0.75941
2020/02/01 02:45:00,-0.69821
2020/02/01 02:50:00,-0.61345
2020/02/01 02:55:00,-0.53703
2020/02/01 03:00:00,-0.46079
2020/02/01 03:05:00,-0.37331
2020/02/01 03:10:00,-0.28345
2020/02/01 03:15:00,-0.20467
2020/02/01 03:20:00,-0.15203
2020/02/01 03:25:00,-0.11283
2020/02/01 03:30:00,-0.11258
2020/02/01 03:35:00,-0.18517
2020/02/01 03:40:00,-0.3142
2020/02/01 03:45:00,-0.45019
2020/02/01 03:50:00,-0.58981
2020/02/01 03:55:00,-0.75027
2020/02/01 04:00:00,-0.9187
2020/02/01 04:05:00,-1.0713
2020/02/01 04:10:00,-1.1702
2020/02/01 04:15:00,-1.1974
2020/02/01 04:20:00,-1.1705
2020/02/01 04:25:00,-1.1082
2020/02/01 04:30:00,-1.0254
2020/02/01 04:35:00,-0.94418
2020/02/01 04:40:00,-0.86685
2020/02/01 04:45:00,-0.76146
2020/02/01 04:50:00,-0.65576
2020/02/01 04:55:00,-0.5863
2020/02/01 05:00:00,-0.51528
2020/02/01 05:05:00,-0.428
2020/02/01 05:10:00,-0.32555
2020/02/01 05:15:00,-0.20828
2020/02/01 05:20:00,-0.127
2020/02/01 05:25:00,-0.10293
2020/02/01 05:30:00,-0.12923
2020/02/01 05:35:00,-0.17709
2020/02/01 05:40:00,-0.22018
2020/02/01 05:45:00,-0.26874
2020/02/01 05:50:00,-0.33165
2020/02/01 05:55:00,-0.42745
2020/02/01 06:00:00,-0.55231
2020/02/01 06:05:00,-0.6668
2020/02/01 06:10:00,-0.73244
2020/02/01 06:15:00,-0.74319
2020/02/01 06:20:00,-0.71237
2020/02/01 06:25:00,-0.64692
2020/02/01 06:30:00,-0.56297
2020/02/01 06:35:00,-0.48418
2020/02/01 06:40:00,-0.41485
2020/02/01 06:45:00,-0.3539
2020/02/01 06:50:00,-0.2746
2020/02/01 06:55:00,-0.17439
2020/02/01 07:00:00,-0.069986
2020/02/01 07:05:00,0.039033
2020/02/01 07:10:00,0.15653
2020/02/01 07:15:00,0.26934
2020/02/01 07:20:00,0.36273
2020/02/01 07:25:00,0.43124
2020/02/01 07:30:00,0.47853
2020/02/01 07:35:00,0.51397
2020/02/01 07:40:00,0.51829
2020/02/01 07:45:00,0.47032
2020/02/01 07:50:00,0.38486
2020/02/01 07:55:00,0.2846
2020/02/01 08:00:00,0.1916
2020/02/01 08:05:00,0.11187
2020/02/01 08:10:00,0.056224
2020/02/01 08:15:00,0.031471
2020/02/01 08:20:00,0.037077
2020/02/01 08:25:00,0.054133
2020/02/01 08:30:00,0.069885
2020/02/01 08:35:00,0.10215
2020/02/01 08:40:00,0.16555
2020/02/01 08:45:00,0.25936
2020/02/01 08:50:00,0.37817
2020/02/01 08:55:00,0.5173
2020/02/01 09:00:00,0.65471
2020/02/01 09:05:00,0.77468
2020/02/01 09:10:00,0.88096
2020/02/01 09:15:00,0.97347
2020/02/01 09:20:00,1.034
2020/02/01 09:25:00,1.0533
2020/02/01 09:30:00,1.0726
2020/02/01 09:35:00,1.0889
2020/02/01 09:40:00,1.0538
2020/02/01 09:45:00,0.97059
2020/02/01 09:50:00,0.86925
2020/02/01 09:55:00,0.76169
2020/02/01 10:00:00,0.65165
2020/02/01 10:05:00,0.55009
2020/02/01 10:10:00,0.47058
2020/02/01 10:15:00,0.40503
2020/02/01 10:20:00,0.35206
2020/02/01 10:25:00,0.32312
2020/02/01 10:30:00,0.32676
2020/02/01 10:35:00,0.3619
2020/02/01 10:40:00,0.41801
2020/02/01 10:45:00,0.4886
2020/02/01 10:50:00,0.5753
2020/02/01 10:55:00,0.67288
2020/02/01 11:00:00,0.77173
2020/02/01 11:05:00,0.86504
2020/02/01 11:10:00,0.94526
2020/02/01 11:15:00,0.99454
2020/02/01 11:20:00,1.0057
2020/02/01 11:25:00,0.9986
2020/02/01 11:30:00,0.97952
2020/02/01 11:35:00,0.93576
2020/02/01 11:40:00,0.87138
2020/02/01 11:45:00,0.7923
2020/02/01 11:50:00,0.7012
2020/02/01 11:55:00,0.60268
2020/02/01 12:00:00,0.49864
2020/02/01 12:05:00,0.39242
2020/02/01 12:10:00,0.28626
2020/02/01 12:15:00,0.18636
2020/02/01 12:20:00,0.1029
2020/02/01 12:25:00,0.044696
2020/02/01 12:30:00,0.012512
2020/02/01 12:35:00,0.0010625
2020/02/01 12:40:00,0.010101
2020/02/01 12:45:00,0.041078
2020/02/01 12:50:00,0.09076
2020/02/01 12:55:00,0.15437
2020/02/01 13:00:00,0.22848
2020/02/01 13:05:00,0.30391
2020/02/01 13:10:00,0.36484
2020/02/01 13:15:00,0.39947
2020/02/01 13:20:00,0.40491
2020/02/01 13:25:00,0.38557
2020/02/01 13:30:00,0.34571
2020/02/01 13:35:00,0.28969
2020/02/01 13:40:00,0.22243
2020/02/01 13:45:00,0.14818
2020/02/01 13:50:00,0.063454
2020/02/01 13:55:00,-0.037516
2020/02/01 14:00:00,-0.15043
2020/02/01 14:05:00,-0.26711
2020/02/01 14:10:00,-0.38174
2020/02/01 14:15:00,-0.48929
2020/02/01 14:20:00,-0.58484
2020/02/01 14:25:00,-0.6636
2020/02/01 14:30:00,-0.72171
2020/02/01 14:35:00,-0.75665
2020/02/01 14:40:00,-0.76432
2020/02/01 14:45:00,-0.7416
2020/02/01 14:50:00,-0.68895
2020/02/01 14:55:00,-0.61136
2020/02/01 15:00:00,-0.5204
2020/02/01 15:05:00,-0.42738
2020/02/01 15:10:00,-0.34773
2020/02/01 15:15:00,-0.29243
2020/02/01 15:20:00,-0.25362
2020/02/01 15:25:00,-0.23897
2020/02/01 15:30:00,-0.25042
2020/02/01 15:35:00,-0.28558
2020/02/01 15:40:00,-0.34051
2020/02/01 15:45:00,-0.4092
2020/02/01 15:50:00,-0.48949
2020/02/01 15:55:00,-0.57866
2020/02/01 16:00:00,-0.67032
2020/02/01 16:05:00,-0.75997
2020/02/01 16:10:00,-0.84531
2020/02/01 16:15:00,-0.92307
2020/02/01 16:20:00,-0.98895
2020/02/01 16:25:00,-1.04
2020/02/01 16:30:00,-1.0727
2020/02/01 16:35:00,-1.0815
2020/02/01 16:40:00,-1.0606
2020/02/01 16:45:00,-1.0092
2020/02/01 16:50:00,-0.93398
2020/02/01 16:55:00,-0.84579
2020/02/01 17:00:00,-0.75271
2020/02/01 17:05:00,-0.66118
2020/02/01 17:10:00,-0.57338
2020/02/01 17:15:00,-0.49069
2020/02/01 17:20:00,-0.42164
2020/02/01 17:25:00,-0.38212
2020/02/01 17:30:00,-0.35797
2020/02/01 17:35:00,-0.35061
2020/02/01 17:40:00,-0.36624
2020/02/01 17:45:00,-0.40067
2020/02/01 17:50:00,-0.45005
2020/02/01 17:55:00,-0.50564
2020/02/01 18:00:00,-0.56834
