Time [yyyy/MM/dd HH:mm:ss],Akranes: water level (waterlevel) at Akranes_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,1.1169E-54
2019/01/01 00:10:00,3.247E-45
2019/01/01 00:15:00,2.9563E-38
2019/01/01 00:20:00,1.8624E-32
2019/01/01 00:25:00,1.8511E-27
2019/01/01 00:30:00,4.3124E-23
2019/01/01 00:35:00,2.9608E-19
2019/01/01 00:40:00,6.9283E-16
2019/01/01 00:45:00,6.0856E-13
2019/01/01 00:50:00,2.1425E-10
2019/01/01 00:55:00,3.164E-08
2019/01/01 01:00:00,2.0296E-06
2019/01/01 01:05:00,5.8664E-05
2019/01/01 01:10:00,0.0008077
2019/01/01 01:15:00,0.0057909
2019/01/01 01:20:00,0.024296
2019/01/01 01:25:00,0.068107
2019/01/01 01:30:00,0.14342
2019/01/01 01:35:00,0.23852
2019/01/01 01:40:00,0.33916
2019/01/01 01:45:00,0.45271
2019/01/01 01:50:00,0.58766
2019/01/01 01:55:00,0.74809
2019/01/01 02:00:00,0.93249
2019/01/01 02:05:00,1.134
2019/01/01 02:10:00,1.3332
2019/01/01 02:15:00,1.5095
2019/01/01 02:20:00,1.6448
2019/01/01 02:25:00,1.7287
2019/01/01 02:30:00,1.7736
2019/01/01 02:35:00,1.8259
2019/01/01 02:40:00,1.8825
2019/01/01 02:45:00,1.9098
2019/01/01 02:50:00,1.8979
2019/01/01 02:55:00,1.8474
2019/01/01 03:00:00,1.7585
2019/01/01 03:05:00,1.6468
2019/01/01 03:10:00,1.5484
2019/01/01 03:15:00,1.4564
2019/01/01 03:20:00,1.3528
2019/01/01 03:25:00,1.2413
2019/01/01 03:30:00,1.1145
2019/01/01 03:35:00,0.96019
2019/01/01 03:40:00,0.79216
2019/01/01 03:45:00,0.6271
2019/01/01 03:50:00,0.46717
2019/01/01 03:55:00,0.3218
2019/01/01 04:00:00,0.20102
2019/01/01 04:05:00,0.099374
2019/01/01 04:10:00,0.0069817
2019/01/01 04:15:00,-0.076543
2019/01/01 04:20:00,-0.14311
2019/01/01 04:25:00,-0.18253
2019/01/01 04:30:00,-0.18817
2019/01/01 04:35:00,-0.16341
2019/01/01 04:40:00,-0.12799
2019/01/01 04:45:00,-0.10587
2019/01/01 04:50:00,-0.10459
2019/01/01 04:55:00,-0.11424
2019/01/01 05:00:00,-0.12392
2019/01/01 05:05:00,-0.12829
2019/01/01 05:10:00,-0.12588
2019/01/01 05:15:00,-0.11638
2019/01/01 05:20:00,-0.10172
2019/01/01 05:25:00,-0.085344
2019/01/01 05:30:00,-0.069469
2019/01/01 05:35:00,-0.053024
2019/01/01 05:40:00,-0.030087
2019/01/01 05:45:00,0.0034288
2019/01/01 05:50:00,0.042526
2019/01/01 05:55:00,0.075061
2019/01/01 06:00:00,0.093123
2019/01/01 06:05:00,0.10473
2019/01/01 06:10:00,0.1144
2019/01/01 06:15:00,0.11633
2019/01/01 06:20:00,0.11215
2019/01/01 06:25:00,0.10288
2019/01/01 06:30:00,0.08596
2019/01/01 06:35:00,0.06097
2019/01/01 06:40:00,0.032411
2019/01/01 06:45:00,-0.00075071
2019/01/01 06:50:00,-0.051435
2019/01/01 06:55:00,-0.12794
2019/01/01 07:00:00,-0.22765
2019/01/01 07:05:00,-0.34588
2019/01/01 07:10:00,-0.47961
2019/01/01 07:15:00,-0.6286
2019/01/01 07:20:00,-0.79375
2019/01/01 07:25:00,-0.96786
2019/01/01 07:30:00,-1.1391
2019/01/01 07:35:00,-1.2981
2019/01/01 07:40:00,-1.4368
2019/01/01 07:45:00,-1.5488
2019/01/01 07:50:00,-1.6343
2019/01/01 07:55:00,-1.6971
2019/01/01 08:00:00,-1.7422
2019/01/01 08:05:00,-1.772
2019/01/01 08:10:00,-1.7861
2019/01/01 08:15:00,-1.7855
2019/01/01 08:20:00,-1.7741
2019/01/01 08:25:00,-1.7555
2019/01/01 08:30:00,-1.7319
2019/01/01 08:35:00,-1.7048
2019/01/01 08:40:00,-1.6752
2019/01/01 08:45:00,-1.6406
2019/01/01 08:50:00,-1.5951
2019/01/01 08:55:00,-1.5335
2019/01/01 09:00:00,-1.4538
2019/01/01 09:05:00,-1.3583
2019/01/01 09:10:00,-1.2535
2019/01/01 09:15:00,-1.1474
2019/01/01 09:20:00,-1.0464
2019/01/01 09:25:00,-0.95446
2019/01/01 09:30:00,-0.87238
2019/01/01 09:35:00,-0.80192
2019/01/01 09:40:00,-0.74359
2019/01/01 09:45:00,-0.69503
2019/01/01 09:50:00,-0.65158
2019/01/01 09:55:00,-0.61193
2019/01/01 10:00:00,-0.578
2019/01/01 10:05:00,-0.54365
2019/01/01 10:10:00,-0.5081
2019/01/01 10:15:00,-0.47263
2019/01/01 10:20:00,-0.43792
2019/01/01 10:25:00,-0.40835
2019/01/01 10:30:00,-0.39008
2019/01/01 10:35:00,-0.37755
2019/01/01 10:40:00,-0.3685
2019/01/01 10:45:00,-0.36627
2019/01/01 10:50:00,-0.37117
2019/01/01 10:55:00,-0.38563
2019/01/01 11:00:00,-0.4154
2019/01/01 11:05:00,-0.4618
2019/01/01 11:10:00,-0.51682
2019/01/01 11:15:00,-0.56866
2019/01/01 11:20:00,-0.61506
2019/01/01 11:25:00,-0.6589
2019/01/01 11:30:00,-0.6998
2019/01/01 11:35:00,-0.73641
2019/01/01 11:40:00,-0.76743
2019/01/01 11:45:00,-0.78816
2019/01/01 11:50:00,-0.79304
2019/01/01 11:55:00,-0.77771
2019/01/01 12:00:00,-0.7394
2019/01/01 12:05:00,-0.67936
2019/01/01 12:10:00,-0.60136
2019/01/01 12:15:00,-0.50786
2019/01/01 12:20:00,-0.39997
2019/01/01 12:25:00,-0.27879
2019/01/01 12:30:00,-0.14501
2019/01/01 12:35:00,-0.0010109
2019/01/01 12:40:00,0.14714
2019/01/01 12:45:00,0.29399
2019/01/01 12:50:00,0.43719
2019/01/01 12:55:00,0.57243
2019/01/01 13:00:00,0.69828
2019/01/01 13:05:00,0.80734
2019/01/01 13:10:00,0.90951
2019/01/01 13:15:00,0.99877
2019/01/01 13:20:00,1.0706
2019/01/01 13:25:00,1.1264
2019/01/01 13:30:00,1.1693
2019/01/01 13:35:00,1.1985
2019/01/01 13:40:00,1.2234
2019/01/01 13:45:00,1.2456
2019/01/01 13:50:00,1.263
2019/01/01 13:55:00,1.2777
2019/01/01 14:00:00,1.2835
2019/01/01 14:05:00,1.2816
2019/01/01 14:10:00,1.2812
2019/01/01 14:15:00,1.2781
2019/01/01 14:20:00,1.2666
2019/01/01 14:25:00,1.2512
2019/01/01 14:30:00,1.2348
2019/01/01 14:35:00,1.217
2019/01/01 14:40:00,1.1945
2019/01/01 14:45:00,1.1615
2019/01/01 14:50:00,1.12
2019/01/01 14:55:00,1.0753
2019/01/01 15:00:00,1.0263
2019/01/01 15:05:00,0.97291
2019/01/01 15:10:00,0.91799
2019/01/01 15:15:00,0.8621
2019/01/01 15:20:00,0.80527
2019/01/01 15:25:00,0.7481
2019/01/01 15:30:00,0.69225
2019/01/01 15:35:00,0.64137
2019/01/01 15:40:00,0.59838
2019/01/01 15:45:00,0.56347
2019/01/01 15:50:00,0.53745
2019/01/01 15:55:00,0.52221
2019/01/01 16:00:00,0.5191
2019/01/01 16:05:00,0.52861
2019/01/01 16:10:00,0.54999
2019/01/01 16:15:00,0.58062
2019/01/01 16:20:00,0.61797
2019/01/01 16:25:00,0.66111
2019/01/01 16:30:00,0.70998
2019/01/01 16:35:00,0.76376
2019/01/01 16:40:00,0.82064
2019/01/01 16:45:00,0.87705
2019/01/01 16:50:00,0.92857
2019/01/01 16:55:00,0.97112
2019/01/01 17:00:00,1.0019
2019/01/01 17:05:00,1.0189
2019/01/01 17:10:00,1.0206
2019/01/01 17:15:00,1.0066
2019/01/01 17:20:00,0.97671
2019/01/01 17:25:00,0.9317
2019/01/01 17:30:00,0.87244
2019/01/01 17:35:00,0.79936
2019/01/01 17:40:00,0.71285
2019/01/01 17:45:00,0.61575
2019/01/01 17:50:00,0.51174
2019/01/01 17:55:00,0.4052
2019/01/01 18:00:00,0.29985
2019/01/01 18:05:00,0.19707
2019/01/01 18:10:00,0.097745
2019/01/01 18:15:00,0.0029048
2019/01/01 18:20:00,-0.087368
2019/01/01 18:25:00,-0.17239
2019/01/01 18:30:00,-0.25139
2019/01/01 18:35:00,-0.32563
2019/01/01 18:40:00,-0.39758
2019/01/01 18:45:00,-0.46961
2019/01/01 18:50:00,-0.54284
2019/01/01 18:55:00,-0.61623
2019/01/01 19:00:00,-0.68845
2019/01/01 19:05:00,-0.75921
2019/01/01 19:10:00,-0.82838
2019/01/01 19:15:00,-0.89574
2019/01/01 19:20:00,-0.96115
2019/01/01 19:25:00,-1.0242
2019/01/01 19:30:00,-1.0833
2019/01/01 19:35:00,-1.1356
2019/01/01 19:40:00,-1.1784
2019/01/01 19:45:00,-1.2101
2019/01/01 19:50:00,-1.2304
2019/01/01 19:55:00,-1.239
2019/01/01 20:00:00,-1.2358
2019/01/01 20:05:00,-1.2214
2019/01/01 20:10:00,-1.1965
2019/01/01 20:15:00,-1.1622
2019/01/01 20:20:00,-1.1193
2019/01/01 20:25:00,-1.0679
2019/01/01 20:30:00,-1.0099
2019/01/01 20:35:00,-0.94969
2019/01/01 20:40:00,-0.89091
2019/01/01 20:45:00,-0.83478
2019/01/01 20:50:00,-0.78401
2019/01/01 20:55:00,-0.74206
2019/01/01 21:00:00,-0.70949
2019/01/01 21:05:00,-0.68769
2019/01/01 21:10:00,-0.6794
2019/01/01 21:15:00,-0.6838
2019/01/01 21:20:00,-0.6997
2019/01/01 21:25:00,-0.72729
2019/01/01 21:30:00,-0.76539
2019/01/01 21:35:00,-0.81166
2019/01/01 21:40:00,-0.8645
2019/01/01 21:45:00,-0.92136
2019/01/01 21:50:00,-0.97976
2019/01/01 21:55:00,-1.0382
2019/01/01 22:00:00,-1.0941
2019/01/01 22:05:00,-1.144
2019/01/01 22:10:00,-1.1864
2019/01/01 22:15:00,-1.2202
2019/01/01 22:20:00,-1.2436
2019/01/01 22:25:00,-1.2556
2019/01/01 22:30:00,-1.2566
2019/01/01 22:35:00,-1.2467
2019/01/01 22:40:00,-1.2258
2019/01/01 22:45:00,-1.195
2019/01/01 22:50:00,-1.1559
2019/01/01 22:55:00,-1.1107
2019/01/01 23:00:00,-1.0617
2019/01/01 23:05:00,-1.011
2019/01/01 23:10:00,-0.95894
2019/01/01 23:15:00,-0.90581
2019/01/01 23:20:00,-0.85222
2019/01/01 23:25:00,-0.79728
2019/01/01 23:30:00,-0.73956
2019/01/01 23:35:00,-0.67911
2019/01/01 23:40:00,-0.61631
2019/01/01 23:45:00,-0.54986
2019/01/01 23:50:00,-0.47905
2019/01/01 23:55:00,-0.40404
2019/01/02 00:00:00,-0.32349
2019/01/02 00:05:00,-0.23699
2019/01/02 00:10:00,-0.14469
2019/01/02 00:15:00,-0.045087
2019/01/02 00:20:00,0.059462
2019/01/02 00:25:00,0.16615
2019/01/02 00:30:00,0.27577
2019/01/02 00:35:00,0.38392
2019/01/02 00:40:00,0.48773
2019/01/02 00:45:00,0.58565
2019/01/02 00:50:00,0.67735
2019/01/02 00:55:00,0.75897
2019/01/02 01:00:00,0.82528
2019/01/02 01:05:00,0.87931
2019/01/02 01:10:00,0.92096
2019/01/02 01:15:00,0.94698
2019/01/02 01:20:00,0.95643
2019/01/02 01:25:00,0.94999
2019/01/02 01:30:00,0.93307
2019/01/02 01:35:00,0.9093
2019/01/02 01:40:00,0.87979
2019/01/02 01:45:00,0.8469
2019/01/02 01:50:00,0.81171
2019/01/02 01:55:00,0.77639
2019/01/02 02:00:00,0.74844
2019/01/02 02:05:00,0.73044
2019/01/02 02:10:00,0.72078
2019/01/02 02:15:00,0.72034
2019/01/02 02:20:00,0.73154
2019/01/02 02:25:00,0.7525
2019/01/02 02:30:00,0.78113
2019/01/02 02:35:00,0.81759
2019/01/02 02:40:00,0.86183
2019/01/02 02:45:00,0.91155
2019/01/02 02:50:00,0.96397
2019/01/02 02:55:00,1.0173
2019/01/02 03:00:00,1.0698
2019/01/02 03:05:00,1.1203
2019/01/02 03:10:00,1.1683
2019/01/02 03:15:00,1.2136
2019/01/02 03:20:00,1.2545
2019/01/02 03:25:00,1.29
2019/01/02 03:30:00,1.3203
2019/01/02 03:35:00,1.3457
2019/01/02 03:40:00,1.3665
2019/01/02 03:45:00,1.383
2019/01/02 03:50:00,1.3952
2019/01/02 03:55:00,1.4049
2019/01/02 04:00:00,1.4137
2019/01/02 04:05:00,1.4223
2019/01/02 04:10:00,1.4315
2019/01/02 04:15:00,1.441
2019/01/02 04:20:00,1.4507
2019/01/02 04:25:00,1.4607
2019/01/02 04:30:00,1.4679
2019/01/02 04:35:00,1.4698
2019/01/02 04:40:00,1.4678
2019/01/02 04:45:00,1.4608
2019/01/02 04:50:00,1.4473
2019/01/02 04:55:00,1.4241
2019/01/02 05:00:00,1.3869
2019/01/02 05:05:00,1.3374
2019/01/02 05:10:00,1.278
2019/01/02 05:15:00,1.2072
2019/01/02 05:20:00,1.1255
2019/01/02 05:25:00,1.0353
2019/01/02 05:30:00,0.9375
2019/01/02 05:35:00,0.83393
2019/01/02 05:40:00,0.72688
2019/01/02 05:45:00,0.61817
2019/01/02 05:50:00,0.51052
2019/01/02 05:55:00,0.40696
2019/01/02 06:00:00,0.30917
2019/01/02 06:05:00,0.21839
2019/01/02 06:10:00,0.13628
2019/01/02 06:15:00,0.064496
2019/01/02 06:20:00,0.0039414
2019/01/02 06:25:00,-0.045137
2019/01/02 06:30:00,-0.083053
2019/01/02 06:35:00,-0.11091
2019/01/02 06:40:00,-0.12991
2019/01/02 06:45:00,-0.14136
2019/01/02 06:50:00,-0.14748
2019/01/02 06:55:00,-0.15114
2019/01/02 07:00:00,-0.15471
2019/01/02 07:05:00,-0.16009
2019/01/02 07:10:00,-0.16863
2019/01/02 07:15:00,-0.18133
2019/01/02 07:20:00,-0.19908
2019/01/02 07:25:00,-0.22244
2019/01/02 07:30:00,-0.25163
2019/01/02 07:35:00,-0.28611
2019/01/02 07:40:00,-0.32468
2019/01/02 07:45:00,-0.36597
