Time [yyyy/MM/dd HH:mm:ss],Eyjargardur: water level (waterlevel) at Eyjargardur_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,8.341E-65
2019/01/01 00:10:00,6.264E-55
2019/01/01 00:15:00,1.4321E-47
2019/01/01 00:20:00,2.3407E-41
2019/01/01 00:25:00,6.2672E-36
2019/01/01 00:30:00,4.1044E-31
2019/01/01 00:35:00,8.3168E-27
2019/01/01 00:40:00,6.0727E-23
2019/01/01 00:45:00,1.7745E-19
2019/01/01 00:50:00,2.2365E-16
2019/01/01 00:55:00,1.2846E-13
2019/01/01 01:00:00,3.5057E-11
2019/01/01 01:05:00,4.7008E-09
2019/01/01 01:10:00,3.1933E-07
2019/01/01 01:15:00,1.1345E-05
2019/01/01 01:20:00,0.00021841
2019/01/01 01:25:00,0.0023621
2019/01/01 01:30:00,0.014883
2019/01/01 01:35:00,0.05743
2019/01/01 01:40:00,0.14782
2019/01/01 01:45:00,0.28417
2019/01/01 01:50:00,0.45556
2019/01/01 01:55:00,0.6586
2019/01/01 02:00:00,0.88249
2019/01/01 02:05:00,1.1152
2019/01/01 02:10:00,1.3608
2019/01/01 02:15:00,1.6099
2019/01/01 02:20:00,1.8286
2019/01/01 02:25:00,2.033
2019/01/01 02:30:00,2.1879
2019/01/01 02:35:00,2.2561
2019/01/01 02:40:00,2.2293
2019/01/01 02:45:00,2.1598
2019/01/01 02:50:00,2.0573
2019/01/01 02:55:00,1.923
2019/01/01 03:00:00,1.7975
2019/01/01 03:05:00,1.6904
2019/01/01 03:10:00,1.6031
2019/01/01 03:15:00,1.5101
2019/01/01 03:20:00,1.3905
2019/01/01 03:25:00,1.2593
2019/01/01 03:30:00,1.1373
2019/01/01 03:35:00,1.0102
2019/01/01 03:40:00,0.84814
2019/01/01 03:45:00,0.64594
2019/01/01 03:50:00,0.41214
2019/01/01 03:55:00,0.16925
2019/01/01 04:00:00,-0.055971
2019/01/01 04:05:00,-0.23559
2019/01/01 04:10:00,-0.35316
2019/01/01 04:15:00,-0.39988
2019/01/01 04:20:00,-0.37576
2019/01/01 04:25:00,-0.30428
2019/01/01 04:30:00,-0.22963
2019/01/01 04:35:00,-0.17481
2019/01/01 04:40:00,-0.13342
2019/01/01 04:45:00,-0.088655
2019/01/01 04:50:00,-0.042778
2019/01/01 04:55:00,-0.023876
2019/01/01 05:00:00,-0.044849
2019/01/01 05:05:00,-0.089963
2019/01/01 05:10:00,-0.13376
2019/01/01 05:15:00,-0.1637
2019/01/01 05:20:00,-0.17798
2019/01/01 05:25:00,-0.171
2019/01/01 05:30:00,-0.12302
2019/01/01 05:35:00,-0.032124
2019/01/01 05:40:00,0.070804
2019/01/01 05:45:00,0.14913
2019/01/01 05:50:00,0.19505
2019/01/01 05:55:00,0.21131
2019/01/01 06:00:00,0.19962
2019/01/01 06:05:00,0.17232
2019/01/01 06:10:00,0.13545
2019/01/01 06:15:00,0.091926
2019/01/01 06:20:00,0.048643
2019/01/01 06:25:00,0.016638
2019/01/01 06:30:00,0.014738
2019/01/01 06:35:00,0.032831
2019/01/01 06:40:00,0.043971
2019/01/01 06:45:00,0.038627
2019/01/01 06:50:00,0.018338
2019/01/01 06:55:00,-0.020404
2019/01/01 07:00:00,-0.090591
2019/01/01 07:05:00,-0.20639
2019/01/01 07:10:00,-0.36662
2019/01/01 07:15:00,-0.56214
2019/01/01 07:20:00,-0.78072
2019/01/01 07:25:00,-1.0032
2019/01/01 07:30:00,-1.2182
2019/01/01 07:35:00,-1.4223
2019/01/01 07:40:00,-1.6059
2019/01/01 07:45:00,-1.7503
2019/01/01 07:50:00,-1.8384
2019/01/01 07:55:00,-1.8716
2019/01/01 08:00:00,-1.8697
2019/01/01 08:05:00,-1.8526
2019/01/01 08:10:00,-1.8326
2019/01/01 08:15:00,-1.8185
2019/01/01 08:20:00,-1.8194
2019/01/01 08:25:00,-1.8358
2019/01/01 08:30:00,-1.8568
2019/01/01 08:35:00,-1.8653
2019/01/01 08:40:00,-1.8417
2019/01/01 08:45:00,-1.7763
2019/01/01 08:50:00,-1.6764
2019/01/01 08:55:00,-1.5593
2019/01/01 09:00:00,-1.4368
2019/01/01 09:05:00,-1.3099
2019/01/01 09:10:00,-1.181
2019/01/01 09:15:00,-1.0566
2019/01/01 09:20:00,-0.9461
2019/01/01 09:25:00,-0.85054
2019/01/01 09:30:00,-0.76891
2019/01/01 09:35:00,-0.69342
2019/01/01 09:40:00,-0.63234
2019/01/01 09:45:00,-0.59597
2019/01/01 09:50:00,-0.57094
2019/01/01 09:55:00,-0.5499
2019/01/01 10:00:00,-0.52804
2019/01/01 10:05:00,-0.50618
2019/01/01 10:10:00,-0.48006
2019/01/01 10:15:00,-0.44985
2019/01/01 10:20:00,-0.41452
2019/01/01 10:25:00,-0.36951
2019/01/01 10:30:00,-0.32088
2019/01/01 10:35:00,-0.2868
2019/01/01 10:40:00,-0.27756
2019/01/01 10:45:00,-0.29127
2019/01/01 10:50:00,-0.32286
2019/01/01 10:55:00,-0.36861
2019/01/01 11:00:00,-0.42071
2019/01/01 11:05:00,-0.47437
2019/01/01 11:10:00,-0.53503
2019/01/01 11:15:00,-0.60174
2019/01/01 11:20:00,-0.66765
2019/01/01 11:25:00,-0.72994
2019/01/01 11:30:00,-0.78745
2019/01/01 11:35:00,-0.83393
2019/01/01 11:40:00,-0.85937
2019/01/01 11:45:00,-0.86188
2019/01/01 11:50:00,-0.84711
2019/01/01 11:55:00,-0.82366
2019/01/01 12:00:00,-0.79595
2019/01/01 12:05:00,-0.75911
2019/01/01 12:10:00,-0.70218
2019/01/01 12:15:00,-0.61446
2019/01/01 12:20:00,-0.49527
2019/01/01 12:25:00,-0.35298
2019/01/01 12:30:00,-0.19353
2019/01/01 12:35:00,-0.014646
2019/01/01 12:40:00,0.17805
2019/01/01 12:45:00,0.36844
2019/01/01 12:50:00,0.55842
2019/01/01 12:55:00,0.73129
2019/01/01 13:00:00,0.86837
2019/01/01 13:05:00,0.98181
2019/01/01 13:10:00,1.0752
2019/01/01 13:15:00,1.1436
2019/01/01 13:20:00,1.1915
2019/01/01 13:25:00,1.2336
2019/01/01 13:30:00,1.2686
2019/01/01 13:35:00,1.3003
2019/01/01 13:40:00,1.3183
2019/01/01 13:45:00,1.3182
2019/01/01 13:50:00,1.3054
2019/01/01 13:55:00,1.293
2019/01/01 14:00:00,1.2843
2019/01/01 14:05:00,1.2768
2019/01/01 14:10:00,1.2779
2019/01/01 14:15:00,1.2819
2019/01/01 14:20:00,1.279
2019/01/01 14:25:00,1.2688
2019/01/01 14:30:00,1.2523
2019/01/01 14:35:00,1.226
2019/01/01 14:40:00,1.1923
2019/01/01 14:45:00,1.156
2019/01/01 14:50:00,1.1173
2019/01/01 14:55:00,1.0765
2019/01/01 15:00:00,1.0314
2019/01/01 15:05:00,0.97847
2019/01/01 15:10:00,0.92006
2019/01/01 15:15:00,0.85964
2019/01/01 15:20:00,0.79719
2019/01/01 15:25:00,0.73358
2019/01/01 15:30:00,0.67084
2019/01/01 15:35:00,0.60974
2019/01/01 15:40:00,0.55278
2019/01/01 15:45:00,0.50379
2019/01/01 15:50:00,0.46507
2019/01/01 15:55:00,0.43824
2019/01/01 16:00:00,0.42563
2019/01/01 16:05:00,0.43002
2019/01/01 16:10:00,0.45364
2019/01/01 16:15:00,0.49685
2019/01/01 16:20:00,0.55782
2019/01/01 16:25:00,0.63294
2019/01/01 16:30:00,0.71513
2019/01/01 16:35:00,0.79742
2019/01/01 16:40:00,0.87525
2019/01/01 16:45:00,0.94414
2019/01/01 16:50:00,1.0019
2019/01/01 16:55:00,1.0489
2019/01/01 17:00:00,1.0857
2019/01/01 17:05:00,1.1106
2019/01/01 17:10:00,1.1195
2019/01/01 17:15:00,1.112
2019/01/01 17:20:00,1.0854
2019/01/01 17:25:00,1.0363
2019/01/01 17:30:00,0.96686
2019/01/01 17:35:00,0.87699
2019/01/01 17:40:00,0.76885
2019/01/01 17:45:00,0.65007
2019/01/01 17:50:00,0.52435
2019/01/01 17:55:00,0.39504
2019/01/01 18:00:00,0.2677
2019/01/01 18:05:00,0.14611
2019/01/01 18:10:00,0.033323
2019/01/01 18:15:00,-0.068265
2019/01/01 18:20:00,-0.15881
2019/01/01 18:25:00,-0.24226
2019/01/01 18:30:00,-0.3215
2019/01/01 18:35:00,-0.39676
2019/01/01 18:40:00,-0.46765
2019/01/01 18:45:00,-0.53521
2019/01/01 18:50:00,-0.6014
2019/01/01 18:55:00,-0.66771
2019/01/01 19:00:00,-0.73457
2019/01/01 19:05:00,-0.80153
2019/01/01 19:10:00,-0.86816
2019/01/01 19:15:00,-0.93358
2019/01/01 19:20:00,-0.99658
2019/01/01 19:25:00,-1.0562
2019/01/01 19:30:00,-1.1118
2019/01/01 19:35:00,-1.1633
2019/01/01 19:40:00,-1.2105
2019/01/01 19:45:00,-1.2528
2019/01/01 19:50:00,-1.2875
2019/01/01 19:55:00,-1.3108
2019/01/01 20:00:00,-1.3183
2019/01/01 20:05:00,-1.3069
2019/01/01 20:10:00,-1.2757
2019/01/01 20:15:00,-1.2262
2019/01/01 20:20:00,-1.162
2019/01/01 20:25:00,-1.0877
2019/01/01 20:30:00,-1.0079
2019/01/01 20:35:00,-0.92713
2019/01/01 20:40:00,-0.84871
2019/01/01 20:45:00,-0.77501
2019/01/01 20:50:00,-0.71152
2019/01/01 20:55:00,-0.66346
2019/01/01 21:00:00,-0.63107
2019/01/01 21:05:00,-0.60878
2019/01/01 21:10:00,-0.59768
2019/01/01 21:15:00,-0.60154
2019/01/01 21:20:00,-0.62129
2019/01/01 21:25:00,-0.65408
2019/01/01 21:30:00,-0.69669
2019/01/01 21:35:00,-0.75014
2019/01/01 21:40:00,-0.81615
2019/01/01 21:45:00,-0.89477
2019/01/01 21:50:00,-0.97853
2019/01/01 21:55:00,-1.061
2019/01/01 22:00:00,-1.14
2019/01/01 22:05:00,-1.2124
2019/01/01 22:10:00,-1.2731
2019/01/01 22:15:00,-1.3176
2019/01/01 22:20:00,-1.3449
2019/01/01 22:25:00,-1.3554
2019/01/01 22:30:00,-1.3501
2019/01/01 22:35:00,-1.3306
2019/01/01 22:40:00,-1.2989
2019/01/01 22:45:00,-1.2561
2019/01/01 22:50:00,-1.2039
2019/01/01 22:55:00,-1.1443
2019/01/01 23:00:00,-1.0803
2019/01/01 23:05:00,-1.015
2019/01/01 23:10:00,-0.95044
2019/01/01 23:15:00,-0.88579
2019/01/01 23:20:00,-0.82239
2019/01/01 23:25:00,-0.7627
2019/01/01 23:30:00,-0.70741
2019/01/01 23:35:00,-0.65379
2019/01/01 23:40:00,-0.59737
2019/01/01 23:45:00,-0.53624
2019/01/01 23:50:00,-0.47002
2019/01/01 23:55:00,-0.39819
2019/01/02 00:00:00,-0.31957
2019/01/02 00:05:00,-0.23031
2019/01/02 00:10:00,-0.1308
2019/01/02 00:15:00,-0.026474
2019/01/02 00:20:00,0.080245
2019/01/02 00:25:00,0.19369
2019/01/02 00:30:00,0.31244
2019/01/02 00:35:00,0.42975
2019/01/02 00:40:00,0.54456
