Time [yyyy/MM/dd HH:mm:ss],Gamla_hofnin: water level (waterlevel) at Gamla_hofnin_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,4.2592E-67
2019/01/01 00:10:00,3.919E-57
2019/01/01 00:15:00,1.0916E-49
2019/01/01 00:20:00,2.1917E-43
2019/01/01 00:25:00,7.2763E-38
2019/01/01 00:30:00,5.9702E-33
2019/01/01 00:35:00,1.5332E-28
2019/01/01 00:40:00,1.4372E-24
2019/01/01 00:45:00,5.4692E-21
2019/01/01 00:50:00,9.1197E-18
2019/01/01 00:55:00,7.0498E-15
2019/01/01 01:00:00,2.6362E-12
2019/01/01 01:05:00,4.9299E-10
2019/01/01 01:10:00,4.7404E-08
2019/01/01 01:15:00,2.4053E-06
2019/01/01 01:20:00,6.6118E-05
2019/01/01 01:25:00,0.0010109
2019/01/01 01:30:00,0.0088017
2019/01/01 01:35:00,0.044628
2019/01/01 01:40:00,0.13697
2019/01/01 01:45:00,0.2795
2019/01/01 01:50:00,0.44912
2019/01/01 01:55:00,0.65571
2019/01/01 02:00:00,0.88021
2019/01/01 02:05:00,1.1126
2019/01/01 02:10:00,1.3676
2019/01/01 02:15:00,1.6254
2019/01/01 02:20:00,1.823
2019/01/01 02:25:00,2.0436
2019/01/01 02:30:00,2.1937
2019/01/01 02:35:00,2.2701
2019/01/01 02:40:00,2.2338
2019/01/01 02:45:00,2.164
2019/01/01 02:50:00,2.0621
2019/01/01 02:55:00,1.9217
2019/01/01 03:00:00,1.798
2019/01/01 03:05:00,1.6855
2019/01/01 03:10:00,1.5998
2019/01/01 03:15:00,1.5198
2019/01/01 03:20:00,1.3954
2019/01/01 03:25:00,1.2554
2019/01/01 03:30:00,1.135
2019/01/01 03:35:00,1.0196
2019/01/01 03:40:00,0.86233
2019/01/01 03:45:00,0.65965
2019/01/01 03:50:00,0.42627
2019/01/01 03:55:00,0.17952
2019/01/01 04:00:00,-0.056542
2019/01/01 04:05:00,-0.25017
2019/01/01 04:10:00,-0.37235
2019/01/01 04:15:00,-0.42659
2019/01/01 04:20:00,-0.39299
2019/01/01 04:25:00,-0.3046
2019/01/01 04:30:00,-0.22157
2019/01/01 04:35:00,-0.17032
2019/01/01 04:40:00,-0.13415
2019/01/01 04:45:00,-0.09395
2019/01/01 04:50:00,-0.033793
2019/01/01 04:55:00,-0.011936
2019/01/01 05:00:00,-0.037641
2019/01/01 05:05:00,-0.089397
2019/01/01 05:10:00,-0.13841
2019/01/01 05:15:00,-0.16674
2019/01/01 05:20:00,-0.18194
2019/01/01 05:25:00,-0.18175
2019/01/01 05:30:00,-0.1392
2019/01/01 05:35:00,-0.034799
2019/01/01 05:40:00,0.076781
2019/01/01 05:45:00,0.15938
2019/01/01 05:50:00,0.20025
2019/01/01 05:55:00,0.21831
2019/01/01 06:00:00,0.20322
2019/01/01 06:05:00,0.17581
2019/01/01 06:10:00,0.13823
2019/01/01 06:15:00,0.091788
2019/01/01 06:20:00,0.049942
2019/01/01 06:25:00,0.0075552
2019/01/01 06:30:00,0.0059182
2019/01/01 06:35:00,0.037405
2019/01/01 06:40:00,0.04796
2019/01/01 06:45:00,0.042087
2019/01/01 06:50:00,0.021565
2019/01/01 06:55:00,-0.01343
2019/01/01 07:00:00,-0.076722
2019/01/01 07:05:00,-0.18945
2019/01/01 07:10:00,-0.3481
2019/01/01 07:15:00,-0.54199
2019/01/01 07:20:00,-0.76322
2019/01/01 07:25:00,-0.98195
2019/01/01 07:30:00,-1.1817
2019/01/01 07:35:00,-1.3521
2019/01/01 07:40:00,-1.4783
2019/01/01 07:45:00,-1.5582
2019/01/01 07:50:00,-1.6032
2019/01/01 07:55:00,-1.6292
2019/01/01 08:00:00,-1.6441
2019/01/01 08:05:00,-1.6535
2019/01/01 08:10:00,-1.6599
2019/01/01 08:15:00,-1.6644
2019/01/01 08:20:00,-1.668
2019/01/01 08:25:00,-1.6709
2019/01/01 08:30:00,-1.6735
2019/01/01 08:35:00,-1.6758
2019/01/01 08:40:00,-1.6777
2019/01/01 08:45:00,-1.6791
2019/01/01 08:50:00,-1.6798
2019/01/01 08:55:00,-1.6721
2019/01/01 09:00:00,-1.6087
2019/01/01 09:05:00,-1.449
2019/01/01 09:10:00,-1.2177
2019/01/01 09:15:00,-1.0305
2019/01/01 09:20:00,-0.95147
2019/01/01 09:25:00,-0.8521
2019/01/01 09:30:00,-0.75333
2019/01/01 09:35:00,-0.70161
2019/01/01 09:40:00,-0.61488
2019/01/01 09:45:00,-0.59197
2019/01/01 09:50:00,-0.57509
2019/01/01 09:55:00,-0.54302
2019/01/01 10:00:00,-0.53311
2019/01/01 10:05:00,-0.50241
2019/01/01 10:10:00,-0.486
2019/01/01 10:15:00,-0.44637
2019/01/01 10:20:00,-0.42105
2019/01/01 10:25:00,-0.36997
2019/01/01 10:30:00,-0.3189
2019/01/01 10:35:00,-0.2761
2019/01/01 10:40:00,-0.27257
2019/01/01 10:45:00,-0.28618
2019/01/01 10:50:00,-0.31614
2019/01/01 10:55:00,-0.36731
2019/01/01 11:00:00,-0.41829
2019/01/01 11:05:00,-0.47398
2019/01/01 11:10:00,-0.52923
2019/01/01 11:15:00,-0.60209
2019/01/01 11:20:00,-0.66856
2019/01/01 11:25:00,-0.72804
2019/01/01 11:30:00,-0.79123
2019/01/01 11:35:00,-0.84095
2019/01/01 11:40:00,-0.86945
2019/01/01 11:45:00,-0.86853
2019/01/01 11:50:00,-0.84984
2019/01/01 11:55:00,-0.8242
2019/01/01 12:00:00,-0.79767
2019/01/01 12:05:00,-0.76654
2019/01/01 12:10:00,-0.71295
2019/01/01 12:15:00,-0.62667
2019/01/01 12:20:00,-0.50213
2019/01/01 12:25:00,-0.35708
2019/01/01 12:30:00,-0.1995
2019/01/01 12:35:00,-0.019371
2019/01/01 12:40:00,0.18501
2019/01/01 12:45:00,0.36372
2019/01/01 12:50:00,0.56662
2019/01/01 12:55:00,0.73705
2019/01/01 13:00:00,0.87341
2019/01/01 13:05:00,0.98457
2019/01/01 13:10:00,1.0814
2019/01/01 13:15:00,1.1497
2019/01/01 13:20:00,1.1914
2019/01/01 13:25:00,1.2349
2019/01/01 13:30:00,1.2677
2019/01/01 13:35:00,1.304
2019/01/01 13:40:00,1.321
2019/01/01 13:45:00,1.3181
2019/01/01 13:50:00,1.3069
2019/01/01 13:55:00,1.2922
2019/01/01 14:00:00,1.2816
2019/01/01 14:05:00,1.2766
2019/01/01 14:10:00,1.2767
2019/01/01 14:15:00,1.2823
2019/01/01 14:20:00,1.28
2019/01/01 14:25:00,1.2695
2019/01/01 14:30:00,1.2538
2019/01/01 14:35:00,1.2263
2019/01/01 14:40:00,1.1931
2019/01/01 14:45:00,1.157
2019/01/01 14:50:00,1.1175
2019/01/01 14:55:00,1.0768
2019/01/01 15:00:00,1.0334
2019/01/01 15:05:00,0.98042
2019/01/01 15:10:00,0.92066
2019/01/01 15:15:00,0.85979
2019/01/01 15:20:00,0.79791
2019/01/01 15:25:00,0.73426
2019/01/01 15:30:00,0.67101
2019/01/01 15:35:00,0.6091
2019/01/01 15:40:00,0.55129
2019/01/01 15:45:00,0.50178
2019/01/01 15:50:00,0.46264
2019/01/01 15:55:00,0.43519
2019/01/01 16:00:00,0.42202
2019/01/01 16:05:00,0.4261
2019/01/01 16:10:00,0.44967
2019/01/01 16:15:00,0.49355
2019/01/01 16:20:00,0.55537
2019/01/01 16:25:00,0.63173
2019/01/01 16:30:00,0.71529
2019/01/01 16:35:00,0.79844
2019/01/01 16:40:00,0.87738
2019/01/01 16:45:00,0.94729
2019/01/01 16:50:00,1.0051
2019/01/01 16:55:00,1.0508
2019/01/01 17:00:00,1.0873
2019/01/01 17:05:00,1.114
2019/01/01 17:10:00,1.1221
2019/01/01 17:15:00,1.1148
2019/01/01 17:20:00,1.0887
2019/01/01 17:25:00,1.0393
2019/01/01 17:30:00,0.97055
2019/01/01 17:35:00,0.8814
2019/01/01 17:40:00,0.77171
2019/01/01 17:45:00,0.65317
2019/01/01 17:50:00,0.52747
2019/01/01 17:55:00,0.3973
2019/01/01 18:00:00,0.2691
2019/01/01 18:05:00,0.14679
2019/01/01 18:10:00,0.032776
2019/01/01 18:15:00,-0.069503
2019/01/01 18:20:00,-0.15963
2019/01/01 18:25:00,-0.24168
2019/01/01 18:30:00,-0.32151
2019/01/01 18:35:00,-0.39706
2019/01/01 18:40:00,-0.4678
2019/01/01 18:45:00,-0.53517
2019/01/01 18:50:00,-0.60031
2019/01/01 18:55:00,-0.66633
2019/01/01 19:00:00,-0.73347
2019/01/01 19:05:00,-0.80026
2019/01/01 19:10:00,-0.86689
2019/01/01 19:15:00,-0.93278
2019/01/01 19:20:00,-0.99606
2019/01/01 19:25:00,-1.0557
2019/01/01 19:30:00,-1.1113
2019/01/01 19:35:00,-1.1624
2019/01/01 19:40:00,-1.2095
2019/01/01 19:45:00,-1.2525
2019/01/01 19:50:00,-1.2897
2019/01/01 19:55:00,-1.3171
2019/01/01 20:00:00,-1.329
2019/01/01 20:05:00,-1.3186
2019/01/01 20:10:00,-1.2864
2019/01/01 20:15:00,-1.2371
2019/01/01 20:20:00,-1.1705
2019/01/01 20:25:00,-1.0915
2019/01/01 20:30:00,-1.0102
2019/01/01 20:35:00,-0.92778
2019/01/01 20:40:00,-0.84725
2019/01/01 20:45:00,-0.77169
2019/01/01 20:50:00,-0.70513
2019/01/01 20:55:00,-0.65855
2019/01/01 21:00:00,-0.6278
2019/01/01 21:05:00,-0.60586
2019/01/01 21:10:00,-0.5929
2019/01/01 21:15:00,-0.59545
2019/01/01 21:20:00,-0.6174
2019/01/01 21:25:00,-0.65079
2019/01/01 21:30:00,-0.69198
2019/01/01 21:35:00,-0.74524
2019/01/01 21:40:00,-0.80919
2019/01/01 21:45:00,-0.88857
2019/01/01 21:50:00,-0.97646
2019/01/01 21:55:00,-1.0572
2019/01/01 22:00:00,-1.1353
2019/01/01 22:05:00,-1.2104
2019/01/01 22:10:00,-1.2738
2019/01/01 22:15:00,-1.3212
2019/01/01 22:20:00,-1.352
2019/01/01 22:25:00,-1.3653
2019/01/01 22:30:00,-1.3591
2019/01/01 22:35:00,-1.3374
2019/01/01 22:40:00,-1.3066
2019/01/01 22:45:00,-1.2649
2019/01/01 22:50:00,-1.2105
2019/01/01 22:55:00,-1.1481
2019/01/01 23:00:00,-1.083
2019/01/01 23:05:00,-1.0162
2019/01/01 23:10:00,-0.95076
2019/01/01 23:15:00,-0.88734
2019/01/01 23:20:00,-0.82
2019/01/01 23:25:00,-0.76059
2019/01/01 23:30:00,-0.70743
2019/01/01 23:35:00,-0.65409
2019/01/01 23:40:00,-0.59925
2019/01/01 23:45:00,-0.53722
2019/01/01 23:50:00,-0.47184
2019/01/01 23:55:00,-0.39929
2019/01/02 00:00:00,-0.32215
2019/01/02 00:05:00,-0.23391
2019/01/02 00:10:00,-0.12987
2019/01/02 00:15:00,-0.02664
2019/01/02 00:20:00,0.077569
2019/01/02 00:25:00,0.19352
2019/01/02 00:30:00,0.31482
2019/01/02 00:35:00,0.42975
2019/01/02 00:40:00,0.54692
2019/01/02 00:45:00,0.6567
2019/01/02 00:50:00,0.74937
2019/01/02 00:55:00,0.84991
2019/01/02 01:00:00,0.93944
2019/01/02 01:05:00,0.99958
2019/01/02 01:10:00,1.0406
2019/01/02 01:15:00,1.0584
2019/01/02 01:20:00,1.0713
2019/01/02 01:25:00,1.0601
2019/01/02 01:30:00,1.024
2019/01/02 01:35:00,0.96681
2019/01/02 01:40:00,0.89952
2019/01/02 01:45:00,0.8408
2019/01/02 01:50:00,0.78531
2019/01/02 01:55:00,0.7285
2019/01/02 02:00:00,0.68668
2019/01/02 02:05:00,0.65647
2019/01/02 02:10:00,0.64109
2019/01/02 02:15:00,0.64319
2019/01/02 02:20:00,0.65714
2019/01/02 02:25:00,0.68053
2019/01/02 02:30:00,0.7152
2019/01/02 02:35:00,0.76298
2019/01/02 02:40:00,0.82079
2019/01/02 02:45:00,0.88358
2019/01/02 02:50:00,0.9496
2019/01/02 02:55:00,1.0178
2019/01/02 03:00:00,1.088
2019/01/02 03:05:00,1.1593
2019/01/02 03:10:00,1.2241
2019/01/02 03:15:00,1.2761
2019/01/02 03:20:00,1.3191
2019/01/02 03:25:00,1.3561
2019/01/02 03:30:00,1.3872
2019/01/02 03:35:00,1.4122
2019/01/02 03:40:00,1.4264
2019/01/02 03:45:00,1.4307
2019/01/02 03:50:00,1.4314
2019/01/02 03:55:00,1.4315
2019/01/02 04:00:00,1.4316
2019/01/02 04:05:00,1.4312
2019/01/02 04:10:00,1.4297
2019/01/02 04:15:00,1.4328
2019/01/02 04:20:00,1.4442
2019/01/02 04:25:00,1.4601
2019/01/02 04:30:00,1.4773
2019/01/02 04:35:00,1.4931
2019/01/02 04:40:00,1.5009
2019/01/02 04:45:00,1.5002
2019/01/02 04:50:00,1.4921
2019/01/02 04:55:00,1.4742
2019/01/02 05:00:00,1.4439
2019/01/02 05:05:00,1.3977
2019/01/02 05:10:00,1.3331
2019/01/02 05:15:00,1.2543
2019/01/02 05:20:00,1.1636
2019/01/02 05:25:00,1.0597
2019/01/02 05:30:00,0.94563
2019/01/02 05:35:00,0.82609
2019/01/02 05:40:00,0.70376
2019/01/02 05:45:00,0.58224
2019/01/02 05:50:00,0.46452
2019/01/02 05:55:00,0.35014
2019/01/02 06:00:00,0.24022
2019/01/02 06:05:00,0.13832
2019/01/02 06:10:00,0.04726
2019/01/02 06:15:00,-0.030947
2019/01/02 06:20:00,-0.094623
2019/01/02 06:25:00,-0.14424
2019/01/02 06:30:00,-0.1795
2019/01/02 06:35:00,-0.19978
2019/01/02 06:40:00,-0.20656
2019/01/02 06:45:00,-0.2024
2019/01/02 06:50:00,-0.19108
2019/01/02 06:55:00,-0.1759
2019/01/02 07:00:00,-0.16016
2019/01/02 07:05:00,-0.14601
2019/01/02 07:10:00,-0.13729
2019/01/02 07:15:00,-0.13926
2019/01/02 07:20:00,-0.15209
2019/01/02 07:25:00,-0.17536
2019/01/02 07:30:00,-0.20748
2019/01/02 07:35:00,-0.24895
2019/01/02 07:40:00,-0.29999
2019/01/02 07:45:00,-0.35576
2019/01/02 07:50:00,-0.40975
2019/01/02 07:55:00,-0.4615
2019/01/02 08:00:00,-0.51084
2019/01/02 08:05:00,-0.55643
2019/01/02 08:10:00,-0.59748
2019/01/02 08:15:00,-0.63346
2019/01/02 08:20:00,-0.66477
2019/01/02 08:25:00,-0.69222
2019/01/02 08:30:00,-0.71853
2019/01/02 08:35:00,-0.74714
2019/01/02 08:40:00,-0.77886
2019/01/02 08:45:00,-0.81143
2019/01/02 08:50:00,-0.84457
2019/01/02 08:55:00,-0.88035
2019/01/02 09:00:00,-0.91812
2019/01/02 09:05:00,-0.95803
2019/01/02 09:10:00,-1.0015
2019/01/02 09:15:00,-1.0475
2019/01/02 09:20:00,-1.0986
2019/01/02 09:25:00,-1.1589
2019/01/02 09:30:00,-1.2257
2019/01/02 09:35:00,-1.2953
2019/01/02 09:40:00,-1.3643
2019/01/02 09:45:00,-1.4282
2019/01/02 09:50:00,-1.4835
2019/01/02 09:55:00,-1.5287
2019/01/02 10:00:00,-1.5641
2019/01/02 10:05:00,-1.5907
2019/01/02 10:10:00,-1.61
2019/01/02 10:15:00,-1.6237
2019/01/02 10:20:00,-1.633
2019/01/02 10:25:00,-1.6382
2019/01/02 10:30:00,-1.6357
2019/01/02 10:35:00,-1.6088
2019/01/02 10:40:00,-1.5379
2019/01/02 10:45:00,-1.4141
2019/01/02 10:50:00,-1.2595
2019/01/02 10:55:00,-1.1327
2019/01/02 11:00:00,-1.0481
2019/01/02 11:05:00,-0.95336
2019/01/02 11:10:00,-0.86657
2019/01/02 11:15:00,-0.79646
2019/01/02 11:20:00,-0.71131
2019/01/02 11:25:00,-0.65171
