Time [yyyy/MM/dd HH:mm:ss],Grindavik: water level (waterlevel) at Grindavik_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,8.5169E-26
2019/01/01 00:10:00,4.3904E-18
2019/01/01 00:15:00,6.1834E-13
2019/01/01 00:20:00,4.7675E-09
2019/01/01 00:25:00,4.3335E-06
2019/01/01 00:30:00,0.00063888
2019/01/01 00:35:00,0.017481
2019/01/01 00:40:00,0.099417
2019/01/01 00:45:00,0.19661
2019/01/01 00:50:00,0.28326
2019/01/01 00:55:00,0.36653
2019/01/01 01:00:00,0.45641
2019/01/01 01:05:00,0.54143
2019/01/01 01:10:00,0.63635
2019/01/01 01:15:00,0.74448
2019/01/01 01:20:00,0.84811
2019/01/01 01:25:00,0.94168
2019/01/01 01:30:00,1.0357
2019/01/01 01:35:00,1.1135
2019/01/01 01:40:00,1.1008
2019/01/01 01:45:00,1.0698
2019/01/01 01:50:00,1.039
2019/01/01 01:55:00,1.025
2019/01/01 02:00:00,0.99351
2019/01/01 02:05:00,0.92795
2019/01/01 02:10:00,0.82318
2019/01/01 02:15:00,0.7091
2019/01/01 02:20:00,0.63116
2019/01/01 02:25:00,0.61776
2019/01/01 02:30:00,0.61673
2019/01/01 02:35:00,0.58097
2019/01/01 02:40:00,0.51454
2019/01/01 02:45:00,0.46251
2019/01/01 02:50:00,0.44634
2019/01/01 02:55:00,0.47011
2019/01/01 03:00:00,0.52887
2019/01/01 03:05:00,0.60821
2019/01/01 03:10:00,0.6927
2019/01/01 03:15:00,0.77213
2019/01/01 03:20:00,0.81633
2019/01/01 03:25:00,0.80607
2019/01/01 03:30:00,0.75871
2019/01/01 03:35:00,0.70957
2019/01/01 03:40:00,0.6853
2019/01/01 03:45:00,0.68374
2019/01/01 03:50:00,0.66773
2019/01/01 03:55:00,0.61922
2019/01/01 04:00:00,0.5651
2019/01/01 04:05:00,0.52622
2019/01/01 04:10:00,0.48872
2019/01/01 04:15:00,0.41792
2019/01/01 04:20:00,0.30155
2019/01/01 04:25:00,0.17231
2019/01/01 04:30:00,0.05943
2019/01/01 04:35:00,-0.036355
2019/01/01 04:40:00,-0.11738
2019/01/01 04:45:00,-0.18166
2019/01/01 04:50:00,-0.22269
2019/01/01 04:55:00,-0.2387
2019/01/01 05:00:00,-0.23545
2019/01/01 05:05:00,-0.2232
2019/01/01 05:10:00,-0.20837
2019/01/01 05:15:00,-0.18301
2019/01/01 05:20:00,-0.13419
2019/01/01 05:25:00,-0.057355
2019/01/01 05:30:00,0.03556
2019/01/01 05:35:00,0.11453
2019/01/01 05:40:00,0.14546
2019/01/01 05:45:00,0.10751
2019/01/01 05:50:00,0.013429
2019/01/01 05:55:00,-0.1048
2019/01/01 06:00:00,-0.22158
2019/01/01 06:05:00,-0.3288
2019/01/01 06:10:00,-0.42305
2019/01/01 06:15:00,-0.50367
2019/01/01 06:20:00,-0.5815
2019/01/01 06:25:00,-0.67043
2019/01/01 06:30:00,-0.77128
2019/01/01 06:35:00,-0.86749
2019/01/01 06:40:00,-0.94042
2019/01/01 06:45:00,-0.98321
2019/01/01 06:50:00,-0.99898
2019/01/01 06:55:00,-0.99535
2019/01/01 07:00:00,-0.98103
2019/01/01 07:05:00,-0.95798
2019/01/01 07:10:00,-0.91972
2019/01/01 07:15:00,-0.86198
2019/01/01 07:20:00,-0.79275
2019/01/01 07:25:00,-0.73138
2019/01/01 07:30:00,-0.69563
2019/01/01 07:35:00,-0.68998
2019/01/01 07:40:00,-0.70661
2019/01/01 07:45:00,-0.73606
2019/01/01 07:50:00,-0.76449
2019/01/01 07:55:00,-0.78711
2019/01/01 08:00:00,-0.81193
2019/01/01 08:05:00,-0.84391
2019/01/01 08:10:00,-0.89421
2019/01/01 08:15:00,-0.97109
2019/01/01 08:20:00,-1.0599
2019/01/01 08:25:00,-1.1349
2019/01/01 08:30:00,-1.1782
2019/01/01 08:35:00,-1.1855
2019/01/01 08:40:00,-1.1718
2019/01/01 08:45:00,-1.1597
2019/01/01 08:50:00,-1.1538
2019/01/01 08:55:00,-1.1419
2019/01/01 09:00:00,-1.1122
2019/01/01 09:05:00,-1.0622
2019/01/01 09:10:00,-0.99094
2019/01/01 09:15:00,-0.90254
2019/01/01 09:20:00,-0.80828
2019/01/01 09:25:00,-0.71815
2019/01/01 09:30:00,-0.63876
2019/01/01 09:35:00,-0.57079
2019/01/01 09:40:00,-0.51323
2019/01/01 09:45:00,-0.46865
2019/01/01 09:50:00,-0.44103
2019/01/01 09:55:00,-0.43374
2019/01/01 10:00:00,-0.45075
2019/01/01 10:05:00,-0.48885
2019/01/01 10:10:00,-0.52947
2019/01/01 10:15:00,-0.55547
2019/01/01 10:20:00,-0.56431
2019/01/01 10:25:00,-0.56087
2019/01/01 10:30:00,-0.55688
2019/01/01 10:35:00,-0.56118
2019/01/01 10:40:00,-0.57156
2019/01/01 10:45:00,-0.57941
2019/01/01 10:50:00,-0.57326
2019/01/01 10:55:00,-0.54391
2019/01/01 11:00:00,-0.48876
2019/01/01 11:05:00,-0.41151
2019/01/01 11:10:00,-0.31949
2019/01/01 11:15:00,-0.22111
2019/01/01 11:20:00,-0.12319
2019/01/01 11:25:00,-0.026581
2019/01/01 11:30:00,0.069572
2019/01/01 11:35:00,0.16252
2019/01/01 11:40:00,0.25084
2019/01/01 11:45:00,0.32604
2019/01/01 11:50:00,0.38689
2019/01/01 11:55:00,0.42959
2019/01/01 12:00:00,0.45717
2019/01/01 12:05:00,0.4648
2019/01/01 12:10:00,0.44924
2019/01/01 12:15:00,0.41659
2019/01/01 12:20:00,0.37325
2019/01/01 12:25:00,0.32401
2019/01/01 12:30:00,0.28149
2019/01/01 12:35:00,0.25867
2019/01/01 12:40:00,0.25919
2019/01/01 12:45:00,0.28174
2019/01/01 12:50:00,0.32772
2019/01/01 12:55:00,0.39317
2019/01/01 13:00:00,0.46733
2019/01/01 13:05:00,0.54397
2019/01/01 13:10:00,0.62179
2019/01/01 13:15:00,0.70022
2019/01/01 13:20:00,0.7828
2019/01/01 13:25:00,0.86954
2019/01/01 13:30:00,0.95395
2019/01/01 13:35:00,1.0285
2019/01/01 13:40:00,1.085
2019/01/01 13:45:00,1.1186
2019/01/01 13:50:00,1.1279
2019/01/01 13:55:00,1.1221
2019/01/01 14:00:00,1.1034
2019/01/01 14:05:00,1.0721
2019/01/01 14:10:00,1.0282
2019/01/01 14:15:00,0.97809
2019/01/01 14:20:00,0.92955
2019/01/01 14:25:00,0.88182
2019/01/01 14:30:00,0.83652
2019/01/01 14:35:00,0.79623
2019/01/01 14:40:00,0.76348
2019/01/01 14:45:00,0.73828
2019/01/01 14:50:00,0.72084
2019/01/01 14:55:00,0.7166
2019/01/01 15:00:00,0.72765
2019/01/01 15:05:00,0.7517
2019/01/01 15:10:00,0.78697
2019/01/01 15:15:00,0.82955
2019/01/01 15:20:00,0.87328
2019/01/01 15:25:00,0.9115
2019/01/01 15:30:00,0.94026
2019/01/01 15:35:00,0.95918
2019/01/01 15:40:00,0.96903
2019/01/01 15:45:00,0.97219
2019/01/01 15:50:00,0.97036
2019/01/01 15:55:00,0.9604
2019/01/01 16:00:00,0.93668
2019/01/01 16:05:00,0.89551
2019/01/01 16:10:00,0.83612
2019/01/01 16:15:00,0.76091
2019/01/01 16:20:00,0.67447
2019/01/01 16:25:00,0.58326
2019/01/01 16:30:00,0.49304
2019/01/01 16:35:00,0.40907
2019/01/01 16:40:00,0.33625
2019/01/01 16:45:00,0.27793
2019/01/01 16:50:00,0.23585
2019/01/01 16:55:00,0.21018
2019/01/01 17:00:00,0.19703
