Time [yyyy/MM/dd HH:mm:ss],Kleppsbakki: water level (waterlevel) at Kleppsbakki_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,1.2079E-68
2019/01/01 00:10:00,1.2406E-58
2019/01/01 00:15:00,3.9181E-51
2019/01/01 00:20:00,8.939E-45
2019/01/01 00:25:00,3.3811E-39
2019/01/01 00:30:00,3.1698E-34
2019/01/01 00:35:00,9.3306E-30
2019/01/01 00:40:00,1.0059E-25
2019/01/01 00:45:00,4.4188E-22
2019/01/01 00:50:00,8.5393E-19
2019/01/01 00:55:00,7.6817E-16
2019/01/01 01:00:00,3.3565E-13
2019/01/01 01:05:00,7.3627E-11
2019/01/01 01:10:00,8.3319E-09
2019/01/01 01:15:00,4.9901E-07
2019/01/01 01:20:00,1.626E-05
2019/01/01 01:25:00,0.00029747
2019/01/01 01:30:00,0.0031591
2019/01/01 01:35:00,0.020102
2019/01/01 01:40:00,0.079384
2019/01/01 01:45:00,0.20637
2019/01/01 01:50:00,0.38868
2019/01/01 01:55:00,0.59643
2019/01/01 02:00:00,0.81921
2019/01/01 02:05:00,1.0531
2019/01/01 02:10:00,1.3009
2019/01/01 02:15:00,1.5627
2019/01/01 02:20:00,1.8168
2019/01/01 02:25:00,2.0443
2019/01/01 02:30:00,2.2423
2019/01/01 02:35:00,2.405
2019/01/01 02:40:00,2.4235
2019/01/01 02:45:00,2.3024
2019/01/01 02:50:00,2.1054
2019/01/01 02:55:00,1.912
2019/01/01 03:00:00,1.7218
2019/01/01 03:05:00,1.6065
2019/01/01 03:10:00,1.5573
2019/01/01 03:15:00,1.4901
2019/01/01 03:20:00,1.4211
2019/01/01 03:25:00,1.3422
2019/01/01 03:30:00,1.2173
2019/01/01 03:35:00,1.064
2019/01/01 03:40:00,0.88096
2019/01/01 03:45:00,0.66459
2019/01/01 03:50:00,0.43024
2019/01/01 03:55:00,0.18066
2019/01/01 04:00:00,-0.078019
2019/01/01 04:05:00,-0.29915
2019/01/01 04:10:00,-0.44145
2019/01/01 04:15:00,-0.48773
2019/01/01 04:20:00,-0.44812
2019/01/01 04:25:00,-0.35702
2019/01/01 04:30:00,-0.26088
2019/01/01 04:35:00,-0.18953
2019/01/01 04:40:00,-0.13812
2019/01/01 04:45:00,-0.093536
2019/01/01 04:50:00,-0.037199
2019/01/01 04:55:00,0.00064297
2019/01/01 05:00:00,0.0047692
2019/01/01 05:05:00,-0.038913
2019/01/01 05:10:00,-0.10023
2019/01/01 05:15:00,-0.16867
2019/01/01 05:20:00,-0.22013
2019/01/01 05:25:00,-0.22545
2019/01/01 05:30:00,-0.17712
2019/01/01 05:35:00,-0.089028
2019/01/01 05:40:00,0.028985
2019/01/01 05:45:00,0.15754
2019/01/01 05:50:00,0.23669
2019/01/01 05:55:00,0.25441
2019/01/01 06:00:00,0.24597
2019/01/01 06:05:00,0.22846
2019/01/01 06:10:00,0.19109
2019/01/01 06:15:00,0.10859
2019/01/01 06:20:00,0.019533
2019/01/01 06:25:00,-0.028856
2019/01/01 06:30:00,-0.0238
2019/01/01 06:35:00,0.002227
2019/01/01 06:40:00,0.019485
2019/01/01 06:45:00,0.033807
2019/01/01 06:50:00,0.040877
2019/01/01 06:55:00,0.025754
2019/01/01 07:00:00,-0.023584
2019/01/01 07:05:00,-0.12158
2019/01/01 07:10:00,-0.30099
