Time [yyyy/MM/dd HH:mm:ss],Landeyjahofn: water level (waterlevel) at Landeyjahofn_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,1.2784E-22
2019/01/01 00:10:00,3.5654E-15
2019/01/01 00:15:00,2.5186E-10
2019/01/01 00:20:00,8.8409E-07
2019/01/01 00:25:00,0.00032227
2019/01/01 00:30:00,0.016209
2019/01/01 00:35:00,0.13032
2019/01/01 00:40:00,0.26907
2019/01/01 00:45:00,0.39703
2019/01/01 00:50:00,0.55469
2019/01/01 00:55:00,0.63289
2019/01/01 01:00:00,0.66566
2019/01/01 01:05:00,0.67392
2019/01/01 01:10:00,0.67483
2019/01/01 01:15:00,0.72127
2019/01/01 01:20:00,0.80343
2019/01/01 01:25:00,0.8918
2019/01/01 01:30:00,0.94137
2019/01/01 01:35:00,0.87057
2019/01/01 01:40:00,0.76391
2019/01/01 01:45:00,0.70659
2019/01/01 01:50:00,0.64075
2019/01/01 01:55:00,0.66631
2019/01/01 02:00:00,0.69329
2019/01/01 02:05:00,0.71877
2019/01/01 02:10:00,0.72682
2019/01/01 02:15:00,0.67497
2019/01/01 02:20:00,0.62941
2019/01/01 02:25:00,0.57805
2019/01/01 02:30:00,0.51525
2019/01/01 02:35:00,0.48217
2019/01/01 02:40:00,0.44382
2019/01/01 02:45:00,0.35181
2019/01/01 02:50:00,0.27672
2019/01/01 02:55:00,0.28349
2019/01/01 03:00:00,0.40806
2019/01/01 03:05:00,0.55153
2019/01/01 03:10:00,0.6912
2019/01/01 03:15:00,0.7853
2019/01/01 03:20:00,0.77758
2019/01/01 03:25:00,0.69384
2019/01/01 03:30:00,0.61734
2019/01/01 03:35:00,0.55594
2019/01/01 03:40:00,0.51032
2019/01/01 03:45:00,0.50977
2019/01/01 03:50:00,0.49457
2019/01/01 03:55:00,0.42395
2019/01/01 04:00:00,0.32241
2019/01/01 04:05:00,0.20186
2019/01/01 04:10:00,0.092946
2019/01/01 04:15:00,0.019152
2019/01/01 04:20:00,-0.013442
2019/01/01 04:25:00,0.0050875
2019/01/01 04:30:00,0.017845
2019/01/01 04:35:00,-0.0072549
2019/01/01 04:40:00,-0.074245
2019/01/01 04:45:00,-0.13789
2019/01/01 04:50:00,-0.15975
2019/01/01 04:55:00,-0.148
2019/01/01 05:00:00,-0.11518
2019/01/01 05:05:00,-0.073461
2019/01/01 05:10:00,-0.032854
2019/01/01 05:15:00,-0.022756
2019/01/01 05:20:00,-0.047151
2019/01/01 05:25:00,-0.081651
2019/01/01 05:30:00,-0.090916
2019/01/01 05:35:00,-0.089776
2019/01/01 05:40:00,-0.11317
2019/01/01 05:45:00,-0.17883
2019/01/01 05:50:00,-0.28306
2019/01/01 05:55:00,-0.38792
2019/01/01 06:00:00,-0.46718
2019/01/01 06:05:00,-0.50949
2019/01/01 06:10:00,-0.52424
2019/01/01 06:15:00,-0.53909
2019/01/01 06:20:00,-0.56205
2019/01/01 06:25:00,-0.5989
2019/01/01 06:30:00,-0.64927
2019/01/01 06:35:00,-0.70491
2019/01/01 06:40:00,-0.75059
2019/01/01 06:45:00,-0.77543
2019/01/01 06:50:00,-0.77949
2019/01/01 06:55:00,-0.7711
