Time [yyyy/MM/dd HH:mm:ss],Sandgerdi: water level (waterlevel) at Sandgerdi_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,1.1458E-36
2019/01/01 00:10:00,3.025E-28
2019/01/01 00:15:00,2.5588E-22
2019/01/01 00:20:00,1.4381E-17
2019/01/01 00:25:00,1.2111E-13
2019/01/01 00:30:00,2.239E-10
2019/01/01 00:35:00,1.1229E-07
2019/01/01 00:40:00,1.7294E-05
2019/01/01 00:45:00,0.00087947
2019/01/01 00:50:00,0.01549
2019/01/01 00:55:00,0.099361
2019/01/01 01:00:00,0.26483
2019/01/01 01:05:00,0.40828
2019/01/01 01:10:00,0.47007
2019/01/01 01:15:00,0.5297
2019/01/01 01:20:00,0.65259
2019/01/01 01:25:00,0.7729
2019/01/01 01:30:00,0.8738
2019/01/01 01:35:00,0.98559
2019/01/01 01:40:00,1.0779
2019/01/01 01:45:00,1.1593
2019/01/01 01:50:00,1.2161
2019/01/01 01:55:00,1.1006
2019/01/01 02:00:00,0.90062
2019/01/01 02:05:00,0.83421
2019/01/01 02:10:00,0.89167
2019/01/01 02:15:00,1.0052
2019/01/01 02:20:00,1.099
2019/01/01 02:25:00,1.1156
2019/01/01 02:30:00,1.1145
2019/01/01 02:35:00,1.1463
2019/01/01 02:40:00,1.1604
2019/01/01 02:45:00,1.1257
2019/01/01 02:50:00,1.074
2019/01/01 02:55:00,1.0389
2019/01/01 03:00:00,1.0024
2019/01/01 03:05:00,0.9345
2019/01/01 03:10:00,0.83963
2019/01/01 03:15:00,0.7516
2019/01/01 03:20:00,0.70022
2019/01/01 03:25:00,0.67886
2019/01/01 03:30:00,0.65479
2019/01/01 03:35:00,0.61865
2019/01/01 03:40:00,0.58683
2019/01/01 03:45:00,0.5695
2019/01/01 03:50:00,0.52951
2019/01/01 03:55:00,0.46791
2019/01/01 04:00:00,0.42855
2019/01/01 04:05:00,0.433
2019/01/01 04:10:00,0.4557
2019/01/01 04:15:00,0.43674
2019/01/01 04:20:00,0.35957
2019/01/01 04:25:00,0.2544
2019/01/01 04:30:00,0.18874
2019/01/01 04:35:00,0.17329
2019/01/01 04:40:00,0.16351
2019/01/01 04:45:00,0.1109
2019/01/01 04:50:00,0.028245
2019/01/01 04:55:00,-0.055211
2019/01/01 05:00:00,-0.11569
2019/01/01 05:05:00,-0.15581
2019/01/01 05:10:00,-0.18246
2019/01/01 05:15:00,-0.1834
2019/01/01 05:20:00,-0.14734
