Time [yyyy/MM/dd HH:mm:ss],Skarfagardur: water level (waterlevel) at Skarfagardur_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,4.2137E-67
2019/01/01 00:10:00,3.8164E-57
2019/01/01 00:15:00,1.0597E-49
2019/01/01 00:20:00,2.1162E-43
2019/01/01 00:25:00,6.9714E-38
2019/01/01 00:30:00,5.661E-33
2019/01/01 00:35:00,1.4347E-28
2019/01/01 00:40:00,1.3228E-24
2019/01/01 00:45:00,4.9338E-21
2019/01/01 00:50:00,8.0311E-18
2019/01/01 00:55:00,6.0334E-15
2019/01/01 01:00:00,2.1818E-12
2019/01/01 01:05:00,3.9254E-10
2019/01/01 01:10:00,3.6144E-08
2019/01/01 01:15:00,1.7518E-06
2019/01/01 01:20:00,4.6135E-05
2019/01/01 01:25:00,0.00068475
2019/01/01 01:30:00,0.0059438
2019/01/01 01:35:00,0.031281
2019/01/01 01:40:00,0.10452
2019/01/01 01:45:00,0.23946
2019/01/01 01:50:00,0.42119
2019/01/01 01:55:00,0.62872
2019/01/01 02:00:00,0.85263
2019/01/01 02:05:00,1.0892
2019/01/01 02:10:00,1.3299
2019/01/01 02:15:00,1.5807
2019/01/01 02:20:00,1.8327
2019/01/01 02:25:00,2.0398
2019/01/01 02:30:00,2.2298
2019/01/01 02:35:00,2.3413
2019/01/01 02:40:00,2.3308
2019/01/01 02:45:00,2.2249
2019/01/01 02:50:00,2.0762
2019/01/01 02:55:00,1.9218
2019/01/01 03:00:00,1.7601
2019/01/01 03:05:00,1.6606
2019/01/01 03:10:00,1.5886
2019/01/01 03:15:00,1.5006
2019/01/01 03:20:00,1.4054
2019/01/01 03:25:00,1.3037
2019/01/01 03:30:00,1.1806
2019/01/01 03:35:00,1.0406
2019/01/01 03:40:00,0.87208
2019/01/01 03:45:00,0.66167
2019/01/01 03:50:00,0.42549
2019/01/01 03:55:00,0.17331
2019/01/01 04:00:00,-0.075483
2019/01/01 04:05:00,-0.27936
2019/01/01 04:10:00,-0.40658
2019/01/01 04:15:00,-0.44891
2019/01/01 04:20:00,-0.41361
2019/01/01 04:25:00,-0.33093
2019/01/01 04:30:00,-0.23967
2019/01/01 04:35:00,-0.17872
2019/01/01 04:40:00,-0.13694
2019/01/01 04:45:00,-0.091256
2019/01/01 04:50:00,-0.040625
2019/01/01 04:55:00,-0.0091559
2019/01/01 05:00:00,-0.016206
2019/01/01 05:05:00,-0.06412
2019/01/01 05:10:00,-0.12081
2019/01/01 05:15:00,-0.17031
2019/01/01 05:20:00,-0.20377
2019/01/01 05:25:00,-0.19997
2019/01/01 05:30:00,-0.14904
2019/01/01 05:35:00,-0.05605
2019/01/01 05:40:00,0.054776
2019/01/01 05:45:00,0.16025
2019/01/01 05:50:00,0.22499
2019/01/01 05:55:00,0.23817
2019/01/01 06:00:00,0.22348
2019/01/01 06:05:00,0.19931
2019/01/01 06:10:00,0.16279
2019/01/01 06:15:00,0.10133
2019/01/01 06:20:00,0.030332
2019/01/01 06:25:00,-0.0064134
2019/01/01 06:30:00,-0.002576
2019/01/01 06:35:00,0.018149
2019/01/01 06:40:00,0.035171
2019/01/01 06:45:00,0.037645
2019/01/01 06:50:00,0.032293
2019/01/01 06:55:00,0.0061451
2019/01/01 07:00:00,-0.054763
2019/01/01 07:05:00,-0.16081
2019/01/01 07:10:00,-0.33063
2019/01/01 07:15:00,-0.5492
2019/01/01 07:20:00,-0.77806
2019/01/01 07:25:00,-1.0017
2019/01/01 07:30:00,-1.2212
2019/01/01 07:35:00,-1.4335
2019/01/01 07:40:00,-1.6246
2019/01/01 07:45:00,-1.7743
2019/01/01 07:50:00,-1.8672
2019/01/01 07:55:00,-1.8996
2019/01/01 08:00:00,-1.8846
2019/01/01 08:05:00,-1.8498
2019/01/01 08:10:00,-1.8216
2019/01/01 08:15:00,-1.8093
2019/01/01 08:20:00,-1.8116
2019/01/01 08:25:00,-1.8308
2019/01/01 08:30:00,-1.8633
2019/01/01 08:35:00,-1.8866
2019/01/01 08:40:00,-1.87
