Time [yyyy/MM/dd HH:mm:ss],Torlakshofn: water level (waterlevel) at Torlakshofn_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,1.5393E-38
2019/01/01 00:10:00,8.1348E-30
2019/01/01 00:15:00,1.3202E-23
2019/01/01 00:20:00,1.3596E-18
2019/01/01 00:25:00,1.9953E-14
2019/01/01 00:30:00,6.0824E-11
2019/01/01 00:35:00,4.7261E-08
2019/01/01 00:40:00,1.0491E-05
2019/01/01 00:45:00,0.00070575
2019/01/01 00:50:00,0.01485
2019/01/01 00:55:00,0.10354
2019/01/01 01:00:00,0.29094
2019/01/01 01:05:00,0.47382
2019/01/01 01:10:00,0.61439
2019/01/01 01:15:00,0.75498
2019/01/01 01:20:00,0.91615
2019/01/01 01:25:00,1.1199
2019/01/01 01:30:00,1.3238
2019/01/01 01:35:00,1.436
2019/01/01 01:40:00,1.5129
2019/01/01 01:45:00,1.6126
2019/01/01 01:50:00,1.6053
2019/01/01 01:55:00,1.3744
2019/01/01 02:00:00,1.019
2019/01/01 02:05:00,0.79063
2019/01/01 02:10:00,0.67846
2019/01/01 02:15:00,0.5581
2019/01/01 02:20:00,0.44963
2019/01/01 02:25:00,0.30559
2019/01/01 02:30:00,0.12637
2019/01/01 02:35:00,0.0013751
2019/01/01 02:40:00,-0.049208
2019/01/01 02:45:00,-0.031463
2019/01/01 02:50:00,0.067909
2019/01/01 02:55:00,0.23897
2019/01/01 03:00:00,0.41858
2019/01/01 03:05:00,0.54483
2019/01/01 03:10:00,0.62502
2019/01/01 03:15:00,0.69608
2019/01/01 03:20:00,0.78698
2019/01/01 03:25:00,0.89999
2019/01/01 03:30:00,1.0463
2019/01/01 03:35:00,1.1739
2019/01/01 03:40:00,1.2295
2019/01/01 03:45:00,1.1667
2019/01/01 03:50:00,1.0492
2019/01/01 03:55:00,0.93358
2019/01/01 04:00:00,0.78686
2019/01/01 04:05:00,0.57287
2019/01/01 04:10:00,0.33225
2019/01/01 04:15:00,0.11338
2019/01/01 04:20:00,-0.10742
2019/01/01 04:25:00,-0.34329
2019/01/01 04:30:00,-0.53556
2019/01/01 04:35:00,-0.6242
2019/01/01 04:40:00,-0.62592
2019/01/01 04:45:00,-0.58891
2019/01/01 04:50:00,-0.51944
2019/01/01 04:55:00,-0.43196
2019/01/01 05:00:00,-0.33323
2019/01/01 05:05:00,-0.21237
2019/01/01 05:10:00,-0.079701
2019/01/01 05:15:00,0.047106
2019/01/01 05:20:00,0.15189
2019/01/01 05:25:00,0.2178
2019/01/01 05:30:00,0.2505
2019/01/01 05:35:00,0.26828
2019/01/01 05:40:00,0.25733
2019/01/01 05:45:00,0.20996
2019/01/01 05:50:00,0.14666
2019/01/01 05:55:00,0.081703
2019/01/01 06:00:00,0.0012732
2019/01/01 06:05:00,-0.14525
2019/01/01 06:10:00,-0.36316
2019/01/01 06:15:00,-0.61288
2019/01/01 06:20:00,-0.84946
2019/01/01 06:25:00,-1.0349
2019/01/01 06:30:00,-1.1564
2019/01/01 06:35:00,-1.2232
2019/01/01 06:40:00,-1.2629
2019/01/01 06:45:00,-1.2966
2019/01/01 06:50:00,-1.312
2019/01/01 06:55:00,-1.2738
2019/01/01 07:00:00,-1.1619
2019/01/01 07:05:00,-0.99736
2019/01/01 07:10:00,-0.82989
2019/01/01 07:15:00,-0.70134
2019/01/01 07:20:00,-0.60987
2019/01/01 07:25:00,-0.53383
2019/01/01 07:30:00,-0.46891
2019/01/01 07:35:00,-0.42279
2019/01/01 07:40:00,-0.38121
2019/01/01 07:45:00,-0.35681
2019/01/01 07:50:00,-0.3728
2019/01/01 07:55:00,-0.40915
2019/01/01 08:00:00,-0.46887
2019/01/01 08:05:00,-0.57243
2019/01/01 08:10:00,-0.72318
2019/01/01 08:15:00,-0.90016
2019/01/01 08:20:00,-1.066
2019/01/01 08:25:00,-1.2282
2019/01/01 08:30:00,-1.3865
2019/01/01 08:35:00,-1.5063
2019/01/01 08:40:00,-1.5582
2019/01/01 08:45:00,-1.5471
2019/01/01 08:50:00,-1.4792
2019/01/01 08:55:00,-1.3602
2019/01/01 09:00:00,-1.2057
2019/01/01 09:05:00,-1.0348
2019/01/01 09:10:00,-0.86855
2019/01/01 09:15:00,-0.72333
2019/01/01 09:20:00,-0.58993
2019/01/01 09:25:00,-0.44293
2019/01/01 09:30:00,-0.27709
2019/01/01 09:35:00,-0.14815
2019/01/01 09:40:00,-0.065556
2019/01/01 09:45:00,-0.01773
2019/01/01 09:50:00,-0.021814
