Time [yyyy/MM/dd HH:mm:ss],Vogabakki: water level (waterlevel) at Vogabakki_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,4.6364E-73
2019/01/01 00:10:00,6.8766E-63
2019/01/01 00:15:00,2.9198E-55
2019/01/01 00:20:00,9.0517E-49
2019/01/01 00:25:00,4.7096E-43
2019/01/01 00:30:00,6.156E-38
2019/01/01 00:35:00,2.5646E-33
2019/01/01 00:40:00,3.9786E-29
2019/01/01 00:45:00,2.5617E-25
2019/01/01 00:50:00,7.4063E-22
2019/01/01 00:55:00,1.0196E-18
2019/01/01 01:00:00,6.9885E-16
2019/01/01 01:05:00,2.469E-13
2019/01/01 01:10:00,4.6228E-11
2019/01/01 01:15:00,4.6976E-09
2019/01/01 01:20:00,2.6507E-07
2019/01/01 01:25:00,8.5113E-06
2019/01/01 01:30:00,0.00015991
2019/01/01 01:35:00,0.0018118
2019/01/01 01:40:00,0.01276
2019/01/01 01:45:00,0.057249
2019/01/01 01:50:00,0.16835
2019/01/01 01:55:00,0.35461
2019/01/01 02:00:00,0.59866
2019/01/01 02:05:00,0.88055
2019/01/01 02:10:00,1.1382
2019/01/01 02:15:00,1.4136
2019/01/01 02:20:00,1.6979
2019/01/01 02:25:00,1.996
2019/01/01 02:30:00,2.2886
2019/01/01 02:35:00,2.5049
2019/01/01 02:40:00,2.6039
2019/01/01 02:45:00,2.503
2019/01/01 02:50:00,2.2654
2019/01/01 02:55:00,1.9562
2019/01/01 03:00:00,1.7148
2019/01/01 03:05:00,1.5349
2019/01/01 03:10:00,1.4451
2019/01/01 03:15:00,1.4482
2019/01/01 03:20:00,1.4595
2019/01/01 03:25:00,1.4437
2019/01/01 03:30:00,1.3644
2019/01/01 03:35:00,1.1929
2019/01/01 03:40:00,0.99987
2019/01/01 03:45:00,0.80913
2019/01/01 03:50:00,0.61741
2019/01/01 03:55:00,0.42824
2019/01/01 04:00:00,0.24402
2019/01/01 04:05:00,0.062904
2019/01/01 04:10:00,-0.10806
2019/01/01 04:15:00,-0.25085
2019/01/01 04:20:00,-0.3601
2019/01/01 04:25:00,-0.42699
2019/01/01 04:30:00,-0.4338
2019/01/01 04:35:00,-0.35007
2019/01/01 04:40:00,-0.23445
2019/01/01 04:45:00,-0.15209
2019/01/01 04:50:00,-0.086367
2019/01/01 04:55:00,-0.014972
2019/01/01 05:00:00,0.047847
2019/01/01 05:05:00,0.076325
2019/01/01 05:10:00,0.047076
2019/01/01 05:15:00,-0.040057
2019/01/01 05:20:00,-0.1381
2019/01/01 05:25:00,-0.21959
2019/01/01 05:30:00,-0.26976
2019/01/01 05:35:00,-0.26347
2019/01/01 05:40:00,-0.17247
2019/01/01 05:45:00,-0.041758
2019/01/01 05:50:00,0.10662
2019/01/01 05:55:00,0.24605
2019/01/01 06:00:00,0.33545
2019/01/01 06:05:00,0.35842
2019/01/01 06:10:00,0.30699
2019/01/01 06:15:00,0.22513
2019/01/01 06:20:00,0.11982
2019/01/01 06:25:00,0.016911
2019/01/01 06:30:00,-0.061223
2019/01/01 06:35:00,-0.096255
2019/01/01 06:40:00,-0.079156
2019/01/01 06:45:00,-0.023097
2019/01/01 06:50:00,0.040927
2019/01/01 06:55:00,0.091141
2019/01/01 07:00:00,0.10184
2019/01/01 07:05:00,0.050858
2019/01/01 07:10:00,-0.05399
2019/01/01 07:15:00,-0.18866
2019/01/01 07:20:00,-0.33183
2019/01/01 07:25:00,-0.46905
2019/01/01 07:30:00,-0.5924
2019/01/01 07:35:00,-0.70158
2019/01/01 07:40:00,-0.79692
2019/01/01 07:45:00,-0.87915
2019/01/01 07:50:00,-0.94862
2019/01/01 07:55:00,-1.007
2019/01/01 08:00:00,-1.0555
2019/01/01 08:05:00,-1.0958
2019/01/01 08:10:00,-1.1294
2019/01/01 08:15:00,-1.1578
2019/01/01 08:20:00,-1.1825
2019/01/01 08:25:00,-1.2041
2019/01/01 08:30:00,-1.2233
2019/01/01 08:35:00,-1.2407
2019/01/01 08:40:00,-1.2565
2019/01/01 08:45:00,-1.2706
2019/01/01 08:50:00,-1.2827
2019/01/01 08:55:00,-1.2926
2019/01/01 09:00:00,-1.3004
2019/01/01 09:05:00,-1.3061
2019/01/01 09:10:00,-1.3085
2019/01/01 09:15:00,-1.2988
2019/01/01 09:20:00,-1.2592
2019/01/01 09:25:00,-1.215
2019/01/01 09:30:00,-1.1462
2019/01/01 09:35:00,-1.0587
2019/01/01 09:40:00,-0.96027
2019/01/01 09:45:00,-0.8566
2019/01/01 09:50:00,-0.75097
2019/01/01 09:55:00,-0.65544
2019/01/01 10:00:00,-0.57664
2019/01/01 10:05:00,-0.51771
2019/01/01 10:10:00,-0.47483
2019/01/01 10:15:00,-0.44757
2019/01/01 10:20:00,-0.4299
2019/01/01 10:25:00,-0.41091
2019/01/01 10:30:00,-0.38121
2019/01/01 10:35:00,-0.33752
2019/01/01 10:40:00,-0.28357
2019/01/01 10:45:00,-0.24012
2019/01/01 10:50:00,-0.22287
2019/01/01 10:55:00,-0.23754
2019/01/01 11:00:00,-0.28527
2019/01/01 11:05:00,-0.35513
2019/01/01 11:10:00,-0.42891
2019/01/01 11:15:00,-0.501
2019/01/01 11:20:00,-0.56406
2019/01/01 11:25:00,-0.62096
2019/01/01 11:30:00,-0.67716
2019/01/01 11:35:00,-0.73123
2019/01/01 11:40:00,-0.78039
2019/01/01 11:45:00,-0.82174
2019/01/01 11:50:00,-0.85291
2019/01/01 11:55:00,-0.87093
2019/01/01 12:00:00,-0.87206
2019/01/01 12:05:00,-0.85084
2019/01/01 12:10:00,-0.81508
2019/01/01 12:15:00,-0.77189
2019/01/01 12:20:00,-0.7071
2019/01/01 12:25:00,-0.61525
2019/01/01 12:30:00,-0.49142
2019/01/01 12:35:00,-0.33411
2019/01/01 12:40:00,-0.15859
2019/01/01 12:45:00,0.01944
2019/01/01 12:50:00,0.22572
2019/01/01 12:55:00,0.49508
2019/01/01 13:00:00,0.76129
2019/01/01 13:05:00,0.96845
2019/01/01 13:10:00,1.1052
2019/01/01 13:15:00,1.2264
2019/01/01 13:20:00,1.2849
2019/01/01 13:25:00,1.3021
2019/01/01 13:30:00,1.3043
2019/01/01 13:35:00,1.3042
2019/01/01 13:40:00,1.2924
2019/01/01 13:45:00,1.3013
2019/01/01 13:50:00,1.325
2019/01/01 13:55:00,1.328
2019/01/01 14:00:00,1.324
2019/01/01 14:05:00,1.3063
