Time [yyyy/MM/dd HH:mm:ss],Akranes: water level (waterlevel) at Akranes_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,5.5315E-81
2019/12/01 00:10:00,-1.2365E-40
2019/12/01 00:15:00,-3.4449E-22
2019/12/01 00:20:00,-3.23E-15
2019/12/01 00:25:00,-1.6768E-13
2019/12/01 00:30:00,-4.2769E-12
2019/12/01 00:35:00,-7.1369E-11
2019/12/01 00:40:00,-8.7544E-10
2019/12/01 00:45:00,-8.4097E-09
2019/12/01 00:50:00,-6.5828E-08
2019/12/01 00:55:00,-4.3137E-07
2019/12/01 01:00:00,-2.413E-06
2019/12/01 01:05:00,-1.1692E-05
2019/12/01 01:10:00,-4.963E-05
2019/12/01 01:15:00,-0.0001862
2019/12/01 01:20:00,-0.00062197
2019/12/01 01:25:00,-0.0018605
2019/12/01 01:30:00,-0.0050092
2019/12/01 01:35:00,-0.012191
2019/12/01 01:40:00,-0.026929
2019/12/01 01:45:00,-0.054207
2019/12/01 01:50:00,-0.099878
2019/12/01 01:55:00,-0.16936
2019/12/01 02:00:00,-0.26606
2019/12/01 02:05:00,-0.39044
2019/12/01 02:10:00,-0.54035
2019/12/01 02:15:00,-0.71251
2019/12/01 02:20:00,-0.90405
2019/12/01 02:25:00,-1.1129
2019/12/01 02:30:00,-1.3363
2019/12/01 02:35:00,-1.5692
2019/12/01 02:40:00,-1.8021
2019/12/01 02:45:00,-2.0219
2019/12/01 02:50:00,-2.2139
2019/12/01 02:55:00,-2.3666
2019/12/01 03:00:00,-2.4744
2019/12/01 03:05:00,-2.5393
2019/12/01 03:10:00,-2.5696
2019/12/01 03:15:00,-2.5737
2019/12/01 03:20:00,-2.5552
2019/12/01 03:25:00,-2.5096
2019/12/01 03:30:00,-2.4313
2019/12/01 03:35:00,-2.3175
2019/12/01 03:40:00,-2.1688
2019/12/01 03:45:00,-1.9902
2019/12/01 03:50:00,-1.7933
2019/12/01 03:55:00,-1.5881
2019/12/01 04:00:00,-1.3787
2019/12/01 04:05:00,-1.1657
2019/12/01 04:10:00,-0.94743
2019/12/01 04:15:00,-0.72468
2019/12/01 04:20:00,-0.5028
2019/12/01 04:25:00,-0.28877
2019/12/01 04:30:00,-0.090983
2019/12/01 04:35:00,0.079957
2019/12/01 04:40:00,0.21621
2019/12/01 04:45:00,0.31609
2019/12/01 04:50:00,0.38268
2019/12/01 04:55:00,0.42157
2019/12/01 05:00:00,0.43672
2019/12/01 05:05:00,0.42794
2019/12/01 05:10:00,0.3942
2019/12/01 05:15:00,0.34034
2019/12/01 05:20:00,0.27815
2019/12/01 05:25:00,0.2191
2019/12/01 05:30:00,0.17094
2019/12/01 05:35:00,0.13971
2019/12/01 05:40:00,0.12827
2019/12/01 05:45:00,0.13415
2019/12/01 05:50:00,0.15241
2019/12/01 05:55:00,0.1805
2019/12/01 06:00:00,0.21962
2019/12/01 06:05:00,0.27236
2019/12/01 06:10:00,0.33759
2019/12/01 06:15:00,0.40849
2019/12/01 06:20:00,0.47776
2019/12/01 06:25:00,0.54169
2019/12/01 06:30:00,0.59882
2019/12/01 06:35:00,0.64915
2019/12/01 06:40:00,0.69475
2019/12/01 06:45:00,0.73743
2019/12/01 06:50:00,0.77598
2019/12/01 06:55:00,0.80678
2019/12/01 07:00:00,0.82683
2019/12/01 07:05:00,0.83536
2019/12/01 07:10:00,0.83407
2019/12/01 07:15:00,0.82568
2019/12/01 07:20:00,0.81226
2019/12/01 07:25:00,0.79493
2019/12/01 07:30:00,0.77522
2019/12/01 07:35:00,0.75592
2019/12/01 07:40:00,0.74048
2019/12/01 07:45:00,0.73269
2019/12/01 07:50:00,0.73684
2019/12/01 07:55:00,0.75685
2019/12/01 08:00:00,0.79474
2019/12/01 08:05:00,0.85055
2019/12/01 08:10:00,0.92359
2019/12/01 08:15:00,1.0134
