Time [yyyy/MM/dd HH:mm:ss],Eyjargardur: water level (waterlevel) at Eyjargardur_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-3.2807E-93
2019/12/01 00:10:00,-5.4168E-44
2019/12/01 00:15:00,-2.1849E-24
2019/12/01 00:20:00,-8.0248E-17
2019/12/01 00:25:00,-4.6214E-15
2019/12/01 00:30:00,-1.3104E-13
2019/12/01 00:35:00,-2.4371E-12
2019/12/01 00:40:00,-3.3411E-11
2019/12/01 00:45:00,-3.5985E-10
2019/12/01 00:50:00,-3.1689E-09
2019/12/01 00:55:00,-2.3451E-08
2019/12/01 01:00:00,-1.4875E-07
2019/12/01 01:05:00,-8.2087E-07
2019/12/01 01:10:00,-3.9875E-06
2019/12/01 01:15:00,-1.7208E-05
2019/12/01 01:20:00,-6.6471E-05
2019/12/01 01:25:00,-0.00023126
2019/12/01 01:30:00,-0.00072844
2019/12/01 01:35:00,-0.0020865
2019/12/01 01:40:00,-0.0054555
2019/12/01 01:45:00,-0.013065
2019/12/01 01:50:00,-0.028747
2019/12/01 01:55:00,-0.0583
2019/12/01 02:00:00,-0.10936
2019/12/01 02:05:00,-0.19047
2019/12/01 02:10:00,-0.30943
2019/12/01 02:15:00,-0.47111
2019/12/01 02:20:00,-0.67569
2019/12/01 02:25:00,-0.91813
2019/12/01 02:30:00,-1.1896
2019/12/01 02:35:00,-1.4796
2019/12/01 02:40:00,-1.7773
2019/12/01 02:45:00,-2.0716
2019/12/01 02:50:00,-2.3509
2019/12/01 02:55:00,-2.6027
2019/12/01 03:00:00,-2.8134
2019/12/01 03:05:00,-2.9692
2019/12/01 03:10:00,-3.0574
2019/12/01 03:15:00,-3.0704
2019/12/01 03:20:00,-3.0087
2019/12/01 03:25:00,-2.8848
2019/12/01 03:30:00,-2.7173
2019/12/01 03:35:00,-2.5273
2019/12/01 03:40:00,-2.3325
2019/12/01 03:45:00,-2.1383
2019/12/01 03:50:00,-1.9356
2019/12/01 03:55:00,-1.7086
2019/12/01 04:00:00,-1.4487
2019/12/01 04:05:00,-1.1635
2019/12/01 04:10:00,-0.8724
2019/12/01 04:15:00,-0.59145
2019/12/01 04:20:00,-0.32387
2019/12/01 04:25:00,-0.06865
2019/12/01 04:30:00,0.17097
2019/12/01 04:35:00,0.38774
2019/12/01 04:40:00,0.56386
2019/12/01 04:45:00,0.676
2019/12/01 04:50:00,0.72101
2019/12/01 04:55:00,0.71845
2019/12/01 05:00:00,0.68199
2019/12/01 05:05:00,0.609
2019/12/01 05:10:00,0.50056
2019/12/01 05:15:00,0.37359
2019/12/01 05:20:00,0.25416
2019/12/01 05:25:00,0.15926
2019/12/01 05:30:00,0.083899
2019/12/01 05:35:00,0.022867
2019/12/01 05:40:00,-0.0091499
2019/12/01 05:45:00,-0.002228
2019/12/01 05:50:00,0.030745
2019/12/01 05:55:00,0.076881
2019/12/01 06:00:00,0.14039
2019/12/01 06:05:00,0.22425
2019/12/01 06:10:00,0.31716
2019/12/01 06:15:00,0.4114
2019/12/01 06:20:00,0.51178
2019/12/01 06:25:00,0.61295
