Time [yyyy/MM/dd HH:mm:ss],Gamla_hofnin: water level (waterlevel) at Gamla_hofnin_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-1.1911E-90
2019/12/01 00:10:00,-3.3535E-43
2019/12/01 00:15:00,-5.225E-24
2019/12/01 00:20:00,-1.3888E-16
2019/12/01 00:25:00,-7.8359E-15
2019/12/01 00:30:00,-2.1769E-13
2019/12/01 00:35:00,-3.9662E-12
2019/12/01 00:40:00,-5.3264E-11
2019/12/01 00:45:00,-5.6189E-10
2019/12/01 00:50:00,-4.8459E-09
2019/12/01 00:55:00,-3.5113E-08
2019/12/01 01:00:00,-2.1804E-07
2019/12/01 01:05:00,-1.1778E-06
2019/12/01 01:10:00,-5.5986E-06
2019/12/01 01:15:00,-2.3638E-05
2019/12/01 01:20:00,-8.9316E-05
2019/12/01 01:25:00,-0.00030389
2019/12/01 01:30:00,-0.00093594
2019/12/01 01:35:00,-0.0026209
2019/12/01 01:40:00,-0.0066987
2019/12/01 01:45:00,-0.015681
2019/12/01 01:50:00,-0.033731
2019/12/01 01:55:00,-0.066887
2019/12/01 02:00:00,-0.12271
2019/12/01 02:05:00,-0.20914
2019/12/01 02:10:00,-0.33281
2019/12/01 02:15:00,-0.49731
2019/12/01 02:20:00,-0.70221
2019/12/01 02:25:00,-0.94283
2019/12/01 02:30:00,-1.2112
2019/12/01 02:35:00,-1.4972
2019/12/01 02:40:00,-1.7902
2019/12/01 02:45:00,-2.0793
2019/12/01 02:50:00,-2.3526
2019/12/01 02:55:00,-2.5971
2019/12/01 03:00:00,-2.7987
2019/12/01 03:05:00,-2.9438
2019/12/01 03:10:00,-3.0217
2019/12/01 03:15:00,-3.0283
2019/12/01 03:20:00,-2.9676
2019/12/01 03:25:00,-2.8533
2019/12/01 03:30:00,-2.703
2019/12/01 03:35:00,-2.5305
2019/12/01 03:40:00,-2.3411
2019/12/01 03:45:00,-2.1346
2019/12/01 03:50:00,-1.9116
2019/12/01 03:55:00,-1.6748
2019/12/01 04:00:00,-1.4243
2019/12/01 04:05:00,-1.1579
2019/12/01 04:10:00,-0.87813
2019/12/01 04:15:00,-0.59581
2019/12/01 04:20:00,-0.32241
2019/12/01 04:25:00,-0.065442
2019/12/01 04:30:00,0.16866
2019/12/01 04:35:00,0.37219
2019/12/01 04:40:00,0.53607
2019/12/01 04:45:00,0.64863
2019/12/01 04:50:00,0.70027
2019/12/01 04:55:00,0.69525
2019/12/01 05:00:00,0.65163
2019/12/01 05:05:00,0.58359
2019/12/01 05:10:00,0.4895
2019/12/01 05:15:00,0.36902
2019/12/01 05:20:00,0.24343
2019/12/01 05:25:00,0.14474
2019/12/01 05:30:00,0.084978
2019/12/01 05:35:00,0.047949
2019/12/01 05:40:00,0.017554
2019/12/01 05:45:00,0.0039323
2019/12/01 05:50:00,0.028252
2019/12/01 05:55:00,0.088858
2019/12/01 06:00:00,0.16118
2019/12/01 06:05:00,0.23173
2019/12/01 06:10:00,0.31139
2019/12/01 06:15:00,0.41019
2019/12/01 06:20:00,0.51681
2019/12/01 06:25:00,0.61112
2019/12/01 06:30:00,0.684
2019/12/01 06:35:00,0.73805
2019/12/01 06:40:00,0.77972
2019/12/01 06:45:00,0.81697
2019/12/01 06:50:00,0.85568
2019/12/01 06:55:00,0.89332
2019/12/01 07:00:00,0.92179
2019/12/01 07:05:00,0.93647
2019/12/01 07:10:00,0.93771
2019/12/01 07:15:00,0.92577
2019/12/01 07:20:00,0.89954
2019/12/01 07:25:00,0.85867
2019/12/01 07:30:00,0.80477
2019/12/01 07:35:00,0.74277
2019/12/01 07:40:00,0.68189
2019/12/01 07:45:00,0.63287
2019/12/01 07:50:00,0.60394
2019/12/01 07:55:00,0.59996
2019/12/01 08:00:00,0.62384
2019/12/01 08:05:00,0.6766
2019/12/01 08:10:00,0.75691
2019/12/01 08:15:00,0.86213
2019/12/01 08:20:00,0.99064
2019/12/01 08:25:00,1.1421
2019/12/01 08:30:00,1.3141
2019/12/01 08:35:00,1.4982
2019/12/01 08:40:00,1.6813
2019/12/01 08:45:00,1.8554
2019/12/01 08:50:00,2.0207
2019/12/01 08:55:00,2.1742
2019/12/01 09:00:00,2.3029
2019/12/01 09:05:00,2.3961
2019/12/01 09:10:00,2.456
2019/12/01 09:15:00,2.4885
2019/12/01 09:20:00,2.4946
2019/12/01 09:25:00,2.4748
2019/12/01 09:30:00,2.4352
2019/12/01 09:35:00,2.3825
2019/12/01 09:40:00,2.3209
2019/12/01 09:45:00,2.2536
2019/12/01 09:50:00,2.1832
2019/12/01 09:55:00,2.1081
2019/12/01 10:00:00,2.0231
2019/12/01 10:05:00,1.9263
2019/12/01 10:10:00,1.8269
2019/12/01 10:15:00,1.7375
2019/12/01 10:20:00,1.6603
2019/12/01 10:25:00,1.5879
2019/12/01 10:30:00,1.5207
2019/12/01 10:35:00,1.4686
2019/12/01 10:40:00,1.4364
2019/12/01 10:45:00,1.4164
2019/12/01 10:50:00,1.3999
2019/12/01 10:55:00,1.384
2019/12/01 11:00:00,1.3672
2019/12/01 11:05:00,1.3458
2019/12/01 11:10:00,1.3171
2019/12/01 11:15:00,1.2807
2019/12/01 11:20:00,1.2356
2019/12/01 11:25:00,1.1793
2019/12/01 11:30:00,1.1101
2019/12/01 11:35:00,1.0284
2019/12/01 11:40:00,0.93615
2019/12/01 11:45:00,0.83471
2019/12/01 11:50:00,0.72458
2019/12/01 11:55:00,0.60671
2019/12/01 12:00:00,0.4841
2019/12/01 12:05:00,0.36159
2019/12/01 12:10:00,0.2441
2019/12/01 12:15:00,0.13529
2019/12/01 12:20:00,0.037564
2019/12/01 12:25:00,-0.047445
2019/12/01 12:30:00,-0.11895
2019/12/01 12:35:00,-0.17714
2019/12/01 12:40:00,-0.22294
2019/12/01 12:45:00,-0.25754
2019/12/01 12:50:00,-0.28217
2019/12/01 12:55:00,-0.29799
2019/12/01 13:00:00,-0.30626
2019/12/01 13:05:00,-0.3086
2019/12/01 13:10:00,-0.30704
2019/12/01 13:15:00,-0.30375
2019/12/01 13:20:00,-0.30073
2019/12/01 13:25:00,-0.29976
2019/12/01 13:30:00,-0.30252
2019/12/01 13:35:00,-0.3105
2019/12/01 13:40:00,-0.32474
2019/12/01 13:45:00,-0.34578
2019/12/01 13:50:00,-0.37362
2019/12/01 13:55:00,-0.40779
2019/12/01 14:00:00,-0.44738
2019/12/01 14:05:00,-0.49117
2019/12/01 14:10:00,-0.53778
2019/12/01 14:15:00,-0.58569
2019/12/01 14:20:00,-0.63314
2019/12/01 14:25:00,-0.67826
2019/12/01 14:30:00,-0.71942
2019/12/01 14:35:00,-0.7557
2019/12/01 14:40:00,-0.78694
2019/12/01 14:45:00,-0.81349
2019/12/01 14:50:00,-0.83578
2019/12/01 14:55:00,-0.85437
2019/12/01 15:00:00,-0.87006
2019/12/01 15:05:00,-0.88394
2019/12/01 15:10:00,-0.89718
2019/12/01 15:15:00,-0.91087
2019/12/01 15:20:00,-0.92608
2019/12/01 15:25:00,-0.94396
2019/12/01 15:30:00,-0.96566
2019/12/01 15:35:00,-0.99207
2019/12/01 15:40:00,-1.0235
2019/12/01 15:45:00,-1.0599
2019/12/01 15:50:00,-1.1004
2019/12/01 15:55:00,-1.1445
2019/12/01 16:00:00,-1.1908
2019/12/01 16:05:00,-1.2379
2019/12/01 16:10:00,-1.2841
2019/12/01 16:15:00,-1.3275
2019/12/01 16:20:00,-1.3662
2019/12/01 16:25:00,-1.3985
2019/12/01 16:30:00,-1.4229
2019/12/01 16:35:00,-1.438
2019/12/01 16:40:00,-1.4427
2019/12/01 16:45:00,-1.4362
2019/12/01 16:50:00,-1.4182
2019/12/01 16:55:00,-1.3892
2019/12/01 17:00:00,-1.3498
2019/12/01 17:05:00,-1.3011
2019/12/01 17:10:00,-1.2442
2019/12/01 17:15:00,-1.1802
2019/12/01 17:20:00,-1.1111
2019/12/01 17:25:00,-1.0394
2019/12/01 17:30:00,-0.96762
2019/12/01 17:35:00,-0.89762
2019/12/01 17:40:00,-0.83014
2019/12/01 17:45:00,-0.76556
2019/12/01 17:50:00,-0.70447
2019/12/01 17:55:00,-0.64765
2019/12/01 18:00:00,-0.5953
2019/12/01 18:05:00,-0.54648
