Time [yyyy/MM/dd HH:mm:ss],Grindavik: water level (waterlevel) at Grindavik_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-3.241E-32
2019/12/01 00:10:00,-3.861E-17
2019/12/01 00:15:00,-1.4235E-09
2019/12/01 00:20:00,-1.7428E-06
2019/12/01 00:25:00,-3.1562E-05
2019/12/01 00:30:00,-0.00028316
2019/12/01 00:35:00,-0.0016481
2019/12/01 00:40:00,-0.0069366
2019/12/01 00:45:00,-0.022388
2019/12/01 00:50:00,-0.057529
2019/12/01 00:55:00,-0.12109
2019/12/01 01:00:00,-0.2143
2019/12/01 01:05:00,-0.32808
2019/12/01 01:10:00,-0.44936
2019/12/01 01:15:00,-0.57125
2019/12/01 01:20:00,-0.69582
2019/12/01 01:25:00,-0.82642
2019/12/01 01:30:00,-0.96063
2019/12/01 01:35:00,-1.0916
2019/12/01 01:40:00,-1.2109
2019/12/01 01:45:00,-1.3071
2019/12/01 01:50:00,-1.3667
2019/12/01 01:55:00,-1.3836
2019/12/01 02:00:00,-1.3656
2019/12/01 02:05:00,-1.3283
2019/12/01 02:10:00,-1.2818
2019/12/01 02:15:00,-1.2231
2019/12/01 02:20:00,-1.1499
2019/12/01 02:25:00,-1.064
2019/12/01 02:30:00,-0.97412
2019/12/01 02:35:00,-0.89435
2019/12/01 02:40:00,-0.83212
2019/12/01 02:45:00,-0.78428
2019/12/01 02:50:00,-0.74168
2019/12/01 02:55:00,-0.69761
2019/12/01 03:00:00,-0.65539
2019/12/01 03:05:00,-0.62751
2019/12/01 03:10:00,-0.62644
2019/12/01 03:15:00,-0.65428
2019/12/01 03:20:00,-0.70232
2019/12/01 03:25:00,-0.75893
2019/12/01 03:30:00,-0.81525
2019/12/01 03:35:00,-0.86395
2019/12/01 03:40:00,-0.89851
2019/12/01 03:45:00,-0.91685
2019/12/01 03:50:00,-0.9211
2019/12/01 03:55:00,-0.9137
2019/12/01 04:00:00,-0.89537
2019/12/01 04:05:00,-0.86486
2019/12/01 04:10:00,-0.82504
2019/12/01 04:15:00,-0.77681
2019/12/01 04:20:00,-0.71903
2019/12/01 04:25:00,-0.64982
2019/12/01 04:30:00,-0.56643
2019/12/01 04:35:00,-0.46798
2019/12/01 04:40:00,-0.35595
2019/12/01 04:45:00,-0.23376
2019/12/01 04:50:00,-0.10665
2019/12/01 04:55:00,0.018733
2019/12/01 05:00:00,0.13471
2019/12/01 05:05:00,0.23374
2019/12/01 05:10:00,0.31009
2019/12/01 05:15:00,0.36154
2019/12/01 05:20:00,0.38957
2019/12/01 05:25:00,0.39774
2019/12/01 05:30:00,0.39009
2019/12/01 05:35:00,0.3717
2019/12/01 05:40:00,0.3471
2019/12/01 05:45:00,0.32151
2019/12/01 05:50:00,0.30031
2019/12/01 05:55:00,0.28762
2019/12/01 06:00:00,0.28592
2019/12/01 06:05:00,0.29554
2019/12/01 06:10:00,0.31543
2019/12/01 06:15:00,0.34442
2019/12/01 06:20:00,0.3819
2019/12/01 06:25:00,0.42765
2019/12/01 06:30:00,0.4817
2019/12/01 06:35:00,0.54388
2019/12/01 06:40:00,0.61341
2019/12/01 06:45:00,0.68899
2019/12/01 06:50:00,0.76897
2019/12/01 06:55:00,0.85165
2019/12/01 07:00:00,0.93527
2019/12/01 07:05:00,1.0176
2019/12/01 07:10:00,1.0962
2019/12/01 07:15:00,1.1687
2019/12/01 07:20:00,1.2333
2019/12/01 07:25:00,1.2878
2019/12/01 07:30:00,1.3306
2019/12/01 07:35:00,1.3603
2019/12/01 07:40:00,1.3769
2019/12/01 07:45:00,1.3814
2019/12/01 07:50:00,1.3748
2019/12/01 07:55:00,1.3588
2019/12/01 08:00:00,1.3358
2019/12/01 08:05:00,1.3091
2019/12/01 08:10:00,1.2826
2019/12/01 08:15:00,1.2602
2019/12/01 08:20:00,1.2455
2019/12/01 08:25:00,1.2412
