Time [yyyy/MM/dd HH:mm:ss],Hofn: water level (waterlevel) at Hofn_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-3.3063E-52
2019/12/01 00:10:00,-9.1001E-24
2019/12/01 00:15:00,-1.3892E-12
2019/12/01 00:20:00,-1.9515E-08
2019/12/01 00:25:00,-5.2287E-07
2019/12/01 00:30:00,-6.8412E-06
2019/12/01 00:35:00,-5.7853E-05
2019/12/01 00:40:00,-0.00035388
2019/12/01 00:45:00,-0.0016625
2019/12/01 00:50:00,-0.006223
2019/12/01 00:55:00,-0.019019
2019/12/01 01:00:00,-0.04831
2019/12/01 01:05:00,-0.1035
2019/12/01 01:10:00,-0.18977
2019/12/01 01:15:00,-0.30284
2019/12/01 01:20:00,-0.42922
2019/12/01 01:25:00,-0.55415
2019/12/01 01:30:00,-0.6722
2019/12/01 01:35:00,-0.78956
2019/12/01 01:40:00,-0.91201
2019/12/01 01:45:00,-1.0311
2019/12/01 01:50:00,-1.1256
2019/12/01 01:55:00,-1.1738
2019/12/01 02:00:00,-1.1617
2019/12/01 02:05:00,-1.0842
2019/12/01 02:10:00,-0.94648
2019/12/01 02:15:00,-0.76902
2019/12/01 02:20:00,-0.5823
2019/12/01 02:25:00,-0.40858
2019/12/01 02:30:00,-0.25296
2019/12/01 02:35:00,-0.086623
2019/12/01 02:40:00,0.097576
2019/12/01 02:45:00,0.26224
2019/12/01 02:50:00,0.37405
2019/12/01 02:55:00,0.42193
2019/12/01 03:00:00,0.40931
2019/12/01 03:05:00,0.35099
2019/12/01 03:10:00,0.26549
2019/12/01 03:15:00,0.16881
2019/12/01 03:20:00,0.074735
2019/12/01 03:25:00,-0.0050713
2019/12/01 03:30:00,-0.091026
2019/12/01 03:35:00,-0.18986
2019/12/01 03:40:00,-0.26535
2019/12/01 03:45:00,-0.29365
2019/12/01 03:50:00,-0.28018
2019/12/01 03:55:00,-0.22933
2019/12/01 04:00:00,-0.14472
2019/12/01 04:05:00,-0.043905
2019/12/01 04:10:00,0.051342
2019/12/01 04:15:00,0.12745
2019/12/01 04:20:00,0.19579
2019/12/01 04:25:00,0.24961
2019/12/01 04:30:00,0.27731
2019/12/01 04:35:00,0.28361
2019/12/01 04:40:00,0.27702
2019/12/01 04:45:00,0.2635
2019/12/01 04:50:00,0.25166
2019/12/01 04:55:00,0.24942
2019/12/01 05:00:00,0.25948
2019/12/01 05:05:00,0.28064
2019/12/01 05:10:00,0.30905
2019/12/01 05:15:00,0.35023
2019/12/01 05:20:00,0.41151
2019/12/01 05:25:00,0.49258
2019/12/01 05:30:00,0.59442
2019/12/01 05:35:00,0.71475
2019/12/01 05:40:00,0.83908
2019/12/01 05:45:00,0.94956
2019/12/01 05:50:00,1.0359
2019/12/01 05:55:00,1.094
2019/12/01 06:00:00,1.1228
2019/12/01 06:05:00,1.1241
2019/12/01 06:10:00,1.1023
2019/12/01 06:15:00,1.063
2019/12/01 06:20:00,1.0123
2019/12/01 06:25:00,0.95526
2019/12/01 06:30:00,0.89329
2019/12/01 06:35:00,0.83612
2019/12/01 06:40:00,0.79142
2019/12/01 06:45:00,0.75881
2019/12/01 06:50:00,0.73695
