Time [yyyy/MM/dd HH:mm:ss],Husavik: water level (waterlevel) at Husavik_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,1.7959E-35
2019/12/01 00:10:00,3.5733E-17
2019/12/01 00:15:00,7.147E-10
2019/12/01 00:20:00,5.7587E-07
2019/12/01 00:25:00,9.633E-06
2019/12/01 00:30:00,8.0734E-05
2019/12/01 00:35:00,0.0004435
2019/12/01 00:40:00,0.0017829
2019/12/01 00:45:00,0.0055794
2019/12/01 00:50:00,0.014166
2019/12/01 00:55:00,0.030142
2019/12/01 01:00:00,0.055282
2019/12/01 01:05:00,0.089737
2019/12/01 01:10:00,0.13214
2019/12/01 01:15:00,0.18034
2019/12/01 01:20:00,0.23199
2019/12/01 01:25:00,0.28484
2019/12/01 01:30:00,0.33682
2019/12/01 01:35:00,0.38587
2019/12/01 01:40:00,0.42929
2019/12/01 01:45:00,0.46359
2019/12/01 01:50:00,0.48537
2019/12/01 01:55:00,0.4927
2019/12/01 02:00:00,0.48574
2019/12/01 02:05:00,0.46645
2019/12/01 02:10:00,0.43798
2019/12/01 02:15:00,0.40396
2019/12/01 02:20:00,0.36756
2019/12/01 02:25:00,0.33103
2019/12/01 02:30:00,0.29583
2019/12/01 02:35:00,0.26297
2019/12/01 02:40:00,0.2331
2019/12/01 02:45:00,0.20631
2019/12/01 02:50:00,0.18231
2019/12/01 02:55:00,0.16082
2019/12/01 03:00:00,0.14193
2019/12/01 03:05:00,0.12592
2019/12/01 03:10:00,0.11307
2019/12/01 03:15:00,0.10358
2019/12/01 03:20:00,0.097624
2019/12/01 03:25:00,0.095203
2019/12/01 03:30:00,0.095959
2019/12/01 03:35:00,0.099145
2019/12/01 03:40:00,0.10372
2019/12/01 03:45:00,0.10839
2019/12/01 03:50:00,0.11181
2019/12/01 03:55:00,0.11284
2019/12/01 04:00:00,0.11094
2019/12/01 04:05:00,0.10603
2019/12/01 04:10:00,0.098379
2019/12/01 04:15:00,0.088306
2019/12/01 04:20:00,0.076025
2019/12/01 04:25:00,0.061529
2019/12/01 04:30:00,0.044647
2019/12/01 04:35:00,0.025221
2019/12/01 04:40:00,0.0033054
2019/12/01 04:45:00,-0.020703
2019/12/01 04:50:00,-0.046099
2019/12/01 04:55:00,-0.072086
2019/12/01 05:00:00,-0.098046
2019/12/01 05:05:00,-0.12365
2019/12/01 05:10:00,-0.14876
2019/12/01 05:15:00,-0.17331
2019/12/01 05:20:00,-0.19714
2019/12/01 05:25:00,-0.2199
2019/12/01 05:30:00,-0.2411
2019/12/01 05:35:00,-0.26013
2019/12/01 05:40:00,-0.27652
2019/12/01 05:45:00,-0.28997
2019/12/01 05:50:00,-0.30045
2019/12/01 05:55:00,-0.30826
2019/12/01 06:00:00,-0.31385
2019/12/01 06:05:00,-0.31772
2019/12/01 06:10:00,-0.32024
2019/12/01 06:15:00,-0.32153
2019/12/01 06:20:00,-0.32156
2019/12/01 06:25:00,-0.32025
2019/12/01 06:30:00,-0.31759
2019/12/01 06:35:00,-0.31369
2019/12/01 06:40:00,-0.30881
2019/12/01 06:45:00,-0.30331
2019/12/01 06:50:00,-0.29771
2019/12/01 06:55:00,-0.29261
2019/12/01 07:00:00,-0.28867
2019/12/01 07:05:00,-0.28648
2019/12/01 07:10:00,-0.28644
2019/12/01 07:15:00,-0.28879
2019/12/01 07:20:00,-0.29357
2019/12/01 07:25:00,-0.30077
2019/12/01 07:30:00,-0.31034
2019/12/01 07:35:00,-0.32213
2019/12/01 07:40:00,-0.33584
2019/12/01 07:45:00,-0.351
2019/12/01 07:50:00,-0.36693
2019/12/01 07:55:00,-0.38277
2019/12/01 08:00:00,-0.39754
2019/12/01 08:05:00,-0.41029
2019/12/01 08:10:00,-0.42009
2019/12/01 08:15:00,-0.42616
2019/12/01 08:20:00,-0.42792
2019/12/01 08:25:00,-0.42501
2019/12/01 08:30:00,-0.41732
2019/12/01 08:35:00,-0.40493
2019/12/01 08:40:00,-0.38807
2019/12/01 08:45:00,-0.36715
2019/12/01 08:50:00,-0.34278
2019/12/01 08:55:00,-0.31575
2019/12/01 09:00:00,-0.28698
2019/12/01 09:05:00,-0.25761
2019/12/01 09:10:00,-0.22887
2019/12/01 09:15:00,-0.20201
2019/12/01 09:20:00,-0.17816
2019/12/01 09:25:00,-0.15833
2019/12/01 09:30:00,-0.14318
2019/12/01 09:35:00,-0.13297
2019/12/01 09:40:00,-0.12739
2019/12/01 09:45:00,-0.12561
2019/12/01 09:50:00,-0.12629
2019/12/01 09:55:00,-0.12775
2019/12/01 10:00:00,-0.12813
2019/12/01 10:05:00,-0.12563
2019/12/01 10:10:00,-0.11884
2019/12/01 10:15:00,-0.10681
2019/12/01 10:20:00,-0.089168
2019/12/01 10:25:00,-0.066079
2019/12/01 10:30:00,-0.038202
2019/12/01 10:35:00,-0.0065749
2019/12/01 10:40:00,0.027634
2019/12/01 10:45:00,0.06327
2019/12/01 10:50:00,0.099181
2019/12/01 10:55:00,0.13424
2019/12/01 11:00:00,0.16746
2019/12/01 11:05:00,0.198
2019/12/01 11:10:00,0.2252
2019/12/01 11:15:00,0.24852
2019/12/01 11:20:00,0.26756
2019/12/01 11:25:00,0.28209
2019/12/01 11:30:00,0.29209
