Time [yyyy/MM/dd HH:mm:ss],Kleppsbakki: water level (waterlevel) at Kleppsbakki_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-3.3101E-95
2019/12/01 00:10:00,-4.5253E-45
2019/12/01 00:15:00,-6.0753E-25
2019/12/01 00:20:00,-3.6253E-17
2019/12/01 00:25:00,-2.1541E-15
2019/12/01 00:30:00,-6.3035E-14
2019/12/01 00:35:00,-1.21E-12
2019/12/01 00:40:00,-1.7125E-11
2019/12/01 00:45:00,-1.9046E-10
2019/12/01 00:50:00,-1.7324E-09
2019/12/01 00:55:00,-1.3245E-08
2019/12/01 01:00:00,-8.6816E-08
2019/12/01 01:05:00,-4.952E-07
2019/12/01 01:10:00,-2.4868E-06
2019/12/01 01:15:00,-1.1096E-05
2019/12/01 01:20:00,-4.4317E-05
2019/12/01 01:25:00,-0.00015942
2019/12/01 01:30:00,-0.00051916
2019/12/01 01:35:00,-0.001537
2019/12/01 01:40:00,-0.0041524
2019/12/01 01:45:00,-0.01027
2019/12/01 01:50:00,-0.023327
2019/12/01 01:55:00,-0.048819
2019/12/01 02:00:00,-0.09448
2019/12/01 02:05:00,-0.16972
2019/12/01 02:10:00,-0.28383
2019/12/01 02:15:00,-0.443
2019/12/01 02:20:00,-0.64755
2019/12/01 02:25:00,-0.89178
2019/12/01 02:30:00,-1.1662
2019/12/01 02:35:00,-1.4597
2019/12/01 02:40:00,-1.7613
2019/12/01 02:45:00,-2.0601
2019/12/01 02:50:00,-2.3451
2019/12/01 02:55:00,-2.6049
2019/12/01 03:00:00,-2.8269
2019/12/01 03:05:00,-2.9969
2019/12/01 03:10:00,-3.0999
2019/12/01 03:15:00,-3.1231
2019/12/01 03:20:00,-3.0602
2019/12/01 03:25:00,-2.9194
2019/12/01 03:30:00,-2.7289
2019/12/01 03:35:00,-2.5242
2019/12/01 03:40:00,-2.3295
2019/12/01 03:45:00,-2.1461
2019/12/01 03:50:00,-1.9563
2019/12/01 03:55:00,-1.7367
2019/12/01 04:00:00,-1.4734
2019/12/01 04:05:00,-1.1742
2019/12/01 04:10:00,-0.86827
2019/12/01 04:15:00,-0.58431
2019/12/01 04:20:00,-0.32598
2019/12/01 04:25:00,-0.087095
2019/12/01 04:30:00,0.15555
2019/12/01 04:35:00,0.39062
2019/12/01 04:40:00,0.57486
2019/12/01 04:45:00,0.68857
2019/12/01 04:50:00,0.74082
2019/12/01 04:55:00,0.746
2019/12/01 05:00:00,0.7113
2019/12/01 05:05:00,0.63771
2019/12/01 05:10:00,0.52716
2019/12/01 05:15:00,0.39525
2019/12/01 05:20:00,0.28029
2019/12/01 05:25:00,0.17404
2019/12/01 05:30:00,0.064954
2019/12/01 05:35:00,-0.0089278
2019/12/01 05:40:00,-0.028562
2019/12/01 05:45:00,-0.013812
2019/12/01 05:50:00,0.015712
2019/12/01 05:55:00,0.060299
2019/12/01 06:00:00,0.12613
2019/12/01 06:05:00,0.21091
2019/12/01 06:10:00,0.30243
2019/12/01 06:15:00,0.40201
2019/12/01 06:20:00,0.50962
2019/12/01 06:25:00,0.61165
2019/12/01 06:30:00,0.69482
2019/12/01 06:35:00,0.75348
2019/12/01 06:40:00,0.79259
2019/12/01 06:45:00,0.82643
2019/12/01 06:50:00,0.86485
2019/12/01 06:55:00,0.9032
2019/12/01 07:00:00,0.93184
2019/12/01 07:05:00,0.9486
2019/12/01 07:10:00,0.95489
2019/12/01 07:15:00,0.94737
2019/12/01 07:20:00,0.92057
2019/12/01 07:25:00,0.87562
2019/12/01 07:30:00,0.81793
2019/12/01 07:35:00,0.75205
2019/12/01 07:40:00,0.68396
2019/12/01 07:45:00,0.62379
2019/12/01 07:50:00,0.58266
2019/12/01 07:55:00,0.56908
2019/12/01 08:00:00,0.58736
2019/12/01 08:05:00,0.63716
2019/12/01 08:10:00,0.71394
2019/12/01 08:15:00,0.81392
2019/12/01 08:20:00,0.94915
2019/12/01 08:25:00,1.1149
2019/12/01 08:30:00,1.2906
2019/12/01 08:35:00,1.4679
2019/12/01 08:40:00,1.6518
2019/12/01 08:45:00,1.8401
2019/12/01 08:50:00,2.0204
2019/12/01 08:55:00,2.1824
2019/12/01 09:00:00,2.3199
2019/12/01 09:05:00,2.427
2019/12/01 09:10:00,2.4984
2019/12/01 09:15:00,2.5321
2019/12/01 09:20:00,2.5321
2019/12/01 09:25:00,2.5063
2019/12/01 09:30:00,2.4607
2019/12/01 09:35:00,2.4027
2019/12/01 09:40:00,2.3403
2019/12/01 09:45:00,2.2786
2019/12/01 09:50:00,2.2172
2019/12/01 09:55:00,2.1316
2019/12/01 10:00:00,2.0314
2019/12/01 10:05:00,1.9369
2019/12/01 10:10:00,1.8448
2019/12/01 10:15:00,1.7475
