Time [yyyy/MM/dd HH:mm:ss],Landeyjahofn: water level (waterlevel) at Landeyjahofn_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-1.5643E-29
2019/12/01 00:10:00,-1.9159E-13
2019/12/01 00:15:00,-4.3738E-07
2019/12/01 00:20:00,-0.00011583
2019/12/01 00:25:00,-0.0014128
2019/12/01 00:30:00,-0.0086063
2019/12/01 00:35:00,-0.033742
2019/12/01 00:40:00,-0.094496
2019/12/01 00:45:00,-0.20089
2019/12/01 00:50:00,-0.34025
2019/12/01 00:55:00,-0.48308
2019/12/01 01:00:00,-0.60906
2019/12/01 01:05:00,-0.71911
2019/12/01 01:10:00,-0.81784
2019/12/01 01:15:00,-0.89805
2019/12/01 01:20:00,-0.95397
2019/12/01 01:25:00,-0.99626
2019/12/01 01:30:00,-1.0362
2019/12/01 01:35:00,-1.0609
2019/12/01 01:40:00,-1.0427
2019/12/01 01:45:00,-0.97488
2019/12/01 01:50:00,-0.88967
2019/12/01 01:55:00,-0.83357
2019/12/01 02:00:00,-0.82254
2019/12/01 02:05:00,-0.83936
2019/12/01 02:10:00,-0.86446
2019/12/01 02:15:00,-0.8935
2019/12/01 02:20:00,-0.92146
2019/12/01 02:25:00,-0.92773
2019/12/01 02:30:00,-0.8916
2019/12/01 02:35:00,-0.81668
2019/12/01 02:40:00,-0.72854
2019/12/01 02:45:00,-0.64896
2019/12/01 02:50:00,-0.58072
2019/12/01 02:55:00,-0.51886
2019/12/01 03:00:00,-0.46716
2019/12/01 03:05:00,-0.43794
2019/12/01 03:10:00,-0.44083
2019/12/01 03:15:00,-0.47671
2019/12/01 03:20:00,-0.53974
2019/12/01 03:25:00,-0.62007
2019/12/01 03:30:00,-0.70447
2019/12/01 03:35:00,-0.77649
2019/12/01 03:40:00,-0.81975
2019/12/01 03:45:00,-0.82453
2019/12/01 03:50:00,-0.79211
2019/12/01 03:55:00,-0.73212
2019/12/01 04:00:00,-0.65562
2019/12/01 04:05:00,-0.57067
2019/12/01 04:10:00,-0.48278
2019/12/01 04:15:00,-0.39734
2019/12/01 04:20:00,-0.31975
2019/12/01 04:25:00,-0.2526
2019/12/01 04:30:00,-0.19368
2019/12/01 04:35:00,-0.13745
2019/12/01 04:40:00,-0.07986
2019/12/01 04:45:00,-0.022087
2019/12/01 04:50:00,0.031322
2019/12/01 04:55:00,0.07849
2019/12/01 05:00:00,0.12303
2019/12/01 05:05:00,0.17002
2019/12/01 05:10:00,0.21991
2019/12/01 05:15:00,0.2677
2019/12/01 05:20:00,0.30784
2019/12/01 05:25:00,0.33849
2019/12/01 05:30:00,0.35986
2019/12/01 05:35:00,0.371
2019/12/01 05:40:00,0.3699
2019/12/01 05:45:00,0.35785
2019/12/01 05:50:00,0.34181
2019/12/01 05:55:00,0.331
2019/12/01 06:00:00,0.33209
2019/12/01 06:05:00,0.34811
2019/12/01 06:10:00,0.38018
2019/12/01 06:15:00,0.42898
2019/12/01 06:20:00,0.49358
2019/12/01 06:25:00,0.57069
2019/12/01 06:30:00,0.6556
2019/12/01 06:35:00,0.74382
2019/12/01 06:40:00,0.83149
2019/12/01 06:45:00,0.91468
2019/12/01 06:50:00,0.989
2019/12/01 06:55:00,1.0504
2019/12/01 07:00:00,1.0965
2019/12/01 07:05:00,1.1265
2019/12/01 07:10:00,1.1417
2019/12/01 07:15:00,1.1454
2019/12/01 07:20:00,1.1418
2019/12/01 07:25:00,1.1348
2019/12/01 07:30:00,1.1271
2019/12/01 07:35:00,1.121
2019/12/01 07:40:00,1.1184
2019/12/01 07:45:00,1.1198
2019/12/01 07:50:00,1.1242
2019/12/01 07:55:00,1.1302
2019/12/01 08:00:00,1.1369
2019/12/01 08:05:00,1.1442
2019/12/01 08:10:00,1.1519
2019/12/01 08:15:00,1.1595
2019/12/01 08:20:00,1.1669
2019/12/01 08:25:00,1.175
2019/12/01 08:30:00,1.1842
2019/12/01 08:35:00,1.1945
2019/12/01 08:40:00,1.2057
2019/12/01 08:45:00,1.2174
2019/12/01 08:50:00,1.2295
2019/12/01 08:55:00,1.2413
2019/12/01 09:00:00,1.2518
2019/12/01 09:05:00,1.26
2019/12/01 09:10:00,1.265
2019/12/01 09:15:00,1.2654
2019/12/01 09:20:00,1.2597
2019/12/01 09:25:00,1.2471
2019/12/01 09:30:00,1.2269
2019/12/01 09:35:00,1.199
2019/12/01 09:40:00,1.1636
2019/12/01 09:45:00,1.122
2019/12/01 09:50:00,1.0756
2019/12/01 09:55:00,1.0259
2019/12/01 10:00:00,0.97463
2019/12/01 10:05:00,0.9235
2019/12/01 10:10:00,0.87423
2019/12/01 10:15:00,0.82813
2019/12/01 10:20:00,0.78601
2019/12/01 10:25:00,0.74813
2019/12/01 10:30:00,0.71446
2019/12/01 10:35:00,0.68469
2019/12/01 10:40:00,0.65817
2019/12/01 10:45:00,0.63427
2019/12/01 10:50:00,0.61256
2019/12/01 10:55:00,0.59261
2019/12/01 11:00:00,0.57364
2019/12/01 11:05:00,0.55452
2019/12/01 11:10:00,0.53392
2019/12/01 11:15:00,0.51055
2019/12/01 11:20:00,0.4833
2019/12/01 11:25:00,0.4513
2019/12/01 11:30:00,0.41411
2019/12/01 11:35:00,0.37172
2019/12/01 11:40:00,0.32442
2019/12/01 11:45:00,0.27251
2019/12/01 11:50:00,0.21646
2019/12/01 11:55:00,0.15715
2019/12/01 12:00:00,0.09581
2019/12/01 12:05:00,0.033748
2019/12/01 12:10:00,-0.027803
2019/12/01 12:15:00,-0.087617
2019/12/01 12:20:00,-0.14439
2019/12/01 12:25:00,-0.19685
2019/12/01 12:30:00,-0.24402
2019/12/01 12:35:00,-0.28537
2019/12/01 12:40:00,-0.32078
2019/12/01 12:45:00,-0.35061
2019/12/01 12:50:00,-0.37563
2019/12/01 12:55:00,-0.39688
2019/12/01 13:00:00,-0.4155
2019/12/01 13:05:00,-0.43253
2019/12/01 13:10:00,-0.44881
2019/12/01 13:15:00,-0.4652
2019/12/01 13:20:00,-0.48254
2019/12/01 13:25:00,-0.50158
2019/12/01 13:30:00,-0.52285
2019/12/01 13:35:00,-0.54659
2019/12/01 13:40:00,-0.57281
2019/12/01 13:45:00,-0.60133
2019/12/01 13:50:00,-0.63174
2019/12/01 13:55:00,-0.66342
2019/12/01 14:00:00,-0.69564
2019/12/01 14:05:00,-0.72758
2019/12/01 14:10:00,-0.75835
2019/12/01 14:15:00,-0.78714
2019/12/01 14:20:00,-0.81336
2019/12/01 14:25:00,-0.83672
2019/12/01 14:30:00,-0.85711
2019/12/01 14:35:00,-0.87448
2019/12/01 14:40:00,-0.88878
2019/12/01 14:45:00,-0.89991
2019/12/01 14:50:00,-0.90776
2019/12/01 14:55:00,-0.91214
2019/12/01 15:00:00,-0.91292
2019/12/01 15:05:00,-0.91003
2019/12/01 15:10:00,-0.90349
2019/12/01 15:15:00,-0.89345
2019/12/01 15:20:00,-0.88016
2019/12/01 15:25:00,-0.8641
2019/12/01 15:30:00,-0.84597
2019/12/01 15:35:00,-0.82649
2019/12/01 15:40:00,-0.80641
2019/12/01 15:45:00,-0.78658
2019/12/01 15:50:00,-0.76789
2019/12/01 15:55:00,-0.751
2019/12/01 16:00:00,-0.73627
2019/12/01 16:05:00,-0.72385
2019/12/01 16:10:00,-0.71369
2019/12/01 16:15:00,-0.70552
2019/12/01 16:20:00,-0.69874
2019/12/01 16:25:00,-0.69246
2019/12/01 16:30:00,-0.68568
2019/12/01 16:35:00,-0.67734
2019/12/01 16:40:00,-0.66635
2019/12/01 16:45:00,-0.65173
2019/12/01 16:50:00,-0.6328
2019/12/01 16:55:00,-0.60933
2019/12/01 17:00:00,-0.58144
2019/12/01 17:05:00,-0.54954
2019/12/01 17:10:00,-0.51416
2019/12/01 17:15:00,-0.47594
2019/12/01 17:20:00,-0.43563
2019/12/01 17:25:00,-0.39407
2019/12/01 17:30:00,-0.35213
2019/12/01 17:35:00,-0.31063
2019/12/01 17:40:00,-0.27022
2019/12/01 17:45:00,-0.23128
2019/12/01 17:50:00,-0.19403
2019/12/01 17:55:00,-0.15855
2019/12/01 18:00:00,-0.12485
2019/12/01 18:05:00,-0.092908
2019/12/01 18:10:00,-0.062743
2019/12/01 18:15:00,-0.034279
2019/12/01 18:20:00,-0.0073676
2019/12/01 18:25:00,0.018211
2019/12/01 18:30:00,0.042734
2019/12/01 18:35:00,0.066455
2019/12/01 18:40:00,0.089542
2019/12/01 18:45:00,0.11213
2019/12/01 18:50:00,0.13437
2019/12/01 18:55:00,0.15642
2019/12/01 19:00:00,0.17851
2019/12/01 19:05:00,0.20098
2019/12/01 19:10:00,0.22412
2019/12/01 19:15:00,0.24814
2019/12/01 19:20:00,0.27314
2019/12/01 19:25:00,0.29909
2019/12/01 19:30:00,0.32574
2019/12/01 19:35:00,0.3528
2019/12/01 19:40:00,0.37996
2019/12/01 19:45:00,0.4069
2019/12/01 19:50:00,0.43322
2019/12/01 19:55:00,0.45843
2019/12/01 20:00:00,0.48206
2019/12/01 20:05:00,0.50368
2019/12/01 20:10:00,0.52294
2019/12/01 20:15:00,0.53959
2019/12/01 20:20:00,0.55352
2019/12/01 20:25:00,0.56468
2019/12/01 20:30:00,0.57304
2019/12/01 20:35:00,0.57865
2019/12/01 20:40:00,0.5816
2019/12/01 20:45:00,0.58207
2019/12/01 20:50:00,0.58027
2019/12/01 20:55:00,0.57647
2019/12/01 21:00:00,0.57103
2019/12/01 21:05:00,0.56434
2019/12/01 21:10:00,0.5568
2019/12/01 21:15:00,0.54883
2019/12/01 21:20:00,0.54081
2019/12/01 21:25:00,0.53307
2019/12/01 21:30:00,0.52587
2019/12/01 21:35:00,0.51932
2019/12/01 21:40:00,0.51331
2019/12/01 21:45:00,0.50766
2019/12/01 21:50:00,0.50206
2019/12/01 21:55:00,0.49617
2019/12/01 22:00:00,0.48957
2019/12/01 22:05:00,0.48184
2019/12/01 22:10:00,0.4726
2019/12/01 22:15:00,0.46148
2019/12/01 22:20:00,0.44817
2019/12/01 22:25:00,0.43248
2019/12/01 22:30:00,0.41437
2019/12/01 22:35:00,0.39391
2019/12/01 22:40:00,0.37129
2019/12/01 22:45:00,0.34672
2019/12/01 22:50:00,0.32046
2019/12/01 22:55:00,0.29283
2019/12/01 23:00:00,0.26411
2019/12/01 23:05:00,0.23458
2019/12/01 23:10:00,0.20455
2019/12/01 23:15:00,0.17432
2019/12/01 23:20:00,0.14412
2019/12/01 23:25:00,0.11407
2019/12/01 23:30:00,0.084197
2019/12/01 23:35:00,0.054497
2019/12/01 23:40:00,0.024962
2019/12/01 23:45:00,-0.0044071
2019/12/01 23:50:00,-0.033596
2019/12/01 23:55:00,-0.06256
2019/12/02 00:00:00,-0.091223
2019/12/02 00:05:00,-0.11948
2019/12/02 00:10:00,-0.14721
2019/12/02 00:15:00,-0.17431
2019/12/02 00:20:00,-0.20071
2019/12/02 00:25:00,-0.22647
2019/12/02 00:30:00,-0.25167
2019/12/02 00:35:00,-0.27642
2019/12/02 00:40:00,-0.30083
2019/12/02 00:45:00,-0.32502
2019/12/02 00:50:00,-0.34908
2019/12/02 00:55:00,-0.37312
2019/12/02 01:00:00,-0.39718
2019/12/02 01:05:00,-0.42123
2019/12/02 01:10:00,-0.4452
2019/12/02 01:15:00,-0.46896
2019/12/02 01:20:00,-0.49235
2019/12/02 01:25:00,-0.51519
2019/12/02 01:30:00,-0.53725
2019/12/02 01:35:00,-0.55834
2019/12/02 01:40:00,-0.5783
2019/12/02 01:45:00,-0.59701
2019/12/02 01:50:00,-0.61439
2019/12/02 01:55:00,-0.63036
2019/12/02 02:00:00,-0.64485
2019/12/02 02:05:00,-0.65777
2019/12/02 02:10:00,-0.66908
2019/12/02 02:15:00,-0.67875
2019/12/02 02:20:00,-0.68677
2019/12/02 02:25:00,-0.69319
2019/12/02 02:30:00,-0.69805
2019/12/02 02:35:00,-0.70147
2019/12/02 02:40:00,-0.70354
2019/12/02 02:45:00,-0.70437
2019/12/02 02:50:00,-0.70405
2019/12/02 02:55:00,-0.70264
2019/12/02 03:00:00,-0.70018
2019/12/02 03:05:00,-0.69668
2019/12/02 03:10:00,-0.6921
2019/12/02 03:15:00,-0.68643
2019/12/02 03:20:00,-0.67964
2019/12/02 03:25:00,-0.67169
2019/12/02 03:30:00,-0.66257
2019/12/02 03:35:00,-0.65224
2019/12/02 03:40:00,-0.64069
2019/12/02 03:45:00,-0.62792
2019/12/02 03:50:00,-0.61391
2019/12/02 03:55:00,-0.59866
2019/12/02 04:00:00,-0.58219
2019/12/02 04:05:00,-0.56453
2019/12/02 04:10:00,-0.54572
2019/12/02 04:15:00,-0.5258
2019/12/02 04:20:00,-0.50481
2019/12/02 04:25:00,-0.48276
2019/12/02 04:30:00,-0.45971
2019/12/02 04:35:00,-0.43572
2019/12/02 04:40:00,-0.4108
2019/12/02 04:45:00,-0.38496
2019/12/02 04:50:00,-0.35818
2019/12/02 04:55:00,-0.33047
2019/12/02 05:00:00,-0.30183
2019/12/02 05:05:00,-0.27231
2019/12/02 05:10:00,-0.24196
2019/12/02 05:15:00,-0.21084
2019/12/02 05:20:00,-0.17903
2019/12/02 05:25:00,-0.14664
2019/12/02 05:30:00,-0.11379
2019/12/02 05:35:00,-0.080569
2019/12/02 05:40:00,-0.047076
2019/12/02 05:45:00,-0.013401
2019/12/02 05:50:00,0.020356
2019/12/02 05:55:00,0.054099
2019/12/02 06:00:00,0.087767
2019/12/02 06:05:00,0.12131
2019/12/02 06:10:00,0.15468
2019/12/02 06:15:00,0.18785
2019/12/02 06:20:00,0.22084
2019/12/02 06:25:00,0.25368
2019/12/02 06:30:00,0.28639
2019/12/02 06:35:00,0.31899
2019/12/02 06:40:00,0.35144
2019/12/02 06:45:00,0.38368
2019/12/02 06:50:00,0.41566
2019/12/02 06:55:00,0.44726
2019/12/02 07:00:00,0.47839
2019/12/02 07:05:00,0.5089
2019/12/02 07:10:00,0.53864
2019/12/02 07:15:00,0.56748
2019/12/02 07:20:00,0.59537
2019/12/02 07:25:00,0.62225
2019/12/02 07:30:00,0.64803
2019/12/02 07:35:00,0.67268
2019/12/02 07:40:00,0.6962
2019/12/02 07:45:00,0.71865
2019/12/02 07:50:00,0.74006
2019/12/02 07:55:00,0.76041
2019/12/02 08:00:00,0.7797
2019/12/02 08:05:00,0.79795
2019/12/02 08:10:00,0.81517
2019/12/02 08:15:00,0.83131
2019/12/02 08:20:00,0.8463
2019/12/02 08:25:00,0.86008
2019/12/02 08:30:00,0.87259
2019/12/02 08:35:00,0.8838
2019/12/02 08:40:00,0.89365
2019/12/02 08:45:00,0.90201
2019/12/02 08:50:00,0.90882
2019/12/02 08:55:00,0.91406
2019/12/02 09:00:00,0.91776
2019/12/02 09:05:00,0.91994
2019/12/02 09:10:00,0.92068
2019/12/02 09:15:00,0.92006
2019/12/02 09:20:00,0.91816
2019/12/02 09:25:00,0.91506
2019/12/02 09:30:00,0.91077
2019/12/02 09:35:00,0.90534
2019/12/02 09:40:00,0.8988
2019/12/02 09:45:00,0.89114
2019/12/02 09:50:00,0.88225
2019/12/02 09:55:00,0.87213
2019/12/02 10:00:00,0.8608
2019/12/02 10:05:00,0.84819
2019/12/02 10:10:00,0.83421
2019/12/02 10:15:00,0.81881
2019/12/02 10:20:00,0.80201
2019/12/02 10:25:00,0.78386
2019/12/02 10:30:00,0.7644
2019/12/02 10:35:00,0.74366
2019/12/02 10:40:00,0.72169
2019/12/02 10:45:00,0.69853
2019/12/02 10:50:00,0.67431
2019/12/02 10:55:00,0.64918
2019/12/02 11:00:00,0.62325
2019/12/02 11:05:00,0.59661
2019/12/02 11:10:00,0.56933
2019/12/02 11:15:00,0.54145
2019/12/02 11:20:00,0.51301
2019/12/02 11:25:00,0.48404
2019/12/02 11:30:00,0.45459
2019/12/02 11:35:00,0.42472
2019/12/02 11:40:00,0.39451
2019/12/02 11:45:00,0.36395
2019/12/02 11:50:00,0.33306
2019/12/02 11:55:00,0.30184
2019/12/02 12:00:00,0.27028
2019/12/02 12:05:00,0.23837
2019/12/02 12:10:00,0.20615
2019/12/02 12:15:00,0.17365
2019/12/02 12:20:00,0.14089
2019/12/02 12:25:00,0.10793
2019/12/02 12:30:00,0.074805
2019/12/02 12:35:00,0.04157
2019/12/02 12:40:00,0.0082682
2019/12/02 12:45:00,-0.025022
2019/12/02 12:50:00,-0.058197
2019/12/02 12:55:00,-0.091172
2019/12/02 13:00:00,-0.12388
2019/12/02 13:05:00,-0.15622
2019/12/02 13:10:00,-0.1881
2019/12/02 13:15:00,-0.21941
2019/12/02 13:20:00,-0.25005
2019/12/02 13:25:00,-0.27999
2019/12/02 13:30:00,-0.30913
2019/12/02 13:35:00,-0.33741
2019/12/02 13:40:00,-0.3648
2019/12/02 13:45:00,-0.39128
2019/12/02 13:50:00,-0.41684
2019/12/02 13:55:00,-0.44143
2019/12/02 14:00:00,-0.465
2019/12/02 14:05:00,-0.48754
2019/12/02 14:10:00,-0.50904
2019/12/02 14:15:00,-0.52951
2019/12/02 14:20:00,-0.54891
2019/12/02 14:25:00,-0.56721
2019/12/02 14:30:00,-0.58449
2019/12/02 14:35:00,-0.60078
2019/12/02 14:40:00,-0.61608
2019/12/02 14:45:00,-0.63037
2019/12/02 14:50:00,-0.64366
2019/12/02 14:55:00,-0.65595
2019/12/02 15:00:00,-0.66719
2019/12/02 15:05:00,-0.67729
2019/12/02 15:10:00,-0.68622
2019/12/02 15:15:00,-0.69395
2019/12/02 15:20:00,-0.7004
2019/12/02 15:25:00,-0.70554
2019/12/02 15:30:00,-0.70938
2019/12/02 15:35:00,-0.71187
2019/12/02 15:40:00,-0.71296
2019/12/02 15:45:00,-0.71261
2019/12/02 15:50:00,-0.7109
2019/12/02 15:55:00,-0.70787
2019/12/02 16:00:00,-0.70353
2019/12/02 16:05:00,-0.69785
2019/12/02 16:10:00,-0.69085
2019/12/02 16:15:00,-0.68264
2019/12/02 16:20:00,-0.67332
2019/12/02 16:25:00,-0.66287
2019/12/02 16:30:00,-0.65129
2019/12/02 16:35:00,-0.63872
2019/12/02 16:40:00,-0.62526
2019/12/02 16:45:00,-0.61085
2019/12/02 16:50:00,-0.59545
2019/12/02 16:55:00,-0.57913
2019/12/02 17:00:00,-0.56196
2019/12/02 17:05:00,-0.544
2019/12/02 17:10:00,-0.5253
2019/12/02 17:15:00,-0.5059
2019/12/02 17:20:00,-0.48579
2019/12/02 17:25:00,-0.46497
2019/12/02 17:30:00,-0.44349
2019/12/02 17:35:00,-0.42141
2019/12/02 17:40:00,-0.39867
2019/12/02 17:45:00,-0.3752
2019/12/02 17:50:00,-0.3511
2019/12/02 17:55:00,-0.32639
2019/12/02 18:00:00,-0.30108
2019/12/02 18:05:00,-0.27525
2019/12/02 18:10:00,-0.24892
2019/12/02 18:15:00,-0.22207
2019/12/02 18:20:00,-0.19475
2019/12/02 18:25:00,-0.16712
2019/12/02 18:30:00,-0.13924
2019/12/02 18:35:00,-0.11113
2019/12/02 18:40:00,-0.082871
2019/12/02 18:45:00,-0.054571
2019/12/02 18:50:00,-0.026324
2019/12/02 18:55:00,0.0017787
2019/12/02 19:00:00,0.029706
2019/12/02 19:05:00,0.057424
2019/12/02 19:10:00,0.084818
2019/12/02 19:15:00,0.1118
2019/12/02 19:20:00,0.13835
2019/12/02 19:25:00,0.16445
2019/12/02 19:30:00,0.18999
2019/12/02 19:35:00,0.2149
2019/12/02 19:40:00,0.23917
2019/12/02 19:45:00,0.26283
2019/12/02 19:50:00,0.28591
2019/12/02 19:55:00,0.30837
2019/12/02 20:00:00,0.33021
2019/12/02 20:05:00,0.35145
