Time [yyyy/MM/dd HH:mm:ss],Mjoeyrarhofn_mouthFjord: water level (waterlevel) at Mjoeyrarhofn_mouthFjord_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-4.4738E-46
2019/12/01 00:10:00,-9.556E-24
2019/12/01 00:15:00,-1.69E-13
2019/12/01 00:20:00,-1.9664E-09
2019/12/01 00:25:00,-5.2392E-08
2019/12/01 00:30:00,-6.8563E-07
2019/12/01 00:35:00,-5.832E-06
2019/12/01 00:40:00,-3.609E-05
2019/12/01 00:45:00,-0.00017259
2019/12/01 00:50:00,-0.00066201
2019/12/01 00:55:00,-0.0020882
2019/12/01 01:00:00,-0.0055154
2019/12/01 01:05:00,-0.012372
2019/12/01 01:10:00,-0.023882
2019/12/01 01:15:00,-0.04024
2019/12/01 01:20:00,-0.060322
2019/12/01 01:25:00,-0.082605
2019/12/01 01:30:00,-0.10685
2019/12/01 01:35:00,-0.13483
2019/12/01 01:40:00,-0.16884
2019/12/01 01:45:00,-0.20901
2019/12/01 01:50:00,-0.25215
2019/12/01 01:55:00,-0.29312
2019/12/01 02:00:00,-0.32686
2019/12/01 02:05:00,-0.34893
2019/12/01 02:10:00,-0.35478
2019/12/01 02:15:00,-0.33984
2019/12/01 02:20:00,-0.30091
2019/12/01 02:25:00,-0.23679
2019/12/01 02:30:00,-0.14734
2019/12/01 02:35:00,-0.032462
2019/12/01 02:40:00,0.10711
2019/12/01 02:45:00,0.26714
2019/12/01 02:50:00,0.43789
2019/12/01 02:55:00,0.60518
2019/12/01 03:00:00,0.75414
2019/12/01 03:05:00,0.8728
2019/12/01 03:10:00,0.95323
2019/12/01 03:15:00,0.99155
2019/12/01 03:20:00,0.9883
2019/12/01 03:25:00,0.94774
2019/12/01 03:30:00,0.87639
2019/12/01 03:35:00,0.78196
2019/12/01 03:40:00,0.6729
2019/12/01 03:45:00,0.55825
2019/12/01 03:50:00,0.44728
2019/12/01 03:55:00,0.34757
2019/12/01 04:00:00,0.26218
2019/12/01 04:05:00,0.18961
2019/12/01 04:10:00,0.12756
2019/12/01 04:15:00,0.07498
2019/12/01 04:20:00,0.031025
2019/12/01 04:25:00,-0.0045846
2019/12/01 04:30:00,-0.030375
2019/12/01 04:35:00,-0.043491
2019/12/01 04:40:00,-0.040117
2019/12/01 04:45:00,-0.015416
2019/12/01 04:50:00,0.035767
2019/12/01 04:55:00,0.11705
2019/12/01 05:00:00,0.22873
2019/12/01 05:05:00,0.36752
2019/12/01 05:10:00,0.52699
2019/12/01 05:15:00,0.69775
2019/12/01 05:20:00,0.86755
2019/12/01 05:25:00,1.0224
2019/12/01 05:30:00,1.1486
2019/12/01 05:35:00,1.2349
2019/12/01 05:40:00,1.2736
2019/12/01 05:45:00,1.2614
2019/12/01 05:50:00,1.2006
2019/12/01 05:55:00,1.0982
2019/12/01 06:00:00,0.96494
2019/12/01 06:05:00,0.81443
2019/12/01 06:10:00,0.66115
2019/12/01 06:15:00,0.51807
2019/12/01 06:20:00,0.39277
2019/12/01 06:25:00,0.28743
2019/12/01 06:30:00,0.20417
2019/12/01 06:35:00,0.14607
2019/12/01 06:40:00,0.11256
2019/12/01 06:45:00,0.099357
2019/12/01 06:50:00,0.10175
2019/12/01 06:55:00,0.11514
2019/12/01 07:00:00,0.1347
2019/12/01 07:05:00,0.1561
2019/12/01 07:10:00,0.17654
2019/12/01 07:15:00,0.19461
2019/12/01 07:20:00,0.20983
2019/12/01 07:25:00,0.2232
2019/12/01 07:30:00,0.23695
2019/12/01 07:35:00,0.25348
2019/12/01 07:40:00,0.27415
2019/12/01 07:45:00,0.29848
2019/12/01 07:50:00,0.32424
2019/12/01 07:55:00,0.34801
2019/12/01 08:00:00,0.36631
2019/12/01 08:05:00,0.37614
2019/12/01 08:10:00,0.37523
2019/12/01 08:15:00,0.36222
2019/12/01 08:20:00,0.33656
2019/12/01 08:25:00,0.29874
2019/12/01 08:30:00,0.25064
2019/12/01 08:35:00,0.19541
