Time [yyyy/MM/dd HH:mm:ss],Olafsvik: water level (waterlevel) at Olafsvik_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,1.8939E-46
2019/12/01 00:10:00,1.4487E-24
2019/12/01 00:15:00,1.1764E-14
2019/12/01 00:20:00,7.2925E-11
2019/12/01 00:25:00,1.5878E-09
2019/12/01 00:30:00,1.5351E-08
2019/12/01 00:35:00,7.4826E-08
2019/12/01 00:40:00,3.4998E-08
2019/12/01 00:45:00,-2.4359E-06
2019/12/01 00:50:00,-2.2349E-05
2019/12/01 00:55:00,-0.0001252
2019/12/01 01:00:00,-0.00052773
2019/12/01 01:05:00,-0.0017989
2019/12/01 01:10:00,-0.0051488
2019/12/01 01:15:00,-0.012677
2019/12/01 01:20:00,-0.027348
2019/12/01 01:25:00,-0.052511
2019/12/01 01:30:00,-0.091075
2019/12/01 01:35:00,-0.14477
2019/12/01 01:40:00,-0.21395
2019/12/01 01:45:00,-0.29786
2019/12/01 01:50:00,-0.39506
2019/12/01 01:55:00,-0.50333
2019/12/01 02:00:00,-0.61925
2019/12/01 02:05:00,-0.73782
2019/12/01 02:10:00,-0.85297
2019/12/01 02:15:00,-0.95892
2019/12/01 02:20:00,-1.0521
2019/12/01 02:25:00,-1.1322
2019/12/01 02:30:00,-1.2019
2019/12/01 02:35:00,-1.2646
2019/12/01 02:40:00,-1.3224
2019/12/01 02:45:00,-1.3753
2019/12/01 02:50:00,-1.4218
2019/12/01 02:55:00,-1.4602
2019/12/01 03:00:00,-1.4896
2019/12/01 03:05:00,-1.5113
2019/12/01 03:10:00,-1.5292
2019/12/01 03:15:00,-1.5484
2019/12/01 03:20:00,-1.5725
2019/12/01 03:25:00,-1.6009
2019/12/01 03:30:00,-1.6288
2019/12/01 03:35:00,-1.6495
2019/12/01 03:40:00,-1.6569
2019/12/01 03:45:00,-1.6474
2019/12/01 03:50:00,-1.6199
2019/12/01 03:55:00,-1.5758
2019/12/01 04:00:00,-1.5189
2019/12/01 04:05:00,-1.4537
2019/12/01 04:10:00,-1.3836
2019/12/01 04:15:00,-1.3106
2019/12/01 04:20:00,-1.2349
2019/12/01 04:25:00,-1.1573
2019/12/01 04:30:00,-1.0794
2019/12/01 04:35:00,-1.0028
2019/12/01 04:40:00,-0.92769
2019/12/01 04:45:00,-0.85288
2019/12/01 04:50:00,-0.77594
2019/12/01 04:55:00,-0.69442
2019/12/01 05:00:00,-0.60674
2019/12/01 05:05:00,-0.51277
2019/12/01 05:10:00,-0.41371
2019/12/01 05:15:00,-0.31143
2019/12/01 05:20:00,-0.20775
2019/12/01 05:25:00,-0.10423
2019/12/01 05:30:00,-0.0023538
2019/12/01 05:35:00,0.095934
2019/12/01 05:40:00,0.18792
