Time [yyyy/MM/dd HH:mm:ss],Sandgerdi: water level (waterlevel) at Sandgerdi_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-2.0858E-47
2019/12/01 00:10:00,-1.0402E-24
2019/12/01 00:15:00,-7.0493E-14
2019/12/01 00:20:00,-1.6447E-09
2019/12/01 00:25:00,-4.8603E-08
2019/12/01 00:30:00,-7.0623E-07
2019/12/01 00:35:00,-6.6889E-06
2019/12/01 00:40:00,-4.6268E-05
2019/12/01 00:45:00,-0.00024849
2019/12/01 00:50:00,-0.0010762
2019/12/01 00:55:00,-0.0038558
2019/12/01 01:00:00,-0.011639
2019/12/01 01:05:00,-0.030013
2019/12/01 01:10:00,-0.066878
2019/12/01 01:15:00,-0.13016
2019/12/01 01:20:00,-0.2239
2019/12/01 01:25:00,-0.34524
2019/12/01 01:30:00,-0.48547
2019/12/01 01:35:00,-0.63451
2019/12/01 01:40:00,-0.78496
2019/12/01 01:45:00,-0.93199
2019/12/01 01:50:00,-1.0707
2019/12/01 01:55:00,-1.1955
2019/12/01 02:00:00,-1.3022
2019/12/01 02:05:00,-1.3892
2019/12/01 02:10:00,-1.4541
2019/12/01 02:15:00,-1.4892
2019/12/01 02:20:00,-1.4834
2019/12/01 02:25:00,-1.434
2019/12/01 02:30:00,-1.3594
2019/12/01 02:35:00,-1.3023
2019/12/01 02:40:00,-1.3015
2019/12/01 02:45:00,-1.3639
2019/12/01 02:50:00,-1.4635
2019/12/01 02:55:00,-1.559
2019/12/01 03:00:00,-1.614
2019/12/01 03:05:00,-1.6107
2019/12/01 03:10:00,-1.5546
2019/12/01 03:15:00,-1.4706
2019/12/01 03:20:00,-1.3887
2019/12/01 03:25:00,-1.3227
2019/12/01 03:30:00,-1.261
2019/12/01 03:35:00,-1.1839
2019/12/01 03:40:00,-1.0878
2019/12/01 03:45:00,-0.99141
2019/12/01 03:50:00,-0.91824
2019/12/01 03:55:00,-0.8758
2019/12/01 04:00:00,-0.85016
2019/12/01 04:05:00,-0.81957
2019/12/01 04:10:00,-0.7718
2019/12/01 04:15:00,-0.70879
2019/12/01 04:20:00,-0.63826
2019/12/01 04:25:00,-0.56463
2019/12/01 04:30:00,-0.48726
2019/12/01 04:35:00,-0.4044
2019/12/01 04:40:00,-0.31724
2019/12/01 04:45:00,-0.23077
2019/12/01 04:50:00,-0.15112
2019/12/01 04:55:00,-0.08084
2019/12/01 05:00:00,-0.017945
2019/12/01 05:05:00,0.041424
2019/12/01 05:10:00,0.10029
2019/12/01 05:15:00,0.15955
2019/12/01 05:20:00,0.21742
2019/12/01 05:25:00,0.27015
2019/12/01 05:30:00,0.31527
2019/12/01 05:35:00,0.3542
2019/12/01 05:40:00,0.3902
2019/12/01 05:45:00,0.42335
2019/12/01 05:50:00,0.44891
2019/12/01 05:55:00,0.46183
2019/12/01 06:00:00,0.46239
2019/12/01 06:05:00,0.45711
2019/12/01 06:10:00,0.45423
2019/12/01 06:15:00,0.45858
2019/12/01 06:20:00,0.46978
2019/12/01 06:25:00,0.48437
2019/12/01 06:30:00,0.50017
2019/12/01 06:35:00,0.51878
2019/12/01 06:40:00,0.54408
2019/12/01 06:45:00,0.57812
2019/12/01 06:50:00,0.61895
2019/12/01 06:55:00,0.6623
2019/12/01 07:00:00,0.70519
2019/12/01 07:05:00,0.74833
2019/12/01 07:10:00,0.79495
2019/12/01 07:15:00,0.84722
2019/12/01 07:20:00,0.90357
2019/12/01 07:25:00,0.95964
2019/12/01 07:30:00,1.0121
2019/12/01 07:35:00,1.0615
2019/12/01 07:40:00,1.1106
2019/12/01 07:45:00,1.1611
2019/12/01 07:50:00,1.2118
2019/12/01 07:55:00,1.2602
2019/12/01 08:00:00,1.3057
2019/12/01 08:05:00,1.3496
2019/12/01 08:10:00,1.3932
2019/12/01 08:15:00,1.4362
2019/12/01 08:20:00,1.4769
2019/12/01 08:25:00,1.5144
2019/12/01 08:30:00,1.5497
2019/12/01 08:35:00,1.5843
2019/12/01 08:40:00,1.6193
2019/12/01 08:45:00,1.6543
2019/12/01 08:50:00,1.6887
2019/12/01 08:55:00,1.7225
2019/12/01 09:00:00,1.7564
2019/12/01 09:05:00,1.79
2019/12/01 09:10:00,1.8218
2019/12/01 09:15:00,1.8489
2019/12/01 09:20:00,1.868
2019/12/01 09:25:00,1.877
2019/12/01 09:30:00,1.8754
2019/12/01 09:35:00,1.8636
2019/12/01 09:40:00,1.8423
2019/12/01 09:45:00,1.8132
2019/12/01 09:50:00,1.778
2019/12/01 09:55:00,1.7377
2019/12/01 10:00:00,1.6932
2019/12/01 10:05:00,1.646
2019/12/01 10:10:00,1.5982
2019/12/01 10:15:00,1.551
2019/12/01 10:20:00,1.5045
2019/12/01 10:25:00,1.4584
2019/12/01 10:30:00,1.4122
2019/12/01 10:35:00,1.3657
2019/12/01 10:40:00,1.3185
2019/12/01 10:45:00,1.2701
2019/12/01 10:50:00,1.2194
2019/12/01 10:55:00,1.1663
2019/12/01 11:00:00,1.1113
2019/12/01 11:05:00,1.055
2019/12/01 11:10:00,0.99729
2019/12/01 11:15:00,0.93742
2019/12/01 11:20:00,0.8755
2019/12/01 11:25:00,0.81254
2019/12/01 11:30:00,0.74977
2019/12/01 11:35:00,0.68775
2019/12/01 11:40:00,0.62628
2019/12/01 11:45:00,0.56502
2019/12/01 11:50:00,0.50419
2019/12/01 11:55:00,0.44452
2019/12/01 12:00:00,0.3865
2019/12/01 12:05:00,0.33011
2019/12/01 12:10:00,0.27501
2019/12/01 12:15:00,0.22072
2019/12/01 12:20:00,0.16697
2019/12/01 12:25:00,0.1137
2019/12/01 12:30:00,0.061071
2019/12/01 12:35:00,0.0093164
2019/12/01 12:40:00,-0.041201
2019/12/01 12:45:00,-0.090083
2019/12/01 12:50:00,-0.13692
2019/12/01 12:55:00,-0.18146
2019/12/01 13:00:00,-0.22364
2019/12/01 13:05:00,-0.26353
2019/12/01 13:10:00,-0.30117
2019/12/01 13:15:00,-0.33662
2019/12/01 13:20:00,-0.36992
2019/12/01 13:25:00,-0.40111
2019/12/01 13:30:00,-0.43033
2019/12/01 13:35:00,-0.45805
2019/12/01 13:40:00,-0.48492
2019/12/01 13:45:00,-0.51152
2019/12/01 13:50:00,-0.53814
2019/12/01 13:55:00,-0.5649
2019/12/01 14:00:00,-0.59194
2019/12/01 14:05:00,-0.61955
2019/12/01 14:10:00,-0.6481
2019/12/01 14:15:00,-0.67792
2019/12/01 14:20:00,-0.70908
2019/12/01 14:25:00,-0.74148
2019/12/01 14:30:00,-0.77492
2019/12/01 14:35:00,-0.80921
2019/12/01 14:40:00,-0.84411
2019/12/01 14:45:00,-0.87926
2019/12/01 14:50:00,-0.91417
2019/12/01 14:55:00,-0.94829
2019/12/01 15:00:00,-0.98101
2019/12/01 15:05:00,-1.0118
2019/12/01 15:10:00,-1.0403
2019/12/01 15:15:00,-1.0661
2019/12/01 15:20:00,-1.0889
2019/12/01 15:25:00,-1.1086
2019/12/01 15:30:00,-1.1251
2019/12/01 15:35:00,-1.1384
2019/12/01 15:40:00,-1.1489
2019/12/01 15:45:00,-1.1564
2019/12/01 15:50:00,-1.1612
2019/12/01 15:55:00,-1.1631
2019/12/01 16:00:00,-1.1624
2019/12/01 16:05:00,-1.1592
2019/12/01 16:10:00,-1.1537
2019/12/01 16:15:00,-1.1462
2019/12/01 16:20:00,-1.1369
2019/12/01 16:25:00,-1.1261
2019/12/01 16:30:00,-1.1138
2019/12/01 16:35:00,-1.1001
2019/12/01 16:40:00,-1.0848
2019/12/01 16:45:00,-1.0676
2019/12/01 16:50:00,-1.0483
2019/12/01 16:55:00,-1.0268
2019/12/01 17:00:00,-1.0031
2019/12/01 17:05:00,-0.97699
2019/12/01 17:10:00,-0.94823
2019/12/01 17:15:00,-0.91629
2019/12/01 17:20:00,-0.88074
2019/12/01 17:25:00,-0.8415
2019/12/01 17:30:00,-0.79875
2019/12/01 17:35:00,-0.75269
2019/12/01 17:40:00,-0.70348
2019/12/01 17:45:00,-0.65129
