Time [yyyy/MM/dd HH:mm:ss],Skagastrond: water level (waterlevel) at Skagastrond_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,4.4405E-49
2019/12/01 00:10:00,9.4146E-24
2019/12/01 00:15:00,1.5648E-13
2019/12/01 00:20:00,1.356E-09
2019/12/01 00:25:00,3.4641E-08
2019/12/01 00:30:00,4.3608E-07
2019/12/01 00:35:00,3.5804E-06
2019/12/01 00:40:00,2.1477E-05
2019/12/01 00:45:00,0.00010012
2019/12/01 00:50:00,0.00037712
2019/12/01 00:55:00,0.0011796
2019/12/01 01:00:00,0.0031283
2019/12/01 01:05:00,0.007157
2019/12/01 01:10:00,0.01435
2019/12/01 01:15:00,0.025607
2019/12/01 01:20:00,0.041321
2019/12/01 01:25:00,0.061298
2019/12/01 01:30:00,0.084992
2019/12/01 01:35:00,0.11186
2019/12/01 01:40:00,0.14156
2019/12/01 01:45:00,0.17395
2019/12/01 01:50:00,0.20873
2019/12/01 01:55:00,0.24522
2019/12/01 02:00:00,0.28219
2019/12/01 02:05:00,0.31805
2019/12/01 02:10:00,0.35121
2019/12/01 02:15:00,0.38035
2019/12/01 02:20:00,0.40448
2019/12/01 02:25:00,0.42305
2019/12/01 02:30:00,0.43579
2019/12/01 02:35:00,0.44262
2019/12/01 02:40:00,0.44333
2019/12/01 02:45:00,0.43749
2019/12/01 02:50:00,0.42455
2019/12/01 02:55:00,0.40433
2019/12/01 03:00:00,0.37686
2019/12/01 03:05:00,0.34249
2019/12/01 03:10:00,0.30187
2019/12/01 03:15:00,0.25564
2019/12/01 03:20:00,0.20423
2019/12/01 03:25:00,0.14777
2019/12/01 03:30:00,0.086137
2019/12/01 03:35:00,0.019515
2019/12/01 03:40:00,-0.051226
2019/12/01 03:45:00,-0.12445
2019/12/01 03:50:00,-0.19813
2019/12/01 03:55:00,-0.27042
2019/12/01 04:00:00,-0.33987
2019/12/01 04:05:00,-0.40534
2019/12/01 04:10:00,-0.46582
2019/12/01 04:15:00,-0.5203
2019/12/01 04:20:00,-0.56779
2019/12/01 04:25:00,-0.60732
2019/12/01 04:30:00,-0.63797
2019/12/01 04:35:00,-0.65903
2019/12/01 04:40:00,-0.67021
2019/12/01 04:45:00,-0.67174
2019/12/01 04:50:00,-0.66419
2019/12/01 04:55:00,-0.64841
2019/12/01 05:00:00,-0.62561
