Time [yyyy/MM/dd HH:mm:ss],Torlakshofn: water level (waterlevel) at Torlakshofn_ FlowFM [m]
2019/12/01 00:00:00,0
2019/12/01 00:05:00,-2.6148E-47
2019/12/01 00:10:00,-5.2574E-24
2019/12/01 00:15:00,-3.7628E-13
2019/12/01 00:20:00,-7.4883E-09
2019/12/01 00:25:00,-2.147E-07
2019/12/01 00:30:00,-3.0224E-06
2019/12/01 00:35:00,-2.7681E-05
2019/12/01 00:40:00,-0.00018474
2019/12/01 00:45:00,-0.00095467
2019/12/01 00:50:00,-0.0039645
2019/12/01 00:55:00,-0.013551
2019/12/01 01:00:00,-0.038726
2019/12/01 01:05:00,-0.093585
2019/12/01 01:10:00,-0.19338
2019/12/01 01:15:00,-0.34655
2019/12/01 01:20:00,-0.54804
2019/12/01 01:25:00,-0.77996
2019/12/01 01:30:00,-1.0201
2019/12/01 01:35:00,-1.2507
2019/12/01 01:40:00,-1.4614
2019/12/01 01:45:00,-1.6504
2019/12/01 01:50:00,-1.8154
2019/12/01 01:55:00,-1.9469
2019/12/01 02:00:00,-2.027
2019/12/01 02:05:00,-2.0297
2019/12/01 02:10:00,-1.9166
2019/12/01 02:15:00,-1.6713
2019/12/01 02:20:00,-1.3193
2019/12/01 02:25:00,-0.91985
2019/12/01 02:30:00,-0.5516
2019/12/01 02:35:00,-0.28396
2019/12/01 02:40:00,-0.15166
2019/12/01 02:45:00,-0.13093
2019/12/01 02:50:00,-0.16225
2019/12/01 02:55:00,-0.1981
2019/12/01 03:00:00,-0.22308
2019/12/01 03:05:00,-0.24883
2019/12/01 03:10:00,-0.30033
2019/12/01 03:15:00,-0.39899
2019/12/01 03:20:00,-0.54231
2019/12/01 03:25:00,-0.69869
2019/12/01 03:30:00,-0.82718
2019/12/01 03:35:00,-0.9023
2019/12/01 03:40:00,-0.92667
2019/12/01 03:45:00,-0.93094
2019/12/01 03:50:00,-0.95805
2019/12/01 03:55:00,-1.0367
2019/12/01 04:00:00,-1.1598
2019/12/01 04:05:00,-1.2866
2019/12/01 04:10:00,-1.3648
2019/12/01 04:15:00,-1.3487
2019/12/01 04:20:00,-1.206
2019/12/01 04:25:00,-0.95057
2019/12/01 04:30:00,-0.63004
2019/12/01 04:35:00,-0.29754
2019/12/01 04:40:00,0.0010607
2019/12/01 04:45:00,0.23497
2019/12/01 04:50:00,0.40228
2019/12/01 04:55:00,0.52566
2019/12/01 05:00:00,0.62664
2019/12/01 05:05:00,0.70525
2019/12/01 05:10:00,0.74235
2019/12/01 05:15:00,0.71946
2019/12/01 05:20:00,0.63815
2019/12/01 05:25:00,0.52303
2019/12/01 05:30:00,0.40864
2019/12/01 05:35:00,0.31881
2019/12/01 05:40:00,0.25948
2019/12/01 05:45:00,0.22184
2019/12/01 05:50:00,0.19047
2019/12/01 05:55:00,0.15398
2019/12/01 06:00:00,0.11361
2019/12/01 06:05:00,0.083443
2019/12/01 06:10:00,0.081703
2019/12/01 06:15:00,0.12032
2019/12/01 06:20:00,0.19652
2019/12/01 06:25:00,0.29732
2019/12/01 06:30:00,0.40931
2019/12/01 06:35:00,0.52545
2019/12/01 06:40:00,0.64612
2019/12/01 06:45:00,0.77563
2019/12/01 06:50:00,0.91652
2019/12/01 06:55:00,1.0647
2019/12/01 07:00:00,1.2088
2019/12/01 07:05:00,1.3354
2019/12/01 07:10:00,1.4347
2019/12/01 07:15:00,1.5038
2019/12/01 07:20:00,1.5451
2019/12/01 07:25:00,1.5622
2019/12/01 07:30:00,1.5568
2019/12/01 07:35:00,1.5286
2019/12/01 07:40:00,1.4784
2019/12/01 07:45:00,1.4102
2019/12/01 07:50:00,1.3315
2019/12/01 07:55:00,1.2507
2019/12/01 08:00:00,1.1746
2019/12/01 08:05:00,1.1083
2019/12/01 08:10:00,1.0562
2019/12/01 08:15:00,1.0231
2019/12/01 08:20:00,1.0134
2019/12/01 08:25:00,1.0297
2019/12/01 08:30:00,1.0705
2019/12/01 08:35:00,1.13
2019/12/01 08:40:00,1.2002
2019/12/01 08:45:00,1.274
2019/12/01 08:50:00,1.3478
2019/12/01 08:55:00,1.4201
2019/12/01 09:00:00,1.4892
2019/12/01 09:05:00,1.5515
2019/12/01 09:10:00,1.6022
2019/12/01 09:15:00,1.638
2019/12/01 09:20:00,1.6578
2019/12/01 09:25:00,1.6617
2019/12/01 09:30:00,1.6498
2019/12/01 09:35:00,1.6216
2019/12/01 09:40:00,1.5764
2019/12/01 09:45:00,1.5151
2019/12/01 09:50:00,1.4399
2019/12/01 09:55:00,1.3539
2019/12/01 10:00:00,1.2599
2019/12/01 10:05:00,1.1605
2019/12/01 10:10:00,1.059
2019/12/01 10:15:00,0.95983
2019/12/01 10:20:00,0.86847
2019/12/01 10:25:00,0.78964
2019/12/01 10:30:00,0.72582
2019/12/01 10:35:00,0.6776
2019/12/01 10:40:00,0.64484
2019/12/01 10:45:00,0.62674
2019/12/01 10:50:00,0.62197
2019/12/01 10:55:00,0.62853
2019/12/01 11:00:00,0.64365
2019/12/01 11:05:00,0.66422
2019/12/01 11:10:00,0.68696
2019/12/01 11:15:00,0.70794
2019/12/01 11:20:00,0.72249
2019/12/01 11:25:00,0.7261
2019/12/01 11:30:00,0.71573
2019/12/01 11:35:00,0.69032
2019/12/01 11:40:00,0.6502
2019/12/01 11:45:00,0.59613
2019/12/01 11:50:00,0.52896
2019/12/01 11:55:00,0.44948
2019/12/01 12:00:00,0.35882
2019/12/01 12:05:00,0.25889
2019/12/01 12:10:00,0.15261
2019/12/01 12:15:00,0.043489
2019/12/01 12:20:00,-0.064827
2019/12/01 12:25:00,-0.1689
2019/12/01 12:30:00,-0.26548
2019/12/01 12:35:00,-0.35142
2019/12/01 12:40:00,-0.42382
2019/12/01 12:45:00,-0.48038
2019/12/01 12:50:00,-0.51981
2019/12/01 12:55:00,-0.54187
2019/12/01 13:00:00,-0.54747
2019/12/01 13:05:00,-0.53894
2019/12/01 13:10:00,-0.51991
2019/12/01 13:15:00,-0.49497
2019/12/01 13:20:00,-0.46873
2019/12/01 13:25:00,-0.44515
2019/12/01 13:30:00,-0.4273
2019/12/01 13:35:00,-0.41743
2019/12/01 13:40:00,-0.41729
2019/12/01 13:45:00,-0.42817
2019/12/01 13:50:00,-0.45092
2019/12/01 13:55:00,-0.48586
2019/12/01 14:00:00,-0.53271
2019/12/01 14:05:00,-0.59043
2019/12/01 14:10:00,-0.65714
2019/12/01 14:15:00,-0.7302
2019/12/01 14:20:00,-0.80647
2019/12/01 14:25:00,-0.88261
2019/12/01 14:30:00,-0.95527
2019/12/01 14:35:00,-1.0215
2019/12/01 14:40:00,-1.0785
2019/12/01 14:45:00,-1.1243
2019/12/01 14:50:00,-1.1569
2019/12/01 14:55:00,-1.1752
2019/12/01 15:00:00,-1.1788
2019/12/01 15:05:00,-1.1678
2019/12/01 15:10:00,-1.1435
2019/12/01 15:15:00,-1.1082
2019/12/01 15:20:00,-1.065
2019/12/01 15:25:00,-1.0174
2019/12/01 15:30:00,-0.9681
2019/12/01 15:35:00,-0.91985
2019/12/01 15:40:00,-0.87485
2019/12/01 15:45:00,-0.835
2019/12/01 15:50:00,-0.80181
2019/12/01 15:55:00,-0.77627
2019/12/01 16:00:00,-0.75881
2019/12/01 16:05:00,-0.74939
2019/12/01 16:10:00,-0.74756
2019/12/01 16:15:00,-0.75252
2019/12/01 16:20:00,-0.76311
2019/12/01 16:25:00,-0.7778
2019/12/01 16:30:00,-0.79487
2019/12/01 16:35:00,-0.81244
2019/12/01 16:40:00,-0.82854
2019/12/01 16:45:00,-0.84111
2019/12/01 16:50:00,-0.84814
2019/12/01 16:55:00,-0.84787
2019/12/01 17:00:00,-0.83897
2019/12/01 17:05:00,-0.82057
2019/12/01 17:10:00,-0.7922
2019/12/01 17:15:00,-0.75372
2019/12/01 17:20:00,-0.70541
2019/12/01 17:25:00,-0.64809
2019/12/01 17:30:00,-0.58326
2019/12/01 17:35:00,-0.51294
2019/12/01 17:40:00,-0.43943
2019/12/01 17:45:00,-0.36509
2019/12/01 17:50:00,-0.29217
2019/12/01 17:55:00,-0.22273
2019/12/01 18:00:00,-0.15868
2019/12/01 18:05:00,-0.10167
2019/12/01 18:10:00,-0.052972
2019/12/01 18:15:00,-0.013311
2019/12/01 18:20:00,0.017238
2019/12/01 18:25:00,0.039274
2019/12/01 18:30:00,0.053898
2019/12/01 18:35:00,0.062446
2019/12/01 18:40:00,0.066312
2019/12/01 18:45:00,0.066969
2019/12/01 18:50:00,0.066085
2019/12/01 18:55:00,0.065523
2019/12/01 19:00:00,0.067171
2019/12/01 19:05:00,0.072724
2019/12/01 19:10:00,0.0835
2019/12/01 19:15:00,0.10032
2019/12/01 19:20:00,0.12348
2019/12/01 19:25:00,0.15282
2019/12/01 19:30:00,0.1878
2019/12/01 19:35:00,0.22765
2019/12/01 19:40:00,0.27146
2019/12/01 19:45:00,0.3182
2019/12/01 19:50:00,0.36664
2019/12/01 19:55:00,0.41531
2019/12/01 20:00:00,0.46251
2019/12/01 20:05:00,0.50644
2019/12/01 20:10:00,0.54548
2019/12/01 20:15:00,0.57831
2019/12/01 20:20:00,0.60403
2019/12/01 20:25:00,0.62221
2019/12/01 20:30:00,0.63288
2019/12/01 20:35:00,0.63642
2019/12/01 20:40:00,0.63336
2019/12/01 20:45:00,0.62438
2019/12/01 20:50:00,0.61041
2019/12/01 20:55:00,0.59269
2019/12/01 21:00:00,0.57269
2019/12/01 21:05:00,0.55188
2019/12/01 21:10:00,0.53158
2019/12/01 21:15:00,0.51283
2019/12/01 21:20:00,0.49638
2019/12/01 21:25:00,0.48273
2019/12/01 21:30:00,0.47218
2019/12/01 21:35:00,0.46488
2019/12/01 21:40:00,0.46087
2019/12/01 21:45:00,0.46003
2019/12/01 21:50:00,0.46196
2019/12/01 21:55:00,0.46594
2019/12/01 22:00:00,0.47101
2019/12/01 22:05:00,0.47614
2019/12/01 22:10:00,0.48037
2019/12/01 22:15:00,0.48282
2019/12/01 22:20:00,0.48264
2019/12/01 22:25:00,0.47904
2019/12/01 22:30:00,0.47135
2019/12/01 22:35:00,0.45909
2019/12/01 22:40:00,0.4419
2019/12/01 22:45:00,0.4196
2019/12/01 22:50:00,0.39224
2019/12/01 22:55:00,0.3601
2019/12/01 23:00:00,0.32371
2019/12/01 23:05:00,0.28382
2019/12/01 23:10:00,0.24126
2019/12/01 23:15:00,0.19686
2019/12/01 23:20:00,0.15148
2019/12/01 23:25:00,0.10598
2019/12/01 23:30:00,0.061232
2019/12/01 23:35:00,0.018063
2019/12/01 23:40:00,-0.022815
2019/12/01 23:45:00,-0.060886
2019/12/01 23:50:00,-0.095885
2019/12/01 23:55:00,-0.12782
2019/12/02 00:00:00,-0.15692
2019/12/02 00:05:00,-0.18359
2019/12/02 00:10:00,-0.20832
2019/12/02 00:15:00,-0.23166
2019/12/02 00:20:00,-0.25417
2019/12/02 00:25:00,-0.27638
2019/12/02 00:30:00,-0.29881
2019/12/02 00:35:00,-0.32186
2019/12/02 00:40:00,-0.34584
2019/12/02 00:45:00,-0.37091
2019/12/02 00:50:00,-0.39711
2019/12/02 00:55:00,-0.42436
2019/12/02 01:00:00,-0.45258
2019/12/02 01:05:00,-0.48161
2019/12/02 01:10:00,-0.51134
2019/12/02 01:15:00,-0.5416
2019/12/02 01:20:00,-0.57218
2019/12/02 01:25:00,-0.60274
2019/12/02 01:30:00,-0.63284
2019/12/02 01:35:00,-0.66197
2019/12/02 01:40:00,-0.68962
2019/12/02 01:45:00,-0.71533
2019/12/02 01:50:00,-0.73875
2019/12/02 01:55:00,-0.75966
2019/12/02 02:00:00,-0.77794
2019/12/02 02:05:00,-0.79356
2019/12/02 02:10:00,-0.80651
2019/12/02 02:15:00,-0.81682
2019/12/02 02:20:00,-0.82456
2019/12/02 02:25:00,-0.82984
2019/12/02 02:30:00,-0.83282
2019/12/02 02:35:00,-0.83373
2019/12/02 02:40:00,-0.83279
2019/12/02 02:45:00,-0.83027
2019/12/02 02:50:00,-0.82641
2019/12/02 02:55:00,-0.82142
2019/12/02 03:00:00,-0.81547
2019/12/02 03:05:00,-0.8087
2019/12/02 03:10:00,-0.8012
2019/12/02 03:15:00,-0.79303
2019/12/02 03:20:00,-0.78425
2019/12/02 03:25:00,-0.77487
2019/12/02 03:30:00,-0.7649
2019/12/02 03:35:00,-0.75427
2019/12/02 03:40:00,-0.74293
2019/12/02 03:45:00,-0.73072
2019/12/02 03:50:00,-0.71751
2019/12/02 03:55:00,-0.70311
2019/12/02 04:00:00,-0.68734
2019/12/02 04:05:00,-0.67004
2019/12/02 04:10:00,-0.65107
2019/12/02 04:15:00,-0.63033
2019/12/02 04:20:00,-0.60779
2019/12/02 04:25:00,-0.58344
2019/12/02 04:30:00,-0.55734
2019/12/02 04:35:00,-0.52955
2019/12/02 04:40:00,-0.50013
2019/12/02 04:45:00,-0.46917
2019/12/02 04:50:00,-0.43677
2019/12/02 04:55:00,-0.40308
2019/12/02 05:00:00,-0.36825
2019/12/02 05:05:00,-0.33248
2019/12/02 05:10:00,-0.29591
2019/12/02 05:15:00,-0.25867
2019/12/02 05:20:00,-0.22083
2019/12/02 05:25:00,-0.18244
2019/12/02 05:30:00,-0.14352
2019/12/02 05:35:00,-0.10414
2019/12/02 05:40:00,-0.064341
2019/12/02 05:45:00,-0.024209
2019/12/02 05:50:00,0.016195
2019/12/02 05:55:00,0.056821
2019/12/02 06:00:00,0.097638
2019/12/02 06:05:00,0.13863
2019/12/02 06:10:00,0.17977
2019/12/02 06:15:00,0.22101
2019/12/02 06:20:00,0.26228
2019/12/02 06:25:00,0.30345
2019/12/02 06:30:00,0.34439
2019/12/02 06:35:00,0.38499
2019/12/02 06:40:00,0.42519
2019/12/02 06:45:00,0.46496
2019/12/02 06:50:00,0.50431
2019/12/02 06:55:00,0.54323
2019/12/02 07:00:00,0.58171
2019/12/02 07:05:00,0.61969
2019/12/02 07:10:00,0.65713
2019/12/02 07:15:00,0.69398
2019/12/02 07:20:00,0.7302
2019/12/02 07:25:00,0.76574
2019/12/02 07:30:00,0.80055
2019/12/02 07:35:00,0.83456
