Time [yyyy/MM/dd HH:mm:ss],Gamla_hofnin: water level (waterlevel) at Gamla_hofnin_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,2.1339E-90
2020/02/01 00:10:00,5.5315E-43
2020/02/01 00:15:00,9.4267E-24
2020/02/01 00:20:00,2.7584E-16
2020/02/01 00:25:00,1.5654E-14
2020/02/01 00:30:00,4.3734E-13
2020/02/01 00:35:00,8.0105E-12
2020/02/01 00:40:00,1.0811E-10
2020/02/01 00:45:00,1.1455E-09
2020/02/01 00:50:00,9.9172E-09
2020/02/01 00:55:00,7.2082E-08
2020/02/01 01:00:00,4.4858E-07
2020/02/01 01:05:00,2.4255E-06
2020/02/01 01:10:00,1.1526E-05
2020/02/01 01:15:00,4.8564E-05
2020/02/01 01:20:00,0.00018275
2020/02/01 01:25:00,0.00061772
2020/02/01 01:30:00,0.0018845
2020/02/01 01:35:00,0.005209
2020/02/01 01:40:00,0.013088
2020/02/01 01:45:00,0.029968
2020/02/01 01:50:00,0.06267
2020/02/01 01:55:00,0.11989
2020/02/01 02:00:00,0.21007
2020/02/01 02:05:00,0.33753
2020/02/01 02:10:00,0.49801
2020/02/01 02:15:00,0.67636
2020/02/01 02:20:00,0.84916
2020/02/01 02:25:00,0.99213
2020/02/01 02:30:00,1.0884
2020/02/01 02:35:00,1.1323
2020/02/01 02:40:00,1.1252
2020/02/01 02:45:00,1.0688
2020/02/01 02:50:00,0.96145
2020/02/01 02:55:00,0.79972
2020/02/01 03:00:00,0.58522
2020/02/01 03:05:00,0.32676
2020/02/01 03:10:00,0.038549
2020/02/01 03:15:00,-0.25758
2020/02/01 03:20:00,-0.5336
2020/02/01 03:25:00,-0.77253
2020/02/01 03:30:00,-0.98314
2020/02/01 03:35:00,-1.1879
2020/02/01 03:40:00,-1.3959
2020/02/01 03:45:00,-1.5956
2020/02/01 03:50:00,-1.7731
2020/02/01 03:55:00,-1.9288
2020/02/01 04:00:00,-2.0721
2020/02/01 04:05:00,-2.2065
2020/02/01 04:10:00,-2.3226
2020/02/01 04:15:00,-2.4038
2020/02/01 04:20:00,-2.4359
2020/02/01 04:25:00,-2.4127
2020/02/01 04:30:00,-2.3351
2020/02/01 04:35:00,-2.2081
2020/02/01 04:40:00,-2.0346
2020/02/01 04:45:00,-1.818
2020/02/01 04:50:00,-1.5695
2020/02/01 04:55:00,-1.3094
2020/02/01 05:00:00,-1.0592
2020/02/01 05:05:00,-0.83141
2020/02/01 05:10:00,-0.63053
2020/02/01 05:15:00,-0.46079
2020/02/01 05:20:00,-0.32841
2020/02/01 05:25:00,-0.23692
2020/02/01 05:30:00,-0.18339
2020/02/01 05:35:00,-0.16018
2020/02/01 05:40:00,-0.1612
2020/02/01 05:45:00,-0.18369
2020/02/01 05:50:00,-0.21995
2020/02/01 05:55:00,-0.25213
2020/02/01 06:00:00,-0.26341
2020/02/01 06:05:00,-0.25164
2020/02/01 06:10:00,-0.22698
2020/02/01 06:15:00,-0.19936
2020/02/01 06:20:00,-0.17109
2020/02/01 06:25:00,-0.13861
2020/02/01 06:30:00,-0.098621
2020/02/01 06:35:00,-0.054155
2020/02/01 06:40:00,-0.015862
2020/02/01 06:45:00,0.0050141
2020/02/01 06:50:00,0.0074798
2020/02/01 06:55:00,0.0042929
2020/02/01 07:00:00,0.012118
2020/02/01 07:05:00,0.038383
2020/02/01 07:10:00,0.078712
2020/02/01 07:15:00,0.1243
2020/02/01 07:20:00,0.16881
2020/02/01 07:25:00,0.20944
2020/02/01 07:30:00,0.2453
2020/02/01 07:35:00,0.27604
2020/02/01 07:40:00,0.30068
2020/02/01 07:45:00,0.31624
2020/02/01 07:50:00,0.31729
2020/02/01 07:55:00,0.2976
2020/02/01 08:00:00,0.25326
2020/02/01 08:05:00,0.18508
2020/02/01 08:10:00,0.098759
2020/02/01 08:15:00,0.0020382
2020/02/01 08:20:00,-0.099214
2020/02/01 08:25:00,-0.2017
2020/02/01 08:30:00,-0.29964
2020/02/01 08:35:00,-0.38057
2020/02/01 08:40:00,-0.43009
2020/02/01 08:45:00,-0.44118
2020/02/01 08:50:00,-0.41603
2020/02/01 08:55:00,-0.35914
2020/02/01 09:00:00,-0.27258
2020/02/01 09:05:00,-0.15794
2020/02/01 09:10:00,-0.019908
2020/02/01 09:15:00,0.13383
2020/02/01 09:20:00,0.29497
2020/02/01 09:25:00,0.45653
2020/02/01 09:30:00,0.61458
2020/02/01 09:35:00,0.76747
2020/02/01 09:40:00,0.91138
2020/02/01 09:45:00,1.0407
2020/02/01 09:50:00,1.1545
2020/02/01 09:55:00,1.2559
2020/02/01 10:00:00,1.3444
2020/02/01 10:05:00,1.4169
