Time [yyyy/MM/dd HH:mm:ss],Hofn: water level (waterlevel) at Hofn_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,2.6141E-52
2020/02/01 00:10:00,6.8581E-24
2020/02/01 00:15:00,9.8153E-13
2020/02/01 00:20:00,1.3034E-08
2020/02/01 00:25:00,3.453E-07
2020/02/01 00:30:00,4.461E-06
2020/02/01 00:35:00,3.7177E-05
2020/02/01 00:40:00,0.00022352
2020/02/01 00:45:00,0.0010285
2020/02/01 00:50:00,0.003753
2020/02/01 00:55:00,0.011107
2020/02/01 01:00:00,0.027056
2020/02/01 01:05:00,0.054761
2020/02/01 01:10:00,0.092685
2020/02/01 01:15:00,0.1319
2020/02/01 01:20:00,0.15908
2020/02/01 01:25:00,0.16537
2020/02/01 01:30:00,0.15326
2020/02/01 01:35:00,0.13241
2020/02/01 01:40:00,0.10748
2020/02/01 01:45:00,0.071857
2020/02/01 01:50:00,0.015066
2020/02/01 01:55:00,-0.069544
2020/02/01 02:00:00,-0.17242
2020/02/01 02:05:00,-0.27503
2020/02/01 02:10:00,-0.36447
2020/02/01 02:15:00,-0.43672
2020/02/01 02:20:00,-0.49206
2020/02/01 02:25:00,-0.53232
2020/02/01 02:30:00,-0.55933
2020/02/01 02:35:00,-0.57197
2020/02/01 02:40:00,-0.56533
2020/02/01 02:45:00,-0.53408
2020/02/01 02:50:00,-0.4775
2020/02/01 02:55:00,-0.40167
2020/02/01 03:00:00,-0.3182
2020/02/01 03:05:00,-0.24202
2020/02/01 03:10:00,-0.17626
2020/02/01 03:15:00,-0.12057
2020/02/01 03:20:00,-0.0835
2020/02/01 03:25:00,-0.067717
2020/02/01 03:30:00,-0.066764
2020/02/01 03:35:00,-0.076325
2020/02/01 03:40:00,-0.095152
2020/02/01 03:45:00,-0.12049
2020/02/01 03:50:00,-0.14897
2020/02/01 03:55:00,-0.17728
2020/02/01 04:00:00,-0.20137
2020/02/01 04:05:00,-0.22227
2020/02/01 04:10:00,-0.23982
2020/02/01 04:15:00,-0.24645
2020/02/01 04:20:00,-0.23776
2020/02/01 04:25:00,-0.21679
2020/02/01 04:30:00,-0.18722
2020/02/01 04:35:00,-0.1528
2020/02/01 04:40:00,-0.12078
2020/02/01 04:45:00,-0.096111
2020/02/01 04:50:00,-0.079132
2020/02/01 04:55:00,-0.071935
2020/02/01 05:00:00,-0.075994
2020/02/01 05:05:00,-0.087507
2020/02/01 05:10:00,-0.10109
2020/02/01 05:15:00,-0.11349
2020/02/01 05:20:00,-0.12238
2020/02/01 05:25:00,-0.12541
2020/02/01 05:30:00,-0.12188
2020/02/01 05:35:00,-0.11084
2020/02/01 05:40:00,-0.088478
2020/02/01 05:45:00,-0.052273
2020/02/01 05:50:00,-0.004465
2020/02/01 05:55:00,0.050099
2020/02/01 06:00:00,0.11064
2020/02/01 06:05:00,0.17581
2020/02/01 06:10:00,0.24
2020/02/01 06:15:00,0.29755
2020/02/01 06:20:00,0.34583
2020/02/01 06:25:00,0.38395
2020/02/01 06:30:00,0.41147
2020/02/01 06:35:00,0.42852
2020/02/01 06:40:00,0.43656
2020/02/01 06:45:00,0.43821
2020/02/01 06:50:00,0.43628
2020/02/01 06:55:00,0.43265
2020/02/01 07:00:00,0.42804
2020/02/01 07:05:00,0.42093
2020/02/01 07:10:00,0.41367
2020/02/01 07:15:00,0.40953
2020/02/01 07:20:00,0.40861
2020/02/01 07:25:00,0.40958
2020/02/01 07:30:00,0.41181
2020/02/01 07:35:00,0.41476
2020/02/01 07:40:00,0.41884
2020/02/01 07:45:00,0.42429
2020/02/01 07:50:00,0.43097
2020/02/01 07:55:00,0.43875
2020/02/01 08:00:00,0.44776
2020/02/01 08:05:00,0.45796
2020/02/01 08:10:00,0.46904
2020/02/01 08:15:00,0.48126
2020/02/01 08:20:00,0.49576
2020/02/01 08:25:00,0.51383
2020/02/01 08:30:00,0.53621
2020/02/01 08:35:00,0.5632
2020/02/01 08:40:00,0.59471
2020/02/01 08:45:00,0.63006
2020/02/01 08:50:00,0.6677
2020/02/01 08:55:00,0.70528
2020/02/01 09:00:00,0.74014
2020/02/01 09:05:00,0.76975
2020/02/01 09:10:00,0.79185
2020/02/01 09:15:00,0.80441
2020/02/01 09:20:00,0.80581
2020/02/01 09:25:00,0.795
2020/02/01 09:30:00,0.77183
2020/02/01 09:35:00,0.73624
2020/02/01 09:40:00,0.68914
2020/02/01 09:45:00,0.63378
2020/02/01 09:50:00,0.57481
2020/02/01 09:55:00,0.51676
2020/02/01 10:00:00,0.46338
2020/02/01 10:05:00,0.41767
2020/02/01 10:10:00,0.38191
2020/02/01 10:15:00,0.35737
2020/02/01 10:20:00,0.34417
2020/02/01 10:25:00,0.34135
2020/02/01 10:30:00,0.34721
2020/02/01 10:35:00,0.35975
2020/02/01 10:40:00,0.37707
2020/02/01 10:45:00,0.39889
2020/02/01 10:50:00,0.42251
2020/02/01 10:55:00,0.44273
2020/02/01 11:00:00,0.45604
2020/02/01 11:05:00,0.46154
2020/02/01 11:10:00,0.45899
2020/02/01 11:15:00,0.4486
2020/02/01 11:20:00,0.43107
2020/02/01 11:25:00,0.40595
2020/02/01 11:30:00,0.37317
2020/02/01 11:35:00,0.33464
2020/02/01 11:40:00,0.2934
2020/02/01 11:45:00,0.2516
2020/02/01 11:50:00,0.20981
2020/02/01 11:55:00,0.16828
2020/02/01 12:00:00,0.12787
2020/02/01 12:05:00,0.089498
2020/02/01 12:10:00,0.053506
2020/02/01 12:15:00,0.019957
2020/02/01 12:20:00,-0.011226
2020/02/01 12:25:00,-0.040321
2020/02/01 12:30:00,-0.067578
2020/02/01 12:35:00,-0.093173
2020/02/01 12:40:00,-0.11744
2020/02/01 12:45:00,-0.14072
2020/02/01 12:50:00,-0.16305
2020/02/01 12:55:00,-0.18417
2020/02/01 13:00:00,-0.20383
2020/02/01 13:05:00,-0.22177
2020/02/01 13:10:00,-0.23775
2020/02/01 13:15:00,-0.25166
2020/02/01 13:20:00,-0.26357
2020/02/01 13:25:00,-0.27378
2020/02/01 13:30:00,-0.28282
2020/02/01 13:35:00,-0.29151
2020/02/01 13:40:00,-0.30096
2020/02/01 13:45:00,-0.31236
2020/02/01 13:50:00,-0.32683
2020/02/01 13:55:00,-0.34518
2020/02/01 14:00:00,-0.3677
2020/02/01 14:05:00,-0.39414
2020/02/01 14:10:00,-0.4238
2020/02/01 14:15:00,-0.45559
2020/02/01 14:20:00,-0.48814
2020/02/01 14:25:00,-0.51989
2020/02/01 14:30:00,-0.54931
2020/02/01 14:35:00,-0.575
2020/02/01 14:40:00,-0.59594
2020/02/01 14:45:00,-0.61152
2020/02/01 14:50:00,-0.62155
2020/02/01 14:55:00,-0.62623
2020/02/01 15:00:00,-0.62617
2020/02/01 15:05:00,-0.62224
2020/02/01 15:10:00,-0.6155
2020/02/01 15:15:00,-0.60709
2020/02/01 15:20:00,-0.59822
2020/02/01 15:25:00,-0.5901
2020/02/01 15:30:00,-0.58367
2020/02/01 15:35:00,-0.57952
2020/02/01 15:40:00,-0.57803
2020/02/01 15:45:00,-0.57905
2020/02/01 15:50:00,-0.58241
2020/02/01 15:55:00,-0.58787
2020/02/01 16:00:00,-0.59483
2020/02/01 16:05:00,-0.60232
2020/02/01 16:10:00,-0.60929
2020/02/01 16:15:00,-0.61472
2020/02/01 16:20:00,-0.61766
2020/02/01 16:25:00,-0.61751
2020/02/01 16:30:00,-0.61388
2020/02/01 16:35:00,-0.6065
2020/02/01 16:40:00,-0.59543
2020/02/01 16:45:00,-0.58119
2020/02/01 16:50:00,-0.56458
2020/02/01 16:55:00,-0.54657
2020/02/01 17:00:00,-0.52769
2020/02/01 17:05:00,-0.50818
2020/02/01 17:10:00,-0.48851
2020/02/01 17:15:00,-0.46949
2020/02/01 17:20:00,-0.45153
2020/02/01 17:25:00,-0.43444
2020/02/01 17:30:00,-0.41774
2020/02/01 17:35:00,-0.40092
2020/02/01 17:40:00,-0.3835
2020/02/01 17:45:00,-0.36506
2020/02/01 17:50:00,-0.34534
2020/02/01 17:55:00,-0.3242
2020/02/01 18:00:00,-0.30163
2020/02/01 18:05:00,-0.27775
2020/02/01 18:10:00,-0.2529
2020/02/01 18:15:00,-0.22749
2020/02/01 18:20:00,-0.20201
2020/02/01 18:25:00,-0.17704
2020/02/01 18:30:00,-0.15308
2020/02/01 18:35:00,-0.13046
2020/02/01 18:40:00,-0.10938
2020/02/01 18:45:00,-0.08991
2020/02/01 18:50:00,-0.07194
