Time [yyyy/MM/dd HH:mm:ss],Landeyjarhofn: water level (waterlevel) at Landeyjarhofn_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,1.5848E-29
2020/02/01 00:10:00,1.8308E-13
2020/02/01 00:15:00,3.8915E-07
2020/02/01 00:20:00,9.6953E-05
2020/02/01 00:25:00,0.001153
2020/02/01 00:30:00,0.0068147
2020/02/01 00:35:00,0.025704
2020/02/01 00:40:00,0.068328
2020/02/01 00:45:00,0.13482
2020/02/01 00:50:00,0.20421
2020/02/01 00:55:00,0.24524
2020/02/01 01:00:00,0.24443
2020/02/01 01:05:00,0.2149
2020/02/01 01:10:00,0.17205
2020/02/01 01:15:00,0.11486
2020/02/01 01:20:00,0.041449
2020/02/01 01:25:00,-0.032692
2020/02/01 01:30:00,-0.087874
2020/02/01 01:35:00,-0.12293
2020/02/01 01:40:00,-0.15191
2020/02/01 01:45:00,-0.18257
2020/02/01 01:50:00,-0.2087
2020/02/01 01:55:00,-0.22316
2020/02/01 02:00:00,-0.22955
2020/02/01 02:05:00,-0.23949
2020/02/01 02:10:00,-0.26409
2020/02/01 02:15:00,-0.30937
2020/02/01 02:20:00,-0.37467
2020/02/01 02:25:00,-0.452
2020/02/01 02:30:00,-0.52783
2020/02/01 02:35:00,-0.58793
2020/02/01 02:40:00,-0.623
2020/02/01 02:45:00,-0.63195
2020/02/01 02:50:00,-0.62045
2020/02/01 02:55:00,-0.59613
2020/02/01 03:00:00,-0.56423
2020/02/01 03:05:00,-0.52723
2020/02/01 03:10:00,-0.4876
2020/02/01 03:15:00,-0.44979
2020/02/01 03:20:00,-0.41976
2020/02/01 03:25:00,-0.40215
2020/02/01 03:30:00,-0.39749
2020/02/01 03:35:00,-0.40297
2020/02/01 03:40:00,-0.41675
2020/02/01 03:45:00,-0.43988
2020/02/01 03:50:00,-0.47299
2020/02/01 03:55:00,-0.51244
2020/02/01 04:00:00,-0.55117
2020/02/01 04:05:00,-0.58315
2020/02/01 04:10:00,-0.60658
2020/02/01 04:15:00,-0.62284
2020/02/01 04:20:00,-0.63316
2020/02/01 04:25:00,-0.63724
2020/02/01 04:30:00,-0.63489
2020/02/01 04:35:00,-0.62758
2020/02/01 04:40:00,-0.61817
2020/02/01 04:45:00,-0.60822
2020/02/01 04:50:00,-0.59661
2020/02/01 04:55:00,-0.58074
2020/02/01 05:00:00,-0.55869
2020/02/01 05:05:00,-0.53021
2020/02/01 05:10:00,-0.49645
2020/02/01 05:15:00,-0.45897
2020/02/01 05:20:00,-0.41878
2020/02/01 05:25:00,-0.37641
2020/02/01 05:30:00,-0.33275
2020/02/01 05:35:00,-0.28951
2020/02/01 05:40:00,-0.24906
2020/02/01 05:45:00,-0.21406
2020/02/01 05:50:00,-0.1869
2020/02/01 05:55:00,-0.16898
2020/02/01 06:00:00,-0.16016
2020/02/01 06:05:00,-0.15899
2020/02/01 06:10:00,-0.16316
2020/02/01 06:15:00,-0.1697
2020/02/01 06:20:00,-0.17516
2020/02/01 06:25:00,-0.17624
2020/02/01 06:30:00,-0.17076
2020/02/01 06:35:00,-0.15828
2020/02/01 06:40:00,-0.13963
2020/02/01 06:45:00,-0.11579
2020/02/01 06:50:00,-0.087014
2020/02/01 06:55:00,-0.053046
2020/02/01 07:00:00,-0.013784
2020/02/01 07:05:00,0.030014
2020/02/01 07:10:00,0.076514
2020/02/01 07:15:00,0.12321
2020/02/01 07:20:00,0.16779
2020/02/01 07:25:00,0.20881
2020/02/01 07:30:00,0.24578
2020/02/01 07:35:00,0.2788
2020/02/01 07:40:00,0.30833
2020/02/01 07:45:00,0.33518
2020/02/01 07:50:00,0.36017
2020/02/01 07:55:00,0.38378
2020/02/01 08:00:00,0.40621
2020/02/01 08:05:00,0.42765
2020/02/01 08:10:00,0.44825
2020/02/01 08:15:00,0.46773
2020/02/01 08:20:00,0.48549
2020/02/01 08:25:00,0.50129
2020/02/01 08:30:00,0.5155
2020/02/01 08:35:00,0.52877
2020/02/01 08:40:00,0.54147
2020/02/01 08:45:00,0.55381
2020/02/01 08:50:00,0.56616
2020/02/01 08:55:00,0.57921
2020/02/01 09:00:00,0.59373
2020/02/01 09:05:00,0.61021
2020/02/01 09:10:00,0.62876
2020/02/01 09:15:00,0.64908
2020/02/01 09:20:00,0.67065
2020/02/01 09:25:00,0.6927
2020/02/01 09:30:00,0.71442
2020/02/01 09:35:00,0.73506
2020/02/01 09:40:00,0.75401
2020/02/01 09:45:00,0.77071
2020/02/01 09:50:00,0.78467
2020/02/01 09:55:00,0.79542
2020/02/01 10:00:00,0.8026
2020/02/01 10:05:00,0.80589
2020/02/01 10:10:00,0.80518
2020/02/01 10:15:00,0.80072
2020/02/01 10:20:00,0.79308
2020/02/01 10:25:00,0.78297
2020/02/01 10:30:00,0.77108
2020/02/01 10:35:00,0.75811
2020/02/01 10:40:00,0.7447
2020/02/01 10:45:00,0.7313
2020/02/01 10:50:00,0.71809
2020/02/01 10:55:00,0.705
2020/02/01 11:00:00,0.6919
2020/02/01 11:05:00,0.67872
2020/02/01 11:10:00,0.66549
2020/02/01 11:15:00,0.65235
2020/02/01 11:20:00,0.63945
2020/02/01 11:25:00,0.62689
2020/02/01 11:30:00,0.61467
2020/02/01 11:35:00,0.60269
2020/02/01 11:40:00,0.59072
2020/02/01 11:45:00,0.57849
2020/02/01 11:50:00,0.56572
2020/02/01 11:55:00,0.55224
2020/02/01 12:00:00,0.53784
2020/02/01 12:05:00,0.5222
2020/02/01 12:10:00,0.50483
2020/02/01 12:15:00,0.48514
2020/02/01 12:20:00,0.4626
2020/02/01 12:25:00,0.43679
2020/02/01 12:30:00,0.40754
2020/02/01 12:35:00,0.37495
2020/02/01 12:40:00,0.33947
2020/02/01 12:45:00,0.30183
