Time [yyyy/MM/dd HH:mm:ss],Torlakshofn: water level (waterlevel) at Torlakshofn_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,3.3235E-47
2020/02/01 00:10:00,6.4289E-24
2020/02/01 00:15:00,4.2818E-13
2020/02/01 00:20:00,7.9977E-09
2020/02/01 00:25:00,2.2664E-07
2020/02/01 00:30:00,3.1495E-06
2020/02/01 00:35:00,2.8429E-05
2020/02/01 00:40:00,0.00018661
2020/02/01 00:45:00,0.00094617
2020/02/01 00:50:00,0.0038442
2020/02/01 00:55:00,0.012818
2020/02/01 01:00:00,0.035647
2020/02/01 01:05:00,0.083589
2020/02/01 01:10:00,0.1665
2020/02/01 01:15:00,0.28287
2020/02/01 01:20:00,0.41057
2020/02/01 01:25:00,0.50972
2020/02/01 01:30:00,0.54327
2020/02/01 01:35:00,0.50281
2020/02/01 01:40:00,0.41991
2020/02/01 01:45:00,0.33237
2020/02/01 01:50:00,0.24629
2020/02/01 01:55:00,0.1387
2020/02/01 02:00:00,-0.013581
2020/02/01 02:05:00,-0.21008
2020/02/01 02:10:00,-0.42804
2020/02/01 02:15:00,-0.63829
2020/02/01 02:20:00,-0.81445
2020/02/01 02:25:00,-0.93377
2020/02/01 02:30:00,-0.98041
2020/02/01 02:35:00,-0.95349
2020/02/01 02:40:00,-0.87353
2020/02/01 02:45:00,-0.78315
2020/02/01 02:50:00,-0.72004
2020/02/01 02:55:00,-0.70072
2020/02/01 03:00:00,-0.71483
2020/02/01 03:05:00,-0.73069
2020/02/01 03:10:00,-0.71413
2020/02/01 03:15:00,-0.64633
2020/02/01 03:20:00,-0.53556
2020/02/01 03:25:00,-0.41064
2020/02/01 03:30:00,-0.30509
2020/02/01 03:35:00,-0.24241
2020/02/01 03:40:00,-0.22445
2020/02/01 03:45:00,-0.23383
2020/02/01 03:50:00,-0.25126
2020/02/01 03:55:00,-0.26962
2020/02/01 04:00:00,-0.2981
2020/02/01 04:05:00,-0.35482
2020/02/01 04:10:00,-0.45282
2020/02/01 04:15:00,-0.5889
2020/02/01 04:20:00,-0.74414
2020/02/01 04:25:00,-0.8936
2020/02/01 04:30:00,-1.0153
2020/02/01 04:35:00,-1.0944
2020/02/01 04:40:00,-1.1258
2020/02/01 04:45:00,-1.1124
2020/02/01 04:50:00,-1.0626
2020/02/01 04:55:00,-0.98938
2020/02/01 05:00:00,-0.90314
2020/02/01 05:05:00,-0.80894
2020/02/01 05:10:00,-0.70742
2020/02/01 05:15:00,-0.59798
2020/02/01 05:20:00,-0.48281
2020/02/01 05:25:00,-0.36932
2020/02/01 05:30:00,-0.26798
2020/02/01 05:35:00,-0.18719
2020/02/01 05:40:00,-0.12934
2020/02/01 05:45:00,-0.090935
2020/02/01 05:50:00,-0.066367
2020/02/01 05:55:00,-0.051548
2020/02/01 06:00:00,-0.045377
2020/02/01 06:05:00,-0.048833
2020/02/01 06:10:00,-0.063112
2020/02/01 06:15:00,-0.088095
2020/02/01 06:20:00,-0.12154
2020/02/01 06:25:00,-0.15942
2020/02/01 06:30:00,-0.19703
2020/02/01 06:35:00,-0.23042
2020/02/01 06:40:00,-0.25705
2020/02/01 06:45:00,-0.27537
2020/02/01 06:50:00,-0.28372
2020/02/01 06:55:00,-0.27965
2020/02/01 07:00:00,-0.26077
2020/02/01 07:05:00,-0.22565
2020/02/01 07:10:00,-0.17435
2020/02/01 07:15:00,-0.10842
2020/02/01 07:20:00,-0.030704
2020/02/01 07:25:00,0.054939
2020/02/01 07:30:00,0.14399
2020/02/01 07:35:00,0.23174
2020/02/01 07:40:00,0.31397
2020/02/01 07:45:00,0.38748
2020/02/01 07:50:00,0.45018
2020/02/01 07:55:00,0.50076
2020/02/01 08:00:00,0.53867
2020/02/01 08:05:00,0.56384
2020/02/01 08:10:00,0.57688
2020/02/01 08:15:00,0.57925
2020/02/01 08:20:00,0.5732
2020/02/01 08:25:00,0.56148
2020/02/01 08:30:00,0.54683
2020/02/01 08:35:00,0.53166
2020/02/01 08:40:00,0.51812
2020/02/01 08:45:00,0.50843
2020/02/01 08:50:00,0.5048
2020/02/01 08:55:00,0.5091
2020/02/01 09:00:00,0.52226
2020/02/01 09:05:00,0.54405
2020/02/01 09:10:00,0.57343
2020/02/01 09:15:00,0.60901
2020/02/01 09:20:00,0.64939
2020/02/01 09:25:00,0.69325
2020/02/01 09:30:00,0.73917
2020/02/01 09:35:00,0.7856
2020/02/01 09:40:00,0.83103
2020/02/01 09:45:00,0.87407
2020/02/01 09:50:00,0.91353
2020/02/01 09:55:00,0.94813
2020/02/01 10:00:00,0.97639
2020/02/01 10:05:00,0.99671
2020/02/01 10:10:00,1.0079
2020/02/01 10:15:00,1.0095
2020/02/01 10:20:00,1.0024
2020/02/01 10:25:00,0.98797
2020/02/01 10:30:00,0.96772
2020/02/01 10:35:00,0.94295
2020/02/01 10:40:00,0.91452
2020/02/01 10:45:00,0.88314
2020/02/01 10:50:00,0.84975
2020/02/01 10:55:00,0.81573
2020/02/01 11:00:00,0.78273
2020/02/01 11:05:00,0.75236
2020/02/01 11:10:00,0.72588
