Time [yyyy/MM/dd HH:mm:ss],Husavik: water level (waterlevel) at Husavik_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,-1.7553E-35
2020/02/01 00:10:00,-3.2346E-17
2020/02/01 00:15:00,-5.8153E-10
2020/02/01 00:20:00,-4.2302E-07
2020/02/01 00:25:00,-6.8458E-06
2020/02/01 00:30:00,-5.5243E-05
2020/02/01 00:35:00,-0.00029
2020/02/01 00:40:00,-0.0011024
2020/02/01 00:45:00,-0.0032143
2020/02/01 00:50:00,-0.0074517
2020/02/01 00:55:00,-0.014079
2020/02/01 01:00:00,-0.022081
2020/02/01 01:05:00,-0.029129
2020/02/01 01:10:00,-0.032502
2020/02/01 01:15:00,-0.030198
2020/02/01 01:20:00,-0.021339
2020/02/01 01:25:00,-0.0058582
2020/02/01 01:30:00,0.015883
2020/02/01 01:35:00,0.043206
2020/02/01 01:40:00,0.075069
2020/02/01 01:45:00,0.10989
2020/02/01 01:50:00,0.14541
2020/02/01 01:55:00,0.17921
2020/02/01 02:00:00,0.2095
2020/02/01 02:05:00,0.23552
2020/02/01 02:10:00,0.25722
2020/02/01 02:15:00,0.27488
2020/02/01 02:20:00,0.28894
2020/02/01 02:25:00,0.29989
2020/02/01 02:30:00,0.30805
2020/02/01 02:35:00,0.31352
2020/02/01 02:40:00,0.31635
2020/02/01 02:45:00,0.31663
2020/02/01 02:50:00,0.3144
2020/02/01 02:55:00,0.3096
2020/02/01 03:00:00,0.3023
2020/02/01 03:05:00,0.29284
2020/02/01 03:10:00,0.28174
2020/02/01 03:15:00,0.26973
2020/02/01 03:20:00,0.25765
2020/02/01 03:25:00,0.24625
2020/02/01 03:30:00,0.23602
2020/02/01 03:35:00,0.22714
2020/02/01 03:40:00,0.21975
2020/02/01 03:45:00,0.21398
2020/02/01 03:50:00,0.20999
2020/02/01 03:55:00,0.20782
2020/02/01 04:00:00,0.20738
2020/02/01 04:05:00,0.20848
2020/02/01 04:10:00,0.21088
2020/02/01 04:15:00,0.21433
2020/02/01 04:20:00,0.21847
2020/02/01 04:25:00,0.22282
2020/02/01 04:30:00,0.22682
2020/02/01 04:35:00,0.22983
2020/02/01 04:40:00,0.23128
2020/02/01 04:45:00,0.23065
2020/02/01 04:50:00,0.22751
2020/02/01 04:55:00,0.22149
2020/02/01 05:00:00,0.2124
2020/02/01 05:05:00,0.20027
2020/02/01 05:10:00,0.18543
2020/02/01 05:15:00,0.16847
2020/02/01 05:20:00,0.14999
2020/02/01 05:25:00,0.13048
2020/02/01 05:30:00,0.11034
2020/02/01 05:35:00,0.089925
2020/02/01 05:40:00,0.069686
2020/02/01 05:45:00,0.050147
2020/02/01 05:50:00,0.031834
2020/02/01 05:55:00,0.015151
2020/02/01 06:00:00,0.0003001
2020/02/01 06:05:00,-0.012712
2020/02/01 06:10:00,-0.024017
2020/02/01 06:15:00,-0.03384
2020/02/01 06:20:00,-0.042483
2020/02/01 06:25:00,-0.050313
2020/02/01 06:30:00,-0.05771
2020/02/01 06:35:00,-0.064999
2020/02/01 06:40:00,-0.072391
2020/02/01 06:45:00,-0.079972
2020/02/01 06:50:00,-0.087722
2020/02/01 06:55:00,-0.095576
2020/02/01 07:00:00,-0.10346
2020/02/01 07:05:00,-0.11129
2020/02/01 07:10:00,-0.11902
2020/02/01 07:15:00,-0.1266
2020/02/01 07:20:00,-0.13404
2020/02/01 07:25:00,-0.14143
2020/02/01 07:30:00,-0.14899
2020/02/01 07:35:00,-0.157
2020/02/01 07:40:00,-0.16572
2020/02/01 07:45:00,-0.17535
2020/02/01 07:50:00,-0.18595
2020/02/01 07:55:00,-0.19746
2020/02/01 08:00:00,-0.20977
2020/02/01 08:05:00,-0.22275
2020/02/01 08:10:00,-0.2364
2020/02/01 08:15:00,-0.25076
2020/02/01 08:20:00,-0.2659
2020/02/01 08:25:00,-0.28178
2020/02/01 08:30:00,-0.29814
2020/02/01 08:35:00,-0.31453
2020/02/01 08:40:00,-0.33029
2020/02/01 08:45:00,-0.34474
2020/02/01 08:50:00,-0.35717
2020/02/01 08:55:00,-0.36702
2020/02/01 09:00:00,-0.37391
2020/02/01 09:05:00,-0.37767
2020/02/01 09:10:00,-0.37836
2020/02/01 09:15:00,-0.3762
2020/02/01 09:20:00,-0.37157
2020/02/01 09:25:00,-0.36492
2020/02/01 09:30:00,-0.35681
2020/02/01 09:35:00,-0.34788
2020/02/01 09:40:00,-0.33885
2020/02/01 09:45:00,-0.33044
2020/02/01 09:50:00,-0.3233
2020/02/01 09:55:00,-0.31796
2020/02/01 10:00:00,-0.31468
2020/02/01 10:05:00,-0.31344
2020/02/01 10:10:00,-0.31391
2020/02/01 10:15:00,-0.31552
2020/02/01 10:20:00,-0.31754
2020/02/01 10:25:00,-0.31919
2020/02/01 10:30:00,-0.31977
2020/02/01 10:35:00,-0.31874
