Time [yyyy/MM/dd HH:mm:ss],Olafsvik: water level (waterlevel) at Olafsvik_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,1.0843E-45
2020/02/01 00:10:00,1.1282E-23
2020/02/01 00:15:00,1.6082E-13
2020/02/01 00:20:00,2.2324E-09
2020/02/01 00:25:00,6.204E-08
2020/02/01 00:30:00,8.5044E-07
2020/02/01 00:35:00,7.6154E-06
2020/02/01 00:40:00,4.9893E-05
2020/02/01 00:45:00,0.00025421
2020/02/01 00:50:00,0.0010462
2020/02/01 00:55:00,0.0035674
2020/02/01 01:00:00,0.010267
2020/02/01 01:05:00,0.025287
2020/02/01 01:10:00,0.053904
2020/02/01 01:15:00,0.10044
2020/02/01 01:20:00,0.16515
2020/02/01 01:25:00,0.24225
2020/02/01 01:30:00,0.32117
2020/02/01 01:35:00,0.39113
2020/02/01 01:40:00,0.44579
2020/02/01 01:45:00,0.48476
2020/02/01 01:50:00,0.51171
2020/02/01 01:55:00,0.53122
2020/02/01 02:00:00,0.54582
2020/02/01 02:05:00,0.55328
2020/02/01 02:10:00,0.54582
2020/02/01 02:15:00,0.51379
2020/02/01 02:20:00,0.45277
2020/02/01 02:25:00,0.36832
2020/02/01 02:30:00,0.27329
2020/02/01 02:35:00,0.18114
2020/02/01 02:40:00,0.10063
2020/02/01 02:45:00,0.034357
2020/02/01 02:50:00,-0.020449
2020/02/01 02:55:00,-0.070613
2020/02/01 03:00:00,-0.12451
2020/02/01 03:05:00,-0.18768
2020/02/01 03:10:00,-0.25938
2020/02/01 03:15:00,-0.33367
2020/02/01 03:20:00,-0.40447
2020/02/01 03:25:00,-0.47002
2020/02/01 03:30:00,-0.53337
2020/02/01 03:35:00,-0.59953
2020/02/01 03:40:00,-0.67223
2020/02/01 03:45:00,-0.75216
2020/02/01 03:50:00,-0.83667
2020/02/01 03:55:00,-0.92039
2020/02/01 04:00:00,-0.99695
2020/02/01 04:05:00,-1.0615
2020/02/01 04:10:00,-1.1127
2020/02/01 04:15:00,-1.1521
2020/02/01 04:20:00,-1.1826
2020/02/01 04:25:00,-1.2069
2020/02/01 04:30:00,-1.227
2020/02/01 04:35:00,-1.2448
2020/02/01 04:40:00,-1.2616
2020/02/01 04:45:00,-1.277
2020/02/01 04:50:00,-1.2896
2020/02/01 04:55:00,-1.298
2020/02/01 05:00:00,-1.3012
2020/02/01 05:05:00,-1.2983
2020/02/01 05:10:00,-1.2882
2020/02/01 05:15:00,-1.2696
