Time [yyyy/MM/dd HH:mm:ss],Patreksfjordur: water level (waterlevel) at Patreksfjordur_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,1.5876E-47
2020/02/01 00:10:00,1.6007E-26
2020/02/01 00:15:00,2.1416E-15
2020/02/01 00:20:00,1.031E-10
2020/02/01 00:25:00,3.398E-09
2020/02/01 00:30:00,5.5328E-08
2020/02/01 00:35:00,5.9089E-07
2020/02/01 00:40:00,4.6429E-06
2020/02/01 00:45:00,2.8564E-05
2020/02/01 00:50:00,0.00014303
2020/02/01 00:55:00,0.00059864
2020/02/01 01:00:00,0.0021345
2020/02/01 01:05:00,0.006578
2020/02/01 01:10:00,0.017721
2020/02/01 01:15:00,0.042123
2020/02/01 01:20:00,0.089022
2020/02/01 01:25:00,0.16839
2020/02/01 01:30:00,0.28682
2020/02/01 01:35:00,0.44239
2020/02/01 01:40:00,0.62156
2020/02/01 01:45:00,0.80047
2020/02/01 01:50:00,0.95108
2020/02/01 01:55:00,1.0486
2020/02/01 02:00:00,1.0772
2020/02/01 02:05:00,1.0321
2020/02/01 02:10:00,0.91925
2020/02/01 02:15:00,0.75285
2020/02/01 02:20:00,0.55018
2020/02/01 02:25:00,0.3272
2020/02/01 02:30:00,0.097214
2020/02/01 02:35:00,-0.1275
2020/02/01 02:40:00,-0.33359
2020/02/01 02:45:00,-0.50639
2020/02/01 02:50:00,-0.63192
2020/02/01 02:55:00,-0.70032
2020/02/01 03:00:00,-0.70927
2020/02/01 03:05:00,-0.66603
2020/02/01 03:10:00,-0.58662
2020/02/01 03:15:00,-0.49212
2020/02/01 03:20:00,-0.40346
2020/02/01 03:25:00,-0.33683
2020/02/01 03:30:00,-0.30057
2020/02/01 03:35:00,-0.29458
2020/02/01 03:40:00,-0.31191
2020/02/01 03:45:00,-0.342
2020/02/01 03:50:00,-0.37553
2020/02/01 03:55:00,-0.40879
2020/02/01 04:00:00,-0.44414
2020/02/01 04:05:00,-0.48652
2020/02/01 04:10:00,-0.53862
2020/02/01 04:15:00,-0.59807
2020/02/01 04:20:00,-0.65774
2020/02/01 04:25:00,-0.70783
2020/02/01 04:30:00,-0.73864
2020/02/01 04:35:00,-0.74373
2020/02/01 04:40:00,-0.72284
2020/02/01 04:45:00,-0.68253
2020/02/01 04:50:00,-0.63375
2020/02/01 04:55:00,-0.5875
2020/02/01 05:00:00,-0.55134
2020/02/01 05:05:00,-0.52818
2020/02/01 05:10:00,-0.51727
2020/02/01 05:15:00,-0.51608
2020/02/01 05:20:00,-0.52228
