Time [yyyy/MM/dd HH:mm:ss],Skagastrond: water level (waterlevel) at Skagastrond_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,6.4807E-50
2020/02/01 00:10:00,1.2545E-24
2020/02/01 00:15:00,2.1974E-14
2020/02/01 00:20:00,2.089E-10
2020/02/01 00:25:00,5.4445E-09
2020/02/01 00:30:00,7.0072E-08
2020/02/01 00:35:00,5.8982E-07
2020/02/01 00:40:00,3.6398E-06
2020/02/01 00:45:00,1.7528E-05
2020/02/01 00:50:00,6.8544E-05
2020/02/01 00:55:00,0.00022392
2020/02/01 01:00:00,0.00062462
2020/02/01 01:05:00,0.0015154
2020/02/01 01:10:00,0.0032513
2020/02/01 01:15:00,0.006267
2020/02/01 01:20:00,0.011019
2020/02/01 01:25:00,0.017933
2020/02/01 01:30:00,0.027366
2020/02/01 01:35:00,0.039601
2020/02/01 01:40:00,0.05483
2020/02/01 01:45:00,0.073146
2020/02/01 01:50:00,0.094533
2020/02/01 01:55:00,0.11883
2020/02/01 02:00:00,0.14568
2020/02/01 02:05:00,0.17448
2020/02/01 02:10:00,0.20443
2020/02/01 02:15:00,0.23472
2020/02/01 02:20:00,0.26461
2020/02/01 02:25:00,0.2936
2020/02/01 02:30:00,0.32126
2020/02/01 02:35:00,0.34715
2020/02/01 02:40:00,0.37075
2020/02/01 02:45:00,0.39147
2020/02/01 02:50:00,0.40878
2020/02/01 02:55:00,0.42229
2020/02/01 03:00:00,0.4318
2020/02/01 03:05:00,0.43724
2020/02/01 03:10:00,0.43874
2020/02/01 03:15:00,0.4366
2020/02/01 03:20:00,0.43113
2020/02/01 03:25:00,0.42261
2020/02/01 03:30:00,0.41099
2020/02/01 03:35:00,0.39597
2020/02/01 03:40:00,0.37716
2020/02/01 03:45:00,0.35433
2020/02/01 03:50:00,0.32754
2020/02/01 03:55:00,0.2971
2020/02/01 04:00:00,0.26344
2020/02/01 04:05:00,0.22704
2020/02/01 04:10:00,0.1883
2020/02/01 04:15:00,0.14767
2020/02/01 04:20:00,0.1057
2020/02/01 04:25:00,0.06318
2020/02/01 04:30:00,0.021142
2020/02/01 04:35:00,-0.019264
2020/02/01 04:40:00,-0.056949
2020/02/01 04:45:00,-0.091038
2020/02/01 04:50:00,-0.12097
2020/02/01 04:55:00,-0.14653
2020/02/01 05:00:00,-0.16778
2020/02/01 05:05:00,-0.18491
2020/02/01 05:10:00,-0.19816
2020/02/01 05:15:00,-0.20766
2020/02/01 05:20:00,-0.21351
2020/02/01 05:25:00,-0.21575
2020/02/01 05:30:00,-0.21446
2020/02/01 05:35:00,-0.20984
2020/02/01 05:40:00,-0.20218
2020/02/01 05:45:00,-0.19203
2020/02/01 05:50:00,-0.17986
2020/02/01 05:55:00,-0.16617
2020/02/01 06:00:00,-0.15146
2020/02/01 06:05:00,-0.13615
2020/02/01 06:10:00,-0.12068
2020/02/01 06:15:00,-0.10564
2020/02/01 06:20:00,-0.091864
2020/02/01 06:25:00,-0.080323
2020/02/01 06:30:00,-0.071854
2020/02/01 06:35:00,-0.066938
2020/02/01 06:40:00,-0.065607
2020/02/01 06:45:00,-0.067562
2020/02/01 06:50:00,-0.072421
2020/02/01 06:55:00,-0.080013
2020/02/01 07:00:00,-0.090215
2020/02/01 07:05:00,-0.10293
2020/02/01 07:10:00,-0.11812
2020/02/01 07:15:00,-0.13559
2020/02/01 07:20:00,-0.15509
2020/02/01 07:25:00,-0.1764
2020/02/01 07:30:00,-0.19942
2020/02/01 07:35:00,-0.22422
2020/02/01 07:40:00,-0.25086
2020/02/01 07:45:00,-0.27917
2020/02/01 07:50:00,-0.30878
2020/02/01 07:55:00,-0.33917
2020/02/01 08:00:00,-0.36978
2020/02/01 08:05:00,-0.40006
2020/02/01 08:10:00,-0.42938
2020/02/01 08:15:00,-0.45702
2020/02/01 08:20:00,-0.48221
2020/02/01 08:25:00,-0.50424
2020/02/01 08:30:00,-0.52254
2020/02/01 08:35:00,-0.5367
2020/02/01 08:40:00,-0.54646
2020/02/01 08:45:00,-0.55184
2020/02/01 08:50:00,-0.55311
2020/02/01 08:55:00,-0.5508
2020/02/01 09:00:00,-0.54558
2020/02/01 09:05:00,-0.53812
2020/02/01 09:10:00,-0.52874
2020/02/01 09:15:00,-0.51793
2020/02/01 09:20:00,-0.50618
2020/02/01 09:25:00,-0.49352
2020/02/01 09:30:00,-0.48005
2020/02/01 09:35:00,-0.46583
2020/02/01 09:40:00,-0.4508
2020/02/01 09:45:00,-0.43472
2020/02/01 09:50:00,-0.41714
2020/02/01 09:55:00,-0.39756
2020/02/01 10:00:00,-0.37565
2020/02/01 10:05:00,-0.35138
2020/02/01 10:10:00,-0.3251
2020/02/01 10:15:00,-0.2974
2020/02/01 10:20:00,-0.26895
2020/02/01 10:25:00,-0.24051
2020/02/01 10:30:00,-0.21289
2020/02/01 10:35:00,-0.18701
2020/02/01 10:40:00,-0.16369
2020/02/01 10:45:00,-0.14355
2020/02/01 10:50:00,-0.12693
2020/02/01 10:55:00,-0.11385
2020/02/01 11:00:00,-0.10405
2020/02/01 11:05:00,-0.097126
2020/02/01 11:10:00,-0.092569
2020/02/01 11:15:00,-0.089883
2020/02/01 11:20:00,-0.088654
2020/02/01 11:25:00,-0.088347
2020/02/01 11:30:00,-0.088489
2020/02/01 11:35:00,-0.088825
2020/02/01 11:40:00,-0.089196
2020/02/01 11:45:00,-0.089563
2020/02/01 11:50:00,-0.089959
2020/02/01 11:55:00,-0.090531
2020/02/01 12:00:00,-0.091379
2020/02/01 12:05:00,-0.09244
2020/02/01 12:10:00,-0.093518
2020/02/01 12:15:00,-0.094292
2020/02/01 12:20:00,-0.094407
2020/02/01 12:25:00,-0.093503
2020/02/01 12:30:00,-0.09143
2020/02/01 12:35:00,-0.088163
2020/02/01 12:40:00,-0.083626
2020/02/01 12:45:00,-0.077581
2020/02/01 12:50:00,-0.069786
2020/02/01 12:55:00,-0.060086
2020/02/01 13:00:00,-0.048393
2020/02/01 13:05:00,-0.034762
2020/02/01 13:10:00,-0.019319
2020/02/01 13:15:00,-0.0021662
2020/02/01 13:20:00,0.016643
2020/02/01 13:25:00,0.03704
2020/02/01 13:30:00,0.05882
2020/02/01 13:35:00,0.081604
2020/02/01 13:40:00,0.10492
2020/02/01 13:45:00,0.12829
2020/02/01 13:50:00,0.1513
2020/02/01 13:55:00,0.17359
2020/02/01 14:00:00,0.19481
2020/02/01 14:05:00,0.21459
2020/02/01 14:10:00,0.23263
2020/02/01 14:15:00,0.2488
2020/02/01 14:20:00,0.26307
2020/02/01 14:25:00,0.27553
2020/02/01 14:30:00,0.28623
2020/02/01 14:35:00,0.29524
2020/02/01 14:40:00,0.30269
2020/02/01 14:45:00,0.30875
2020/02/01 14:50:00,0.3136
2020/02/01 14:55:00,0.31736
2020/02/01 15:00:00,0.32003
2020/02/01 15:05:00,0.32151
2020/02/01 15:10:00,0.3216
2020/02/01 15:15:00,0.32009
2020/02/01 15:20:00,0.31675
2020/02/01 15:25:00,0.31136
2020/02/01 15:30:00,0.3038
2020/02/01 15:35:00,0.29399
2020/02/01 15:40:00,0.28198
2020/02/01 15:45:00,0.26789
2020/02/01 15:50:00,0.25199
2020/02/01 15:55:00,0.23461
2020/02/01 16:00:00,0.21618
2020/02/01 16:05:00,0.19718
2020/02/01 16:10:00,0.17809
2020/02/01 16:15:00,0.15934
2020/02/01 16:20:00,0.14127
2020/02/01 16:25:00,0.12415
2020/02/01 16:30:00,0.1081
2020/02/01 16:35:00,0.093131
2020/02/01 16:40:00,0.079221
2020/02/01 16:45:00,0.066353
2020/02/01 16:50:00,0.054585
2020/02/01 16:55:00,0.044032
2020/02/01 17:00:00,0.034792
2020/02/01 17:05:00,0.02689
2020/02/01 17:10:00,0.020266
2020/02/01 17:15:00,0.014816
2020/02/01 17:20:00,0.010436
2020/02/01 17:25:00,0.007052
2020/02/01 17:30:00,0.0046265
2020/02/01 17:35:00,0.0031637
2020/02/01 17:40:00,0.0026942
2020/02/01 17:45:00,0.0032325
2020/02/01 17:50:00,0.0047207
2020/02/01 17:55:00,0.0069658
2020/02/01 18:00:00,0.0096181
2020/02/01 18:05:00,0.01221
2020/02/01 18:10:00,0.014249
2020/02/01 18:15:00,0.015317
2020/02/01 18:20:00,0.015106
2020/02/01 18:25:00,0.013415
2020/02/01 18:30:00,0.01012
2020/02/01 18:35:00,0.0051569
2020/02/01 18:40:00,-0.0014732
2020/02/01 18:45:00,-0.0096952
2020/02/01 18:50:00,-0.01938
2020/02/01 18:55:00,-0.030365
2020/02/01 19:00:00,-0.04249
2020/02/01 19:05:00,-0.055625
2020/02/01 19:10:00,-0.069651
2020/02/01 19:15:00,-0.084446
2020/02/01 19:20:00,-0.099893
2020/02/01 19:25:00,-0.11589
2020/02/01 19:30:00,-0.13237
2020/02/01 19:35:00,-0.14924
2020/02/01 19:40:00,-0.16634
2020/02/01 19:45:00,-0.18343
2020/02/01 19:50:00,-0.20022
2020/02/01 19:55:00,-0.21648
2020/02/01 20:00:00,-0.232
2020/02/01 20:05:00,-0.24667
