Time [yyyy/MM/dd HH:mm:ss],Vestmannaeyjar: water level (waterlevel) at Vestmannaeyjar_ FlowFM [m]
2020/02/01 00:00:00,0
2020/02/01 00:05:00,3.5251E-26
2020/02/01 00:10:00,8.2586E-12
2020/02/01 00:15:00,3.0678E-06
2020/02/01 00:20:00,0.00036575
2020/02/01 00:25:00,0.0033745
2020/02/01 00:30:00,0.01552
2020/02/01 00:35:00,0.04513
2020/02/01 00:40:00,0.091818
2020/02/01 00:45:00,0.14042
2020/02/01 00:50:00,0.17539
2020/02/01 00:55:00,0.19772
2020/02/01 01:00:00,0.21191
2020/02/01 01:05:00,0.2051
2020/02/01 01:10:00,0.16368
2020/02/01 01:15:00,0.10098
2020/02/01 01:20:00,0.041553
2020/02/01 01:25:00,-0.010119
2020/02/01 01:30:00,-0.06144
2020/02/01 01:35:00,-0.10891
2020/02/01 01:40:00,-0.14396
2020/02/01 01:45:00,-0.16703
2020/02/01 01:50:00,-0.18401
2020/02/01 01:55:00,-0.19909
2020/02/01 02:00:00,-0.21547
2020/02/01 02:05:00,-0.23682
2020/02/01 02:10:00,-0.26773
2020/02/01 02:15:00,-0.31331
2020/02/01 02:20:00,-0.37434
2020/02/01 02:25:00,-0.44275
2020/02/01 02:30:00,-0.50651
2020/02/01 02:35:00,-0.55782
2020/02/01 02:40:00,-0.5939
2020/02/01 02:45:00,-0.61281
2020/02/01 02:50:00,-0.61304
2020/02/01 02:55:00,-0.59631
2020/02/01 03:00:00,-0.56767
2020/02/01 03:05:00,-0.53345
2020/02/01 03:10:00,-0.49858
2020/02/01 03:15:00,-0.46642
2020/02/01 03:20:00,-0.43953
2020/02/01 03:25:00,-0.42026
2020/02/01 03:30:00,-0.41119
2020/02/01 03:35:00,-0.41396
2020/02/01 03:40:00,-0.42751
2020/02/01 03:45:00,-0.44921
2020/02/01 03:50:00,-0.47708
2020/02/01 03:55:00,-0.50956
2020/02/01 04:00:00,-0.54328
2020/02/01 04:05:00,-0.57359
2020/02/01 04:10:00,-0.59717
2020/02/01 04:15:00,-0.6136
2020/02/01 04:20:00,-0.62441
2020/02/01 04:25:00,-0.63103
2020/02/01 04:30:00,-0.63376
2020/02/01 04:35:00,-0.63226
2020/02/01 04:40:00,-0.62646
2020/02/01 04:45:00,-0.61755
2020/02/01 04:50:00,-0.60611
2020/02/01 04:55:00,-0.59117
2020/02/01 05:00:00,-0.57133
2020/02/01 05:05:00,-0.54576
2020/02/01 05:10:00,-0.51456
2020/02/01 05:15:00,-0.47872
2020/02/01 05:20:00,-0.43941
2020/02/01 05:25:00,-0.39756
2020/02/01 05:30:00,-0.35432
2020/02/01 05:35:00,-0.31156
2020/02/01 05:40:00,-0.2717
2020/02/01 05:45:00,-0.23719
2020/02/01 05:50:00,-0.20991
2020/02/01 05:55:00,-0.19071
2020/02/01 06:00:00,-0.1794
2020/02/01 06:05:00,-0.17487
2020/02/01 06:10:00,-0.17522
2020/02/01 06:15:00,-0.17795
2020/02/01 06:20:00,-0.18027
2020/02/01 06:25:00,-0.17959
2020/02/01 06:30:00,-0.17407
2020/02/01 06:35:00,-0.1629
2020/02/01 06:40:00,-0.14607
