Time [yyyy/MM/dd HH:mm:ss],Akranes: water level (waterlevel) at Akranes_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,1.0921E-80
2019/01/01 00:10:00,7.7802E-40
2019/01/01 00:15:00,5.0832E-22
2019/01/01 00:20:00,4.1331E-15
2019/01/01 00:25:00,2.1276E-13
2019/01/01 00:30:00,5.3822E-12
2019/01/01 00:35:00,8.9082E-11
2019/01/01 00:40:00,1.0838E-09
2019/01/01 00:45:00,1.0327E-08
2019/01/01 00:50:00,8.0178E-08
2019/01/01 00:55:00,5.2108E-07
2019/01/01 01:00:00,2.8904E-06
2019/01/01 01:05:00,1.3886E-05
2019/01/01 01:10:00,5.8426E-05
2019/01/01 01:15:00,0.00021724
2019/01/01 01:20:00,0.00071895
2019/01/01 01:25:00,0.0021304
2019/01/01 01:30:00,0.0056815
2019/01/01 01:35:00,0.013697
2019/01/01 01:40:00,0.029978
2019/01/01 01:45:00,0.059805
2019/01/01 01:50:00,0.10923
2019/01/01 01:55:00,0.1835
2019/01/01 02:00:00,0.28523
2019/01/01 02:05:00,0.41309
2019/01/01 02:10:00,0.56242
2019/01/01 02:15:00,0.72748
2019/01/01 02:20:00,0.90406
2019/01/01 02:25:00,1.0901
2019/01/01 02:30:00,1.2838
2019/01/01 02:35:00,1.4796
2019/01/01 02:40:00,1.6665
2019/01/01 02:45:00,1.8292
2019/01/01 02:50:00,1.954
2019/01/01 02:55:00,2.0339
2019/01/01 03:00:00,2.0719
2019/01/01 03:05:00,2.0777
2019/01/01 03:10:00,2.0618
2019/01/01 03:15:00,2.0291
2019/01/01 03:20:00,1.9772
2019/01/01 03:25:00,1.9007
2019/01/01 03:30:00,1.7955
2019/01/01 03:35:00,1.6638
2019/01/01 03:40:00,1.5116
2019/01/01 03:45:00,1.3465
2019/01/01 03:50:00,1.1743
2019/01/01 03:55:00,0.99646
2019/01/01 04:00:00,0.8125
2019/01/01 04:05:00,0.62288
2019/01/01 04:10:00,0.43063
2019/01/01 04:15:00,0.24325
2019/01/01 04:20:00,0.069907
2019/01/01 04:25:00,-0.084501
2019/01/01 04:30:00,-0.21949
2019/01/01 04:35:00,-0.33362
2019/01/01 04:40:00,-0.42249
2019/01/01 04:45:00,-0.48385
2019/01/01 04:50:00,-0.5197
2019/01/01 04:55:00,-0.53323
2019/01/01 05:00:00,-0.52669
2019/01/01 05:05:00,-0.50219
2019/01/01 05:10:00,-0.46449
2019/01/01 05:15:00,-0.42031
2019/01/01 05:20:00,-0.37678
2019/01/01 05:25:00,-0.33828
2019/01/01 05:30:00,-0.30678
2019/01/01 05:35:00,-0.28506
2019/01/01 05:40:00,-0.27665
2019/01/01 05:45:00,-0.28341
2019/01/01 05:50:00,-0.3046
2019/01/01 05:55:00,-0.3377
2019/01/01 06:00:00,-0.37926
2019/01/01 06:05:00,-0.42559
2019/01/01 06:10:00,-0.47342
2019/01/01 06:15:00,-0.51961
2019/01/01 06:20:00,-0.56138
2019/01/01 06:25:00,-0.59714
2019/01/01 06:30:00,-0.62613
2019/01/01 06:35:00,-0.64755
2019/01/01 06:40:00,-0.66097
2019/01/01 06:45:00,-0.66735
2019/01/01 06:50:00,-0.6685
2019/01/01 06:55:00,-0.66592
2019/01/01 07:00:00,-0.66034
2019/01/01 07:05:00,-0.6519
2019/01/01 07:10:00,-0.64032
2019/01/01 07:15:00,-0.6255
2019/01/01 07:20:00,-0.60833
2019/01/01 07:25:00,-0.59075
2019/01/01 07:30:00,-0.57493
2019/01/01 07:35:00,-0.56275
2019/01/01 07:40:00,-0.55605
2019/01/01 07:45:00,-0.55686
2019/01/01 07:50:00,-0.56725
2019/01/01 07:55:00,-0.58907
2019/01/01 08:00:00,-0.62396
2019/01/01 08:05:00,-0.67333
2019/01/01 08:10:00,-0.73779
2019/01/01 08:15:00,-0.81675
2019/01/01 08:20:00,-0.9096
2019/01/01 08:25:00,-1.0138
2019/01/01 08:30:00,-1.1261
2019/01/01 08:35:00,-1.2423
2019/01/01 08:40:00,-1.3568
2019/01/01 08:45:00,-1.4642
2019/01/01 08:50:00,-1.5599
2019/01/01 08:55:00,-1.6407
2019/01/01 09:00:00,-1.7042
2019/01/01 09:05:00,-1.7487
2019/01/01 09:10:00,-1.7737
2019/01/01 09:15:00,-1.7794
2019/01/01 09:20:00,-1.7673
2019/01/01 09:25:00,-1.7391
2019/01/01 09:30:00,-1.6963
2019/01/01 09:35:00,-1.6406
2019/01/01 09:40:00,-1.5744
2019/01/01 09:45:00,-1.5002
2019/01/01 09:50:00,-1.42
2019/01/01 09:55:00,-1.3358
2019/01/01 10:00:00,-1.2497
2019/01/01 10:05:00,-1.1636
2019/01/01 10:10:00,-1.0796
2019/01/01 10:15:00,-0.99995
2019/01/01 10:20:00,-0.92694
2019/01/01 10:25:00,-0.86301
2019/01/01 10:30:00,-0.80959
2019/01/01 10:35:00,-0.76617
2019/01/01 10:40:00,-0.73111
2019/01/01 10:45:00,-0.70245
2019/01/01 10:50:00,-0.67821
2019/01/01 10:55:00,-0.65721
2019/01/01 11:00:00,-0.63922
2019/01/01 11:05:00,-0.6232
2019/01/01 11:10:00,-0.60601
2019/01/01 11:15:00,-0.58406
2019/01/01 11:20:00,-0.55511
2019/01/01 11:25:00,-0.51793
2019/01/01 11:30:00,-0.47177
