Time [yyyy/MM/dd HH:mm:ss],Eyjargardur: water level (waterlevel) at Eyjargardur_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,3.698E-93
2019/01/01 00:10:00,6.0209E-44
2019/01/01 00:15:00,2.4446E-24
2019/01/01 00:20:00,9.0406E-17
2019/01/01 00:25:00,5.2073E-15
2019/01/01 00:30:00,1.4768E-13
2019/01/01 00:35:00,2.7465E-12
2019/01/01 00:40:00,3.765E-11
2019/01/01 00:45:00,4.0542E-10
2019/01/01 00:50:00,3.5691E-09
2019/01/01 00:55:00,2.6399E-08
2019/01/01 01:00:00,1.6733E-07
2019/01/01 01:05:00,9.2257E-07
2019/01/01 01:10:00,4.4761E-06
2019/01/01 01:15:00,1.9288E-05
2019/01/01 01:20:00,7.4374E-05
2019/01/01 01:25:00,0.00025822
2019/01/01 01:30:00,0.00081141
2019/01/01 01:35:00,0.0023181
2019/01/01 01:40:00,0.0060446
2019/01/01 01:45:00,0.014437
2019/01/01 01:50:00,0.031692
2019/01/01 01:55:00,0.064146
2019/01/01 02:00:00,0.1201
2019/01/01 02:05:00,0.20871
2019/01/01 02:10:00,0.33771
2019/01/01 02:15:00,0.51051
2019/01/01 02:20:00,0.72388
2019/01/01 02:25:00,0.96803
2019/01/01 02:30:00,1.2297
2019/01/01 02:35:00,1.4955
2019/01/01 02:40:00,1.7531
2019/01/01 02:45:00,1.9924
2019/01/01 02:50:00,2.2042
2019/01/01 02:55:00,2.3733
2019/01/01 03:00:00,2.4806
2019/01/01 03:05:00,2.5163
2019/01/01 03:10:00,2.4846
2019/01/01 03:15:00,2.3966
2019/01/01 03:20:00,2.2637
2019/01/01 03:25:00,2.0966
2019/01/01 03:30:00,1.9177
2019/01/01 03:35:00,1.7511
2019/01/01 03:40:00,1.5937
2019/01/01 03:45:00,1.4209
2019/01/01 03:50:00,1.23
2019/01/01 03:55:00,1.0392
2019/01/01 04:00:00,0.84647
2019/01/01 04:05:00,0.63507
2019/01/01 04:10:00,0.40864
2019/01/01 04:15:00,0.18311
2019/01/01 04:20:00,-0.037796
2019/01/01 04:25:00,-0.25243
2019/01/01 04:30:00,-0.44526
2019/01/01 04:35:00,-0.59852
2019/01/01 04:40:00,-0.70684
2019/01/01 04:45:00,-0.77277
2019/01/01 04:50:00,-0.79799
2019/01/01 04:55:00,-0.78384
2019/01/01 05:00:00,-0.73483
2019/01/01 05:05:00,-0.65851
2019/01/01 05:10:00,-0.56355
2019/01/01 05:15:00,-0.4587
2019/01/01 05:20:00,-0.35333
2019/01/01 05:25:00,-0.25868
2019/01/01 05:30:00,-0.18756
2019/01/01 05:35:00,-0.15062
2019/01/01 05:40:00,-0.14955
2019/01/01 05:45:00,-0.17589
2019/01/01 05:50:00,-0.22085
2019/01/01 05:55:00,-0.28245
2019/01/01 06:00:00,-0.3595
2019/01/01 06:05:00,-0.44412
2019/01/01 06:10:00,-0.52381
2019/01/01 06:15:00,-0.58996
2019/01/01 06:20:00,-0.64141
2019/01/01 06:25:00,-0.67859
2019/01/01 06:30:00,-0.70121
2019/01/01 06:35:00,-0.71259
2019/01/01 06:40:00,-0.71852
