Time [yyyy/MM/dd HH:mm:ss],Gamla_hofnin: water level (waterlevel) at Gamla_hofnin_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,1.3429E-90
2019/01/01 00:10:00,3.7246E-43
2019/01/01 00:15:00,5.824E-24
2019/01/01 00:20:00,1.5589E-16
2019/01/01 00:25:00,8.7979E-15
2019/01/01 00:30:00,2.4447E-13
2019/01/01 00:35:00,4.4548E-12
2019/01/01 00:40:00,5.9828E-11
2019/01/01 00:45:00,6.3109E-10
2019/01/01 00:50:00,5.4416E-09
2019/01/01 00:55:00,3.9416E-08
2019/01/01 01:00:00,2.4462E-07
2019/01/01 01:05:00,1.3203E-06
2019/01/01 01:10:00,6.2696E-06
2019/01/01 01:15:00,2.6436E-05
2019/01/01 01:20:00,9.9723E-05
2019/01/01 01:25:00,0.00033864
2019/01/01 01:30:00,0.0010406
2019/01/01 01:35:00,0.0029067
2019/01/01 01:40:00,0.00741
2019/01/01 01:45:00,0.017302
2019/01/01 01:50:00,0.037126
2019/01/01 01:55:00,0.073451
2019/01/01 02:00:00,0.13442
2019/01/01 02:05:00,0.22831
2019/01/01 02:10:00,0.36133
2019/01/01 02:15:00,0.53523
2019/01/01 02:20:00,0.74602
2019/01/01 02:25:00,0.98469
2019/01/01 02:30:00,1.2396
2019/01/01 02:35:00,1.4993
2019/01/01 02:40:00,1.7528
2019/01/01 02:45:00,1.9881
2019/01/01 02:50:00,2.1915
2019/01/01 02:55:00,2.3477
2019/01/01 03:00:00,2.4445
2019/01/01 03:05:00,2.4755
2019/01/01 03:10:00,2.4427
2019/01/01 03:15:00,2.3581
2019/01/01 03:20:00,2.2371
2019/01/01 03:25:00,2.0896
2019/01/01 03:30:00,1.9216
2019/01/01 03:35:00,1.746
2019/01/01 03:40:00,1.5782
2019/01/01 03:45:00,1.4155
2019/01/01 03:50:00,1.2355
2019/01/01 03:55:00,1.0288
2019/01/01 04:00:00,0.81461
2019/01/01 04:05:00,0.61026
2019/01/01 04:10:00,0.4045
2019/01/01 04:15:00,0.18088
2019/01/01 04:20:00,-0.050888
2019/01/01 04:25:00,-0.26404
2019/01/01 04:30:00,-0.44165
2019/01/01 04:35:00,-0.58158
2019/01/01 04:40:00,-0.68474
2019/01/01 04:45:00,-0.74968
2019/01/01 04:50:00,-0.77508
2019/01/01 04:55:00,-0.76178
2019/01/01 05:00:00,-0.71357
2019/01/01 05:05:00,-0.63874
2019/01/01 05:10:00,-0.54868
2019/01/01 05:15:00,-0.45287
2019/01/01 05:20:00,-0.35708
2019/01/01 05:25:00,-0.2679
2019/01/01 05:30:00,-0.1975
2019/01/01 05:35:00,-0.1596
2019/01/01 05:40:00,-0.15951
2019/01/01 05:45:00,-0.18973
2019/01/01 05:50:00,-0.2366
2019/01/01 05:55:00,-0.29213
2019/01/01 06:00:00,-0.35814
2019/01/01 06:05:00,-0.43701
2019/01/01 06:10:00,-0.52007
2019/01/01 06:15:00,-0.59022
2019/01/01 06:20:00,-0.63741
2019/01/01 06:25:00,-0.66676
2019/01/01 06:30:00,-0.6893
2019/01/01 06:35:00,-0.70862
2019/01/01 06:40:00,-0.72027
2019/01/01 06:45:00,-0.72137
2019/01/01 06:50:00,-0.7156
2019/01/01 06:55:00,-0.70866
2019/01/01 07:00:00,-0.70204
2019/01/01 07:05:00,-0.69292
2019/01/01 07:10:00,-0.67821
2019/01/01 07:15:00,-0.6574
2019/01/01 07:20:00,-0.63226
2019/01/01 07:25:00,-0.60466
2019/01/01 07:30:00,-0.57464
2019/01/01 07:35:00,-0.54147
2019/01/01 07:40:00,-0.50695
2019/01/01 07:45:00,-0.47702
2019/01/01 07:50:00,-0.45927
2019/01/01 07:55:00,-0.45911
2019/01/01 08:00:00,-0.47893
2019/01/01 08:05:00,-0.51989
2019/01/01 08:10:00,-0.58367
2019/01/01 08:15:00,-0.67221
2019/01/01 08:20:00,-0.78616
2019/01/01 08:25:00,-0.92321
2019/01/01 08:30:00,-1.0775
2019/01/01 08:35:00,-1.2408
2019/01/01 08:40:00,-1.4035
2019/01/01 08:45:00,-1.5567
2019/01/01 08:50:00,-1.6933
2019/01/01 08:55:00,-1.8083
2019/01/01 09:00:00,-1.898
2019/01/01 09:05:00,-1.9592
2019/01/01 09:10:00,-1.9895
2019/01/01 09:15:00,-1.9886
2019/01/01 09:20:00,-1.9597
2019/01/01 09:25:00,-1.9081
2019/01/01 09:30:00,-1.839
2019/01/01 09:35:00,-1.7562
2019/01/01 09:40:00,-1.6622
2019/01/01 09:45:00,-1.5585
2019/01/01 09:50:00,-1.4465
2019/01/01 09:55:00,-1.3289
2019/01/01 10:00:00,-1.2102
2019/01/01 10:05:00,-1.0968
2019/01/01 10:10:00,-0.99357
2019/01/01 10:15:00,-0.90178
2019/01/01 10:20:00,-0.82059
2019/01/01 10:25:00,-0.74985
2019/01/01 10:30:00,-0.69187
2019/01/01 10:35:00,-0.65036
2019/01/01 10:40:00,-0.62714
2019/01/01 10:45:00,-0.61969
2019/01/01 10:50:00,-0.62213
2019/01/01 10:55:00,-0.62877
2019/01/01 11:00:00,-0.63641
2019/01/01 11:05:00,-0.64331
2019/01/01 11:10:00,-0.64657
2019/01/01 11:15:00,-0.64124
2019/01/01 11:20:00,-0.62254
2019/01/01 11:25:00,-0.58852
2019/01/01 11:30:00,-0.53997
2019/01/01 11:35:00,-0.4781
2019/01/01 11:40:00,-0.40321
2019/01/01 11:45:00,-0.31608
2019/01/01 11:50:00,-0.21961
2019/01/01 11:55:00,-0.11794
2019/01/01 12:00:00,-0.014023
2019/01/01 12:05:00,0.091005
2019/01/01 12:10:00,0.19547
2019/01/01 12:15:00,0.29521
2019/01/01 12:20:00,0.38517
2019/01/01 12:25:00,0.46255
2019/01/01 12:30:00,0.52744
2019/01/01 12:35:00,0.58068
2019/01/01 12:40:00,0.62234
2019/01/01 12:45:00,0.65255
2019/01/01 12:50:00,0.67272
2019/01/01 12:55:00,0.68506
2019/01/01 13:00:00,0.69124
2019/01/01 13:05:00,0.69207
2019/01/01 13:10:00,0.68833
2019/01/01 13:15:00,0.68149
2019/01/01 13:20:00,0.67295
2019/01/01 13:25:00,0.66296
2019/01/01 13:30:00,0.65116
2019/01/01 13:35:00,0.63945
2019/01/01 13:40:00,0.633
2019/01/01 13:45:00,0.63601
2019/01/01 13:50:00,0.64713
2019/01/01 13:55:00,0.66196
2019/01/01 14:00:00,0.67913
2019/01/01 14:05:00,0.70122
2019/01/01 14:10:00,0.72945
2019/01/01 14:15:00,0.76021
2019/01/01 14:20:00,0.78785
2019/01/01 14:25:00,0.80929
2019/01/01 14:30:00,0.82489
2019/01/01 14:35:00,0.83557
2019/01/01 14:40:00,0.8408
2019/01/01 14:45:00,0.83981
2019/01/01 14:50:00,0.83332
2019/01/01 14:55:00,0.82335
2019/01/01 15:00:00,0.81158
2019/01/01 15:05:00,0.79908
2019/01/01 15:10:00,0.78757
2019/01/01 15:15:00,0.77968
2019/01/01 15:20:00,0.77752
2019/01/01 15:25:00,0.78148
2019/01/01 15:30:00,0.79117
2019/01/01 15:35:00,0.8067
2019/01/01 15:40:00,0.82854
2019/01/01 15:45:00,0.85631
2019/01/01 15:50:00,0.88847
2019/01/01 15:55:00,0.9228
2019/01/01 16:00:00,0.95726
2019/01/01 16:05:00,0.99042
2019/01/01 16:10:00,1.0214
2019/01/01 16:15:00,1.0491
2019/01/01 16:20:00,1.0721
2019/01/01 16:25:00,1.0885
2019/01/01 16:30:00,1.0971
2019/01/01 16:35:00,1.0969
2019/01/01 16:40:00,1.0876
2019/01/01 16:45:00,1.0689
2019/01/01 16:50:00,1.0407
2019/01/01 16:55:00,1.0026
2019/01/01 17:00:00,0.95469
2019/01/01 17:05:00,0.8977
2019/01/01 17:10:00,0.83333
2019/01/01 17:15:00,0.76344
2019/01/01 17:20:00,0.68957
2019/01/01 17:25:00,0.61308
2019/01/01 17:30:00,0.53549
2019/01/01 17:35:00,0.45823
2019/01/01 17:40:00,0.38236
2019/01/01 17:45:00,0.30847
2019/01/01 17:50:00,0.23695
2019/01/01 17:55:00,0.16794
2019/01/01 18:00:00,0.10132
2019/01/01 18:05:00,0.036839
2019/01/01 18:10:00,-0.02583
2019/01/01 18:15:00,-0.087181
2019/01/01 18:20:00,-0.14795
2019/01/01 18:25:00,-0.20901
2019/01/01 18:30:00,-0.27115
2019/01/01 18:35:00,-0.33497
2019/01/01 18:40:00,-0.40085
2019/01/01 18:45:00,-0.46896
2019/01/01 18:50:00,-0.53935
2019/01/01 18:55:00,-0.61192
2019/01/01 19:00:00,-0.68626
2019/01/01 19:05:00,-0.76145
2019/01/01 19:10:00,-0.836
2019/01/01 19:15:00,-0.90808
2019/01/01 19:20:00,-0.97579
2019/01/01 19:25:00,-1.0372
2019/01/01 19:30:00,-1.0906
2019/01/01 19:35:00,-1.134
2019/01/01 19:40:00,-1.166
2019/01/01 19:45:00,-1.1854
2019/01/01 19:50:00,-1.1916
2019/01/01 19:55:00,-1.1846
2019/01/01 20:00:00,-1.1653
2019/01/01 20:05:00,-1.1347
2019/01/01 20:10:00,-1.0946
2019/01/01 20:15:00,-1.0466
2019/01/01 20:20:00,-0.99267
2019/01/01 20:25:00,-0.93538
2019/01/01 20:30:00,-0.87782
2019/01/01 20:35:00,-0.8234
2019/01/01 20:40:00,-0.77489
2019/01/01 20:45:00,-0.73393
2019/01/01 20:50:00,-0.70124
2019/01/01 20:55:00,-0.6773
2019/01/01 21:00:00,-0.6627
2019/01/01 21:05:00,-0.65793
2019/01/01 21:10:00,-0.6627
2019/01/01 21:15:00,-0.67589
2019/01/01 21:20:00,-0.69603
2019/01/01 21:25:00,-0.72196
2019/01/01 21:30:00,-0.75274
2019/01/01 21:35:00,-0.78706
2019/01/01 21:40:00,-0.82299
2019/01/01 21:45:00,-0.85837
2019/01/01 21:50:00,-0.89123
2019/01/01 21:55:00,-0.91998
2019/01/01 22:00:00,-0.94329
2019/01/01 22:05:00,-0.95992
2019/01/01 22:10:00,-0.96846
2019/01/01 22:15:00,-0.9676
2019/01/01 22:20:00,-0.9569
2019/01/01 22:25:00,-0.93713
2019/01/01 22:30:00,-0.90974
2019/01/01 22:35:00,-0.876
2019/01/01 22:40:00,-0.83681
2019/01/01 22:45:00,-0.79335
2019/01/01 22:50:00,-0.74771
2019/01/01 22:55:00,-0.7027
2019/01/01 23:00:00,-0.66077
2019/01/01 23:05:00,-0.623
2019/01/01 23:10:00,-0.58927
2019/01/01 23:15:00,-0.55917
2019/01/01 23:20:00,-0.53258
2019/01/01 23:25:00,-0.50939
2019/01/01 23:30:00,-0.48894
2019/01/01 23:35:00,-0.46995
2019/01/01 23:40:00,-0.4506
2019/01/01 23:45:00,-0.42892
2019/01/01 23:50:00,-0.40327
2019/01/01 23:55:00,-0.37233
2019/01/02 00:00:00,-0.33487
2019/01/02 00:05:00,-0.28947
2019/01/02 00:10:00,-0.2349
2019/01/02 00:15:00,-0.17047
2019/01/02 00:20:00,-0.095962
2019/01/02 00:25:00,-0.011527
2019/01/02 00:30:00,0.082173
2019/01/02 00:35:00,0.18372
2019/01/02 00:40:00,0.29106
2019/01/02 00:45:00,0.40195
2019/01/02 00:50:00,0.51439
2019/01/02 00:55:00,0.62679
2019/01/02 01:00:00,0.73761
2019/01/02 01:05:00,0.84493
2019/01/02 01:10:00,0.9465
2019/01/02 01:15:00,1.0403
2019/01/02 01:20:00,1.1249
2019/01/02 01:25:00,1.1989
2019/01/02 01:30:00,1.2611
2019/01/02 01:35:00,1.3107
2019/01/02 01:40:00,1.3481
2019/01/02 01:45:00,1.3741
2019/01/02 01:50:00,1.3892
2019/01/02 01:55:00,1.3943
2019/01/02 02:00:00,1.3912
2019/01/02 02:05:00,1.3826
2019/01/02 02:10:00,1.3715
2019/01/02 02:15:00,1.3612
2019/01/02 02:20:00,1.3546
2019/01/02 02:25:00,1.3525
2019/01/02 02:30:00,1.3539
2019/01/02 02:35:00,1.3583
2019/01/02 02:40:00,1.3665
2019/01/02 02:45:00,1.3789
2019/01/02 02:50:00,1.394
2019/01/02 02:55:00,1.4102
2019/01/02 03:00:00,1.4271
2019/01/02 03:05:00,1.4443
2019/01/02 03:10:00,1.4605
2019/01/02 03:15:00,1.474
2019/01/02 03:20:00,1.4833
2019/01/02 03:25:00,1.4876
2019/01/02 03:30:00,1.4871
2019/01/02 03:35:00,1.4821
2019/01/02 03:40:00,1.473
2019/01/02 03:45:00,1.4596
2019/01/02 03:50:00,1.4421
2019/01/02 03:55:00,1.4211
2019/01/02 04:00:00,1.3978
2019/01/02 04:05:00,1.3739
2019/01/02 04:10:00,1.3507
2019/01/02 04:15:00,1.3276
2019/01/02 04:20:00,1.3032
2019/01/02 04:25:00,1.2768
2019/01/02 04:30:00,1.2499
2019/01/02 04:35:00,1.2247
2019/01/02 04:40:00,1.202
2019/01/02 04:45:00,1.1814
2019/01/02 04:50:00,1.1625
2019/01/02 04:55:00,1.1461
2019/01/02 05:00:00,1.1331
2019/01/02 05:05:00,1.1227
2019/01/02 05:10:00,1.1136
2019/01/02 05:15:00,1.1047
2019/01/02 05:20:00,1.0953
2019/01/02 05:25:00,1.0843
2019/01/02 05:30:00,1.0704
2019/01/02 05:35:00,1.0522
2019/01/02 05:40:00,1.0286
2019/01/02 05:45:00,0.99875
2019/01/02 05:50:00,0.9621
2019/01/02 05:55:00,0.91851
2019/01/02 06:00:00,0.86839
